timestep_time;person_angle;person_edge;person_id;person_pos;person_slope;person_speed;person_type;person_x;person_y
0.0;326.07;1382626816#0;0.0;0.0;0.0;0.0;DEFAULT_PEDTYPE;3639.35;1477.75
1.0;22.12;:12791615962_w0;0.0;0.86;0.0;1.15;DEFAULT_PEDTYPE;3639.47;1478.14
2.0;77.72;1382626816#11;0.0;16.65;0.0;1.09;DEFAULT_PEDTYPE;3639.78;1478.28
3.0;77.72;1382626816#11;0.0;15.42;0.0;1.23;DEFAULT_PEDTYPE;3640.98;1478.55
4.0;77.72;1382626816#11;0.0;14.25;0.0;1.17;DEFAULT_PEDTYPE;3642.13;1478.79
5.0;77.72;1382626816#11;0.0;12.98;0.0;1.27;DEFAULT_PEDTYPE;3643.37;1479.07
6.0;77.72;1382626816#11;0.0;11.71;0.0;1.27;DEFAULT_PEDTYPE;3644.6;1479.33
7.0;77.72;1382626816#11;0.0;10.47;0.0;1.24;DEFAULT_PEDTYPE;3645.81;1479.6
8.0;83.06;1382626816#11;0.0;9.21;0.0;1.26;DEFAULT_PEDTYPE;3646.99;1479.8
9.0;83.06;1382626816#11;0.0;7.96;0.0;1.25;DEFAULT_PEDTYPE;3648.23;1479.95
10.0;83.06;1382626816#11;0.0;6.78;0.0;1.19;DEFAULT_PEDTYPE;3649.41;1480.1
11.0;83.06;1382626816#11;0.0;5.57;0.0;1.2;DEFAULT_PEDTYPE;3650.6;1480.24
12.0;83.06;1382626816#11;0.0;4.34;0.0;1.23;DEFAULT_PEDTYPE;3651.82;1480.39
13.0;83.06;1382626816#11;0.0;3.22;0.0;1.12;DEFAULT_PEDTYPE;3652.93;1480.53
14.0;83.06;1382626816#11;0.0;2.05;0.0;1.18;DEFAULT_PEDTYPE;3654.1;1480.67
15.0;83.06;1382626816#11;0.0;0.78;0.0;1.27;DEFAULT_PEDTYPE;3655.36;1480.82
16.0;83.06;1382626816#11;0.0;0.07;0.0;0.71;DEFAULT_PEDTYPE;3656.06;1480.91
17.0;83.06;:12791598799_w0;0.0;3.3;0.0;0.15;DEFAULT_PEDTYPE;3656.21;1480.92
18.0;60.4;:12791598799_w0;0.0;2.09;0.0;1.22;DEFAULT_PEDTYPE;3657.61;1481.36
19.0;60.4;:12791598799_w0;0.0;0.97;0.0;1.11;DEFAULT_PEDTYPE;3658.58;1481.91
