ts_ms,timestep_time,vehicle_id,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,ttc,ttc_valid,risk_score,zone_base_risk,dx,dy,dvx,dvy,dcpa_m,phys_min_dist_3s,phys_t_cpa,phys_score_3s,onnx_risk_level,onnx_confidence
10000,10.0,1,3649.41,1480.1,3569.93,1463.36,1.19,4.81,81.22375268355928,2.5699612811530557,30.0,1.0,8.0,0.0,-79.48000000000002,-16.74000000000001,1.8400000000001455,3.4700000000000273,62.376606892962265,74.23038798228079,3.0,33.0,0,0.5197949
11000,11.0,1,3650.6,1480.24,3575.07,1466.81,1.2,6.59,76.7147039360771,4.509048747482183,17.01350068102812,1.0,11.0,0.0,-75.52999999999975,-13.430000000000064,3.950000000000273,3.3099999999999454,38.21784418839793,63.77611151520501,3.0,36.0,1,0.5427343
12000,12.0,1,3651.82,1480.39,3578.65,1469.09,1.23,4.59,74.03741554106286,2.6772883950142443,27.65388132221331,1.0,8.0,0.0,-73.17000000000007,-11.300000000000182,2.3599999999996726,2.1299999999998818,40.63578686182154,66.27213743346553,3.0,33.0,1,0.47742385
13000,13.0,1,3652.93,1480.53,3582.24,1471.49,1.12,4.32,71.26568388782925,2.7717316532336014,25.711610214750824,1.0,8.0,0.0,-70.69000000000005,-9.039999999999964,2.480000000000018,2.2600000000002183,40.93238528188058,63.29036340549797,3.0,33.0,1,0.50889605
14000,14.0,1,3654.1,1480.67,3586.35,1473.81,1.18,4.75,68.09641767376608,3.169266214063171,21.48649342601699,1.0,8.0,0.0,-67.75,-6.860000000000127,2.9400000000000546,2.1799999999998363,34.84281312441094,58.93086882101757,3.0,38.0,1,0.50485325
15000,15.0,1,3655.36,1480.82,3590.97,1471.45,1.27,5.24,65.06818731146612,3.028230362299965,21.487198636383237,1.0,11.0,0.0,-64.39000000000033,-9.36999999999989,3.3599999999996726,-2.5099999999997635,46.042381664130524,56.878696363402305,3.0,41.0,1,0.38474298
16000,16.0,1,3656.06,1480.91,3597.66,1467.25,0.71,7.22,59.97629198274942,5.091895328716696,11.77877550712834,1.0,29.0,0.0,-58.40000000000009,-13.660000000000082,5.9900000000002365,-4.290000000000191,45.10983570218433,48.357272462371,3.0,46.0,2,0.47140667
17000,17.0,1,3656.21,1480.92,3605.13,1461.9,0.15,8.61,54.50620882064714,5.470083162102284,9.964420504294324,1.0,29.0,0.0,-51.07999999999993,-19.019999999999982,7.320000000000164,-5.3599999999999,45.52337560626961,45.60684597733047,3.0,46.0,2,0.55695283
18000,18.0,1,3657.61,1481.36,3611.27,1452.82,1.22,10.97,54.423590473249845,0.08261834739729323,30.0,0.0,19.0,0.0,-46.340000000000146,-28.539999999999964,4.739999999999782,-9.519999999999982,54.423590473249845,54.423590473249845,0.0,19.0,2,0.46336377
19000,19.0,1,3658.58,1481.91,3618.57,1441.99,1.11,13.06,56.51908084886012,-2.095490375610275,30.0,0.0,16.0,0.0,-40.00999999999976,-39.92000000000007,6.330000000000382,-11.38000000000011,56.51908084886012,56.51908084886012,0.0,16.0,2,0.39893878
20000,20.0,1,3659.08,1483.45,3626.35,1430.48,1.09,13.89,62.266152924361755,-5.7470720755016345,30.0,0.0,11.0,0.0,-32.73000000000002,-52.97000000000003,7.279999999999745,-13.049999999999955,62.266152924361755,62.266152924361755,0.0,11.0,2,0.40383774
21000,21.0,1,3747.21,1370.55,3631.6,1422.68,1.12,9.39,126.81959233493869,6.40534527060116,19.79902518557541,1.0,11.0,0.0,-115.61000000000013,52.13000000000011,3.5299999999997453,-7.490000000000009,82.3535108965646,109.12797991349511,3.0,36.0,0,0.61969876
22000,22.0,1,3748.14,1371.11,3634.25,1418.78,1.08,4.89,123.46400690079672,3.3555854341419717,30.0,1.0,3.0,0.0,-113.88999999999987,47.67000000000007,1.7200000000002547,-4.460000000000036,89.10922313463351,114.00884614800644,3.0,28.0,0,0.82673526
23000,23.0,1,3749.07,1371.67,3634.46,1418.47,1.08,0.39,123.79697936541112,-0.3329724646144001,30.0,0.0,0.0,0.0,-114.61000000000013,46.799999999999955,-0.7200000000002547,-0.8700000000001182,123.79697936541112,123.79697936541112,0.0,0.0,0,0.97251374
24000,24.0,1,3750.11,1373.33,3634.53,1418.37,1.24,0.13,124.04570931717058,-0.2487299517594579,30.0,0.0,0.0,0.0,-115.57999999999993,45.039999999999964,-0.9699999999997999,-1.759999999999991,124.04570931717058,124.04570931717058,0.0,0.0,0,0.97479725
25000,25.0,1,3750.0,1374.62,3634.55,1418.34,1.23,0.04,123.45096556933024,0.5947437478403401,30.0,1.0,3.0,0.0,-115.44999999999982,43.72000000000003,0.13000000000010914,-1.3199999999999363,110.60912323886166,121.73603082078823,3.0,28.0,0,0.96204114
26000,26.0,1,3749.78,1375.98,3634.55,1418.34,1.28,0.0,122.76938747098153,0.6815780983487087,30.0,1.0,3.0,0.0,-115.23000000000002,42.3599999999999,0.2199999999997999,-1.3600000000001273,106.98687992832895,120.7958745156477,3.0,28.0,0,0.9608836
27000,27.0,1,3749.55,1377.26,3634.55,1418.34,1.19,0.0,122.11701928887715,0.6523681821043823,30.0,1.0,3.0,0.0,-115.0,41.07999999999993,0.2300000000000182,-1.2799999999999727,105.92203781691244,120.22309969386079,3.0,28.0,0,0.9375494
