pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1786533588.371,990,2,2,0,0,1,change,0,2.13,-0.0,9999.0,30.0,1,table,0.3684,model,1,37.496487,126.957611,0.034,0.0,1,0.023,101.25
1786533589.384,1000,2,2,0,0,1,heartbeat,0,1.99,0.19,10.62,41.0,1,table,0.013,table,1,37.49649,126.957611,0.041,0.0,1,0.03,101.25
1786533590.423,1010,2,2,2,0,1,heartbeat,0,1.81,0.15,11.89,41.0,1,table,0.0363,table,1,37.49649,126.957611,0.039,0.0,1,0.032,101.25
1786533591.317,1018,1,1,2,0,1,change,0,1.62,0.17,9.32,41.0,1,table,0.0072,table,1,37.496494,126.957611,0.09,0.0,1,0.032,101.25
1786533592.369,1028,1,1,1,0,1,heartbeat,0,1.82,-0.11,9999.0,30.0,1,table,0.0099,table,1,37.496494,126.957619,0.271,0.0,1,0.032,101.25
1786533596.248,1066,1,1,0,0,1,heartbeat,0,1.95,-0.39,9999.0,30.0,1,table,0.0001,table,1,37.496502,126.957626,0.109,0.0,1,0.033,0.0
1786533597.257,1076,1,1,1,0,1,heartbeat,0,2.04,-0.26,9999.0,30.0,1,table,0.0001,table,1,37.496502,126.957626,0.067,0.0,1,0.033,0.0
1786533598.291,1086,1,1,1,0,1,heartbeat,0,2.58,-0.39,9999.0,30.0,1,table,0.0001,table,1,37.496506,126.957634,0.037,0.0,1,0.033,0.0
1786533603.285,1134,2,2,0,0,1,change,0,2.34,0.33,7.14,48.0,2,table,0.0012,table,1,37.496506,126.957642,0.027,0.0,1,0.085,0.0
1786533604.295,1144,2,2,2,0,1,heartbeat,0,2.16,0.25,8.54,41.0,1,table,0.0012,table,1,37.496506,126.957642,0.012,0.0,1,0.158,0.0
1786533605.329,1154,2,2,2,0,1,heartbeat,0,2.35,-0.01,9999.0,30.0,1,table,0.0007,table,1,37.496506,126.957642,0.026,0.0,1,0.158,0.0
1786533606.265,1163,1,1,2,0,1,change,0,2.76,-0.26,9999.0,30.0,1,table,0.0001,table,1,37.496506,126.957649,0.018,0.0,1,0.158,0.0
1786533612.045,1218,1,1,0,0,1,heartbeat,0,6.87,-1.52,9999.0,30.0,1,table,0.0002,table,1,37.496498,126.957649,0.029,0.0,1,0.08,0.0
1786533613.098,1229,1,1,1,0,1,heartbeat,0,7.43,-1.02,9999.0,30.0,1,table,0.0004,table,1,37.496498,126.957649,0.043,0.0,1,0.076,0.0
1786533614.13,1239,1,1,1,0,1,heartbeat,0,7.21,-0.29,9999.0,30.0,1,table,0.0003,table,1,37.496498,126.957649,0.026,0.0,1,0.076,0.0
1786533615.168,1249,1,1,1,0,1,heartbeat,0,6.56,0.25,26.25,33.0,1,table,0.0,table,1,37.496494,126.957642,0.037,0.0,1,0.076,0.0
1786533619.226,1288,1,1,0,0,1,heartbeat,0,4.65,-0.55,9999.0,30.0,1,table,0.0003,table,1,37.49649,126.957642,0.03,0.0,1,0.01,0.0
1786533620.285,1297,1,1,1,0,1,heartbeat,0,5.09,-0.66,9999.0,30.0,1,table,0.0001,table,1,37.496487,126.957649,0.022,0.0,1,0.01,0.0
1786533621.287,1308,1,1,1,0,1,heartbeat,0,4.97,-0.19,9999.0,30.0,1,table,0.0001,table,1,37.496487,126.957649,0.007,0.0,1,0.01,0.0
1786533626.28,1356,1,1,0,0,1,heartbeat,0,8.14,-2.18,9999.0,30.0,1,table,0.0001,table,1,37.496479,126.957649,0.068,0.0,1,0.283,0.0
1786533627.293,1366,1,1,1,0,1,heartbeat,0,8.95,-1.43,9999.0,30.0,1,table,0.0001,table,1,37.496479,126.957657,0.033,0.0,1,0.283,0.0
1786533628.327,1376,1,1,1,0,1,heartbeat,0,8.73,-0.46,9999.0,30.0,1,table,0.0004,table,1,37.496479,126.957649,0.049,0.0,1,0.283,0.0
1786533635.302,1443,3,3,0,0,1,change,0,3.08,1.6,1.92,63.0,3,safety_floor,0.0011,table,1,37.496479,126.957657,0.03,0.0,1,0.031,0.0
1786533636.323,1453,3,3,3,0,1,heartbeat,0,2.73,0.88,3.12,53.0,2,table,0.0006,table,1,37.496475,126.957657,0.021,0.0,1,0.093,0.0
1786533637.362,1463,3,3,3,0,1,heartbeat,0,3.3,0.03,117.29,28.84,1,table,0.0006,table,1,37.496475,126.957649,0.03,0.0,1,0.049,0.0
1786533638.292,1472,1,1,3,0,1,change,0,4.06,-0.39,9999.0,30.0,1,table,0.0001,table,1,37.496471,126.957649,0.022,0.0,1,0.049,0.0
1786533639.32,1482,1,1,1,0,1,heartbeat,0,4.43,-0.37,9999.0,30.0,1,table,0.0001,table,1,37.496468,126.957649,0.027,0.0,1,0.049,0.0
1786533644.211,1529,2,2,0,0,1,change,0,1.84,0.29,6.3,48.0,2,table,0.0001,table,1,37.496464,126.957649,0.032,0.0,1,0.026,0.0
1786533645.212,1539,2,2,2,0,1,heartbeat,0,1.86,-0.33,9999.0,30.0,1,table,0.001,table,1,37.496464,126.957649,0.052,0.0,1,0.026,0.0
1786533646.25,1549,2,2,2,0,1,heartbeat,0,1.84,-0.06,9999.0,30.0,1,table,0.0003,table,1,37.49646,126.957649,0.041,0.0,1,0.026,0.0
1786533646.31,1549,1,1,2,2,1,change,0,1.84,-0.05,9999.0,30.0,1,table,0.0003,table,1,37.49646,126.957649,0.041,0.0,1,0.026,0.0
1786533651.237,1597,1,1,0,0,1,heartbeat,0,6.45,-2.09,9999.0,30.0,1,table,0.0001,table,1,37.496456,126.957642,0.018,0.0,1,0.113,0.0
1786533652.254,1607,1,1,1,0,1,heartbeat,0,7.36,-1.47,9999.0,30.0,1,table,0.0001,table,1,37.496452,126.957642,0.031,0.0,1,0.113,0.0
1786533653.28,1617,1,1,1,0,1,heartbeat,0,7.29,-0.55,9999.0,30.0,1,table,0.0001,table,1,37.496452,126.957642,0.041,0.0,1,0.113,0.0
1786533658.272,1665,3,3,0,0,1,change,0,2.25,2.31,0.98,68.0,3,safety_floor,0.0043,table,1,37.496456,126.957642,0.032,0.0,1,0.198,0.0
1786533659.278,1675,3,3,3,0,1,heartbeat,0,2.04,1.15,1.78,63.0,3,safety_floor,0.0004,table,1,37.496456,126.957642,0.033,0.0,1,0.198,0.0
1786533660.312,1685,3,3,3,0,1,heartbeat,0,2.46,0.21,11.63,41.0,1,table,0.0001,table,1,37.496456,126.957642,0.025,0.0,1,0.198,0.0
1786533665.409,1734,1,1,0,0,1,change,0,6.14,-2.38,9999.0,30.0,1,table,0.0001,table,1,37.496471,126.957634,0.019,0.0,1,0.129,0.0
1786533666.414,1744,1,1,1,0,1,heartbeat,0,6.88,-1.5,9999.0,30.0,1,table,0.0001,table,1,37.496475,126.957634,0.049,0.0,1,0.129,0.0
1786533667.458,1754,1,1,1,0,1,heartbeat,0,6.24,-0.26,9999.0,30.0,1,table,0.0001,table,1,37.496475,126.957634,0.078,0.0,1,0.129,0.0
1786533673.48,1811,3,3,0,0,1,change,0,2.47,1.0,2.48,58.0,3,safety_floor,0.0003,table,1,37.496487,126.957634,0.013,0.0,1,0.015,0.0
1786533674.529,1822,3,3,3,0,1,heartbeat,0,2.06,0.52,3.96,53.0,2,table,0.0001,table,1,37.496487,126.957634,0.015,0.0,1,0.044,0.0
1786533675.563,1832,3,3,3,0,1,heartbeat,0,2.09,0.19,10.92,41.0,1,table,0.0,table,1,37.49649,126.957634,0.057,0.0,1,0.044,0.0
1786533676.005,1836,1,1,3,0,1,change,0,2.13,0.11,19.43,33.0,1,table,0.0005,table,1,37.49649,126.957634,0.048,0.0,1,0.044,0.0
1786533680.44,1879,1,1,0,0,1,heartbeat,0,3.11,-0.33,9999.0,30.0,1,table,0.0001,table,1,37.496498,126.957642,0.074,0.0,1,0.085,0.0
1786533681.455,1889,1,1,1,0,1,heartbeat,0,3.01,-0.09,9999.0,30.0,1,table,0.0001,table,1,37.496502,126.957642,0.091,0.0,1,0.085,0.0
1786533682.487,1899,1,1,1,0,1,heartbeat,0,2.9,0.03,114.55,32.98,1,table,0.0016,table,1,37.496502,126.957642,0.041,0.0,1,0.085,0.0
1786533687.265,1945,1,1,0,0,1,heartbeat,0,6.72,-1.65,9999.0,30.0,1,table,0.0001,table,1,37.49651,126.957649,0.025,0.0,1,0.324,0.0
1786533688.277,1955,1,1,1,0,1,heartbeat,0,7.27,-1.09,9999.0,30.0,1,table,0.0002,table,1,37.49651,126.957649,0.026,0.0,1,0.324,0.0
1786533689.321,1965,1,1,1,0,1,heartbeat,0,7.13,-0.37,9999.0,30.0,1,table,0.0002,table,1,37.49651,126.957649,0.071,0.0,1,0.324,0.0
1786533694.299,2013,2,2,0,0,1,change,0,4.12,1.15,3.58,53.0,2,table,0.0011,table,1,37.496502,126.957642,0.066,0.0,1,0.082,0.0
1786533695.305,2023,2,2,2,0,1,heartbeat,0,4.53,0.33,13.85,28.33,1,table,0.0002,table,1,37.496498,126.957642,0.029,0.0,1,0.082,0.0
1786533696.336,2033,2,2,2,0,1,heartbeat,0,4.82,-0.01,9999.0,30.0,1,table,0.0001,table,1,37.496498,126.957642,0.017,0.0,1,0.082,0.0
1786533696.75,2037,1,1,2,0,1,change,0,4.88,-0.05,9999.0,30.0,1,table,0.0004,table,1,37.496498,126.957642,0.024,0.0,1,0.082,0.0
1786533702.252,2090,1,1,0,0,1,heartbeat,0,4.13,-0.1,9999.0,30.0,1,table,0.0003,table,1,37.49649,126.957642,0.072,0.0,1,0.188,0.0
1786533703.264,2100,1,1,1,0,1,heartbeat,0,4.29,-0.25,9999.0,30.0,1,table,0.0003,table,1,37.496487,126.957642,0.071,0.0,1,0.188,0.0
1786533704.294,2110,1,1,1,0,1,heartbeat,0,4.37,-0.14,9999.0,30.0,1,table,0.0004,table,1,37.496487,126.957642,0.045,0.0,1,0.188,0.0
1786533709.376,2159,3,3,0,0,1,change,0,1.43,0.93,1.53,63.0,3,safety_floor,0.0003,table,1,37.496483,126.957642,0.044,0.0,1,0.095,0.0
1786533710.388,2169,3,3,3,0,1,heartbeat,0,1.21,0.16,7.81,48.0,2,table,0.0,table,1,37.496483,126.957642,0.097,0.0,1,0.095,0.0
1786533711.422,2179,3,3,3,0,1,heartbeat,0,1.26,0.1,12.24,33.0,1,table,0.0,table,1,37.496483,126.957642,0.197,0.0,1,0.095,0.0
1786533711.942,2184,1,1,3,0,1,change,0,1.29,0.06,20.23,33.0,1,table,0.0002,table,1,37.496483,126.957642,0.156,0.0,1,0.095,0.0
1786533717.232,2235,1,1,0,0,1,heartbeat,0,4.9,-1.13,9999.0,30.0,1,table,0.0001,table,1,37.496498,126.957657,0.049,0.0,1,0.188,0.0
1786533718.24,2245,1,1,1,0,1,heartbeat,0,5.69,-0.95,9999.0,30.0,1,table,0.0001,table,1,37.496502,126.957657,0.016,0.0,1,0.188,0.0
1786533719.276,2255,1,1,1,0,1,heartbeat,0,5.75,-0.41,9999.0,30.0,1,table,0.0001,table,1,37.496506,126.957657,0.03,0.0,1,0.188,0.0
1786533726.226,2322,2,2,0,0,1,change,0,3.66,0.67,5.48,48.0,2,table,0.0111,table,1,37.496521,126.957642,0.021,0.0,1,0.067,0.0
1786533727.23,2332,2,2,2,0,1,heartbeat,0,3.58,0.36,9.93,41.0,1,table,0.0016,table,1,37.496521,126.957642,0.05,0.0,1,0.067,0.0
1786533728.266,2342,2,2,2,0,1,heartbeat,0,3.71,0.08,49.2,28.64,1,table,0.001,table,1,37.496521,126.957642,0.064,0.0,1,0.067,0.0
1786533728.996,2349,1,1,2,0,1,change,0,3.84,-0.05,9999.0,30.0,1,table,0.0002,table,1,37.496525,126.957642,0.111,0.0,1,0.067,0.0
1786533736.068,2417,1,1,0,0,1,heartbeat,0,12.44,-2.71,9999.0,25.0,1,table,0.0,table,1,37.496529,126.957626,0.035,0.0,1,0.051,0.0
1786533737.114,2427,1,1,1,0,1,heartbeat,0,13.44,-1.85,9999.0,25.0,1,table,0.0003,table,1,37.496529,126.957626,0.053,0.0,1,0.051,0.0
1786533738.166,2437,1,1,1,0,1,heartbeat,0,13.07,-0.53,9999.0,25.0,1,table,0.0001,table,1,37.496532,126.957619,0.05,0.0,1,0.051,0.0
1786533743.314,2487,3,3,0,0,1,change,0,3.82,3.59,1.06,63.0,3,safety_floor,0.7975,table,1,37.496529,126.957603,0.068,0.0,1,0.141,0.0
1786533744.354,2497,3,3,3,0,1,heartbeat,0,2.53,1.72,1.47,63.0,3,safety_floor,0.0045,table,1,37.496525,126.957603,0.06,0.0,1,0.109,0.0
1786533745.419,2507,3,3,3,0,1,heartbeat,0,2.87,0.5,5.77,48.0,2,table,0.0003,table,1,37.496525,126.957596,0.057,0.0,1,0.109,0.0
1786533746.488,2518,3,3,3,0,1,heartbeat,0,2.56,0.38,6.74,48.0,2,table,0.0017,table,1,37.496521,126.957596,0.121,0.0,1,0.109,0.0
1786533746.775,2520,2,2,3,0,1,change,0,2.5,0.35,7.19,48.0,2,table,0.0016,table,1,37.496517,126.957596,0.131,0.0,1,0.109,0.0
1786533764.345,2690,2,2,0,0,1,heartbeat,0,7.39,-0.26,9999.0,30.0,1,table,0.0175,table,1,37.496464,126.957603,0.063,0.0,1,0.031,0.0
1786533766.097,2707,2,2,2,0,1,heartbeat,0,8.36,-0.51,9999.0,30.0,1,table,0.0209,table,1,37.496456,126.957611,0.036,0.0,1,0.027,0.0
1786533766.406,2710,1,1,2,0,1,change,0,8.44,-0.44,9999.0,30.0,1,table,0.0147,table,1,37.496456,126.957611,0.036,0.0,1,0.027,0.0
1786533767.44,2720,1,1,1,0,1,heartbeat,0,8.46,-0.15,9999.0,30.0,1,table,0.0374,table,1,37.496456,126.957611,0.029,0.0,1,0.027,0.0
1786533774.622,2788,1,1,0,0,1,heartbeat,0,17.33,-2.57,9999.0,25.0,1,table,0.0001,table,1,37.496456,126.957626,0.033,0.0,1,0.046,0.0
1786533775.708,2799,1,1,1,0,1,heartbeat,0,18.3,-1.74,9999.0,25.0,1,table,0.0002,table,1,37.496456,126.957626,0.023,0.0,1,0.046,0.0
1786533782.364,2862,1,1,0,0,1,heartbeat,0,18.39,1.6,11.49,7.2,0,table,0.0018,table,1,37.496449,126.957619,0.046,0.0,1,0.051,0.0
1786533783.453,2873,1,1,1,0,1,heartbeat,0,17.18,1.27,13.55,11.91,0,table,0.0018,table,1,37.496452,126.957619,0.045,0.0,1,0.044,0.0
1786533790.628,2941,1,1,0,0,1,heartbeat,0,15.4,-0.71,9999.0,25.0,1,table,0.0002,table,1,37.496452,126.957611,0.116,0.0,1,0.021,0.0
1786533791.678,2950,1,1,1,0,1,heartbeat,0,15.37,-0.34,9999.0,25.0,1,table,0.0004,table,1,37.496452,126.957611,0.153,0.0,1,0.015,0.0
1786533797.747,3009,1,1,0,0,1,heartbeat,0,18.25,-0.97,9999.0,25.0,1,table,0.0003,table,1,37.496456,126.957596,0.1,0.0,1,0.057,0.0
1786533798.793,3019,1,1,1,0,1,heartbeat,0,18.5,-0.54,9999.0,25.0,1,table,0.0002,table,1,37.496456,126.957588,0.113,0.0,1,0.036,0.0
1786533805.559,3084,2,2,0,0,1,change,0,11.66,2.49,4.68,48.0,2,table,0.0748,table,1,37.496464,126.957596,0.039,0.0,1,0.015,0.0
1786533821.705,3239,2,2,0,0,1,heartbeat,0,18.81,-0.22,9999.0,25.0,1,table,0.0178,table,1,37.496429,126.957626,0.026,0.0,1,0.021,0.0
1786533822.752,3249,2,2,2,0,1,heartbeat,0,18.83,-0.12,9999.0,25.0,1,table,0.0157,table,1,37.496426,126.957626,0.014,0.0,1,0.053,0.0
1786533823.708,3258,1,1,2,0,1,change,0,19.1,-0.2,9999.0,25.0,1,table,0.0157,table,1,37.496426,126.957626,0.013,0.0,1,0.053,0.0
1786533824.756,3268,1,1,1,0,1,heartbeat,0,19.4,-0.27,9999.0,25.0,1,table,0.0157,table,1,37.496422,126.957626,0.013,0.0,1,0.053,0.0
1786533828.244,3302,1,1,0,0,1,heartbeat,0,40.14,-14.29,9999.0,10.0,0,table,0.0001,table,1,37.496414,126.957626,0.023,0.0,1,0.118,0.0
1786533829.264,3312,1,1,1,0,1,heartbeat,0,45.77,-9.0,9999.0,10.0,0,table,0.0001,table,1,37.49641,126.957626,0.024,0.0,1,0.118,0.0
1786533830.305,3322,0,0,1,0,1,change,0,44.95,-3.42,9999.0,10.0,0,table,0.0001,table,1,37.49641,126.957626,0.014,0.0,1,0.118,0.0
1786533832.421,3342,0,0,0,0,1,heartbeat,0,42.22,4.24,9.97,7.7,0,table,0.0179,table,1,37.49641,126.957626,0.023,0.0,1,0.118,0.0
