시각,경과초,노드,항목,값
14:45:06,0.05,지팡이,위험,0
14:45:06,0.06,지팡이,GPS유효,1
14:45:06,0.07,지팡이,위도,37.496788
14:45:06,0.08,지팡이,경도,126.957886
14:45:06,0.08,지팡이,속도,0.14
14:45:06,0.09,지팡이,방향,34.4
14:45:06,0.10,지팡이,가속도,"-1.68,3.13,9.10"
14:45:06,0.10,지팡이,송신,12526
14:45:06,0.11,지팡이,GPS위성,7
14:45:06,0.12,지팡이,GPS_HDOP,1.43
14:45:06,0.12,지팡이,원시위도,37.496791
14:45:06,0.13,지팡이,원시경도,126.957885
14:45:06,0.13,지팡이,GPS채택,1674
14:45:06,0.14,지팡이,GPS이상치거부,3
14:45:06,0.14,지팡이,GPS품질거부,24
14:45:06,0.15,지팡이,GPS재기준,1
14:45:06,0.16,지팡이,차량수신,12179
14:45:07,0.54,차량,위험,0
14:45:07,0.55,차량,GPS유효,1
14:45:07,0.56,차량,위도,37.496959
14:45:07,0.57,차량,경도,126.957892
14:45:07,0.58,차량,속도,0.26
14:45:07,0.59,차량,방향,0.0
14:45:07,0.60,차량,가속도,"-1.36,1.27,9.62"
14:45:07,0.60,차량,자이로,"1.6,-2.6,0.4"
14:45:07,0.61,차량,충격값,0.09
14:45:07,0.62,차량,송신,15823
14:45:07,0.62,차량,지팡이수신,15555
14:45:07,0.63,차량,GPS위성,4
14:45:07,0.63,차량,GPS_HDOP,2.50
14:45:07,0.64,차량,원시위도,37.496958
14:45:07,0.64,차량,원시경도,126.957892
14:45:07,0.65,차량,GPS채택,1650
14:45:07,0.66,차량,GPS이상치거부,4
14:45:07,0.66,차량,GPS품질거부,223
14:45:07,0.67,차량,GPS재기준,1
14:45:07,0.67,차량,위험송신,15555
14:45:07,1.06,지팡이,위험,0
14:45:07,1.07,지팡이,GPS유효,1
14:45:07,1.08,지팡이,위도,37.496796
14:45:07,1.09,지팡이,경도,126.957886
14:45:07,1.09,지팡이,속도,0.12
14:45:07,1.10,지팡이,방향,34.4
14:45:07,1.11,지팡이,가속도,"-1.63,3.23,9.06"
14:45:07,1.11,지팡이,송신,12535
14:45:07,1.12,지팡이,GPS위성,7
14:45:07,1.13,지팡이,GPS_HDOP,1.43
14:45:07,1.13,지팡이,원시위도,37.496797
14:45:07,1.14,지팡이,원시경도,126.957890
14:45:07,1.14,지팡이,GPS채택,1676
14:45:07,1.15,지팡이,GPS이상치거부,3
14:45:07,1.15,지팡이,GPS품질거부,24
14:45:07,1.16,지팡이,GPS재기준,1
14:45:07,1.16,지팡이,차량수신,12189
14:45:08,1.51,차량,위험,0
14:45:08,1.52,차량,GPS유효,1
14:45:08,1.53,차량,위도,37.496963
14:45:08,1.54,차량,경도,126.957892
14:45:08,1.55,차량,속도,0.18
14:45:08,1.55,차량,방향,0.0
14:45:08,1.56,차량,가속도,"-1.40,1.31,9.57"
14:45:08,1.57,차량,자이로,"1.4,-1.0,-1.1"
14:45:08,1.58,차량,충격값,0.03
14:45:08,1.58,차량,송신,15833
14:45:08,1.59,차량,지팡이수신,15565
14:45:08,1.59,차량,GPS위성,4
