시각,경과초,노드,항목,값
15:04:23,1.80,지팡이,위험,1
15:04:23,1.81,지팡이,GPS유효,1
15:04:23,1.82,지팡이,위도,37.496609
15:04:23,1.83,지팡이,경도,126.957901
15:04:23,1.84,지팡이,속도,0.04
15:04:23,1.85,지팡이,방향,278.3
15:04:23,1.85,지팡이,가속도,"-1.70,3.14,8.92"
15:04:23,1.86,지팡이,송신,23802
15:04:23,1.86,지팡이,GPS위성,8
15:04:23,1.87,지팡이,GPS_HDOP,1.03
15:04:23,1.88,지팡이,원시위도,37.496611
15:04:23,1.88,지팡이,원시경도,126.957902
15:04:23,1.89,지팡이,GPS채택,3984
15:04:23,1.89,지팡이,GPS이상치거부,3
15:04:23,1.90,지팡이,GPS품질거부,28
15:04:23,1.90,지팡이,GPS재기준,1
15:04:23,1.90,지팡이,차량수신,22498
15:04:24,2.07,차량,위험,0
15:04:24,2.07,차량,GPS유효,1
15:04:24,2.08,차량,위도,37.496499
15:04:24,2.09,차량,경도,126.957999
15:04:24,2.09,차량,속도,0.33
15:04:24,2.10,차량,방향,192.9
15:04:24,2.10,차량,가속도,"-1.36,-4.53,14.94"
15:04:24,2.11,차량,자이로,"29.7,-9.1,11.6"
15:04:24,2.11,차량,충격값,8.39
15:04:24,2.12,차량,송신,26985
15:04:24,2.12,차량,지팡이수신,26276
15:04:24,2.13,차량,GPS위성,5
15:04:24,2.13,차량,GPS_HDOP,1.60
15:04:24,2.14,차량,원시위도,37.496500
15:04:24,2.14,차량,원시경도,126.957998
15:04:24,2.15,차량,GPS채택,3422
15:04:24,2.15,차량,GPS이상치거부,4
15:04:24,2.16,차량,GPS품질거부,350
15:04:24,2.16,차량,GPS재기준,1
15:04:24,2.16,차량,위험송신,26276
15:04:25,2.97,차량,위험,0
15:04:25,2.98,차량,GPS유효,1
15:04:25,2.99,차량,위도,37.496498
15:04:25,3.00,차량,경도,126.958001
15:04:25,3.01,차량,속도,0.21
15:04:25,3.02,차량,방향,192.9
15:04:25,3.02,차량,가속도,"-5.86,-4.42,14.19"
15:04:25,3.03,차량,자이로,"34.1,-2.5,6.4"
15:04:25,3.04,차량,충격값,9.26
15:04:25,3.04,차량,송신,26995
15:04:25,3.05,차량,지팡이수신,26284
15:04:25,3.05,차량,GPS위성,5
15:04:25,3.06,차량,GPS_HDOP,1.60
15:04:25,3.06,차량,원시위도,37.496498
15:04:25,3.07,차량,원시경도,126.958002
15:04:25,3.07,차량,GPS채택,3424
15:04:25,3.07,차량,GPS이상치거부,4
15:04:25,3.08,차량,GPS품질거부,350
15:04:25,3.08,차량,GPS재기준,1
15:04:25,3.09,차량,위험송신,26284
15:04:25,3.73,지팡이,위험,1
15:04:25,3.73,지팡이,GPS유효,1
15:04:25,3.74,지팡이,위도,37.496613
15:04:25,3.75,지팡이,경도,126.957893
