시각,경과초,노드,항목,값
14:55:40,0.48,지팡이,위험,0
14:55:40,0.50,지팡이,GPS유효,1
14:55:40,0.51,지팡이,위도,37.496628
14:55:40,0.52,지팡이,경도,126.957924
14:55:40,0.52,지팡이,속도,0.13
14:55:40,0.53,지팡이,방향,180.0
14:55:40,0.54,지팡이,가속도,"-1.80,3.21,9.00"
14:55:40,0.54,지팡이,송신,18707
14:55:40,0.55,지팡이,GPS위성,7
14:55:40,0.55,지팡이,GPS_HDOP,1.15
14:55:40,0.56,지팡이,원시위도,37.496625
14:55:40,0.56,지팡이,원시경도,126.957924
14:55:40,0.57,지팡이,GPS채택,2938
14:55:40,0.57,지팡이,GPS이상치거부,3
14:55:40,0.58,지팡이,GPS품질거부,28
14:55:40,0.58,지팡이,GPS재기준,1
14:55:40,0.59,지팡이,차량수신,18314
14:55:41,0.81,차량,위험,0
14:55:41,0.82,차량,GPS유효,1
14:55:41,0.83,차량,위도,37.496754
14:55:41,0.84,차량,경도,126.958004
14:55:41,0.85,차량,속도,0.36
14:55:41,0.85,차량,방향,39.1
14:55:41,0.86,차량,가속도,"-0.13,1.29,9.61"
14:55:41,0.86,차량,자이로,"-2.4,1.8,-2.2"
14:55:41,0.87,차량,충격값,0.20
14:55:41,0.87,차량,송신,21959
14:55:41,0.88,차량,지팡이수신,21713
14:55:41,0.88,차량,GPS위성,4
14:55:41,0.89,차량,GPS_HDOP,2.70
14:55:41,0.89,차량,원시위도,37.496753
14:55:41,0.90,차량,원시경도,126.958003
14:55:41,0.90,차량,GPS채택,2850
14:55:41,0.91,차량,GPS이상치거부,4
14:55:41,0.91,차량,GPS품질거부,291
14:55:41,0.92,차량,GPS재기준,1
14:55:41,0.92,차량,위험송신,21713
14:55:41,1.52,지팡이,위험,0
14:55:41,1.53,지팡이,GPS유효,1
14:55:41,1.54,지팡이,위도,37.496624
14:55:41,1.55,지팡이,경도,126.957924
14:55:41,1.56,지팡이,속도,0.12
14:55:41,1.56,지팡이,방향,180.0
14:55:41,1.57,지팡이,가속도,"-1.72,3.15,9.12"
14:55:41,1.58,지팡이,송신,18717
14:55:41,1.58,지팡이,GPS위성,7
14:55:41,1.59,지팡이,GPS_HDOP,1.15
14:55:41,1.59,지팡이,원시위도,37.496623
14:55:41,1.60,지팡이,원시경도,126.957924
14:55:41,1.60,지팡이,GPS채택,2940
14:55:41,1.61,지팡이,GPS이상치거부,3
14:55:41,1.61,지팡이,GPS품질거부,28
14:55:41,1.62,지팡이,GPS재기준,1
14:55:41,1.62,지팡이,차량수신,18323
14:55:42,1.85,차량,위험,0
14:55:42,1.86,차량,GPS유효,1
14:55:42,1.87,차량,위도,37.496747
14:55:42,1.88,차량,경도,126.957997
14:55:42,1.88,차량,속도,0.52
14:55:42,1.89,차량,방향,39.1
14:55:42,1.90,차량,가속도,"-0.06,1.67,9.86"
14:55:42,1.90,차량,자이로,"-0.3,-1.3,-2.5"
14:55:42,1.91,차량,충격값,0.88
14:55:42,1.91,차량,송신,21969
14:55:42,1.92,차량,지팡이수신,21723
14:55:42,1.92,차량,GPS위성,4
14:55:42,1.93,차량,GPS_HDOP,2.70
14:55:42,1.93,차량,원시위도,37.496747
14:55:42,1.94,차량,원시경도,126.957997
