시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
16:17:10,0.139,131125,131125,0,0,1,37.496432,126.955894,0.11,0.0,0,0.0,0,312.9,0,0.00,9.68,2.47,0.9993,4.26,2.369,8,15725,0.118,1,177.2,"-0.10,0.36,9.67","1.0,-1.6,1.6","54.600,-81.450,7.800",0.14,0.17,0.00,0,1217,1201,5,1.80,37.496435,126.955895,31,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-23,-22.7,1201,36,4,0.80,0,0,0.00,0.00,1201
16:17:10,0.213,131229,131228,0,0,1,37.496432,126.955894,0.11,0.0,0,0.0,0,312.9,0,0.00,9.68,2.55,0.9998,4.82,2.334,8,15736,0.118,1,177.2,"-0.24,0.43,9.67","1.5,1.4,-1.6","52.800,-81.600,8.400",0.09,0.18,0.00,0,1218,1202,5,1.80,37.496435,126.955895,31,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-29,-24.0,1202,35,4,0.80,0,0,0.00,0.00,1202
16:17:10,0.297,131334,131333,0,0,1,37.496432,126.955894,0.11,0.0,0,0.0,0,312.9,0,0.00,9.79,4.11,0.9996,3.55,2.322,8,15749,0.118,1,177.2,"-0.17,0.42,9.78","0.2,1.1,-3.9","53.100,-81.000,7.050",0.08,0.18,0.00,0,1219,1203,5,1.80,37.496435,126.955895,31,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-22,-23.6,1203,40,4,0.80,0,0,0.00,0.00,1203
16:17:10,0.415,131439,131438,0,0,1,37.496432,126.955894,0.11,0.0,0,0.0,0,312.9,0,0.00,9.69,3.72,0.9996,5.44,2.355,8,15762,0.118,1,177.2,"-0.16,0.41,9.68","0.2,0.6,-3.7","53.850,-81.450,9.000",0.07,0.19,0.00,0,1220,1204,5,1.80,37.496435,126.955895,31,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-22,-23.3,1204,43,4,0.80,0,0,0.00,0.00,1204
16:17:10,0.495,131544,131543,0,0,1,37.496432,126.955894,0.11,0.0,0,0.0,0,312.9,0,0.00,9.74,2.72,0.9995,4.20,2.370,8,15775,0.118,1,177.2,"-0.13,0.43,9.73","2.2,0.7,-1.5","54.150,-81.900,7.800",0.06,0.19,0.00,0,1221,1205,5,1.80,37.496435,126.955895,31,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-22,-23.0,1205,44,4,0.80,0,0,0.00,0.00,1205
16:17:10,0.698,131649,131648,0,0,1,37.496432,126.955894,0.11,0.0,0,0.0,0,312.9,0,0.00,9.73,2.35,0.9998,3.85,2.327,8,15788,0.118,1,177.2,"-0.24,0.43,9.72","1.1,-1.5,-1.4","51.900,-82.200,7.500",0.07,0.15,0.00,0,1222,1206,5,1.80,37.496435,126.955895,31,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-22,-22.8,1206,47,4,0.80,0,0,0.00,0.00,1206
16:17:11,0.837,131753,131753,0,0,1,37.496432,126.955894,0.12,0.0,0,0.0,0,312.9,0,0.00,9.73,1.56,0.9994,5.05,2.397,8,15801,0.129,1,177.2,"-0.12,0.45,9.72","-0.1,-0.1,-1.6","54.750,-82.350,8.700",0.07,0.21,0.00,0,1223,1207,5,1.80,37.496438,126.955897,32,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-29,-24.0,1207,47,4,0.80,0,0,0.00,0.00,1207
16:17:11,0.851,131858,131858,0,0,1,37.496432,126.955894,0.12,0.0,0,0.0,0,312.9,0,0.00,9.60,3.36,0.9997,3.58,2.295,8,15814,0.129,1,177.2,"-0.19,0.51,9.59","1.7,-2.8,-0.7","52.200,-80.700,7.050",0.13,0.14,0.00,0,1224,1208,5,1.80,37.496438,126.955897,32,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-22,-23.6,1208,49,4,0.80,0,0,0.00,0.00,1208
16:17:11,0.917,131963,131963,0,0,1,37.496432,126.955894,0.12,0.0,0,0.0,0,312.9,0,0.00,9.66,3.54,0.9998,3.94,2.298,8,15827,0.129,1,177.2,"-0.23,0.44,9.64","-0.5,2.4,-2.5","51.450,-81.450,7.500",0.10,0.19,0.00,0,1225,1209,5,1.80,37.496438,126.955897,32,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-21,-23.1,1209,51,4,0.80,0,0,0.00,0.00,1209
16:17:11,1.081,132068,132068,0,0,1,37.496432,126.955894,0.12,0.0,0,0.0,0,312.9,0,0.00,9.67,4.57,0.9998,3.42,2.322,8,15840,0.129,1,177.2,"-0.27,0.39,9.66","1.0,3.2,-3.1","53.250,-80.850,6.900",0.13,0.14,0.00,0,1226,1210,5,1.80,37.496438,126.955897,32,39,56,0,0.80,0.00,999.00,0.0,0,0,0,0,-22,-22.9,1210,53,4,0.80,0,0,0.00,0.00,1210
