시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
16:19:27,0.087,770180,770168,0,1,37.496258,126.955696,0.034,0.0,0.026,1,15.1,"-2.677,2.476,9.122","-0.527,-2.458,0.794","-27.300,84.900,-0.600",0,35.3,9.82,2.64,0.5588,5.61,0.424,9,92070,7411,7,1.06,37.496258,126.955698,1336,4,1,0,-35,-34.4,12125,3,6050
16:19:28,0.161,770283,770271,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.634,2.480,9.084","-1.313,-3.595,-3.282","-26.250,84.150,-2.550",0,35.3,9.78,5.04,0.5617,5.61,0.424,9,92082,7412,7,1.06,37.496259,126.955698,1337,4,1,0,-33,-33.4,12127,8,6051
16:19:28,0.227,770386,770374,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.643,2.543,8.983","1.053,-2.511,0.779","-27.750,85.200,-0.600",0,35.3,9.70,2.83,0.5622,5.61,0.424,9,92094,7413,7,1.06,37.496259,126.955698,1337,4,1,0,-34,-33.6,12129,4,6052
16:19:28,0.340,770489,770477,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.567,2.519,8.997","-1.702,-0.687,-2.076","-25.500,85.200,-2.100",0,35.3,9.69,2.77,0.5672,5.61,0.424,9,92106,7414,7,1.06,37.496259,126.955698,1337,4,1,0,-33,-33.2,12131,0,6053
16:19:28,0.472,770592,770580,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.710,2.322,9.131","-1.275,-2.069,-0.542","-26.250,86.400,-1.800",0,35.3,9.80,2.49,0.5505,5.61,0.424,9,92118,7415,7,1.06,37.496259,126.955698,1337,4,1,0,-34,-33.2,12133,0,6054
16:19:28,0.583,770697,770685,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.567,2.533,9.026","0.092,-0.618,-0.771","-25.950,85.800,-2.250",0,35.3,9.72,0.99,0.5681,5.61,0.424,9,92131,7416,7,1.06,37.496259,126.955698,1337,4,1,0,-32,-32.9,12135,0,6055
16:19:28,0.655,770801,770789,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.591,2.480,9.055","1.458,-1.282,3.092","-25.650,84.750,-2.700",0,35.3,9.74,3.65,0.5646,5.61,0.424,9,92144,7417,7,1.06,37.496259,126.955698,1337,4,1,0,-32,-32.8,12137,5,6056
16:19:28,0.772,770903,770891,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.495,2.485,9.218","-2.206,1.580,-1.115","-25.050,83.700,-2.550",0,35.3,9.87,2.93,0.5737,5.61,0.424,9,92156,7418,7,1.06,37.496259,126.955698,1337,4,1,0,-33,-32.7,12139,2,6057
16:19:28,0.916,771005,770993,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.600,2.509,8.954","-1.725,2.160,-1.176","-26.250,85.650,-1.050",0,35.3,9.66,3.00,0.5638,5.61,0.424,9,92168,7419,7,1.06,37.496259,126.955698,1337,4,1,0,-32,-31.6,12141,1,6058
16:19:28,0.991,771107,771095,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.662,2.504,9.098","-2.298,-0.389,-0.779","-27.000,86.100,-0.600",0,35.3,9.80,2.46,0.5606,5.61,0.424,9,92180,7420,7,1.06,37.496259,126.955698,1337,4,1,0,-34,-32.2,12143,3,6059
16:19:28,1.116,771209,771197,0,1,37.496258,126.955696,0.036,0.0,0.041,1,15.1,"-2.701,2.519,9.194","-1.786,0.282,1.947","-26.250,86.100,-1.050",0,35.3,9.91,2.66,0.5594,5.61,0.424,9,92192,7421,7,1.06,37.496259,126.955698,1337,4,1,0,-36,-32.9,12145,4,6060
16:19:29,1.181,771312,771300,0,1,37.496258,126.955696,0.033,0.0,0.026,1,15.1,"-2.595,2.404,8.993","-1.595,-3.473,-0.397","-26.400,85.500,-0.900",0,35.3,9.66,3.84,0.5607,5.61,0.424,9,92204,7422,7,1.06,37.496260,126.955698,1338,4,1,0,-33,-32.9,12147,4,6061
16:19:29,1.263,771415,771403,0,1,37.496258,126.955696,0.033,0.0,0.026,1,15.1,"-2.614,2.490,9.036","-2.893,-1.183,-3.008","-25.650,83.850,-2.700",0,35.3,9.73,4.34,0.5630,5.61,0.424,9,92216,7423,7,1.06,37.496260,126.955698,1338,4,1,0,-34,-33.2,12148,15,6062
16:19:29,1.435,771520,771508,0,1,37.496258,126.955696,0.033,0.0,0.026,1,15.1,"-2.485,2.456,9.026","-1.275,-1.634,-0.901","-27.150,85.800,-1.500",0,35.3,9.68,2.26,0.5713,5.61,0.424,9,92229,7424,7,1.06,37.496260,126.955698,1338,4,1,0,-36,-34.2,12150,15,6063
16:19:29,1.515,771624,771612,0,1,37.496258,126.955696,0.033,0.0,0.026,1,15.1,"-2.720,2.399,9.103","-2.145,0.099,-0.908","-25.650,85.800,-1.950",0,35.3,9.80,2.33,0.5524,5.61,0.424,9,92241,7425,7,1.06,37.496260,126.955698,1338,4,1,0,-36,-34.0,12153,5,6064
16:19:29,1.683,771727,771715,0,1,37.496258,126.955696,0.033,0.0,0.026,1,15.1,"-2.614,2.385,9.074","-1.359,-0.802,0.145","-25.650,83.550,-2.250",0,35.3,9.74,1.58,0.5594,5.61,0.424,9,92253,7426,7,1.06,37.496260,126.955698,1338,4,1,0,-34,-34.0,12154,9,6065
