시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
16:22:31,0.103,954054,954042,0,1,37.496521,126.955475,0.183,0.0,0.087,1,15.1,"5.186,7.719,2.327","0.046,-1.817,1.527","-59.250,74.850,-40.200",0,35.3,9.59,2.37,0.8784,5.61,0.424,9,113980,9191,8,1.09,37.496527,126.955460,1518,4,3,0,-76,-76.6,15451,8,7734
16:22:31,0.364,954158,954146,0,1,37.496521,126.955475,0.183,0.0,0.087,1,15.1,"5.061,7.728,2.255","-1.985,-2.725,-0.260","-59.400,75.450,-42.150",0,35.3,9.51,3.38,0.8736,5.61,0.424,9,113993,9192,8,1.09,37.496527,126.955460,1518,4,3,0,-76,-76.4,15453,5,7735
16:22:32,0.483,954263,954251,0,1,37.496529,126.955460,0.131,0.0,0.036,1,15.1,"5.152,7.657,2.308","-0.641,-1.420,-1.802","-60.300,75.300,-40.950",0,35.3,9.51,2.38,0.8785,5.61,0.424,9,114006,9193,8,1.09,37.496533,126.955451,1519,4,3,0,-79,-77.0,15455,4,7736
16:22:32,0.558,954363,954351,0,1,37.496529,126.955460,0.131,0.0,0.036,1,15.1,"5.023,7.724,2.217","-1.313,-1.069,-0.588","-58.950,76.650,-41.400",0,35.3,9.48,1.79,0.8715,5.61,0.424,9,114017,9194,8,1.09,37.496533,126.955451,1519,4,3,0,-77,-77.0,15456,96,7737
16:22:32,0.624,954468,954456,0,1,37.496529,126.955460,0.131,0.0,0.036,1,15.1,"5.104,7.614,2.337","-1.237,-1.802,0.817","-60.000,75.600,-40.950",0,35.3,9.46,2.33,0.8801,5.61,0.424,9,114030,9195,8,1.09,37.496533,126.955451,1519,4,3,0,-78,-77.2,15457,97,7738
16:22:32,0.750,954573,954561,0,1,37.496529,126.955460,0.131,0.0,0.036,1,15.1,"5.133,7.681,2.179","-1.458,-1.481,1.542","-58.650,75.000,-41.100",0,35.3,9.49,2.59,0.8720,5.61,0.424,9,114043,9196,8,1.09,37.496533,126.955451,1519,4,3,0,-79,-77.7,15459,89,7739
16:22:32,0.825,954677,954665,0,1,37.496529,126.955460,0.131,0.0,0.036,1,15.1,"5.061,7.676,2.145","0.786,-2.366,-1.244","-58.950,74.700,-41.400",0,35.3,9.44,2.79,0.8697,5.61,0.424,9,114055,9197,8,1.09,37.496533,126.955451,1519,4,3,0,-81,-78.9,15462,1,7741
16:22:32,0.973,954781,954769,0,1,37.496529,126.955460,0.131,0.0,0.036,1,15.1,"5.138,7.791,2.150","-0.137,1.557,1.901","-60.150,76.950,-41.850",0,35.3,9.58,2.46,0.8684,5.61,0.424,9,114068,9198,8,1.09,37.496533,126.955451,1519,4,3,0,-83,-80.3,15464,3,7742
16:22:32,1.049,954988,954976,0,1,37.496529,126.955460,0.131,0.0,0.036,1,15.1,"5.100,7.666,2.433","-0.458,-2.145,-0.733","-59.250,75.600,-40.950",0,35.3,9.52,2.31,0.8831,5.61,0.424,9,114093,9200,8,1.09,37.496533,126.955451,1519,4,3,0,-82,-81.4,15468,5,7744
16:22:32,1.250,955088,955076,0,1,37.496529,126.955460,0.131,0.0,0.036,1,15.1,"5.157,7.700,2.399","-2.092,-1.511,0.809","-60.000,76.050,-43.500",0,35.3,9.57,2.70,0.8816,5.61,0.424,9,114104,9201,8,1.09,37.496533,126.955451,1519,4,3,0,-83,-81.7,15469,95,7744
