시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
16:22:31,0.167,452591,452591,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.6,0,0.00,9.73,1.91,0.9998,7.38,0.623,2209,52967,0.257,1,233.4,"-0.47,0.28,9.71","0.9,1.7,-0.2","21.450,-40.650,6.450",0.05,0.14,97.08,388467,4302,4177,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-72,-72.6,4177,15,3,7.28,1,0,-8.82,-18.73,4177
16:22:31,0.336,452696,452696,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.5,0,0.00,9.76,4.35,0.9999,8.12,0.561,2215,52974,0.257,1,233.4,"-0.41,0.37,9.74","0.5,-3.6,2.4","20.100,-39.300,7.050",0.07,0.18,97.08,388467,4303,4178,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-73,-72.7,4178,16,3,7.34,1,0,-8.82,-18.73,4178
16:22:32,0.471,452809,452797,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.5,0,0.00,9.68,4.49,0.9996,8.79,0.492,2226,52977,0.257,1,233.4,"-0.34,0.24,9.67","2.3,-3.8,0.7","19.050,-37.350,7.500",0.14,0.17,97.08,388467,4304,4179,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-80,-74.1,4179,25,3,8.45,1,0,-8.82,-18.73,4179
16:22:32,0.552,452901,452901,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.7,0,0.00,9.71,3.84,0.9998,8.28,0.593,2239,52977,0.257,1,233.4,"-0.46,0.28,9.69","-1.7,3.3,0.9","22.500,-38.100,7.050",0.05,0.19,97.08,388467,4305,4179,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-80,-74.1,4179,117,3,8.45,1,0,-8.82,-18.73,4179
16:22:32,0.617,453002,453001,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.8,0,0.00,9.70,0.97,0.9997,7.88,0.560,2252,52978,0.257,1,233.4,"-0.39,0.27,9.69","-0.5,-0.8,0.2","20.550,-38.850,6.750",0.08,0.15,97.08,388467,4306,4179,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-80,-74.1,4179,218,3,8.45,1,0,-8.82,-18.73,4179
16:22:32,0.734,453102,453102,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.8,0,0.00,9.75,3.76,0.9999,9.53,0.557,2263,52981,0.257,1,233.4,"-0.51,0.41,9.73","2.2,-2.8,-1.1","20.400,-38.700,8.400",0.09,0.20,97.08,388467,4307,4180,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-76,-74.5,4180,95,3,8.75,1,0,-8.82,-18.73,4180
16:22:32,0.818,453203,453203,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.6,0,0.00,9.69,2.66,0.9998,8.22,0.591,2277,52981,0.257,1,233.4,"-0.50,0.28,9.67","0.4,-1.4,2.3","22.050,-38.550,7.050",0.08,0.16,97.08,388467,4308,4181,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-77,-75.0,4181,96,3,9.18,1,0,-8.82,-18.73,4181
16:22:32,0.957,453304,453304,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.5,0,0.00,9.70,2.36,0.9999,8.21,0.565,2287,52985,0.257,1,233.4,"-0.48,0.34,9.69","0.1,0.5,2.3","21.000,-38.550,7.050",0.04,0.17,97.08,388467,4309,4182,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-79,-75.8,4182,98,3,9.91,1,0,-8.82,-18.73,4182
16:22:32,0.973,453405,453405,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.4,0,0.00,9.76,3.66,0.9998,9.32,0.575,2301,52985,0.257,1,233.4,"-0.49,0.32,9.74","1.8,-3.1,0.7","20.550,-39.300,8.250",0.05,0.20,97.08,388467,4310,4183,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-81,-76.8,4183,97,3,10.94,1,0,-8.82,-18.73,4183
16:22:32,1.107,453506,453506,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.3,0,0.00,9.63,3.44,0.9999,7.46,0.581,2309,52991,0.257,1,233.4,"-0.40,0.36,9.62","2.3,2.5,-0.5","20.400,-39.900,6.450",0.11,0.17,97.08,388467,4311,4184,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-80,-77.5,4184,100,3,11.61,1,0,-8.82,-18.73,4184
16:22:32,1.188,453630,453607,0,0,0,0.000000,0.000000,0.00,0.0,0,233.4,1,331.1,0,0.00,9.78,1.55,1.0000,8.43,0.576,2320,52994,0.257,1,233.4,"-0.38,0.48,9.76","0.5,-0.8,-1.3","19.350,-40.500,7.500",0.16,0.16,97.08,388467,4312,4185,5,1.70,37.496323,126.955775,249,66,56,0,-1.00,0.00,999.00,0.0,0,0,3,0,-79,-77.8,4185,115,3,11.96,1,0,-8.82,-18.73,4185
