시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
16:29:46,0.145,1389296,1389284,0,1,37.496483,126.955238,0.132,1.9,0.139,1,359.2,"6.977,3.797,5.167","0.290,-0.130,-0.573","-55.500,82.200,-30.300",1,1.9,9.48,0.65,0.9783,3.69,0.836,359,165464,13406,7,1.39,37.496484,126.955232,1920,7,34,0,-53,-53.7,23308,1,11577
16:29:47,0.271,1389399,1389387,0,1,37.496483,126.955238,0.132,1.9,0.139,1,359.2,"7.034,3.946,5.171","3.656,1.908,-0.031","-55.050,81.000,-28.800",1,1.9,9.58,4.12,0.9793,3.69,0.836,359,165476,13407,7,1.39,37.496484,126.955232,1920,7,34,0,-53,-53.3,23310,7,11578
16:29:47,0.409,1389502,1389490,0,1,37.496483,126.955238,0.132,1.9,0.139,1,359.2,"6.881,3.936,5.210","-1.435,-4.168,3.305","-54.900,82.800,-30.750",1,1.9,9.49,5.51,0.9817,3.69,0.836,359,165488,13408,7,1.39,37.496484,126.955232,1920,7,34,0,-53,-53.2,23311,91,11579
16:29:47,0.491,1389607,1389595,0,1,37.496483,126.955238,0.132,1.9,0.139,1,359.2,"7.049,3.797,5.277","-2.412,1.351,1.908","-55.950,83.550,-29.400",1,1.9,9.59,3.36,0.9784,3.69,0.836,359,165501,13409,7,1.39,37.496484,126.955232,1920,7,34,0,-53,-53.2,23313,90,11580
16:29:47,0.619,1389712,1389700,0,1,37.496483,126.955238,0.132,1.9,0.139,1,359.2,"7.053,3.768,5.468","-5.588,-4.023,0.885","-54.000,82.500,-29.550",1,1.9,9.69,6.94,0.9797,3.69,0.836,359,165514,13410,7,1.39,37.496484,126.955232,1920,7,34,0,-52,-52.7,23315,89,11581
16:29:47,0.687,1389816,1389804,0,1,37.496483,126.955238,0.132,1.9,0.139,1,359.2,"7.144,3.654,5.080","-3.733,-2.954,-1.008","-54.750,82.950,-30.300",1,1.9,9.50,4.87,0.9729,3.69,0.836,359,165527,13411,7,1.39,37.496484,126.955232,1920,7,34,0,-53,-53.0,23318,3,11582
16:29:47,0.825,1389918,1389906,0,1,37.496483,126.955238,0.132,1.9,0.139,1,359.2,"7.077,3.701,5.502","-9.847,-5.435,0.160","-55.500,82.200,-29.550",1,1.9,9.70,11.25,0.9788,3.69,0.836,359,165539,13412,7,1.39,37.496484,126.955232,1920,7,34,0,-53,-53.2,23320,2,11583
16:29:47,0.908,1390020,1390008,0,1,37.496483,126.955238,0.132,1.9,0.139,1,359.2,"7.058,3.735,5.622","-18.237,-14.107,0.504","-55.950,82.350,-29.700",1,1.9,9.77,23.06,0.9804,3.69,0.836,359,165551,13413,7,1.39,37.496484,126.955232,1920,7,34,0,-53,-53.1,23322,2,11584
16:29:47,0.968,1390122,1390110,0,1,37.496483,126.955238,0.132,0.0,0.139,1,359.2,"7.173,3.452,5.042","-36.145,-32.183,-0.237","-54.900,83.100,-28.950",0,1.9,9.42,48.40,0.9681,3.69,0.836,359,165563,13414,7,1.39,37.496484,126.955232,1920,7,34,0,-53,-53.1,23324,2,11585
16:29:47,1.104,1390224,1390212,0,1,37.496487,126.955231,0.156,0.0,0.201,1,359.2,"7.436,3.165,4.803","-20.908,-15.206,4.198","-53.400,80.100,-28.650",0,1.9,9.40,26.19,0.9557,3.69,0.836,359,165575,13415,7,1.08,37.496493,126.955231,1921,7,34,0,-53,-53.1,23325,72,11586
16:29:48,1.171,1390329,1390317,0,1,37.496487,126.955231,0.156,0.0,0.201,1,359.2,"8.021,2.576,4.281","-25.565,-19.290,1.084","-54.300,80.700,-27.750",0,1.9,9.45,32.04,0.9201,3.69,0.836,359,165588,13416,7,1.08,37.496493,126.955231,1921,7,34,0,-53,-52.9,23328,1,11587
16:29:48,1.301,1390432,1390420,0,1,37.496487,126.955231,0.156,0.0,0.201,1,359.2,"8.025,2.514,5.296","18.061,19.351,2.405","-54.900,81.150,-27.900",0,1.9,9.94,26.58,0.9367,3.69,0.836,359,165600,13417,7,1.08,37.496493,126.955231,1921,7,34,0,-53,-52.9,23330,3,11588
16:29:48,1.450,1390535,1390523,0,1,37.496487,126.955231,0.156,0.0,0.201,1,359.2,"8.059,2.485,5.301","-8.527,-8.038,-0.122","-55.800,81.450,-27.750",0,1.9,9.96,11.72,0.9354,3.69,0.836,359,165612,13418,7,1.08,37.496493,126.955231,1921,7,34,0,-53,-53.0,23332,5,11589
16:29:48,1.529,1390638,1390626,0,1,37.496487,126.955231,0.156,0.0,0.201,1,359.2,"7.858,2.753,5.148","12.031,7.771,-0.435","-54.300,82.200,-27.000",0,1.9,9.79,14.33,0.9439,3.69,0.836,359,165624,13419,7,1.08,37.496493,126.955231,1921,7,34,0,-54,-53.2,23333,68,11590
16:29:48,1.596,1390743,1390731,0,1,37.496487,126.955231,0.156,0.0,0.201,1,359.2,"8.068,2.619,4.434","-10.588,-12.542,-1.832","-55.050,82.500,-28.500",0,1.9,9.57,16.52,0.9237,3.69,0.836,359,165637,13420,7,1.08,37.496493,126.955231,1921,7,34,0,-53,-53.2,23336,2,11591
16:29:48,1.720,1390845,1390833,0,1,37.496487,126.955231,0.156,0.0,0.201,1,359.2,"7.590,3.117,4.472","27.145,31.061,-2.939","-54.750,81.750,-28.050",0,1.9,9.34,41.36,0.9461,3.69,0.836,359,165649,13421,7,1.08,37.496493,126.955231,1921,7,34,0,-54,-53.4,23337,60,11592
16:29:48,1.856,1390949,1390937,0,1,37.496487,126.955231,0.156,0.2,0.201,1,359.2,"6.704,4.094,6.005","15.504,18.618,-1.168","-56.400,83.850,-29.400",1,0.2,9.89,24.26,0.9906,2.61,0.921,362,165659,13422,7,1.08,37.496493,126.955231,1921,7,34,0,-54,-53.5,23340,3,11593
16:29:48,1.931,1391051,1391039,0,1,37.496487,126.955231,0.156,0.4,0.201,1,359.2,"6.919,3.472,5.186","-28.206,-25.046,2.603","-55.650,82.350,-28.650",1,0.4,9.32,37.81,0.9748,2.44,0.821,367,165666,13423,7,1.08,37.496493,126.955231,1921,7,34,0,-55,-53.9,23342,1,11594
16:29:48,2.062,1391153,1391141,0,1,37.496487,126.955231,0.156,0.4,0.201,1,359.2,"7.556,2.897,4.932","-38.954,-37.840,1.427","-53.700,82.350,-28.650",1,0.4,9.48,54.33,0.9748,2.44,0.821,367,165678,13424,7,1.08,37.496493,126.955231,1921,7,34,0,-54,-53.9,23344,5,11595
16:29:49,2.264,1391256,1391244,0,1,37.496490,126.955231,0.174,0.4,0.206,1,359.2,"8.016,2.610,4.736","-10.481,-11.183,-0.664","-53.550,83.400,-27.300",1,0.4,9.67,15.34,0.9305,2.44,0.821,367,165690,13425,7,1.08,37.496498,126.955229,1922,7,34,0,-54,-54.0,23345,61,11596
16:29:49,2.346,1391464,1391452,0,1,37.496490,126.955231,0.174,0.4,0.206,1,359.2,"7.767,2.691,4.946","1.137,-0.710,-2.466","-54.450,82.950,-27.000",1,0.4,9.59,2.81,0.9410,2.44,0.821,367,165715,13427,7,1.08,37.496498,126.955229,1922,7,34,0,-54,-54.1,23350,5,11598
16:29:49,2.412,1391567,1391555,0,1,37.496490,126.955231,0.174,0.4,0.206,1,359.2,"7.848,2.772,4.937","-0.947,1.595,-0.885","-55.050,81.750,-27.750",1,0.4,9.68,2.06,0.9414,2.44,0.821,367,165727,13428,7,1.08,37.496498,126.955229,1922,7,34,0,-54,-54.3,23352,3,11599
