시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
16:11:38,0.812,896825,896813,0,1,37.496262,126.955544,0.016,0.0,0.026,1,131.5,"-1.010,2.648,9.280","-2.084,1.863,0.885","-39.450,86.550,-0.450",0,0.0,9.70,2.93,0.6850,999.00,0.000,0,106707,8603,8,1.02,37.496260,126.955544,4443,18,0,1,-85,-85.3,16123,3,7981
16:11:38,0.944,897451,897439,0,1,37.496258,126.955544,0.023,0.0,0.021,1,131.5,"-0.958,2.701,9.333","-1.733,1.962,-0.206","-37.800,87.150,-0.300",0,0.0,9.76,2.63,0.6902,999.00,0.000,0,106783,8609,8,1.02,37.496258,126.955545,4446,18,0,1,-87,-85.9,16130,38,7984
16:11:38,1.012,897556,897544,0,1,37.496258,126.955544,0.023,0.0,0.021,1,131.5,"-1.039,2.758,9.285","-1.893,-1.000,1.718","-38.550,87.150,0.000",0,0.0,9.74,2.74,0.6867,999.00,0.000,0,106796,8610,8,1.02,37.496258,126.955545,4446,18,0,1,-85,-85.7,16131,43,7985
16:11:38,1.079,897661,897649,0,1,37.496258,126.955544,0.015,0.0,0.000,1,131.5,"-1.039,2.710,9.232","0.023,-1.878,-0.198","-37.800,86.850,0.300",0,0.0,9.68,1.89,0.6852,999.00,0.000,0,106809,8611,8,1.02,37.496258,126.955545,4447,18,0,1,-86,-85.8,16132,103,7985
16:11:40,2.371,897766,897754,0,1,37.496258,126.955544,0.015,0.0,0.000,1,131.5,"-1.073,2.629,9.218","-1.160,-4.137,-0.481","-39.750,84.900,1.350",0,0.0,9.65,4.32,0.6803,999.00,0.000,0,106822,8612,8,1.02,37.496258,126.955545,4447,18,0,1,-85,-85.6,16133,46,7986
16:11:40,2.545,898901,898889,0,1,37.496254,126.955544,0.032,0.0,0.021,1,131.5,"-0.886,2.749,9.419","0.985,-1.008,3.069","-38.250,86.850,0.000",0,0.0,9.85,3.38,0.6962,999.00,0.000,0,106956,8623,8,1.02,37.496255,126.955548,4453,18,0,1,-87,-87.1,16155,7,7996
16:11:40,2.673,899210,899198,0,1,37.496254,126.955551,0.031,0.0,0.026,1,131.5,"-0.967,2.662,9.366","-0.267,2.008,-0.198","-37.650,86.250,0.450",0,0.0,9.79,2.04,0.6882,999.00,0.000,0,106993,8626,8,1.02,37.496254,126.955549,4455,18,0,1,-89,-88.1,16161,3,7999
16:11:40,2.816,899415,899403,0,1,37.496254,126.955551,0.031,0.0,0.026,1,131.5,"-1.006,2.811,9.294","-1.046,-0.328,3.076","-38.550,87.150,0.300",0,0.0,9.76,3.27,0.6906,999.00,0.000,0,107017,8628,8,1.02,37.496254,126.955549,4455,18,0,1,-89,-88.2,16162,108,7999
16:11:40,3.144,899520,899508,0,1,37.496254,126.955551,0.025,0.0,0.015,1,131.5,"-1.030,2.547,9.294","-0.107,-0.359,-1.847","-39.450,85.800,1.200",0,0.0,9.69,1.88,0.6803,999.00,0.000,0,107030,8629,8,1.02,37.496254,126.955549,4456,18,0,1,-86,-87.8,16163,5,7999
16:11:40,3.264,899829,899817,0,1,37.496254,126.955551,0.019,0.0,0.010,1,131.5,"-0.876,2.576,9.318","-1.481,-0.580,-3.634","-39.150,86.550,-0.150",0,0.0,9.71,3.97,0.6915,999.00,0.000,0,107066,8632,8,1.02,37.496252,126.955550,4458,18,0,1,-86,-86.6,16167,110,8001
16:11:41,3.328,899934,899922,0,1,37.496254,126.955551,0.019,0.0,0.010,1,131.5,"-1.053,2.701,9.246","-1.000,-2.137,1.015","-39.150,85.050,3.000",0,0.0,9.69,2.57,0.6839,999.00,0.000,0,107079,8633,8,1.02,37.496252,126.955550,4458,18,0,1,-88,-86.7,16170,5,8002
16:11:41,3.529,900037,900025,0,1,37.496254,126.955551,0.030,0.0,0.051,1,131.5,"-0.982,2.624,9.361","-0.015,-1.275,-0.275","-39.750,86.100,-0.300",0,0.0,9.77,1.30,0.6860,999.00,0.000,0,107091,8634,8,1.02,37.496252,126.955550,4459,18,0,1,-88,-86.7,16170,108,8002
16:11:42,4.892,900245,900233,0,1,37.496254,126.955551,0.049,0.0,0.082,1,131.5,"-0.962,2.624,9.309","1.435,0.931,1.183","-40.050,87.150,0.600",0,0.0,9.72,2.08,0.6874,999.00,0.000,0,107116,8636,8,1.02,37.496252,126.955551,4460,18,0,1,-86,-86.5,16173,20,8003
16:11:42,5.171,901595,901583,0,1,37.496250,126.955551,0.014,0.0,0.005,1,131.5,"-0.958,2.705,9.357","-2.237,1.015,-1.137","-39.750,86.100,0.600",0,0.0,9.79,2.71,0.6902,999.00,0.000,0,107279,8649,8,1.02,37.496249,126.955553,4466,18,0,1,-83,-86.5,16190,17,8009
16:11:43,5.314,901905,901893,0,1,37.496250,126.955551,0.014,0.0,0.021,1,131.5,"-1.092,2.768,9.371","-0.969,-1.092,-1.382","-39.300,86.100,-1.050",0,0.0,9.83,2.01,0.6833,999.00,0.000,0,107315,8652,8,1.02,37.496248,126.955554,4468,18,0,1,-81,-83.3,16195,11,8011
16:11:43,5.506,902008,901996,0,1,37.496246,126.955551,0.015,0.0,0.015,1,131.5,"-1.006,2.576,9.333","-0.183,-1.160,1.420","-39.750,87.600,-1.050",0,0.0,9.73,1.84,0.6828,999.00,0.000,0,107327,8653,8,1.02,37.496247,126.955555,4469,18,0,1,-83,-83.3,16197,9,8012
16:11:44,6.399,902213,902201,0,1,37.496246,126.955551,0.009,0.0,0.000,1,131.5,"-0.982,2.567,9.380","0.450,-1.756,-0.878","-39.750,87.150,0.300",0,0.0,9.77,2.01,0.6840,999.00,0.000,0,107351,8655,8,1.02,37.496246,126.955555,4470,18,0,1,-79,-83.4,16201,5,8013
16:11:44,6.542,903048,903036,0,1,37.496246,126.955559,0.029,0.0,0.051,1,131.5,"-1.020,2.691,9.443","-1.687,0.000,-0.145","-39.150,85.500,0.900",0,0.0,9.87,1.69,0.6855,999.00,0.000,0,107454,8663,8,1.02,37.496244,126.955557,4474,18,0,1,-77,-76.8,16214,77,8020
16:11:44,6.844,903258,903246,0,1,37.496243,126.955559,0.033,0.0,0.041,1,131.5,"-0.934,2.629,9.385","0.198,-2.725,2.145","-36.750,86.850,-0.300",0,0.0,9.79,3.47,0.6893,999.00,0.000,0,107480,8665,8,1.02,37.496243,126.955557,4475,18,0,1,-79,-79.7,16219,1,8022
16:11:44,7.143,903569,903557,0,1,37.496243,126.955559,0.032,0.0,0.031,1,131.5,"-0.953,2.562,9.299","-0.046,0.221,1.046","-39.900,85.500,0.150",0,0.0,9.69,1.07,0.6860,999.00,0.000,0,107517,8668,8,1.02,37.496243,126.955557,4476,18,0,1,-85,-81.6,16224,0,8025
