시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
16:14:11,0.423,71412,71400,0,1,37.496155,126.955490,0.036,0.0,0.031,1,0.0,"2.126,6.254,6.972","-0.366,-3.450,-0.756","-45.900,90.450,-23.100",0,0.0,9.60,3.55,0.9206,999.00,0.000,0,8056,638,8,1.06,37.496156,126.955490,332,0,0,0,-62,-62.8,1267,2,631
16:14:11,0.490,71517,71505,0,1,37.496155,126.955490,0.042,0.0,0.051,1,0.0,"2.174,6.364,7.087","-0.588,-0.214,-1.229","-46.800,90.600,-22.950",0,0.0,9.77,1.38,0.9210,999.00,0.000,0,8069,639,8,1.06,37.496155,126.955490,333,0,0,0,-62,-62.5,1269,5,632
16:14:11,0.681,71621,71609,0,1,37.496155,126.955490,0.042,0.0,0.051,1,0.0,"2.188,6.220,6.847","0.565,-0.947,2.298","-46.950,88.500,-22.800",0,0.0,9.51,2.55,0.9238,999.00,0.000,0,8082,640,8,1.06,37.496155,126.955490,333,0,0,0,-62,-62.3,1271,4,633
16:14:12,0.910,71830,71818,0,1,37.496155,126.955490,0.041,0.0,0.026,1,0.0,"2.155,6.230,6.881","-0.847,0.405,0.710","-45.900,90.450,-24.600",0,0.0,9.53,1.18,0.9223,999.00,0.000,0,8108,642,8,1.06,37.496154,126.955490,335,0,0,0,-60,-61.2,1275,4,635
16:14:12,1.295,72039,72027,0,1,37.496155,126.955490,0.041,0.0,0.041,1,0.0,"2.160,6.206,6.977","-1.168,1.092,0.183","-46.800,89.100,-23.400",0,0.0,9.58,1.61,0.9224,999.00,0.000,0,8134,644,8,1.06,37.496154,126.955490,336,0,0,0,-60,-60.7,1279,4,637
16:14:12,1.389,72458,72446,0,1,37.496155,126.955490,0.049,0.0,0.051,1,0.0,"2.088,6.321,6.871","-1.015,-3.313,-0.748","-46.800,90.600,-24.750",0,0.0,9.57,3.54,0.9187,999.00,0.000,0,8186,648,8,1.06,37.496153,126.955490,338,0,0,0,-60,-60.1,1287,8,641
16:14:12,1.604,72563,72551,0,1,37.496155,126.955490,0.049,0.0,0.051,1,0.0,"2.179,6.311,6.910","-1.496,-1.702,0.244","-47.550,89.550,-24.000",0,0.0,9.61,2.28,0.9223,999.00,0.000,0,8199,649,8,1.06,37.496153,126.955490,338,0,0,0,-59,-59.7,1289,6,642
16:14:12,1.766,72773,72761,0,1,37.496151,126.955490,0.057,0.0,0.072,1,0.0,"2.112,6.287,7.063","-1.908,-2.634,-2.878","-45.900,88.500,-23.100",0,0.0,9.69,4.34,0.9194,999.00,0.000,0,8225,651,8,1.06,37.496152,126.955490,339,0,0,0,-59,-59.3,1293,5,644
16:14:13,1.938,72878,72866,0,1,37.496151,126.955490,0.073,0.0,0.103,1,0.0,"2.078,6.235,6.962","-0.076,-3.527,0.244","-46.650,90.900,-22.350",0,0.0,9.57,3.54,0.9189,999.00,0.000,0,8238,652,8,1.06,37.496151,126.955490,340,0,0,0,-60,-59.4,1295,3,645
16:14:14,2.936,73088,73076,0,1,37.496151,126.955490,0.082,0.0,0.098,1,0.0,"2.169,6.268,6.938","-2.366,0.489,1.947","-46.200,90.450,-22.350",0,0.0,9.60,3.10,0.9223,999.00,0.000,0,8264,654,8,1.06,37.496151,126.955490,341,0,0,0,-60,-59.5,1299,6,647
16:14:14,3.266,74132,74120,0,1,37.496151,126.955490,0.082,0.0,0.077,1,0.0,"2.150,6.244,6.895","-0.084,-0.176,-0.382","-46.800,89.550,-24.750",0,0.0,9.55,0.43,0.9219,999.00,0.000,0,8394,664,8,1.06,37.496149,126.955489,346,0,0,0,-60,-60.1,1319,4,657
16:14:14,3.394,74341,74329,0,1,37.496147,126.955490,0.080,0.0,0.077,1,0.0,"2.021,6.263,6.948","-1.542,-0.351,1.023","-46.500,89.550,-22.200",0,0.0,9.57,1.88,0.9164,999.00,0.000,0,8420,666,8,1.06,37.496148,126.955489,347,0,0,0,-60,-60.0,1323,3,659
16:14:14,3.481,74444,74432,0,1,37.496147,126.955490,0.072,0.0,0.057,1,0.0,"2.030,6.263,7.034","0.634,-1.397,-1.420","-47.250,89.850,-23.700",0,0.0,9.63,2.09,0.9165,999.00,0.000,0,8432,667,8,1.06,37.496148,126.955489,348,0,0,0,-60,-60.1,1325,6,660
16:14:14,3.546,74547,74535,0,1,37.496147,126.955490,0.072,0.0,0.057,1,0.0,"2.049,6.302,6.953","-0.924,0.412,0.420","-47.550,91.350,-24.450",0,0.0,9.60,1.10,0.9172,999.00,0.000,0,8444,668,8,1.06,37.496148,126.955489,348,0,0,0,-60,-60.1,1327,3,661
16:14:14,3.657,74650,74638,0,1,37.496147,126.955490,0.065,0.0,0.051,1,0.0,"2.083,6.172,6.967","-1.191,0.832,0.260","-47.700,90.000,-23.850",0,0.0,9.54,1.48,0.9197,999.00,0.000,0,8456,669,8,1.06,37.496148,126.955488,349,0,0,0,-61,-60.3,1329,6,662
16:14:15,4.145,74753,74741,0,1,37.496147,126.955490,0.065,0.0,0.051,1,0.0,"2.126,6.282,6.948","0.168,1.481,0.595","-46.950,89.700,-23.550",0,0.0,9.61,1.60,0.9204,999.00,0.000,0,8468,670,8,1.06,37.496148,126.955488,349,0,0,0,-61,-60.7,1331,3,663
16:14:15,4.382,75370,75358,0,1,37.496147,126.955490,0.061,0.0,0.057,1,0.0,"2.160,6.206,6.962","-0.282,1.168,1.725","-47.700,88.950,-23.850",0,0.0,9.57,2.10,0.9224,999.00,0.000,0,8540,676,8,1.06,37.496146,126.955488,352,0,0,0,-61,-60.8,1342,4,668
