시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
16:14:11,0.390,140816,140815,0,0,1,37.496443,126.954493,0.10,0.0,0,0.0,0,0.0,0,0.00,9.91,4.56,0.9990,20.58,1.615,0,16836,0.139,1,0.0,"-0.01,0.52,9.90","2.2,-2.3,3.2","51.300,-48.150,20.400",0.19,0.19,0.00,0,1296,1224,8,2.05,37.496442,126.954495,318,0,357,0,1.91,0.00,999.00,0.0,0,0,0,0,-59,-58.5,1224,76,4,1.91,0,0,0.00,0.00,1224
16:14:11,0.601,141028,141027,0,0,1,37.496443,126.954494,0.11,0.0,0,0.0,0,0.0,0,0.00,9.79,3.86,0.9982,20.33,1.586,0,16862,0.129,1,0.0,"0.12,0.34,9.79","2.2,-1.4,2.9","51.900,-45.150,19.800",0.17,0.19,0.00,0,1298,1226,8,2.05,37.496442,126.954495,319,0,357,0,1.91,0.00,999.00,0.0,0,0,0,0,-58,-58.5,1226,79,4,1.91,0,0,0.00,0.00,1226
16:14:11,0.675,141238,141237,0,0,1,37.496443,126.954494,0.14,0.0,0,0.0,0,0.0,0,0.00,9.72,1.64,0.9986,21.37,1.600,0,16888,0.159,1,0.0,"0.08,0.42,9.72","-0.2,-1.6,0.3","51.000,-47.700,21.150",0.07,0.20,0.00,0,1300,1228,6,2.05,37.496442,126.954495,320,0,357,0,1.84,0.00,999.00,0.0,0,0,0,0,-57,-58.1,1228,76,4,1.84,0,0,0.00,0.00,1228
16:14:12,1.200,141343,141342,0,0,1,37.496443,126.954494,0.14,0.0,0,0.0,0,0.0,0,0.00,9.75,3.69,0.9989,19.83,1.530,0,16901,0.159,1,0.0,"0.00,0.46,9.73","2.0,-3.1,0.3","49.200,-46.800,19.500",0.03,0.18,0.00,0,1301,1229,6,2.05,37.496442,126.954495,320,0,357,0,1.80,0.00,999.00,0.0,0,0,0,0,-57,-57.9,1229,79,4,1.80,0,0,0.00,0.00,1229
16:14:12,1.724,141867,141867,0,0,1,37.496442,126.954494,0.12,0.0,0,0.0,0,0.0,0,0.00,9.72,4.30,0.9991,20.44,1.537,0,16964,0.108,1,0.0,"-0.04,0.55,9.70","4.1,-0.7,-1.1","50.100,-45.450,19.950",0.11,0.19,0.00,0,1306,1234,6,3.09,37.496442,126.954496,321,0,359,0,1.64,0.00,999.00,0.0,0,0,0,0,-57,-56.9,1234,82,4,1.64,0,0,0.00,0.00,1234
16:14:12,1.829,142397,142396,0,0,1,37.496442,126.954494,0.12,0.0,0,0.0,0,0.0,0,0.00,9.77,3.05,0.9987,18.72,1.578,0,17029,0.123,1,0.0,"0.06,0.47,9.75","2.1,-2.1,0.7","50.550,-47.400,18.450",0.06,0.17,0.00,0,1311,1239,7,3.09,37.496442,126.954495,321,0,362,0,1.49,0.00,999.00,0.0,0,0,0,0,-55,-55.9,1239,87,4,1.49,0,0,0.00,0.00,1239
16:14:13,2.010,142502,142501,0,0,1,37.496442,126.954494,0.12,0.0,0,0.0,0,0.0,0,0.00,9.77,1.57,0.9990,21.11,1.599,0,17042,0.123,1,0.0,"-0.01,0.44,9.76","0.3,0.2,-1.5","51.750,-46.200,20.700",0.07,0.22,0.00,0,1312,1240,7,3.09,37.496442,126.954495,321,0,362,0,1.46,0.00,999.00,0.0,0,0,0,0,-55,-55.7,1240,87,4,1.46,0,0,0.00,0.00,1240
16:14:13,2.131,142711,142710,0,0,1,37.496442,126.954494,0.12,0.0,0,0.0,0,0.0,0,0.00,9.78,1.47,0.9987,18.87,1.582,0,17066,0.103,1,0.0,"0.04,0.36,9.78","-0.8,-0.2,1.2","51.300,-46.200,18.450",0.11,0.20,0.00,0,1314,1242,8,3.09,37.496442,126.954496,321,0,363,0,1.48,0.00,999.00,0.0,0,0,0,0,-56,-55.8,1242,85,4,1.48,0,0,0.00,0.00,1242
16:14:14,3.106,142817,142816,0,0,1,37.496442,126.954494,0.09,0.0,0,0.0,0,0.0,0,0.00,9.77,2.90,0.9991,21.55,1.625,0,17079,0.051,1,0.0,"-0.03,0.56,9.76","1.1,-2.3,1.3","51.900,-47.550,21.300",0.11,0.22,0.00,0,1315,1243,8,2.05,37.496442,126.954496,322,0,363,0,1.46,0.00,999.00,0.0,0,0,0,0,-55,-55.7,1243,88,4,1.46,0,0,0.00,0.00,1243
16:14:14,3.255,143763,143762,0,0,1,37.496442,126.954494,0.09,0.0,0,0.0,0,0.0,0,0.00,9.56,1.98,0.9985,20.86,1.601,0,17192,0.015,1,0.0,"0.08,0.42,9.55","-0.5,1.9,0.3","52.050,-45.750,20.400",0.18,0.18,0.00,0,1324,1252,8,3.09,37.496441,126.954496,322,0,368,0,1.56,0.00,999.00,0.0,0,0,0,0,-56,-56.4,1252,92,4,1.56,0,0,0.00,0.00,1252
