시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
20:00:10,0.157,187428,187416,0,1,37.496540,126.957451,0.837,0.0,0.710,1,320.8,"6.694,6.857,-1.666","-4.084,1.115,-0.725","-34.500,101.400,-34.350",0,35.8,9.73,4.29,0.6504,6.97,1.329,20,21709,1761,5,1.84,37.496538,126.957456,60,0,1,0,-79,-78.6,3264,68,1617
20:00:10,0.473,187532,187520,0,1,37.496540,126.957451,0.731,0.0,0.535,1,320.8,"6.756,6.637,-1.365","-1.656,-6.595,-0.687","-33.000,100.950,-33.600",0,35.8,9.57,6.83,0.6732,6.97,1.329,20,21722,1762,5,1.84,37.496535,126.957458,61,0,1,0,-79,-78.7,3266,0,1618
20:00:11,0.661,187739,187727,0,1,37.496536,126.957458,0.614,0.0,0.396,1,320.8,"6.752,6.795,-1.226","-2.267,-0.252,0.282","-32.550,103.350,-33.900",0,35.8,9.66,2.30,0.6842,6.97,1.329,20,21747,1764,5,1.84,37.496532,126.957460,62,0,1,0,-78,-78.7,3269,5,1619
20:00:11,0.776,187946,187934,0,1,37.496532,126.957458,0.500,0.0,0.288,1,320.8,"6.316,7.269,-1.556","-35.389,-28.183,0.550","-33.450,103.500,-33.450",0,35.8,9.75,45.24,0.6473,6.97,1.329,20,21772,1766,5,1.84,37.496529,126.957461,63,0,1,0,-79,-79.0,3273,1,1621
20:00:11,0.835,188051,188039,0,1,37.496532,126.957458,0.500,0.0,0.288,1,320.8,"6.273,7.264,-1.307","-65.252,-47.855,7.443","-32.550,101.850,-29.850",0,35.8,9.69,81.26,0.6414,6.97,1.329,20,21785,1767,5,1.84,37.496529,126.957461,63,0,1,0,-80,-79.5,3275,7,1622
20:00:11,1.060,188154,188142,0,1,37.496529,126.957458,0.401,0.0,0.216,1,320.8,"6.450,7.044,-0.781","-62.336,-54.397,11.130","-34.500,99.450,-22.950",0,35.8,9.58,83.48,0.6414,6.97,1.329,20,21797,1768,5,1.84,37.496527,126.957463,64,0,1,0,-82,-80.0,3276,86,1623
20:00:11,1.133,188362,188350,0,1,37.496529,126.957458,0.365,0.0,0.298,1,320.8,"7.226,6.311,-0.795","-9.076,-0.588,10.435","-38.400,101.250,-18.750",0,35.8,9.63,13.84,0.7179,6.97,1.329,20,21822,1770,5,1.84,37.496526,126.957463,65,0,1,0,-76,-78.9,3280,90,1625
20:00:11,1.250,188467,188455,0,1,37.496529,126.957458,0.365,0.0,0.298,1,320.8,"7.772,5.827,-1.408","-10.634,-1.878,9.565","-37.050,101.400,-17.100",0,35.8,9.82,14.43,0.6718,6.97,1.329,20,21835,1771,5,1.84,37.496526,126.957463,65,0,1,0,-77,-78.5,3281,89,1626
20:00:11,1.358,188568,188556,0,1,37.496525,126.957466,0.306,0.0,0.195,1,320.8,"7.532,5.995,-0.306","10.931,19.450,7.176","-38.400,100.800,-17.250",0,35.8,9.63,23.44,0.7515,6.97,1.329,20,21846,1772,5,1.84,37.496523,126.957465,66,0,1,0,-78,-78.3,3283,89,1627
20:00:11,1.468,188673,188661,0,1,37.496525,126.957466,0.306,0.0,0.195,1,320.8,"7.341,6.785,-1.221","9.870,23.863,3.588","-38.550,102.150,-18.600",0,35.8,10.07,26.07,0.6900,6.97,1.329,20,21858,1773,5,1.84,37.496523,126.957465,66,0,1,0,-80,-78.8,3285,88,1628
