시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
20:19:27,0.133,89078,89066,0,1,37.496506,126.957588,0.069,0.0,0.082,1,193.1,"-2.452,2.811,8.859","1.313,0.008,1.214","-42.150,55.500,13.650",0,0.0,9.61,1.79,0.5851,999.00,0.000,0,10226,807,7,1.23,37.496506,126.957588,293,0,1,0,-63,-63.0,1599,19,796
20:19:27,0.569,89183,89171,0,1,37.496506,126.957588,0.057,0.0,0.036,1,193.1,"-2.523,2.686,9.017","-3.015,-1.336,1.588","-42.150,52.350,14.700",0,0.0,9.74,3.66,0.5768,999.00,0.000,0,10239,808,7,1.23,37.496505,126.957589,294,0,1,0,-63,-63.0,1602,0,797
20:19:27,0.585,89489,89477,0,1,37.496506,126.957588,0.043,0.0,0.015,1,193.1,"-2.533,2.811,9.050","-2.153,-2.527,-0.183","-42.300,53.400,14.550",0,0.0,9.81,3.32,0.5808,999.00,0.000,0,10274,811,7,1.23,37.496504,126.957590,295,0,1,0,-62,-62.8,1607,8,800
20:19:27,0.648,89591,89579,0,1,37.496506,126.957588,0.062,0.0,0.098,1,193.1,"-2.495,2.796,8.849","-0.756,-2.252,-1.260","-42.000,54.150,13.050",0,0.0,9.61,2.69,0.5812,999.00,0.000,0,10285,812,7,1.23,37.496503,126.957591,296,0,1,0,-64,-63.2,1609,4,801
20:19:27,0.762,89693,89681,0,1,37.496506,126.957588,0.062,0.0,0.098,1,193.1,"-2.658,2.844,9.074","-2.321,2.321,-2.725","-41.250,53.400,15.300",0,0.0,9.87,4.27,0.5730,999.00,0.000,0,10297,813,7,1.23,37.496503,126.957591,296,0,1,0,-63,-63.2,1610,96,801
20:19:28,0.986,89798,89786,0,1,37.496502,126.957588,0.101,0.0,0.175,1,193.1,"-2.591,2.753,8.940","0.382,-2.137,0.061","-40.800,54.150,13.800",0,0.0,9.71,2.17,0.5733,999.00,0.000,0,10310,814,7,1.23,37.496502,126.957592,297,0,1,0,-63,-63.3,1613,3,802
20:19:28,1.179,90008,89996,0,1,37.496502,126.957588,0.120,0.0,0.154,1,193.1,"-2.543,2.801,8.863","-0.939,-2.634,1.389","-42.300,54.450,14.850",0,0.0,9.64,3.12,0.5778,999.00,0.000,0,10336,816,7,1.23,37.496501,126.957593,298,0,1,0,-63,-63.1,1617,7,804
20:19:28,1.306,90214,90202,0,1,37.496502,126.957596,0.121,0.0,0.123,1,193.1,"-2.533,2.840,9.041","-0.405,-0.702,0.145","-42.750,54.450,12.300",0,0.0,9.81,0.82,0.5817,999.00,0.000,0,10360,818,7,1.23,37.496500,126.957593,299,0,1,0,-65,-63.2,1621,8,806
20:19:28,1.519,90314,90302,0,1,37.496502,126.957596,0.121,0.0,0.123,1,193.1,"-2.586,2.825,8.997","-1.267,0.321,1.115","-41.550,54.450,13.500",0,0.0,9.78,1.72,0.5768,999.00,0.000,0,10371,819,7,1.23,37.496500,126.957593,299,0,1,0,-69,-64.7,1623,6,807
20:19:28,1.531,90416,90404,0,1,37.496498,126.957596,0.106,0.0,0.077,1,193.1,"-2.490,2.705,8.878","-0.427,0.580,-1.443","-42.150,54.000,13.200",0,0.0,9.61,1.61,0.5786,999.00,0.000,0,10383,820,7,1.23,37.496499,126.957594,300,0,1,0,-73,-67.2,1625,5,808
20:19:28,1.703,90518,90506,0,1,37.496498,126.957596,0.106,0.0,0.077,1,193.1,"-2.581,2.849,8.882","1.061,-0.656,0.107","-42.000,52.950,13.800",0,0.0,9.68,1.25,0.5768,999.00,0.000,0,10395,821,7,1.23,37.496499,126.957594,300,0,1,0,-62,-66.9,1627,5,809
20:19:28,1.822,90623,90611,0,1,37.496498,126.957596,0.101,0.0,0.093,1,193.1,"-2.547,2.830,8.782","-1.664,2.511,-1.160","-41.700,53.100,14.400",0,0.0,9.57,3.23,0.5776,999.00,0.000,0,10408,822,7,1.23,37.496497,126.957595,301,0,1,0,-64,-65.5,1629,1,810
20:19:28,1.827,90727,90715,0,1,37.496498,126.957596,0.101,0.0,0.093,1,193.1,"-2.619,2.806,8.993","-0.771,1.405,0.794","-41.400,54.000,13.200",0,0.0,9.78,1.79,0.5736,999.00,0.000,0,10421,823,7,1.23,37.496497,126.957595,301,0,1,0,-65,-65.5,1631,4,811
20:19:28,1.935,90832,90820,0,1,37.496498,126.957596,0.111,0.0,0.129,1,193.1,"-2.576,2.777,8.940","-0.260,0.817,-1.038","-41.400,52.800,13.200",0,0.0,9.71,1.35,0.5753,999.00,0.000,0,10434,824,7,1.23,37.496496,126.957596,302,0,1,0,-64,-65.2,1632,90,812
20:19:29,1.998,90936,90924,0,1,37.496498,126.957596,0.111,0.0,0.129,1,193.1,"-2.480,2.768,9.026","0.656,-1.756,-0.427","-42.900,55.800,13.950",0,0.0,9.76,1.92,0.5830,999.00,0.000,0,10447,825,7,1.23,37.496496,126.957596,302,0,1,0,-74,-66.7,1635,8,813
20:19:29,2.108,91041,91029,0,1,37.496498,126.957596,0.110,0.0,0.108,1,193.1,"-2.471,2.840,9.041","-1.076,-0.702,-0.542","-41.400,54.000,14.400",0,0.0,9.79,1.39,0.5864,999.00,0.000,0,10460,826,7,1.23,37.496496,126.957596,303,0,1,0,-61,-65.9,1637,8,814
20:19:29,2.220,91145,91133,0,1,37.496494,126.957596,0.095,0.0,0.067,1,193.1,"-2.629,2.796,9.050","-0.954,-0.580,0.885","-42.150,53.550,14.400",0,0.0,9.83,1.43,0.5732,999.00,0.000,0,10473,827,7,1.23,37.496494,126.957597,304,0,1,0,-65,-64.9,1639,1,815
20:19:29,2.393,91250,91238,0,1,37.496494,126.957596,0.095,0.0,0.067,1,193.1,"-2.591,2.844,9.041","-0.321,1.527,1.099","-41.550,53.400,12.750",0,0.0,9.83,1.91,0.5776,999.00,0.000,0,10486,828,7,1.23,37.496494,126.957597,304,0,1,0,-65,-65.4,1641,5,816
20:19:29,2.467,91354,91342,0,1,37.496494,126.957596,0.063,0.0,0.005,1,193.1,"-2.624,2.720,8.902","-0.687,-0.618,0.595","-42.150,54.300,13.200",0,0.0,9.67,1.10,0.5692,999.00,0.000,0,10499,829,7,1.23,37.496493,126.957598,305,0,1,0,-70,-66.8,1643,4,817
20:19:29,2.533,91459,91447,0,1,37.496494,126.957596,0.063,0.0,0.005,1,193.1,"-2.672,2.902,9.026","0.168,-0.237,0.137","-43.650,53.550,13.950",0,0.0,9.85,0.32,0.5734,999.00,0.000,0,10512,830,7,1.23,37.496493,126.957598,305,0,1,0,-62,-66.0,1645,3,818
20:19:29,2.689,91563,91551,0,1,37.496494,126.957596,0.061,0.0,0.057,1,193.1,"-2.528,2.782,9.084","0.847,-0.420,3.076","-43.050,53.700,14.850",0,0.0,9.83,3.22,0.5805,999.00,0.000,0,10525,831,7,1.23,37.496492,126.957598,306,0,1,0,-70,-66.2,1647,8,819
20:19:29,2.831,91668,91656,0,1,37.496494,126.957596,0.061,0.0,0.057,1,193.1,"-2.437,2.825,9.026","-0.389,1.389,0.626","-41.700,53.100,13.650",0,0.0,9.77,1.57,0.5882,999.00,0.000,0,10538,832,7,1.23,37.496492,126.957598,306,0,1,0,-63,-65.7,1649,2,820
20:19:29,2.889,91772,91760,0,1,37.496490,126.957596,0.059,0.0,0.057,1,193.1,"-2.514,2.844,9.021","0.420,-3.359,-0.702","-41.250,53.700,13.500",0,0.0,9.79,3.46,0.5831,999.00,0.000,0,10551,833,7,1.23,37.496490,126.957599,307,0,1,0,-62,-64.9,1650,70,821
20:19:30,3.049,91877,91865,0,1,37.496490,126.957596,0.059,0.0,0.057,1,193.1,"-2.456,2.691,8.906","-0.634,-0.748,1.649","-42.750,53.400,14.850",0,0.0,9.62,1.92,0.5809,999.00,0.000,0,10564,834,7,1.23,37.496490,126.957599,307,0,1,0,-69,-66.4,1652,87,822
20:19:30,3.235,92087,92075,0,1,37.496490,126.957596,0.069,0.0,0.087,1,193.1,"-2.643,2.796,8.930","-0.595,-1.496,1.947","-42.150,54.300,14.400",0,0.0,9.72,2.53,0.5708,999.00,0.000,0,10590,836,7,1.23,37.496489,126.957599,308,0,1,0,-62,-63.4,1657,2,824
20:19:30,3.309,92192,92180,0,1,37.496490,126.957596,0.072,0.0,0.077,1,193.1,"-2.442,2.753,9.079","1.168,-1.565,1.351","-41.400,52.800,13.950",0,0.0,9.80,2.37,0.5859,999.00,0.000,0,10603,837,7,1.23,37.496488,126.957600,309,0,1,0,-63,-63.1,1659,8,825
20:19:30,3.365,92297,92285,0,1,37.496490,126.957596,0.072,0.0,0.077,1,193.1,"-2.557,2.753,8.969","-0.550,-1.740,-0.405","-42.750,53.700,14.550",0,0.0,9.72,1.87,0.5762,999.00,0.000,0,10616,838,7,1.23,37.496488,126.957600,309,0,1,0,-67,-64.2,1661,6,826
20:19:30,3.481,92402,92390,0,1,37.496487,126.957596,0.083,0.0,0.103,1,193.1,"-2.476,2.792,9.060","-1.748,1.458,-0.168","-42.150,54.300,13.650",0,0.0,9.80,2.28,0.5845,999.00,0.000,0,10629,839,7,1.23,37.496486,126.957600,310,0,1,0,-71,-66.3,1663,5,827
20:19:30,3.604,92507,92495,0,1,37.496487,126.957596,0.083,0.0,0.103,1,193.1,"-2.629,2.739,8.973","-1.550,-0.336,-1.977","-41.250,53.400,13.500",0,0.0,9.74,2.53,0.5703,999.00,0.000,0,10642,840,7,1.23,37.496486,126.957600,310,0,1,0,-64,-66.3,1665,6,828
20:19:30,3.663,92612,92600,0,1,37.496487,126.957603,0.072,0.0,0.051,1,193.1,"-2.552,2.825,8.993","-0.053,-2.565,-1.038","-41.700,53.100,13.950",0,0.0,9.77,2.77,0.5793,999.00,0.000,0,10655,841,7,1.23,37.496485,126.957601,311,0,1,0,-64,-65.8,1666,86,829
20:19:30,3.837,92716,92704,0,1,37.496487,126.957603,0.072,0.0,0.051,1,193.1,"-2.480,2.653,9.031","-1.023,0.145,-2.107","-42.900,53.550,14.700",0,0.0,9.73,2.35,0.5790,999.00,0.000,0,10668,842,7,1.23,37.496485,126.957601,311,0,1,0,-72,-68.4,1668,81,830
