시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
21:39:35,0.256,247531,247530,0,0,1,37.496523,126.957561,0.01,0.0,0,246.6,1,246.4,0,0.00,9.72,2.39,0.9998,16.40,2.154,0,32026,0.010,1,241.3,"-0.34,0.34,9.71","-1.2,-2.1,0.0","3.900,41.400,6.150",0.11,0.18,0.00,0,2360,1361,9,0.91,37.496534,126.957571,351,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-80,-79.8,1361,72,1,12.00,1,0,-6.17,-1.71,1335
21:39:36,0.467,247636,247635,0,0,1,37.496523,126.957561,0.01,0.0,0,246.6,1,246.4,0,0.00,9.82,3.25,0.9992,17.28,2.147,0,32039,0.010,1,241.3,"-0.51,0.09,9.81","2.5,0.4,2.0","3.750,41.250,7.050",0.25,0.37,0.00,0,2361,1362,9,0.91,37.496534,126.957571,351,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-81,-80.0,1362,74,1,12.00,1,0,-6.17,-1.71,1336
21:39:36,0.795,247841,247840,0,0,1,37.496523,126.957561,0.01,0.0,0,246.6,1,246.4,0,0.00,9.84,2.83,0.9998,17.33,2.158,0,32066,0.010,1,241.3,"-0.41,0.30,9.83","1.1,2.4,-1.0","4.500,41.700,7.050",0.12,0.23,0.00,0,2363,1363,9,0.91,37.496534,126.957571,351,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-76,-79.2,1363,176,1,12.00,1,0,-6.17,-1.71,1337
21:39:36,1.084,248156,248155,0,0,1,37.496524,126.957562,0.01,0.0,0,246.6,1,246.4,0,0.00,9.74,2.88,0.9999,16.59,2.208,0,32105,0.005,1,241.3,"-0.55,0.41,9.72","1.5,-1.4,2.0","3.600,43.050,6.150",0.13,0.23,0.00,0,2366,1365,9,0.91,37.496534,126.957571,352,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-80,-80.0,1365,65,1,12.00,1,0,-6.17,-1.71,1339
21:39:36,1.192,248471,248470,0,0,1,37.496524,126.957562,0.01,0.0,0,246.6,1,246.4,0,0.00,9.72,1.99,1.0000,16.29,2.118,0,32144,0.005,1,241.3,"-0.40,0.42,9.70","0.9,0.4,-1.7","4.650,40.350,6.150",0.13,0.17,0.00,0,2369,1368,9,0.91,37.496534,126.957571,352,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-83,-80.2,1368,78,1,12.00,1,0,-6.17,-1.71,1342
21:39:37,1.411,248576,248575,0,0,1,37.496524,126.957562,0.01,0.0,0,246.6,1,246.4,0,0.00,9.75,2.00,0.9999,16.24,2.147,0,32157,0.005,1,241.3,"-0.49,0.34,9.73","0.9,-1.6,-0.8","4.500,41.250,6.000",0.07,0.18,0.00,0,2370,1369,9,0.91,37.496534,126.957571,352,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-80,-80.2,1369,74,1,12.00,1,0,-6.17,-1.71,1343
21:39:37,1.713,248786,248785,0,0,1,37.496524,126.957562,0.01,0.0,0,246.6,1,246.4,0,0.00,9.75,2.91,0.9998,15.88,2.173,0,32183,0.005,1,241.3,"-0.53,0.31,9.73","1.9,-2.1,-0.5","4.500,42.000,5.550",0.08,0.18,0.00,0,2372,1371,9,0.91,37.496534,126.957571,352,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-80,-80.1,1371,77,1,12.00,1,0,-6.17,-1.71,1345
21:39:37,2.230,249101,249100,0,0,1,37.496525,126.957563,0.01,0.0,0,246.6,1,246.4,0,0.00,9.67,2.40,0.9999,16.97,2.109,0,32222,0.005,1,241.3,"-0.45,0.36,9.65","-1.9,-0.2,1.4","3.150,39.900,6.900",0.09,0.18,0.00,0,2375,1373,9,1.19,37.496534,126.957572,353,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-84,-81.2,1373,190,1,12.00,1,0,-6.17,-1.71,1347
21:39:37,2.309,249626,249625,0,0,1,37.496525,126.957563,0.01,0.0,0,246.6,1,246.4,0,0.00,9.70,2.63,0.9998,17.50,2.163,0,32287,0.005,1,241.3,"-0.44,0.26,9.68","2.2,0.8,1.2","4.350,41.850,7.200",0.05,0.16,0.00,0,2380,1378,9,1.19,37.496534,126.957572,353,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-82,-80.9,1378,84,1,12.00,1,0,-6.17,-1.71,1352
21:39:38,2.760,249731,249730,0,0,1,37.496525,126.957563,0.01,0.0,0,246.6,1,246.4,0,0.00,9.73,3.86,0.9996,17.26,2.172,0,32300,0.005,1,241.3,"-0.48,0.22,9.72","0.9,3.1,-2.1","5.850,42.300,6.900",0.09,0.13,0.00,0,2381,1379,9,1.19,37.496534,126.957572,353,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-77,-80.1,1379,90,1,12.00,1,0,-6.17,-1.71,1353
21:39:38,2.859,250146,250145,0,0,1,37.496526,126.957563,0.01,0.0,0,246.6,1,246.4,0,0.00,9.78,1.76,0.9994,17.24,2.138,0,32353,0.005,1,241.3,"-0.39,0.14,9.77","0.5,-0.2,-1.7","3.750,40.950,7.050",0.18,0.19,0.00,0,2385,1381,9,1.19,37.496534,126.957572,354,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-77,-79.8,1381,92,1,12.00,1,0,-6.17,-1.71,1355
21:39:38,2.925,250251,250250,0,0,1,37.496526,126.957563,0.01,0.0,0,246.6,1,246.4,0,0.00,9.73,2.99,0.9996,15.49,2.154,0,32366,0.005,1,241.3,"-0.50,0.21,9.72","0.1,0.8,-2.9","3.750,41.250,5.250",0.12,0.16,0.00,0,2386,1382,9,1.19,37.496534,126.957572,354,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-81,-80.0,1382,97,1,12.00,1,0,-6.17,-1.71,1356
21:39:39,3.543,250356,250355,0,0,1,37.496526,126.957563,0.01,0.0,0,246.6,1,246.4,0,0.00,9.71,2.52,0.9998,16.54,2.144,0,32379,0.005,1,241.3,"-0.45,0.30,9.70","-2.5,-0.2,-0.3","4.950,41.250,6.300",0.02,0.15,0.00,0,2387,1383,9,1.19,37.496534,126.957572,354,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-81,-80.2,1383,92,1,12.00,1,0,-6.17,-1.71,1357
21:39:39,3.887,250977,250976,0,0,1,37.496526,126.957564,0.01,0.0,0,246.6,1,246.4,0,0.00,8.62,8.96,0.9930,15.80,2.098,0,32459,0.010,1,241.3,"-1.32,0.83,8.48","-7.4,5.0,-0.3","6.600,39.900,5.700",1.65,9.58,0.00,0,2393,1387,9,1.19,37.496534,126.957572,355,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-82,-80.6,1387,193,1,12.00,1,0,-6.17,-1.71,1361
21:39:39,3.975,251292,251291,0,0,1,37.496526,126.957564,0.01,0.0,0,246.6,1,246.4,0,0.00,8.22,3.54,0.9871,16.10,2.110,0,32498,0.010,1,241.3,"-1.35,1.27,8.01","1.1,-0.7,-3.3","4.500,40.050,6.000",2.20,2.43,0.00,0,2396,1389,9,1.19,37.496534,126.957572,355,16,2,1,-1.00,0.00,999.00,0.0,0,16,0,1,-76,-79.6,1389,92,1,12.00,1,0,-6.17,-1.71,1363
