시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
21:42:17,0.486,357471,357459,0,1,37.496330,126.957695,0.062,0.0,0.046,1,0.0,"-2.591,3.213,8.806","-2.405,1.427,-1.168","-36.450,60.150,36.300",0,0.0,9.73,3.03,0.5875,999.00,0.000,0,42509,3378,8,0.96,37.496332,126.957690,1305,0,10,0,-80,-80.7,5122,51,2716
21:42:17,0.589,357780,357768,0,1,37.496330,126.957695,0.062,0.0,0.062,1,0.0,"-2.662,3.242,8.763","0.504,-2.107,-0.137","-34.950,60.150,37.800",0,0.0,9.72,2.17,0.5825,999.00,0.000,0,42546,3381,8,0.96,37.496333,126.957690,1306,0,10,0,-79,-80.3,5126,81,2718
21:42:18,1.013,357885,357873,0,1,37.496334,126.957687,0.064,0.0,0.067,1,0.0,"-2.772,3.203,8.787","-1.275,0.366,-0.977","-34.800,60.300,36.150",0,0.0,9.75,1.65,0.5731,999.00,0.000,0,42559,3382,8,0.96,37.496335,126.957689,1307,0,10,0,-81,-80.4,5129,6,2719
21:42:18,1.098,358299,358287,0,1,37.496338,126.957687,0.065,0.0,0.062,1,0.0,"-2.758,3.050,8.729","-1.366,-0.069,-0.053","-34.800,58.800,36.900",0,0.0,9.65,1.37,0.5684,999.00,0.000,0,42609,3386,8,0.96,37.496338,126.957686,1309,0,10,0,-79,-79.1,5134,89,2723
21:42:18,1.468,358403,358391,0,1,37.496338,126.957687,0.051,0.0,0.026,1,0.0,"-2.701,3.050,8.830","-0.611,0.435,-2.321","-36.300,58.800,35.400",0,0.0,9.72,2.44,0.5740,999.00,0.000,0,42622,3387,8,0.96,37.496339,126.957685,1310,0,10,0,-80,-79.3,5135,83,2724
21:42:19,1.740,358714,358702,0,1,37.496338,126.957687,0.044,0.0,0.031,1,0.0,"-2.782,3.141,8.753","0.443,-0.809,0.107","-34.800,58.800,36.150",0,0.0,9.71,0.93,0.5699,999.00,0.000,0,42659,3390,8,0.96,37.496341,126.957684,1311,0,10,0,-82,-80.6,5140,6,2726
21:42:19,1.936,359025,359013,0,1,37.496342,126.957680,0.028,0.0,0.015,1,0.0,"-2.715,3.170,8.748","0.130,-2.916,-0.649","-35.400,58.950,35.250",0,0.0,9.69,2.99,0.5760,999.00,0.000,0,42696,3393,8,0.96,37.496344,126.957681,1313,0,10,0,-81,-80.8,5144,4,2727
21:42:19,1.945,359128,359116,0,1,37.496342,126.957680,0.028,0.0,0.015,1,0.0,"-2.634,3.060,8.758","0.481,-0.061,1.771","-36.150,58.950,33.450",0,0.0,9.64,1.84,0.5786,999.00,0.000,0,42708,3394,8,0.96,37.496344,126.957681,1313,0,10,0,-80,-80.5,5146,6,2728
21:42:19,2.150,359231,359219,0,1,37.496342,126.957680,0.023,0.0,0.015,1,0.0,"-2.710,3.237,8.701","-2.443,-1.931,-0.649","-34.650,59.250,36.300",0,0.0,9.67,3.18,0.5780,999.00,0.000,0,42720,3395,8,0.96,37.496346,126.957679,1314,0,10,0,-80,-80.5,5146,109,2728
21:42:19,2.438,359441,359429,0,1,37.496346,126.957680,0.022,0.0,0.021,1,0.0,"-2.691,3.179,8.897","-0.290,-1.702,3.595","-36.000,58.800,37.650",0,0.0,9.82,3.99,0.5798,999.00,0.000,0,42746,3397,8,0.96,37.496347,126.957678,1315,0,10,0,-81,-80.6,5147,195,2729
