시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
21:42:17,0.648,409605,409604,0,0,1,37.496523,126.957550,0.01,109.5,0,109.5,1,284.8,1,0.00,10.12,2.59,0.9995,18.21,2.056,0,52090,0.005,1,104.2,"-0.69,0.27,10.09","2.5,-0.5,0.0","6.450,38.850,8.250",0.45,1.14,0.00,0,3912,2524,10,1.19,37.496526,126.957551,1008,17,3,1,-1.00,0.00,999.00,0.0,0,78,0,1,-79,-79.6,2524,29,1,12.00,1,0,-6.17,-1.71,2479
21:42:18,1.307,409710,409709,0,0,1,37.496523,126.957550,0.01,109.5,0,109.5,1,284.8,1,0.00,9.78,1.80,0.9998,18.12,2.034,0,52103,0.010,1,104.2,"-0.58,0.35,9.76","-0.4,-1.8,0.1","6.000,38.100,8.250",0.09,0.68,0.00,0,3913,2525,10,1.19,37.496527,126.957551,1009,17,3,1,-1.00,0.00,999.00,0.0,0,78,0,1,-77,-79.0,2525,28,1,12.00,1,0,-6.17,-1.71,2480
21:42:19,2.532,410328,410304,0,0,1,37.496524,126.957550,0.01,109.5,0,109.5,1,284.8,1,0.00,9.70,2.23,0.9998,17.73,2.097,0,52181,0.005,1,104.2,"-0.52,0.32,9.68","1.0,1.9,-0.7","5.100,39.900,7.650",0.11,0.17,0.00,0,3919,2527,10,1.19,37.496527,126.957552,1012,17,3,1,-1.00,0.00,999.00,0.0,0,79,0,1,-81,-79.6,2527,26,1,12.00,1,0,-6.17,-1.71,2482
21:42:21,3.900,411568,411567,0,0,1,37.496526,126.957551,0.01,109.5,0,109.5,1,284.7,1,0.00,9.53,2.15,0.9987,16.98,2.005,0,52335,0.010,1,104.2,"-0.10,0.82,9.50","1.2,-1.5,1.0","7.350,37.200,7.200",0.66,0.72,0.00,0,3931,2534,10,0.91,37.496529,126.957553,1018,17,3,1,-1.00,0.00,999.00,0.0,0,80,0,1,-81,-80.1,2534,123,1,12.00,1,0,-6.17,-1.71,2489
21:42:21,4.204,412913,412912,0,0,1,37.496529,126.957551,0.40,262.5,1,262.5,1,285.5,1,-14.70,13.43,28.15,0.9205,16.79,1.875,0,52493,0.509,1,274.8,"-0.51,4.43,12.67","-20.2,11.5,15.8","7.500,34.650,7.050",4.89,9.29,0.00,0,3944,2544,10,0.91,37.496531,126.957551,1025,17,3,1,-1.00,0.00,999.00,0.0,0,80,0,1,-78,-79.6,2544,123,1,12.00,1,0,-6.17,-1.71,2499
21:42:22,5.321,413221,413220,0,0,1,37.496531,126.957550,0.51,267.4,1,267.4,1,283.0,0,0.00,13.69,22.18,0.9775,17.59,1.886,0,52534,0.612,1,276.5,"2.35,6.27,11.95","-7.1,21.0,0.2","6.000,33.750,7.800",6.81,6.81,0.00,0,3947,2545,10,0.91,37.496532,126.957550,1026,17,3,1,-1.00,0.00,999.00,0.0,0,80,0,1,-81,-79.9,2545,223,1,12.00,1,0,-6.17,-1.71,2500
21:42:22,5.533,414290,414254,0,0,1,37.496534,126.957541,0.81,280.1,1,280.1,1,276.9,0,0.00,16.99,5.44,0.9343,17.23,1.786,0,52658,0.864,1,278.1,"0.16,4.50,16.38","3.8,3.8,-0.8","6.450,33.000,7.500",7.26,13.17,0.00,0,3957,2553,10,0.91,37.496533,126.957542,1031,17,3,1,-1.00,0.00,999.00,0.0,0,81,0,1,-78,-78.2,2553,41,1,12.00,1,0,-6.17,-1.71,2508
21:42:23,5.913,414482,414481,1,0,1,37.496534,126.957539,0.77,279.7,1,279.7,1,277.2,0,0.00,9.35,7.60,0.9852,15.62,1.826,0,52683,0.736,1,278.9,"0.62,1.68,9.18","2.0,-7.0,-2.2","10.800,31.650,6.450",2.38,11.34,0.00,0,3959,2554,10,0.91,37.496534,126.957540,1032,17,3,1,-1.00,0.00,999.00,0.0,0,82,0,1,-77,-78.0,2554,130,1,12.00,1,0,-6.17,-1.71,2509
21:42:25,7.780,414888,414887,0,0,1,37.496535,126.957536,0.64,278.7,1,278.7,1,278.2,0,3.33,12.43,16.37,0.9252,16.78,1.806,0,52738,0.658,1,276.7,"-5.21,0.96,11.24","-11.5,8.6,-7.9","12.600,31.800,7.800",5.03,10.24,0.00,0,3963,2555,10,0.91,37.496535,126.957536,1035,17,3,1,-1.00,0.00,999.00,0.0,0,82,0,1,-81,-78.6,2555,328,1,12.00,1,0,-6.17,-1.71,2510
21:42:25,7.966,416770,416769,0,0,1,37.496538,126.957520,0.86,279.6,1,279.6,1,275.2,0,2.64,15.37,26.12,0.9707,18.16,2.102,0,52964,0.854,1,277.0,"-0.39,0.02,15.37","-13.1,-21.9,-5.4","13.050,38.250,8.400",5.33,7.29,0.00,0,3981,2571,10,0.91,37.496537,126.957520,1044,17,3,1,23.31,-0.73,999.00,-148.7,0,83,0,1,-76,-74.9,2571,31,2,9.13,1,0,-6.17,-1.71,2526
21:42:26,9.107,416969,416969,0,0,1,37.496538,126.957518,0.82,278.2,1,278.2,1,275.4,0,-11.41,6.97,28.07,0.8892,17.94,2.040,0,52990,0.787,1,275.5,"0.16,-1.62,6.78","11.4,-21.5,14.0","14.100,38.100,9.300",3.42,6.18,0.00,0,3983,2572,10,0.91,37.496538,126.957519,1045,17,3,1,22.52,-0.69,999.00,-147.0,0,83,0,1,-72,-74.4,2572,22,2,8.64,1,0,-6.17,-1.71,2527
21:42:26,9.417,418131,418130,0,0,1,37.496538,126.957506,0.84,275.1,1,275.1,1,276.6,0,-6.21,11.19,69.15,0.0306,20.88,2.097,0,53131,0.890,1,276.1,"0.34,-2.52,10.90","35.5,-58.7,8.8","19.350,41.700,10.800",3.00,11.56,0.00,0,3994,2582,10,0.91,37.496538,126.957507,1051,17,3,1,22.50,-0.70,999.00,-146.7,0,83,0,1,-68,-70.0,2582,52,2,5.68,1,0,-6.17,-1.71,2537
21:42:27,9.699,418447,418446,0,0,1,37.496538,126.957503,0.88,275.5,1,275.5,1,274.1,0,-22.31,8.63,34.43,0.7513,21.12,2.164,0,53168,0.921,1,276.1,"2.76,-4.47,6.84","8.6,22.1,24.9","19.050,44.850,10.500",6.52,16.58,0.00,0,3997,2585,10,0.91,37.496538,126.957504,1052,17,3,1,22.76,-0.73,999.00,-146.2,0,83,0,1,-64,-67.5,2585,58,2,4.48,1,0,-6.17,-1.71,2540
21:42:27,10.336,418764,418763,0,0,1,37.496539,126.957500,0.77,277.3,1,277.3,1,274.5,0,-0.85,8.30,6.83,-0.2507,23.71,2.249,0,53207,0.705,1,278.8,"6.31,-5.16,-1.54","-1.1,-6.0,3.1","17.700,46.650,12.150",14.51,14.51,0.00,0,4000,2588,10,0.91,37.496539,126.957501,1054,17,3,1,22.50,-0.66,999.00,-148.9,0,83,0,1,-66,-66.6,2588,67,2,4.12,1,0,-6.17,-1.71,2543
21:42:27,10.415,419306,419282,0,0,1,37.496539,126.957496,0.68,277.5,1,277.5,1,276.2,0,-0.75,2.93,26.50,0.9724,22.41,2.307,0,53271,0.694,1,276.5,"2.71,0.56,0.96","-9.6,24.7,1.4","18.600,47.250,11.250",9.18,20.54,0.00,0,4005,2593,10,0.91,37.496539,126.957496,1057,17,3,1,22.77,-0.59,999.00,-151.6,0,83,0,1,-70,-70.1,2593,85,2,5.78,1,0,-6.17,-1.71,2548
21:42:28,10.680,419398,419397,0,0,1,37.496539,126.957495,0.68,277.5,1,277.5,1,276.4,0,0.00,7.43,13.17,0.9278,21.90,2.293,0,53282,0.694,1,276.5,"-1.48,2.85,6.70","-9.1,9.4,1.5","17.700,44.550,10.650",3.91,7.25,0.00,0,4006,2594,10,0.91,37.496539,126.957496,1057,17,3,1,22.77,-0.60,999.00,-151.0,0,83,0,1,-67,-69.5,2594,76,2,5.45,1,0,-6.17,-1.71,2549
21:42:28,10.874,419714,419713,0,0,1,37.496540,126.957492,0.78,278.2,1,278.2,1,276.9,0,0.00,12.96,18.04,0.9981,22.51,2.253,0,53321,0.844,1,277.1,"-0.52,-0.15,12.95","0.3,-18.0,-1.7","18.000,45.750,11.700",3.76,12.80,0.00,0,4009,2597,10,1.19,37.496539,126.957492,1059,17,3,1,22.24,-0.62,999.00,-151.3,0,83,0,1,-66,-68.3,2597,84,2,4.86,1,0,-6.17,-1.71,2552
21:42:28,11.266,419926,419925,0,0,1,37.496540,126.957490,0.82,277.9,1,277.9,1,277.6,0,-3.04,12.05,32.64,0.9843,23.61,2.224,0,53347,0.869,1,277.3,"1.47,-0.11,11.96","9.0,-30.7,6.5","17.700,45.000,12.900",3.12,13.05,0.00,0,4011,2599,10,1.19,37.496540,126.957490,1060,17,3,1,22.52,-0.69,999.00,-152.6,0,83,0,1,-60,-65.3,2599,92,2,3.65,1,0,-6.17,-1.71,2554
