시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
21:53:04,0.116,152718,152706,0,1,37.496414,126.957573,0.038,0.0,0.041,1,110.7,"-2.552,2.945,9.002","-0.206,1.053,-0.153","-42.450,52.800,16.500",0,124.9,9.81,1.08,0.5835,1.22,1.274,2,17609,1410,7,1.16,37.496413,126.957571,251,0,232,0,-81,-82.5,2428,3,1217
21:53:05,0.436,152821,152809,0,1,37.496414,126.957573,0.038,0.0,0.041,1,110.7,"-2.461,2.887,8.983","-1.916,-2.053,1.573","-39.900,53.100,16.500",0,124.9,9.75,3.22,0.5882,1.22,1.274,2,17621,1411,7,1.16,37.496413,126.957571,251,0,232,0,-81,-82.2,2429,40,1218
21:53:05,0.551,153135,153123,0,1,37.496410,126.957573,0.034,0.0,0.031,1,110.7,"-2.428,2.983,8.978","1.382,1.443,-0.374","-42.150,52.800,15.150",0,124.9,9.77,2.03,0.5939,1.22,1.274,2,17660,1414,7,1.16,37.496411,126.957572,253,0,232,0,-83,-82.4,2433,1,1221
21:53:05,0.692,153238,153226,0,1,37.496410,126.957573,0.034,0.0,0.031,1,110.7,"-2.576,3.002,9.074","-0.382,-1.718,1.244","-42.450,50.850,15.900",0,124.9,9.90,2.15,0.5844,1.22,1.274,2,17672,1415,7,1.16,37.496411,126.957572,253,0,232,0,-82,-82.3,2434,52,1222
21:53:05,0.856,153343,153331,0,1,37.496410,126.957573,0.040,0.0,0.051,1,110.7,"-2.624,2.883,8.787","-0.176,-1.359,-1.084","-40.200,52.800,13.950",0,124.9,9.61,1.75,0.5736,1.22,1.274,2,17685,1416,7,1.16,37.496411,126.957572,254,0,232,0,-83,-82.6,2436,6,1223
21:53:05,1.409,153549,153537,0,1,37.496410,126.957573,0.035,0.0,0.026,1,110.7,"-2.600,2.940,9.012","-2.466,-0.466,-0.603","-40.950,52.050,14.400",0,124.9,9.83,2.58,0.5799,1.22,1.274,2,17709,1418,7,1.16,37.496410,126.957572,255,0,232,0,-82,-81.9,2440,3,1225
21:53:06,1.636,154068,154056,0,1,37.496410,126.957573,0.023,0.0,0.010,1,110.7,"-2.528,2.945,8.969","-0.344,-1.634,-1.611","-40.800,52.950,16.050",0,124.9,9.77,2.32,0.5850,1.22,1.274,2,17771,1423,7,1.16,37.496409,126.957573,257,0,232,0,-84,-82.5,2447,46,1229
21:53:06,1.938,154277,154265,0,1,37.496410,126.957573,0.024,0.0,0.026,1,110.7,"-2.471,2.931,8.964","1.191,0.191,0.641","-40.800,52.650,16.800",0,124.9,9.75,1.37,0.5888,1.22,1.274,2,17797,1425,7,1.16,37.496408,126.957574,258,0,232,0,-83,-82.4,2452,8,1231
21:53:06,1.944,154484,154472,0,1,37.496407,126.957573,0.017,0.0,0.005,1,110.7,"-2.533,2.945,8.892","0.260,-1.122,-0.321","-42.000,53.700,15.300",0,124.9,9.70,1.20,0.5839,1.22,1.274,2,17822,1427,7,1.16,37.496407,126.957574,259,0,232,0,-83,-83.1,2455,6,1233
21:53:06,2.049,154587,154575,0,1,37.496407,126.957573,0.017,0.0,0.015,1,110.7,"-2.476,2.988,8.897","-0.244,2.687,0.695","-42.000,51.450,14.850",0,124.9,9.71,2.79,0.5897,1.22,1.274,2,17834,1428,7,1.16,37.496407,126.957574,260,0,232,0,-84,-83.2,2456,47,1234
21:53:07,2.436,154691,154679,0,1,37.496407,126.957573,0.017,0.0,0.015,1,110.7,"-2.485,2.950,8.935","-0.809,-1.718,0.168","-40.950,52.800,16.200",0,124.9,9.73,1.91,0.5881,1.22,1.274,2,17847,1429,7,1.16,37.496407,126.957574,260,0,232,0,-83,-83.2,2458,46,1235
21:53:07,2.660,155109,155097,0,1,37.496407,126.957573,0.023,0.0,0.026,1,110.7,"-2.509,2.921,8.902","-1.244,-1.389,1.557","-41.250,52.950,15.600",0,124.9,9.70,2.43,0.5849,1.22,1.274,2,17899,1433,7,1.16,37.496405,126.957575,263,0,232,0,-82,-82.2,2465,6,1237
21:53:08,4.334,155314,155302,0,1,37.496407,126.957573,0.024,0.0,0.026,1,110.7,"-2.500,2.988,8.950","1.252,0.603,1.550","-40.050,51.750,15.300",0,124.9,9.76,2.08,0.5884,1.22,1.274,2,17923,1435,7,1.16,37.496404,126.957576,264,0,232,0,-82,-82.1,2468,0,1238
21:53:15,11.175,156672,156660,0,1,37.496403,126.957581,0.035,0.0,0.062,1,110.7,"-2.476,2.950,9.026","1.053,1.061,1.122","-40.500,52.950,13.800",0,124.9,9.81,1.87,0.5897,1.22,1.274,2,18090,1448,7,1.16,37.496401,126.957577,270,0,232,0,-84,-83.2,2482,69,1248
21:53:15,11.284,162834,162822,0,1,37.496391,126.957581,0.061,0.0,0.062,1,110.7,"-2.619,2.931,8.916","-2.298,-1.237,-1.000","-41.700,51.600,14.400",0,124.9,9.74,2.79,0.5771,1.22,1.274,2,18851,1507,7,1.16,37.496391,126.957579,301,0,232,0,-87,-84.3,2532,8,1275
21:53:15,11.349,163042,163030,0,1,37.496391,126.957581,0.075,0.0,0.103,1,110.7,"-2.605,2.897,8.935","-1.595,0.137,-1.359","-42.000,51.750,15.600",0,124.9,9.75,2.10,0.5772,1.22,1.274,2,18876,1509,7,1.16,37.496390,126.957579,302,0,232,0,-85,-85.5,2534,86,1276
21:53:16,11.463,163462,163450,0,1,37.496391,126.957581,0.080,0.0,0.077,1,110.7,"-2.509,3.160,8.935","1.076,-1.420,0.725","-39.900,53.550,13.950",0,124.9,9.80,1.92,0.5933,1.22,1.274,2,18928,1513,7,1.16,37.496390,126.957578,304,0,232,0,-85,-85.0,2536,304,1277
21:53:16,11.471,163567,163555,0,1,37.496391,126.957581,0.072,0.0,0.057,1,110.7,"-2.557,2.835,8.930","-0.435,-1.046,0.466","-41.700,52.350,15.450",0,124.9,9.71,1.22,0.5786,1.22,1.274,2,18941,1514,7,1.16,37.496390,126.957578,305,0,232,0,-84,-84.8,2537,55,1277
21:53:16,11.471,163671,163659,0,1,37.496391,126.957581,0.072,0.0,0.057,1,110.7,"-2.629,2.801,8.811","-0.374,-0.214,-1.641","-40.800,51.450,15.300",0,124.9,9.61,1.70,0.5707,1.22,1.274,2,18954,1515,7,1.16,37.496390,126.957578,305,0,232,0,-83,-84.4,2538,90,1278
21:53:16,12.255,163880,163868,0,1,37.496391,126.957581,0.063,0.0,0.046,1,110.7,"-2.514,2.935,8.820","-0.847,-2.504,1.450","-39.300,52.650,14.550",0,124.9,9.63,3.02,0.5842,1.22,1.274,2,18980,1517,7,1.16,37.496390,126.957578,306,0,232,0,-81,-81.9,2542,76,1280
21:53:16,12.413,164506,164494,0,1,37.496387,126.957581,0.118,0.0,0.195,1,110.7,"-2.365,2.907,8.916","-0.710,1.809,2.053","-40.650,52.800,15.450",0,124.9,9.67,2.83,0.5954,1.22,1.274,2,19056,1523,7,1.16,37.496389,126.957578,310,0,232,0,-79,-80.8,2550,17,1283
21:53:17,13.047,164924,164912,0,1,37.496387,126.957581,0.209,0.0,0.257,1,110.7,"-2.677,2.873,8.930","-1.122,-1.649,-0.840","-42.000,53.400,16.350",0,124.9,9.76,2.16,0.5709,1.22,1.274,2,19108,1527,7,1.16,37.496388,126.957578,312,0,232,0,-84,-81.9,2552,175,1284
21:53:17,13.150,165447,165435,0,1,37.496387,126.957581,0.178,0.0,0.170,1,110.7,"-2.595,2.935,8.835","-2.763,-1.031,-1.901","-40.200,52.350,13.950",0,124.9,9.66,3.51,0.5782,1.22,1.274,2,19172,1532,7,1.16,37.496388,126.957578,314,0,232,0,-81,-82.2,2557,19,1285
21:53:17,13.410,165552,165540,0,1,37.496387,126.957581,0.182,0.0,0.190,1,110.7,"-2.662,2.840,8.950","0.847,-3.947,-0.053","-42.000,51.750,14.850",0,124.9,9.76,4.04,0.5711,1.22,1.274,2,19185,1533,7,1.16,37.496387,126.957578,315,0,232,0,-87,-83.2,2558,70,1286
21:53:18,13.715,166074,166062,0,1,37.496387,126.957581,0.201,0.0,0.201,1,110.7,"-2.557,2.916,8.911","-0.954,1.290,1.107","-41.250,52.200,15.300",0,124.9,9.72,1.95,0.5813,1.22,1.274,2,19249,1538,7,1.16,37.496387,126.957577,317,0,232,0,-83,-82.2,2562,107,1288
21:53:18,13.722,166281,166269,0,1,37.496387,126.957581,0.181,0.0,0.144,1,110.7,"-2.600,2.935,8.873","-1.710,1.702,-2.023","-41.250,51.000,13.500",0,124.9,9.70,3.15,0.5782,1.22,1.274,2,19274,1540,7,1.16,37.496386,126.957577,318,0,232,0,-81,-81.1,2566,2,1290
21:53:18,13.825,166384,166372,0,1,37.496387,126.957581,0.156,0.0,0.108,1,110.7,"-2.514,2.978,8.811","-0.580,0.038,-0.031","-42.000,51.450,15.600",0,124.9,9.63,0.58,0.5856,1.22,1.274,2,19286,1541,7,1.16,37.496386,126.957577,319,0,232,0,-79,-80.8,2568,6,1291
21:53:18,14.141,166486,166474,0,1,37.496387,126.957581,0.156,0.0,0.108,1,110.7,"-2.437,2.753,8.897","-0.687,-2.275,0.435","-40.500,51.750,14.850",0,124.9,9.63,2.42,0.5845,1.22,1.274,2,19298,1542,7,1.16,37.496386,126.957577,319,0,232,0,-80,-80.0,2570,5,1292
21:53:18,14.371,166691,166679,0,1,37.496387,126.957581,0.134,0.0,0.093,1,110.7,"-2.538,2.887,8.887","0.183,0.000,0.840","-41.250,53.700,14.850",0,124.9,9.68,0.86,0.5815,1.22,1.274,2,19322,1544,7,1.16,37.496386,126.957577,320,0,232,0,-83,-80.6,2572,105,1293
