시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
21:53:05,0.656,288608,288607,0,0,1,37.496538,126.957386,0.01,0.0,0,0.0,0,0.0,0,0.00,9.66,3.31,0.9997,19.73,2.131,0,37092,0.005,1,0.0,"-0.64,0.57,9.62","2.7,-0.4,1.8","-43.500,9.750,13.500",0.08,0.14,0.00,0,2754,1406,9,1.19,37.496538,126.957386,1342,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-83,-79.9,1406,72,1,12.00,1,0,-5.88,12.92,1379
21:53:05,0.749,289218,289217,0,0,1,37.496538,126.957386,0.01,0.0,0,0.0,0,0.0,0,0.00,9.67,2.99,0.9998,21.08,2.116,0,37174,0.010,1,0.0,"-0.65,0.50,9.63","0.9,-2.8,-0.2","-43.800,8.550,15.000",0.08,0.15,0.00,0,2760,1408,9,1.19,37.496538,126.957386,1345,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-81,-80.2,1408,57,1,12.00,1,0,-5.88,12.92,1381
21:53:06,1.855,289321,289320,0,0,1,37.496538,126.957386,0.01,0.0,0,0.0,0,0.0,0,0.00,9.82,0.74,0.9996,20.81,2.160,0,37185,0.015,1,0.0,"-0.71,0.59,9.78","0.2,-0.2,-0.7","-45.150,8.850,14.700",0.12,0.12,0.00,0,2761,1409,9,1.19,37.496539,126.957386,1346,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-80,-80.1,1409,57,1,12.00,1,0,-5.88,12.92,1382
21:53:06,2.259,290367,290366,0,0,1,37.496538,126.957386,0.01,0.0,0,0.0,0,0.0,0,0.00,9.66,2.10,0.9998,19.81,2.125,0,37316,0.010,1,0.0,"-0.65,0.46,9.62","1.4,-0.7,-1.4","-43.650,9.150,13.650",0.11,0.17,0.00,0,2771,1417,9,1.19,37.496539,126.957387,1351,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-83,-80.0,1417,65,1,12.00,1,0,-5.88,12.92,1390
21:53:07,2.876,290788,290787,0,0,1,37.496539,126.957386,0.01,0.0,0,0.0,0,0.0,0,0.00,9.73,1.61,0.9999,21.13,2.137,0,37368,0.010,1,0.0,"-0.59,0.50,9.70","1.0,-0.9,-0.9","-44.250,9.000,15.000",0.07,0.16,0.00,0,2775,1421,9,1.19,37.496539,126.957387,1353,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-81,-81.0,1421,66,1,12.00,1,0,-5.88,12.92,1394
21:53:07,3.060,291312,291311,0,0,1,37.496539,126.957386,0.01,0.0,0,0.0,0,0.0,0,0.00,9.82,3.87,0.9997,20.00,2.134,0,37433,0.000,1,0.0,"-0.68,0.53,9.78","1.7,-3.3,-1.0","-43.800,9.450,13.800",0.08,0.17,0.00,0,2780,1425,9,1.19,37.496540,126.957387,1355,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-82,-81.0,1425,180,1,12.00,1,0,-5.88,12.92,1398
21:53:07,3.407,291512,291511,0,0,1,37.496539,126.957387,0.01,0.0,0,0.0,0,0.0,0,0.00,9.67,1.16,0.9995,20.08,2.160,0,37461,0.005,1,0.0,"-0.71,0.61,9.62","-0.3,1.1,0.0","-44.250,10.200,13.800",0.12,0.14,0.00,0,2782,1425,9,1.19,37.496540,126.957387,1356,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-82,-81.0,1425,380,1,12.00,1,0,-5.88,12.92,1398
21:53:11,6.875,291817,291816,0,0,1,37.496539,126.957387,0.01,0.0,0,0.0,0,0.0,0,0.00,9.72,1.93,0.9999,21.47,2.187,0,37502,0.010,1,0.0,"-0.56,0.56,9.69","1.5,-1.2,0.2","-45.750,9.450,15.300",0.09,0.17,0.00,0,2785,1426,9,1.19,37.496540,126.957387,1358,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-83,-81.4,1426,269,1,12.00,1,0,-5.88,12.92,1399
21:53:15,11.416,295299,295298,0,0,1,37.496537,126.957399,0.71,102.2,1,102.2,1,101.9,0,1.02,14.69,12.53,0.9865,20.51,2.000,0,37951,0.715,1,102.5,"-5.85,4.89,12.56","-10.5,-4.8,-4.9","-39.450,9.150,13.200",6.78,13.18,0.00,0,2819,1445,9,0.92,37.496538,126.957398,1375,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-80,-77.6,1445,296,1,11.71,1,0,-5.88,12.92,1416
21:53:16,12.367,299945,299921,0,0,1,37.496532,126.957442,0.96,96.6,1,96.6,1,94.1,0,1.86,9.05,11.50,0.1126,20.00,1.975,0,38559,0.952,1,98.0,"-0.69,-8.91,1.43","-3.0,9.1,-6.4","-39.150,7.950,13.950",12.81,15.02,0.00,0,2864,1463,9,0.92,37.496532,126.957440,1398,2,2,0,-1.00,0.00,999.00,0.0,0,14,0,1,-78,-78.8,1463,31,1,12.00,1,0,-5.88,12.92,1433
