시각,경과초,시각ms,IMU시각ms,위험,차량위험,차량위험경과ms,RSU위험,RSU위험경과ms,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
22:11:29,0.634,111795,111783,0,0,108,0,-1,1,37.496532,126.957512,0.052,0.0,0.087,1,355.6,"-2.614,2.988,9.036","-0.008,-2.176,-0.031","-44.250,57.600,7.950",0,0.0,9.87,2.18,0.5807,999.00,0.000,0,12858,1012,8,1.08,37.496532,126.957509,343,0,1,0,-80,-80.2,1974,44,993
22:11:29,0.718,112416,112404,0,0,0,0,-1,1,37.496532,126.957512,0.038,0.0,0.036,1,355.6,"-2.437,2.749,8.916","-0.809,3.351,0.198","-43.500,56.400,9.000",0,0.0,9.64,3.45,0.5845,999.00,0.000,0,12932,1018,8,1.08,37.496531,126.957509,346,0,1,0,-79,-79.6,1986,0,999
22:11:30,1.411,112519,112507,0,0,5,0,-1,1,37.496532,126.957512,0.036,0.0,0.031,1,355.6,"-2.504,2.854,9.050","-0.221,-1.939,1.038","-45.000,57.900,8.400",0,0.0,9.81,2.21,0.5845,999.00,0.000,0,12944,1019,8,1.08,37.496531,126.957509,347,0,1,0,-80,-79.7,1988,5,1000
22:11:30,1.769,113141,113129,0,0,6,0,-1,1,37.496532,126.957512,0.040,0.0,0.041,1,355.6,"-2.614,2.859,8.964","-0.397,-3.237,0.107","-44.700,57.750,8.850",0,0.0,9.77,3.26,0.5755,999.00,0.000,0,13018,1025,8,1.08,37.496531,126.957509,350,0,1,0,-78,-78.7,1999,6,1006
22:11:30,1.851,113554,113542,0,0,6,0,-1,1,37.496532,126.957512,0.030,0.0,0.031,1,355.6,"-2.638,2.844,8.954","-0.710,-3.099,-0.191","-45.000,58.800,8.700",0,0.0,9.76,3.19,0.5731,999.00,0.000,0,13067,1029,8,1.08,37.496531,126.957510,352,0,1,0,-76,-77.1,2007,6,1010
22:11:31,2.006,113657,113645,0,0,3,0,-1,1,37.496532,126.957512,0.030,0.0,0.031,1,355.6,"-2.509,2.801,9.012","-2.000,-3.290,-1.443","-44.250,57.900,8.700",0,0.0,9.76,4.11,0.5819,999.00,0.000,0,13079,1030,8,1.08,37.496531,126.957510,352,0,1,0,-77,-77.1,2008,3,1010
22:11:31,2.537,113762,113750,0,0,108,0,-1,1,37.496532,126.957512,0.032,0.0,0.036,1,355.6,"-2.571,2.806,8.916","-0.840,-0.763,-2.611","-43.950,58.200,8.100",0,0.0,9.69,2.85,0.5764,999.00,0.000,0,13092,1031,8,1.08,37.496531,126.957510,353,0,1,0,-77,-77.0,2009,26,1011
22:11:31,2.616,114174,114162,0,0,3,0,-1,1,37.496532,126.957512,0.047,0.0,0.062,1,355.6,"-2.552,2.825,9.012","-1.679,1.107,0.588","-43.950,58.500,9.600",0,0.0,9.78,2.10,0.5795,999.00,0.000,0,13141,1035,8,1.08,37.496532,126.957511,355,0,1,0,-75,-76.2,2017,3,1015
22:11:31,2.732,114276,114264,0,0,5,0,-1,1,37.496532,126.957512,0.047,0.0,0.062,1,355.6,"-2.605,2.777,8.988","-1.115,0.588,-2.137","-45.000,56.400,9.000",0,0.0,9.76,2.48,0.5736,999.00,0.000,0,13153,1036,8,1.08,37.496532,126.957511,355,0,1,0,-74,-75.4,2019,5,1016
22:11:32,3.042,114379,114367,0,0,2,0,-1,1,37.496532,126.957512,0.056,0.0,0.072,1,355.6,"-2.571,2.878,8.839","0.733,-2.084,0.206","-44.550,59.550,9.000",0,0.0,9.65,2.22,0.5781,999.00,0.000,0,13165,1037,8,1.08,37.496532,126.957512,356,0,1,0,-74,-75.1,2021,2,1017
22:11:32,3.456,114791,114779,0,0,4,0,-1,1,37.496532,126.957512,0.043,0.0,0.026,1,355.6,"-2.447,2.835,8.897","-0.435,-1.534,0.687","-44.250,58.350,9.750",0,0.0,9.65,1.74,0.5866,999.00,0.000,0,13214,1041,8,1.35,37.496530,126.957512,358,0,1,0,-79,-76.0,2028,4,1020
22:11:32,3.519,115102,115090,0,0,7,0,-1,1,37.496529,126.957512,0.035,0.0,0.031,1,355.6,"-2.682,2.844,8.926","-0.038,0.649,1.260","-44.400,57.450,7.050",0,0.0,9.74,1.42,0.5695,999.00,0.000,0,13252,1044,8,1.35,37.496529,126.957511,360,0,1,0,-72,-75.5,2033,7,1023
22:11:32,3.521,115205,115193,0,0,4,0,-1,1,37.496529,126.957512,0.035,0.0,0.031,1,355.6,"-2.519,2.945,8.921","1.695,-1.099,1.176","-43.950,58.950,9.300",0,0.0,9.73,2.34,0.5852,999.00,0.000,0,13264,1045,8,1.35,37.496529,126.957511,360,0,1,0,-75,-74.9,2035,4,1024
22:11:32,3.624,115308,115296,0,0,107,0,-1,1,37.496529,126.957512,0.030,0.0,0.021,1,355.6,"-2.634,2.873,8.916","-2.527,-1.985,0.229","-42.750,57.600,8.400",0,0.0,9.73,3.22,0.5740,999.00,0.000,0,13276,1046,8,1.35,37.496528,126.957511,361,0,1,0,-75,-74.9,2036,83,1025
22:11:32,3.888,115413,115401,0,0,212,0,-1,1,37.496529,126.957512,0.030,0.0,0.021,1,355.6,"-2.720,2.691,8.887","-1.237,-1.313,1.511","-43.800,59.850,9.750",0,0.0,9.68,2.35,0.5606,999.00,0.000,0,13289,1047,8,1.35,37.496528,126.957511,361,0,1,0,-73,-74.5,2037,88,1026
22:11:33,4.254,115621,115609,0,0,8,0,-1,1,37.496529,126.957512,0.025,0.0,0.015,1,355.6,"-2.634,2.820,8.940","-0.786,-1.580,0.290","-44.250,57.900,9.450",0,0.0,9.74,1.79,0.5724,999.00,0.000,0,13314,1049,8,1.35,37.496527,126.957511,362,0,1,0,-76,-74.3,2042,8,1028
22:11:33,4.450,115930,115918,0,0,6,0,-1,1,37.496529,126.957512,0.073,0.0,0.139,1,355.6,"-2.782,2.840,8.988","-0.374,-2.725,0.061","-43.200,55.800,9.300",0,0.0,9.83,2.75,0.5625,999.00,0.000,0,13350,1052,8,1.08,37.496526,126.957511,364,0,1,0,-75,-74.4,2048,6,1031
22:11:34,5.002,116136,116124,0,0,106,0,-1,1,37.496525,126.957512,0.093,0.0,0.129,1,355.6,"-2.480,2.768,8.916","-1.756,-2.908,-2.061","-43.650,58.500,8.100",0,0.0,9.66,3.97,0.5819,999.00,0.000,0,13374,1054,8,1.08,37.496526,126.957511,365,0,1,0,-74,-74.3,2051,86,1033
22:11:34,5.015,116658,116646,0,0,93,0,-1,1,37.496525,126.957512,0.072,0.0,0.046,1,355.6,"-2.562,2.806,9.127","-1.137,2.191,0.061","-44.250,58.800,6.900",0,0.0,9.89,2.47,0.5793,999.00,0.000,0,13439,1059,8,1.08,37.496525,126.957511,367,0,1,0,-82,-78.7,2058,82,1037
22:11:34,5.273,116763,116751,0,0,198,0,-1,1,37.496525,126.957512,0.052,0.0,0.015,1,355.6,"-2.682,2.935,9.045","-0.084,-0.809,-0.122","-43.650,59.700,9.300",0,0.0,9.88,0.82,0.5740,999.00,0.000,0,13452,1060,8,1.08,37.496525,126.957511,368,0,1,0,-82,-78.7,2058,187,1037
22:11:34,5.574,117076,117064,0,0,106,0,-1,1,37.496525,126.957512,0.059,0.0,0.072,1,355.6,"-2.538,2.887,8.892","-3.214,0.679,-2.153","-45.150,57.450,8.100",0,0.0,9.69,3.93,0.5815,999.00,0.000,0,13491,1063,8,1.08,37.496524,126.957511,369,0,1,0,-73,-77.9,2062,89,1040
22:11:34,5.669,117285,117273,0,0,110,0,-1,1,37.496525,126.957512,0.060,0.0,0.057,1,355.6,"-2.547,2.777,8.964","-0.687,-1.672,0.511","-43.950,57.000,8.550",0,0.0,9.72,1.88,0.5777,999.00,0.000,0,13517,1065,8,1.08,37.496524,126.957511,371,0,1,0,-71,-75.2,2065,91,1042
22:11:35,6.068,117390,117378,0,0,215,0,-1,1,37.496525,126.957512,0.060,0.0,0.057,1,355.6,"-2.586,2.921,9.031","-0.954,-0.939,0.115","-44.550,58.800,7.650",0,0.0,9.84,1.34,0.5805,999.00,0.000,0,13530,1066,8,1.08,37.496524,126.957511,371,0,1,0,-71,-74.4,2066,95,1043
22:11:35,6.183,117806,117794,0,0,7,0,-1,1,37.496525,126.957512,0.044,0.0,0.010,1,355.6,"-2.629,2.820,8.892","-2.405,0.458,-1.038","-44.400,58.950,8.100",0,0.0,9.69,2.66,0.5723,999.00,0.000,0,13581,1070,8,1.08,37.496524,126.957512,373,0,1,0,-76,-72.3,2075,7,1047
22:11:35,6.467,117909,117897,0,0,110,0,-1,1,37.496525,126.957512,0.036,0.0,0.021,1,355.6,"-2.571,2.849,9.017","-0.588,0.237,-0.580","-43.800,57.900,8.700",0,0.0,9.80,0.86,0.5790,999.00,0.000,0,13593,1071,8,1.08,37.496524,126.957512,374,0,1,0,-74,-72.7,2076,84,1048
22:11:35,6.684,118222,118210,0,0,6,0,-1,1,37.496525,126.957512,0.036,0.0,0.036,1,355.6,"-2.519,2.969,8.902","-1.069,0.847,0.000","-44.700,58.200,8.100",0,0.0,9.72,1.36,0.5859,999.00,0.000,0,13631,1074,8,1.08,37.496523,126.957512,375,0,1,0,-73,-76.2,2082,6,1051
22:11:35,6.866,118432,118420,0,0,108,0,-1,1,37.496525,126.957512,0.049,0.0,0.072,1,355.6,"-2.519,2.710,8.935","0.344,0.389,-1.397","-43.950,56.550,9.300",0,0.0,9.67,1.49,0.5772,999.00,0.000,0,13657,1076,8,1.08,37.496524,126.957513,376,0,1,0,-76,-76.0,2085,90,1053
22:11:36,7.150,118640,118628,0,0,0,0,-1,1,37.496525,126.957512,0.041,0.0,0.026,1,355.6,"-2.629,2.887,8.830","-2.061,-1.565,0.328","-43.650,58.950,8.100",0,0.0,9.65,2.61,0.5739,999.00,0.000,0,13683,1078,8,1.08,37.496524,126.957513,377,0,1,0,-85,-78.1,2088,0,1054
22:11:36,7.318,118849,118837,0,0,6,0,-1,1,37.496525,126.957512,0.035,0.0,0.026,1,355.6,"-2.504,2.897,8.997","-2.656,0.313,-0.603","-44.400,58.500,10.050",0,0.0,9.78,2.74,0.5854,999.00,0.000,0,13709,1080,8,1.08,37.496524,126.957513,378,0,1,0,-78,-78.8,2091,6,1056
