시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
22:13:44,0.539,338134,338133,0,0,1,37.496512,126.957569,0.00,92.4,0,92.4,1,100.2,0,0.00,9.71,3.80,0.9999,22.46,2.126,0,41621,0.005,1,90.9,"-0.46,0.38,9.69","-1.3,1.5,-3.2","10.500,41.850,12.150",0.09,0.20,0.00,0,3210,2082,9,0.94,37.496513,126.957570,1646,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-78,-82.5,2082,131,1,12.00,1,0,-7.13,-5.77,2082
22:13:44,0.663,338647,338646,0,0,1,37.496512,126.957569,0.01,92.4,0,92.4,1,100.2,0,0.18,9.71,3.92,0.9995,22.29,2.122,0,41689,0.021,1,90.9,"-0.43,0.18,9.70","-0.1,1.1,-3.8","10.650,41.700,12.000",0.12,0.18,0.00,0,3215,2084,9,0.94,37.496514,126.957570,1648,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-82,-82.5,2084,125,1,12.00,1,0,-7.13,-5.77,2084
22:13:45,0.772,338752,338752,0,0,1,37.496512,126.957570,0.02,92.4,0,92.4,1,100.2,0,0.00,9.72,3.49,0.9999,21.58,2.090,0,41702,0.021,1,90.9,"-0.46,0.33,9.71","2.8,1.9,0.7","11.250,40.650,11.400",0.04,0.14,0.00,0,3216,2085,9,0.94,37.496514,126.957570,1649,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-83,-82.6,2085,21,1,12.00,1,0,-7.13,-5.77,2085
22:13:45,0.986,338858,338857,0,0,1,37.496512,126.957570,0.02,92.4,0,92.4,1,100.2,0,0.00,9.72,2.22,0.9999,20.80,2.128,0,41715,0.021,1,90.9,"-0.45,0.34,9.70","1.4,0.9,1.5","10.200,41.700,10.500",0.06,0.32,0.00,0,3217,2086,9,0.94,37.496514,126.957570,1649,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-81,-82.2,2086,26,1,12.00,1,0,-7.13,-5.77,2086
22:13:45,1.066,339068,339067,0,0,1,37.496513,126.957570,0.01,92.4,0,92.4,1,100.2,0,0.00,9.83,2.73,0.9999,21.71,2.129,0,41741,0.010,1,90.9,"-0.44,0.36,9.82","-1.7,-0.9,-2.0","10.050,41.850,11.400",0.12,0.17,0.00,0,3219,2087,9,0.94,37.496514,126.957571,1650,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-80,-81.8,2087,131,1,12.00,1,0,-7.13,-5.77,2087
22:13:46,2.500,339169,339168,0,0,1,37.496513,126.957570,0.02,92.4,0,92.4,1,100.2,0,0.00,9.58,3.19,0.9997,21.53,2.083,0,41755,0.026,1,90.9,"-0.42,0.24,9.57","0.4,0.6,-3.1","9.600,40.350,11.400",0.18,0.18,0.00,0,3220,2087,9,0.94,37.496515,126.957571,1651,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-80,-81.8,2087,232,1,12.00,1,0,-7.13,-5.77,2087
22:13:47,2.716,340630,340629,0,0,1,37.496514,126.957570,0.01,92.4,0,92.4,1,100.2,0,-0.07,7.94,12.39,0.9950,21.76,2.144,0,41941,0.000,1,90.9,"-1.15,0.41,7.85","-7.4,9.7,1.9","10.050,42.300,11.400",1.98,3.52,0.00,0,3234,2096,9,0.94,37.496518,126.957571,1658,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-80,-81.2,2096,31,1,12.00,1,0,-7.13,-5.77,2096
22:13:47,2.850,340837,340836,0,0,1,37.496515,126.957570,0.02,92.4,0,92.4,1,100.1,0,0.00,10.25,6.41,0.9924,22.39,2.100,0,41968,0.031,1,90.9,"-0.42,1.76,10.08","-4.2,-3.6,-3.3","13.050,41.100,12.150",1.29,3.82,0.00,0,3236,2097,9,0.94,37.496518,126.957571,1659,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-82,-81.4,2097,137,1,12.00,1,0,-7.13,-5.77,2097
22:13:47,3.120,340937,340936,0,0,1,37.496515,126.957570,0.08,92.4,0,92.4,1,100.2,0,0.13,11.39,11.98,0.9896,21.66,2.115,0,41982,0.139,1,90.9,"1.04,1.06,11.30","8.7,7.2,-3.9","10.500,41.400,11.400",2.10,3.88,0.00,0,3237,2097,9,0.94,37.496518,126.957570,1660,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-82,-81.4,2097,237,1,12.00,1,0,-7.13,-5.77,2097
22:13:47,3.283,341246,341245,0,0,1,37.496515,126.957570,0.16,92.4,0,92.4,1,100.3,0,0.00,16.71,3.11,1.0000,21.63,2.104,0,42020,0.247,1,90.9,"0.79,2.71,16.47","3.1,-0.0,0.1","10.500,42.300,10.950",6.87,6.87,0.00,0,3240,2099,9,0.94,37.496519,126.957570,1661,1,1,0,-1.00,0.00,999.00,0.0,0,83,0,1,-78,-80.6,2099,27,1,12.00,1,0,-7.13,-5.77,2099
