시각,경과초,시각ms,IMU시각ms,위험,차량위험,차량위험경과ms,RSU위험,RSU위험경과ms,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
22:15:23,0.188,346489,346477,0,0,4,0,-1,1,37.496544,126.957451,0.038,0.0,0.051,1,243.4,"-2.471,2.729,9.045","-1.779,-0.595,-1.519","9.450,81.150,-4.500",0,0.0,9.77,2.41,0.5826,999.00,0.000,0,40960,3277,8,1.09,37.496547,126.957452,1517,0,1,0,-81,-81.3,5780,4,2970
22:15:24,0.608,346592,346580,0,0,2,0,-1,1,37.496544,126.957451,0.038,0.0,0.051,1,243.4,"-2.490,2.658,9.122","-3.206,0.168,-1.130","10.050,80.700,-3.900",0,0.0,9.82,3.40,0.5793,999.00,0.000,0,40972,3278,8,1.09,37.496547,126.957452,1517,0,1,0,-82,-81.6,5782,2,2971
22:15:24,0.731,347006,346994,0,0,212,0,-1,1,37.496548,126.957451,0.025,0.0,0.010,1,243.4,"-2.437,2.672,9.012","-0.389,-2.328,4.008","9.300,81.000,-4.350",0,0.0,9.71,4.65,0.5827,999.00,0.000,0,41021,3282,8,1.09,37.496548,126.957454,1519,0,1,0,-81,-81.3,5788,30,2975
22:15:24,0.784,347110,347098,0,0,316,0,-1,1,37.496548,126.957451,0.024,0.0,0.021,1,243.4,"-2.495,2.710,9.017","0.557,0.000,-0.863","10.200,80.850,-4.800",0,0.0,9.74,1.03,0.5798,999.00,0.000,0,41034,3283,8,1.09,37.496549,126.957455,1520,0,1,0,-81,-81.3,5788,134,2975
22:15:24,0.902,347215,347203,0,0,4,0,-1,1,37.496548,126.957451,0.024,0.0,0.021,1,243.4,"-2.538,2.701,9.103","-0.794,-1.733,0.672","11.250,79.950,-4.350",0,0.0,9.83,2.02,0.5771,999.00,0.000,0,41047,3284,8,1.09,37.496549,126.957455,1520,0,1,0,-82,-81.4,5791,4,2976
22:15:24,1.028,347318,347306,0,0,107,0,-1,1,37.496548,126.957451,0.037,0.0,0.062,1,243.4,"-2.423,2.696,9.098","-3.611,-1.267,-0.023","9.300,79.950,-3.150",0,0.0,9.79,3.83,0.5855,999.00,0.000,0,41059,3285,8,1.09,37.496550,126.957456,1521,0,1,0,-83,-81.7,5792,32,2977
22:15:25,1.380,347423,347411,0,0,212,0,-1,1,37.496548,126.957451,0.037,0.0,0.062,1,243.4,"-2.595,2.691,9.060","-1.733,0.649,0.550","9.750,79.500,-2.850",0,0.0,9.80,1.93,0.5720,999.00,0.000,0,41072,3286,8,1.09,37.496550,126.957456,1521,0,1,0,-82,-81.8,5793,37,2978
22:15:25,1.388,347737,347725,0,0,104,0,-1,1,37.496552,126.957458,0.032,0.0,0.031,1,243.4,"-2.567,2.705,9.136","-2.160,-0.260,1.756","9.150,80.400,-3.450",0,0.0,9.87,2.80,0.5755,999.00,0.000,0,41111,3289,8,1.09,37.496551,126.957458,1523,0,1,0,-85,-83.1,5796,104,2980
22:15:25,1.827,347842,347830,0,0,209,0,-1,1,37.496552,126.957458,0.032,0.0,0.031,1,243.4,"-2.442,2.801,8.973","-0.534,-2.290,-0.924","9.300,80.700,-3.150",0,0.0,9.71,2.53,0.5866,999.00,0.000,0,41124,3290,8,1.09,37.496551,126.957458,1523,0,1,0,-84,-83.3,5797,44,2981
22:15:25,2.048,348155,348143,0,0,5,0,-1,1,37.496552,126.957458,0.050,0.0,0.067,1,243.4,"-2.365,2.854,8.988","0.298,0.771,-1.260","10.200,80.400,-3.750",0,0.0,9.72,1.51,0.5943,999.00,0.000,0,41162,3293,8,1.09,37.496553,126.957460,1525,0,1,0,-86,-84.1,5802,5,2984
