시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
22:15:24,0.472,437623,437622,0,0,1,37.496513,126.957585,0.02,91.4,0,91.4,1,98.1,0,0.00,9.62,1.85,0.9999,22.02,2.127,0,53798,0.015,1,91.9,"-0.36,0.40,9.61","0.6,0.1,1.7","11.250,41.850,11.700",0.21,0.21,0.00,0,4165,2829,8,1.23,37.496515,126.957587,2143,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-80,-80.5,2829,79,1,12.00,1,0,-7.13,-5.77,2829
22:15:24,0.599,437939,437938,0,0,1,37.496513,126.957585,0.03,91.4,0,91.4,1,98.0,0,0.00,9.71,2.66,0.9996,20.58,2.066,0,53837,0.036,1,91.9,"-0.46,0.21,9.69","0.2,0.7,-2.5","10.650,39.750,10.500",0.09,0.19,0.00,0,4168,2832,8,1.23,37.496515,126.957587,2145,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-80,-80.7,2832,87,1,12.00,1,0,-7.13,-5.77,2832
22:15:24,0.721,438039,438038,0,0,1,37.496513,126.957585,0.03,91.4,0,91.4,1,98.0,0,0.00,9.74,3.72,0.9996,20.22,2.047,0,53851,0.036,1,91.9,"-0.49,0.22,9.73","3.0,-0.1,2.1","11.250,39.150,10.200",0.07,0.22,0.00,0,4169,2832,8,1.23,37.496515,126.957587,2145,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-80,-80.7,2832,187,1,12.00,1,0,-7.13,-5.77,2832
22:15:24,0.892,438139,438138,0,0,1,37.496513,126.957585,0.02,91.4,0,91.4,1,98.1,0,0.00,9.79,1.12,0.9997,22.49,2.048,0,53865,0.015,1,91.9,"-0.49,0.24,9.77","-0.1,-0.0,-1.1","12.000,39.450,12.450",0.08,0.20,0.00,0,4170,2832,8,1.23,37.496515,126.957587,2146,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-80,-80.7,2832,287,1,12.00,1,0,-7.13,-5.77,2832
22:15:24,1.021,438349,438348,0,0,1,37.496513,126.957585,0.02,91.4,0,91.4,1,98.1,0,0.00,9.82,1.25,1.0000,20.92,2.073,0,53891,0.010,1,91.9,"-0.52,0.49,9.79","0.3,1.2,0.1","11.400,40.050,10.800",0.23,0.23,0.00,0,4172,2834,8,1.23,37.496515,126.957587,2147,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-81,-80.5,2834,80,1,12.00,1,0,-7.13,-5.77,2834
22:15:25,1.358,438449,438448,0,0,1,37.496513,126.957585,0.02,91.4,0,91.4,1,98.1,0,0.00,9.67,2.33,0.9996,21.05,2.068,0,53905,0.010,1,91.9,"-0.42,0.21,9.66","-0.3,1.8,-1.4","11.550,39.900,10.950",0.10,0.18,0.00,0,4173,2834,8,1.23,37.496515,126.957587,2147,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-81,-80.5,2834,180,1,12.00,1,0,-7.13,-5.77,2834
22:15:25,1.379,438760,438759,0,0,1,37.496514,126.957586,0.01,91.4,0,91.4,1,98.1,0,0.00,9.70,2.11,0.9998,22.64,2.085,0,53945,0.000,1,91.9,"-0.45,0.30,9.69","1.5,-1.1,-0.9","13.050,40.650,12.450",0.04,0.21,0.00,0,4176,2835,8,1.23,37.496515,126.957588,2149,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-84,-81.2,2835,73,1,12.00,1,0,-7.13,-5.77,2835
22:15:25,1.652,438861,438860,0,0,1,37.496514,126.957586,0.01,91.4,0,91.4,1,98.1,0,0.00,9.76,1.39,0.9995,22.41,2.068,0,53959,0.000,1,91.9,"-0.45,0.17,9.74","0.6,-0.7,-1.1","11.400,40.050,12.300",0.11,0.24,0.00,0,4177,2835,8,1.23,37.496515,126.957588,2149,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-84,-81.2,2835,174,1,12.00,1,0,-7.13,-5.77,2835
22:15:25,1.818,439167,439166,0,0,1,37.496514,126.957586,0.01,91.4,0,91.4,1,98.1,0,0.00,9.66,1.31,0.9997,21.67,2.070,0,54000,0.005,1,91.9,"-0.63,0.31,9.64","0.5,-1.2,0.0","12.600,40.050,11.550",0.17,0.17,0.00,0,4180,2836,8,1.23,37.496516,126.957588,2151,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-83,-81.5,2836,166,1,12.00,1,0,-7.13,-5.77,2836
22:15:25,1.938,439273,439272,0,0,1,37.496514,126.957586,0.01,91.4,0,91.4,1,98.1,0,0.00,9.81,1.69,0.9993,22.47,2.081,0,54013,0.005,1,91.9,"-0.48,0.13,9.80","1.6,-0.3,-0.5","12.600,40.500,12.300",0.17,0.18,0.00,0,4181,2837,8,1.23,37.496516,126.957588,2151,1,1,0,-1.00,0.00,999.00,0.0,0,109,0,1,-83,-81.8,2837,64,1,12.00,1,0,-7.13,-5.77,2837
