시각,경과초,시각ms,IMU시각ms,위험,차량위험,차량위험경과ms,RSU위험,RSU위험경과ms,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
16:39:13,0.182,107519,107507,0,0,7,0,-1,1,37.496422,126.958160,0.016,0.0,0.015,1,0.0,"-2.375,2.562,9.108","-2.595,-3.229,1.771","15.150,103.200,-39.300",0,0.0,9.75,4.51,0.5843,999.00,0.000,0,12370,970,8,1.19,37.496424,126.958160,366,0,1,0,-64,-62.4,1918,7,957
16:39:13,0.299,107623,107611,0,0,6,0,-1,1,37.496422,126.958160,0.016,0.0,0.015,1,0.0,"-2.246,2.729,9.021","-2.511,-1.489,-0.947","15.750,103.350,-39.000",0,0.0,9.69,3.07,0.5991,999.00,0.000,0,12383,971,8,1.19,37.496424,126.958160,366,0,1,0,-67,-64.0,1920,6,958
16:39:14,0.421,107728,107716,0,0,111,0,-1,1,37.496426,126.958160,0.025,0.0,0.041,1,0.0,"-2.433,2.533,9.026","-2.160,0.916,0.679","16.950,103.950,-39.300",0,0.0,9.69,2.44,0.5782,999.00,0.000,0,12396,972,8,1.19,37.496424,126.958160,367,0,1,0,-66,-64.4,1921,35,959
16:39:14,0.475,107832,107820,0,0,4,0,-1,1,37.496426,126.958160,0.016,0.0,0.000,1,0.0,"-2.318,2.466,9.031","0.153,-1.351,0.550","15.900,103.200,-37.800",0,0.0,9.64,1.47,0.5843,999.00,0.000,0,12409,973,8,1.19,37.496425,126.958160,368,0,1,0,-69,-65.8,1924,4,960
16:39:14,0.591,107937,107925,0,0,3,0,-1,1,37.496426,126.958160,0.016,0.0,0.000,1,0.0,"-2.394,2.543,9.060","-3.237,0.160,0.145","15.300,103.650,-38.700",0,0.0,9.71,3.24,0.5817,999.00,0.000,0,12422,974,8,1.19,37.496425,126.958160,368,0,1,0,-67,-66.2,1926,3,961
16:39:14,0.818,108041,108029,0,0,8,0,-1,1,37.496426,126.958160,0.016,0.0,0.015,1,0.0,"-2.423,2.600,9.184","-0.061,-0.397,0.221","15.450,102.750,-37.800",0,0.0,9.85,0.46,0.5828,999.00,0.000,0,12435,975,8,1.19,37.496425,126.958160,369,0,1,0,-68,-66.9,1928,8,962
16:39:14,0.942,108250,108238,0,0,6,0,-1,1,37.496426,126.958160,0.014,0.0,0.010,1,0.0,"-2.203,2.629,9.084","-1.947,-3.053,-1.069","16.950,103.500,-38.550",0,0.0,9.71,3.78,0.5993,999.00,0.000,0,12461,977,8,1.19,37.496425,126.958160,370,0,1,0,-68,-67.1,1932,6,964
16:39:14,1.123,108355,108343,0,0,5,0,-1,1,37.496426,126.958160,0.014,0.0,0.010,1,0.0,"-2.294,2.528,9.064","-1.435,-0.977,0.008","17.400,103.200,-38.850",0,0.0,9.69,1.74,0.5887,999.00,0.000,0,12474,978,8,1.19,37.496425,126.958160,370,0,1,0,-66,-66.9,1934,5,965
16:39:14,1.297,108564,108552,0,0,2,0,-1,1,37.496426,126.958160,0.011,0.0,0.005,1,0.0,"-2.380,2.610,9.213","0.649,-1.183,0.031","15.900,103.200,-38.550",0,0.0,9.87,1.35,0.5866,999.00,0.000,0,12500,980,8,1.19,37.496426,126.958161,371,0,1,0,-66,-66.2,1938,2,967
16:39:15,1.411,108773,108761,0,0,5,0,-1,1,37.496426,126.958160,0.016,0.0,0.026,1,0.0,"-2.500,2.662,9.146","-0.725,-1.725,0.389","15.750,102.900,-39.450",0,0.0,9.85,1.91,0.5790,999.00,0.000,0,12526,982,8,1.19,37.496426,126.958161,372,0,1,0,-66,-65.9,1942,5,969
16:39:15,1.518,108878,108866,0,0,3,0,-1,1,37.496426,126.958160,0.014,0.0,0.010,1,0.0,"-2.298,2.705,9.141","0.145,-2.542,-0.092","15.150,103.950,-38.850",0,0.0,9.81,2.55,0.5954,999.00,0.000,0,12539,983,8,1.19,37.496426,126.958161,373,0,1,0,-65,-65.7,1944,3,970
16:39:15,1.710,108983,108971,0,0,2,0,-1,1,37.496426,126.958160,0.014,0.0,0.010,1,0.0,"-2.332,2.605,9.041","-1.733,-0.519,0.008","14.700,103.500,-39.900",0,0.0,9.69,1.81,0.5884,999.00,0.000,0,12552,984,8,1.19,37.496426,126.958161,373,0,1,0,-66,-65.7,1946,2,971
16:39:15,2.015,109192,109180,0,0,6,0,-1,1,37.496426,126.958160,0.009,0.0,0.000,1,0.0,"-2.342,2.715,9.131","-0.908,-0.947,0.595","14.550,100.950,-39.450",0,0.0,9.81,1.44,0.5924,999.00,0.000,0,12578,986,8,1.19,37.496427,126.958162,374,0,1,0,-65,-65.7,1950,6,973
16:39:15,2.190,109506,109494,0,0,2,0,-1,1,37.496426,126.958160,0.012,0.0,0.015,1,0.0,"-2.365,2.643,9.112","-1.176,-2.489,1.344","16.200,102.300,-39.600",0,0.0,9.78,3.06,0.5880,999.00,0.000,0,12617,989,8,1.19,37.496428,126.958162,376,0,1,0,-66,-65.5,1956,2,976
16:39:16,2.370,109610,109598,0,0,7,0,-1,1,37.496426,126.958160,0.012,0.0,0.015,1,0.0,"-2.356,2.720,8.983","1.733,-0.504,0.687","15.000,101.850,-39.450",0,0.0,9.68,1.93,0.5903,999.00,0.000,0,12630,990,8,1.19,37.496428,126.958162,376,0,1,0,-64,-65.0,1958,7,977
16:39:16,2.546,109819,109807,0,0,109,0,-1,1,37.496429,126.958160,0.008,0.0,0.000,1,0.0,"-2.346,2.662,9.041","1.969,-0.260,1.954","15.450,101.550,-39.600",0,0.0,9.71,2.79,0.5894,999.00,0.000,0,12656,992,8,1.19,37.496429,126.958163,377,0,1,0,-64,-64.5,1961,41,979
16:39:16,2.551,109924,109912,0,0,8,0,-1,1,37.496429,126.958160,0.010,0.0,0.015,1,0.0,"-2.365,2.591,9.031","-1.351,0.786,-1.145","16.050,104.550,-39.000",0,0.0,9.69,1.94,0.5853,999.00,0.000,0,12669,993,8,1.19,37.496429,126.958163,378,0,1,0,-63,-64.0,1963,8,979
16:39:16,2.772,110028,110016,0,0,112,0,-1,1,37.496429,126.958160,0.016,0.0,0.026,1,0.0,"-2.251,2.653,9.045","0.198,-0.588,-2.794","16.050,103.350,-39.750",0,0.0,9.69,2.86,0.5963,999.00,0.000,0,12682,994,8,1.19,37.496429,126.958163,379,0,1,0,-63,-63.8,1964,44,980
16:39:16,2.831,110133,110121,0,0,4,0,-1,1,37.496429,126.958160,0.016,0.0,0.026,1,0.0,"-2.255,2.619,9.108","-1.718,0.718,-0.771","16.650,102.000,-38.550",0,0.0,9.74,2.01,0.5952,999.00,0.000,0,12695,995,8,1.19,37.496429,126.958163,379,0,1,0,-63,-63.4,1967,4,981
