시각,경과초,시각ms,IMU시각ms,위험,차량위험,차량위험경과ms,RSU위험,RSU위험경과ms,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
16:42:43,0.209,317057,317045,0,0,5,0,-1,1,37.496433,126.958199,0.077,0.0,0.046,1,0.0,"-2.351,2.638,9.055","-3.168,-0.191,0.023","9.900,102.300,-43.650",0,0.0,9.72,3.17,0.5884,999.00,0.000,0,37117,3000,8,1.13,37.496434,126.958196,1414,0,1,0,-66,-66.2,5907,5,2947
16:42:43,0.266,317160,317148,0,0,2,0,-1,1,37.496433,126.958199,0.077,0.0,0.046,1,0.0,"-2.365,2.662,9.131","-0.573,-1.252,0.275","7.800,102.900,-45.300",0,0.0,9.80,1.40,0.5888,999.00,0.000,0,37129,3001,8,1.13,37.496434,126.958196,1414,0,1,0,-67,-66.5,5909,2,2948
16:42:43,0.371,317263,317251,0,0,105,0,-1,1,37.496433,126.958199,0.083,0.0,0.093,1,0.0,"-2.365,2.734,9.007","-0.008,-2.695,-2.435","9.300,101.850,-44.550",0,0.0,9.71,3.63,0.5903,999.00,0.000,0,37141,3002,9,1.13,37.496435,126.958196,1415,0,1,0,-66,-66.4,5910,91,2949
16:42:43,0.496,317368,317356,0,0,6,0,-1,1,37.496433,126.958199,0.083,0.0,0.093,1,0.0,"-2.207,2.653,9.098","0.252,-1.595,0.115","10.650,102.300,-46.200",0,0.0,9.73,1.62,0.5999,999.00,0.000,0,37154,3003,9,1.13,37.496435,126.958196,1415,0,1,0,-66,-66.6,5913,7,2950
16:42:43,0.550,317471,317459,0,0,3,0,-1,1,37.496433,126.958199,0.083,0.0,0.082,1,0.0,"-2.399,2.667,9.131","-0.634,1.481,-3.420","9.900,102.300,-44.700",0,0.0,9.81,3.78,0.5865,999.00,0.000,0,37166,3004,9,1.13,37.496435,126.958196,1416,0,1,0,-66,-66.4,5915,4,2951
16:42:43,0.766,317574,317562,0,0,106,0,-1,1,37.496433,126.958199,0.083,0.0,0.082,1,0.0,"-2.342,2.490,9.141","0.466,-0.817,0.786","10.800,102.600,-44.550",0,0.0,9.76,1.23,0.5844,999.00,0.000,0,37178,3005,9,1.13,37.496435,126.958196,1416,0,1,0,-66,-66.3,5916,87,2952
16:42:44,1.101,317679,317667,0,0,1,0,-1,1,37.496433,126.958199,0.081,0.0,0.077,1,0.0,"-2.404,2.552,9.031","-0.130,-0.939,-0.160","9.750,101.400,-44.550",0,0.0,9.69,0.96,0.5811,999.00,0.000,0,37191,3006,9,1.13,37.496435,126.958197,1417,0,1,0,-67,-66.7,5919,1,2953
16:42:44,1.183,317988,317976,0,0,5,0,-1,1,37.496437,126.958199,0.058,0.0,0.015,1,0.0,"-2.289,2.658,9.127","-1.519,1.153,-0.626","11.250,101.850,-46.050",0,0.0,9.78,2.01,0.5943,999.00,0.000,0,37227,3009,9,1.13,37.496436,126.958197,1418,0,1,0,-68,-67.9,5925,5,2956
16:42:44,1.185,318091,318079,0,0,2,0,-1,1,37.496437,126.958199,0.052,0.0,0.041,1,0.0,"-2.399,2.648,9.041","-1.611,-1.031,-2.053","8.700,102.300,-44.400",0,0.0,9.72,2.81,0.5850,999.00,0.000,0,37239,3010,9,1.13,37.496436,126.958198,1419,0,1,0,-68,-68.2,5927,2,2957
16:42:44,1.300,318194,318182,0,0,105,0,-1,1,37.496437,126.958199,0.052,0.0,0.041,1,0.0,"-2.188,2.514,9.103","-1.634,-2.534,0.015","10.950,102.300,-43.950",0,0.0,9.69,3.02,0.5963,999.00,0.000,0,37251,3011,9,1.13,37.496436,126.958198,1419,0,1,0,-74,-69.4,5928,79,2958
16:42:44,1.414,318298,318286,0,0,3,0,-1,1,37.496437,126.958199,0.054,0.0,0.057,1,0.0,"-2.308,2.686,9.127","-1.672,-0.947,0.389","11.250,100.200,-43.050",0,0.0,9.79,1.96,0.5939,999.00,0.000,0,37264,3012,9,1.13,37.496436,126.958198,1420,0,1,0,-71,-69.9,5931,3,2959
16:42:44,1.598,318401,318389,0,0,106,0,-1,1,37.496437,126.958199,0.054,0.0,0.057,1,0.0,"-2.375,2.543,9.069","-1.115,-0.924,-1.405","11.250,101.400,-43.500",0,0.0,9.71,2.02,0.5832,999.00,0.000,0,37276,3013,9,1.13,37.496436,126.958198,1420,0,1,0,-73,-70.5,5932,72,2960
16:42:44,1.728,318506,318494,0,0,211,0,-1,1,37.496437,126.958199,0.074,0.0,0.113,1,0.0,"-2.409,2.591,9.002","-1.420,-2.076,-1.336","12.300,102.150,-42.300",0,0.0,9.67,2.85,0.5818,999.00,0.000,0,37289,3014,9,1.13,37.496436,126.958200,1421,0,1,0,-76,-71.6,5933,78,2961
16:42:44,1.782,318610,318598,0,0,315,0,-1,1,37.496437,126.958199,0.074,0.0,0.113,1,0.0,"-2.418,2.734,9.088","-1.084,-1.542,-0.832","10.500,101.850,-42.750",0,0.0,9.79,2.06,0.5871,999.00,0.000,0,37302,3015,9,1.13,37.496436,126.958200,1421,0,1,0,-72,-71.7,5934,83,2962
16:42:45,1.896,318714,318702,0,0,3,0,-1,1,37.496437,126.958199,0.056,0.0,0.021,1,0.0,"-2.241,2.519,9.069","0.870,-0.534,-0.519","11.250,99.150,-43.050",0,0.0,9.68,1.15,0.5923,999.00,0.000,0,37315,3016,9,1.13,37.496436,126.958200,1422,0,1,0,-68,-70.6,5937,3,2963
16:42:45,2.132,318816,318804,0,0,4,0,-1,1,37.496437,126.958199,0.056,0.0,0.021,1,0.0,"-2.437,2.634,9.136","-0.954,-2.748,-0.076","11.550,100.650,-44.850",0,0.0,9.82,2.91,0.5825,999.00,0.000,0,37327,3017,9,1.13,37.496436,126.958200,1422,0,1,0,-68,-69.3,5939,4,2964
16:42:45,2.205,319021,319009,0,0,109,0,-1,1,37.496437,126.958199,0.060,0.0,0.067,1,0.0,"-2.409,2.682,8.993","-0.458,-4.382,-0.542","12.300,98.700,-44.100",0,0.0,9.69,4.44,0.5850,999.00,0.000,0,37351,3019,9,1.13,37.496435,126.958200,1423,0,1,0,-68,-68.6,5942,70,2966
16:42:45,2.417,319126,319114,0,0,103,0,-1,1,37.496437,126.958199,0.053,0.0,0.041,1,0.0,"-2.385,2.624,9.079","-0.458,-1.634,1.473","14.700,98.100,-43.200",0,0.0,9.75,2.25,0.5856,999.00,0.000,0,37364,3020,9,1.13,37.496435,126.958200,1424,0,1,0,-69,-69.1,5944,66,2967
16:42:45,2.546,319437,319425,0,0,5,0,-1,1,37.496433,126.958199,0.092,0.0,0.170,1,0.0,"-2.279,2.543,9.160","0.298,-2.618,-3.008","16.200,99.300,-40.650",0,0.0,9.78,4.00,0.5911,999.00,0.000,0,37402,3023,9,1.13,37.496433,126.958200,1426,0,1,0,-68,-67.7,5951,5,2970
16:42:45,2.667,319540,319528,0,0,108,0,-1,1,37.496433,126.958199,0.092,0.0,0.170,1,0.0,"-2.231,2.691,9.069","0.115,-1.550,1.000","16.800,99.450,-41.250",0,0.0,9.72,1.85,0.5992,999.00,0.000,0,37414,3024,9,1.13,37.496433,126.958200,1426,0,1,0,-68,-67.8,5952,61,2971
16:42:45,2.729,319644,319632,0,0,7,0,-1,1,37.496433,126.958199,0.083,0.0,0.067,1,0.0,"-2.298,2.715,9.079","0.557,0.947,1.229","15.450,100.500,-39.300",0,0.0,9.75,1.65,0.5952,999.00,0.000,0,37427,3025,9,1.24,37.496432,126.958199,1427,0,1,0,-68,-67.8,5955,7,2972
16:42:46,2.898,319747,319735,0,0,4,0,-1,1,37.496433,126.958199,0.083,0.0,0.067,1,0.0,"-2.332,2.533,9.103","-3.160,1.687,1.420","15.450,100.500,-41.100",0,0.0,9.73,3.85,0.5864,999.00,0.000,0,37439,3026,9,1.24,37.496432,126.958199,1427,0,1,0,-70,-68.2,5957,4,2973
16:42:46,2.973,319849,319837,0,0,6,0,-1,1,37.496433,126.958199,0.112,0.0,0.165,1,0.0,"-2.389,2.552,9.093","-2.099,2.191,1.802","17.700,99.600,-41.100",0,0.0,9.74,3.53,0.5827,999.00,0.000,0,37451,3027,9,1.24,37.496431,126.958199,1428,0,1,0,-73,-69.6,5959,6,2974
16:42:46,3.090,319952,319940,0,0,3,0,-1,1,37.496433,126.958199,0.112,0.0,0.165,1,0.0,"-2.461,2.605,9.098","-2.450,-0.595,-1.412","15.000,99.450,-41.250",0,0.0,9.78,2.89,0.5793,999.00,0.000,0,37463,3028,9,1.24,37.496431,126.958199,1428,0,1,0,-77,-72.0,5961,3,2975
16:42:46,3.265,320055,320043,0,0,6,0,-1,1,37.496433,126.958199,0.098,0.0,0.072,1,0.0,"-2.442,2.643,9.084","-1.000,1.855,0.580","18.000,100.200,-41.550",0,0.0,9.77,2.19,0.5820,999.00,0.000,0,37475,3029,9,1.24,37.496431,126.958198,1429,0,1,0,-68,-71.0,5963,6,2976
16:42:46,3.322,320158,320146,0,0,3,0,-1,1,37.496433,126.958199,0.098,0.0,0.072,1,0.0,"-2.303,2.672,9.069","0.611,-2.206,1.626","16.650,101.550,-41.850",0,0.0,9.73,2.81,0.5932,999.00,0.000,0,37487,3030,9,1.24,37.496431,126.958198,1429,0,1,0,-66,-69.5,5965,3,2977
16:42:46,3.398,320261,320249,0,0,106,0,-1,1,37.496429,126.958199,0.094,0.0,0.087,1,0.0,"-2.298,2.576,9.199","-0.084,-0.160,-0.412","16.800,100.950,-39.750",0,0.0,9.83,0.45,0.5912,999.00,0.000,0,37499,3031,9,1.24,37.496430,126.958197,1430,0,1,0,-64,-68.4,5966,65,2978
16:42:46,3.731,320365,320353,0,0,210,0,-1,1,37.496429,126.958199,0.094,0.0,0.087,1,0.0,"-2.471,2.696,9.285","-2.489,-0.672,-1.336","15.750,101.850,-38.700",0,0.0,9.98,2.90,0.5837,999.00,0.000,0,37512,3032,9,1.24,37.496430,126.958197,1430,0,1,0,-63,-67.3,5967,63,2979
16:42:47,3.863,320676,320664,0,0,2,0,-1,1,37.496429,126.958199,0.080,0.0,0.057,1,0.0,"-2.270,2.614,9.084","-0.160,-2.679,-0.092","15.900,101.550,-41.100",0,0.0,9.72,2.69,0.5938,999.00,0.000,0,37549,3035,9,1.24,37.496429,126.958196,1432,0,1,0,-68,-66.0,5974,2,2982
16:42:47,3.983,320779,320767,0,0,105,0,-1,1,37.496429,126.958199,0.080,0.0,0.057,1,0.0,"-2.356,2.595,9.064","-2.191,-0.626,0.206","15.000,102.600,-39.000",0,0.0,9.72,2.29,0.5865,999.00,0.000,0,37561,3036,9,1.24,37.496429,126.958196,1432,0,1,0,-65,-65.8,5975,60,2983
16:42:47,4.051,320884,320872,0,0,2,0,-1,1,37.496429,126.958199,0.100,0.0,0.139,1,0.0,"-2.380,2.629,9.127","-0.229,-2.893,-0.489","15.000,102.900,-39.450",0,0.0,9.79,2.94,0.5865,999.00,0.000,0,37574,3037,9,1.24,37.496430,126.958195,1433,0,1,0,-64,-65.3,5978,2,2984
