시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
16:42:43,0.262,441624,441600,0,0,1,37.496300,126.958253,0.01,292.1,0,292.1,1,161.6,1,0.00,9.77,1.95,0.9993,4.42,0.742,16652,37058,0.000,1,292.5,"-0.34,0.85,9.73","1.4,-1.3,0.3","-8.400,-14.550,-8.250",0.10,0.17,0.00,0,4197,3519,9,1.02,37.496298,126.958257,2118,2,1,0,14.88,0.00,999.00,70.0,0,0,0,0,-66,-65.7,3519,27,3,3.79,1,0,-5.27,-0.03,3512
16:42:43,0.481,441837,441813,0,0,1,37.496300,126.958253,0.01,292.1,0,292.1,1,161.5,1,0.00,9.83,0.84,0.9991,3.22,0.794,16673,37058,0.005,1,292.5,"-0.23,0.84,9.79","0.8,0.3,0.0","-9.300,-13.050,-7.200",0.13,0.14,0.00,0,4199,3521,9,1.02,37.496298,126.958258,2119,2,1,0,14.88,0.00,999.00,70.0,0,0,0,0,-66,-66.0,3521,25,3,3.89,1,0,-5.27,-0.03,3514
16:42:43,0.603,442037,442036,0,0,1,37.496300,126.958254,0.02,292.1,0,292.1,1,161.6,1,-0.11,9.74,3.87,0.9993,3.50,0.822,16697,37058,0.036,1,292.5,"-0.23,0.78,9.71","2.5,-1.1,2.7","-10.200,-12.900,-7.500",0.06,0.13,0.00,0,4201,3523,9,1.02,37.496298,126.958258,2120,2,1,0,14.88,0.00,999.00,70.0,0,0,0,0,-66,-66.1,3523,25,3,3.95,1,0,-5.27,-0.03,3516
16:42:44,0.830,442153,442129,0,0,1,37.496300,126.958254,0.02,292.1,0,292.1,1,161.4,1,0.13,9.74,3.85,0.9991,4.55,0.824,16710,37058,0.036,1,292.5,"-0.21,0.82,9.71","-0.2,-1.5,-3.6","-10.200,-12.900,-8.550",0.08,0.22,0.00,0,4202,3524,9,1.02,37.496298,126.958258,2120,2,1,0,14.88,0.00,999.00,70.0,0,0,0,0,-65,-65.9,3524,30,3,3.87,1,0,-5.27,-0.03,3517
16:42:44,1.164,442247,442246,0,0,1,37.496300,126.958254,0.02,292.1,0,292.1,1,161.2,1,0.00,9.58,3.01,0.9993,4.06,0.765,16721,37058,0.015,1,292.5,"-0.27,0.79,9.54","2.6,0.1,1.6","-8.850,-13.950,-7.950",0.16,0.16,0.00,0,4203,3525,9,1.18,37.496298,126.958258,2121,2,1,0,14.88,0.00,999.00,70.0,0,0,0,0,-66,-65.9,3525,26,3,3.87,1,0,-5.27,-0.03,3518
16:42:44,1.237,442665,442664,0,0,1,37.496299,126.958255,0.02,292.1,0,292.1,1,161.4,1,-1.12,9.81,3.60,0.9995,3.18,0.757,16772,37058,0.015,1,292.5,"-0.30,0.75,9.78","0.2,0.2,3.6","-8.700,-14.100,-7.050",0.09,0.21,0.00,0,4207,3529,9,1.02,37.496298,126.958259,2123,2,1,0,15.30,0.00,999.00,70.0,0,0,0,0,-67,-66.4,3529,34,3,4.06,1,0,-5.27,-0.03,3522
16:42:44,1.296,442771,442770,0,0,1,37.496299,126.958255,0.02,292.1,0,292.1,1,161.4,1,0.00,9.74,2.46,0.9991,1.83,0.794,16785,37058,0.015,1,292.5,"-0.16,0.79,9.71","2.2,-1.0,-0.7","-10.050,-13.950,-5.700",0.13,0.16,0.00,0,4208,3530,9,1.02,37.496298,126.958259,2123,2,1,0,15.30,0.00,999.00,70.0,0,0,0,0,-69,-66.9,3530,31,3,4.26,1,0,-5.27,-0.03,3523
16:42:44,1.480,442875,442874,0,0,1,37.496299,126.958255,0.03,292.1,0,292.1,1,161.5,1,0.00,9.75,1.68,0.9996,3.32,0.746,16796,37058,0.041,1,292.5,"-0.33,0.71,9.72","0.3,-1.5,-0.7","-9.150,-15.300,-7.050",0.09,0.20,0.00,0,4209,3531,9,1.02,37.496298,126.958259,2124,2,1,0,15.30,0.00,999.00,70.0,0,0,0,0,-70,-67.6,3531,37,3,4.52,1,0,-5.27,-0.03,3524
16:42:44,1.714,442975,442974,0,0,1,37.496299,126.958255,0.03,292.1,0,292.1,1,161.5,1,0.00,9.62,1.96,0.9992,2.80,0.783,16810,37058,0.041,1,292.5,"-0.20,0.77,9.59","0.5,0.8,-1.7","-9.150,-13.350,-6.750",0.14,0.20,0.00,0,4210,3531,9,1.02,37.496298,126.958259,2124,2,1,0,15.30,0.00,999.00,70.0,0,0,0,0,-70,-67.6,3531,137,3,4.52,1,0,-5.27,-0.03,3524
16:42:45,1.835,443183,443182,0,0,1,37.496299,126.958256,0.02,292.1,0,292.1,1,161.5,1,0.00,9.77,3.39,0.9991,2.39,0.848,16837,37058,0.005,1,292.5,"-0.29,0.86,9.73","-2.1,1.3,-2.3","-10.800,-12.300,-6.450",0.08,0.18,0.00,0,4212,3532,9,1.02,37.496297,126.958260,2126,2,1,0,15.30,0.00,999.00,70.0,0,0,0,0,-70,-68.0,3532,33,3,4.74,1,0,-5.27,-0.03,3525
