시각,경과초,시각ms,IMU시각ms,위험,차량위험,차량위험경과ms,RSU위험,RSU위험경과ms,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
15:48:56,0.108,4898020,4898008,0,0,-1,0,4068953,1,37.496643,126.957588,0.032,296.4,0.015,1,262.2,"6.273,4.137,6.574","-12.229,-12.802,1.183","-79.050,59.550,-17.850",1,296.4,9.98,17.74,0.9942,6.14,1.113,3330,604994,46798,9,0.97,37.496642,126.957585,4653,62,68,4,-74,-73.4,41126,46,41126
15:48:57,0.178,4898126,4898114,0,0,-1,0,4069059,1,37.496643,126.957588,0.032,296.4,0.031,1,262.2,"6.239,4.137,6.201","-0.817,-1.924,-0.038","-78.750,59.850,-18.600",1,296.4,9.72,2.09,0.9948,5.63,1.113,3343,604994,46799,9,0.97,37.496642,126.957585,4654,62,68,4,-76,-74.0,41127,50,41127
15:48:57,0.259,4898231,4898219,0,0,-1,0,4069164,1,37.496643,126.957588,0.032,296.4,0.031,1,262.2,"6.144,4.243,5.986","0.489,0.672,-0.893","-79.800,60.300,-17.550",1,296.4,9.57,1.22,0.9960,7.14,1.120,3356,604994,46800,9,0.97,37.496642,126.957585,4654,62,68,4,-78,-74.8,41128,53,41128
15:48:57,0.380,4898337,4898325,0,0,-1,0,4069270,1,37.496643,126.957588,0.026,296.4,0.015,1,262.2,"6.330,4.147,5.808","-2.061,-6.947,1.229","-80.250,60.150,-18.000",1,296.4,9.54,7.35,0.9936,7.03,1.142,3369,604994,46801,9,0.97,37.496642,126.957586,4655,62,68,4,-73,-74.4,41129,60,41129
15:48:57,0.580,4898443,4898430,0,0,-1,0,4069376,1,37.496643,126.957588,0.020,296.5,0.010,1,262.2,"6.268,4.037,5.866","-1.328,0.832,1.282","-77.700,59.700,-18.450",1,296.5,9.49,2.03,0.9933,5.05,1.083,3382,604994,46802,9,0.97,37.496643,126.957586,4656,62,68,4,-70,-73.5,41130,64,41130
15:48:57,0.708,4898548,4898536,0,0,-1,0,4069481,1,37.496643,126.957588,0.020,296.6,0.010,1,262.2,"6.369,4.013,6.053","-1.954,-0.977,-1.313","-77.400,58.950,-18.000",1,296.6,9.66,2.55,0.9926,4.80,1.076,3395,604994,46803,9,0.97,37.496643,126.957586,4656,62,68,4,-73,-73.4,41131,69,41131
15:48:57,1.070,4898653,4898641,0,0,-1,0,4069586,1,37.496643,126.957588,0.020,296.5,0.021,1,262.2,"6.402,3.970,6.282","0.252,-0.382,-1.427","-80.250,57.900,-19.650",1,296.5,9.81,1.50,0.9921,4.86,1.193,3408,604994,46804,9,0.97,37.496643,126.957587,4657,62,68,4,-77,-74.1,41132,73,41132
15:48:58,1.187,4899076,4899064,0,0,-1,0,4070009,1,37.496643,126.957588,0.020,296.6,0.010,1,262.2,"7.154,3.208,5.727","-1.580,7.885,-0.244","-77.550,60.300,-20.400",1,296.6,9.71,8.05,0.9712,5.13,1.101,3456,604998,46808,8,1.16,37.496643,126.957588,4659,62,68,4,-81,-75.3,41136,79,41136
15:48:58,1.316,4899182,4899170,0,0,-1,0,4070115,1,37.496643,126.957588,0.020,296.5,0.010,1,262.2,"5.866,5.219,11.114","69.351,77.145,-21.137","-78.150,58.200,-16.200",1,296.5,13.61,105.87,0.9724,4.29,1.101,3457,605010,46809,8,1.16,37.496643,126.957588,4659,62,68,4,-70,-74.3,41137,84,41137
15:48:58,1.504,4899287,4899275,0,0,-1,0,4070220,1,37.496643,126.957588,0.020,296.5,0.021,1,262.2,"4.860,2.495,7.762","-14.076,12.328,9.618","-76.950,57.450,-13.200",1,296.5,9.49,21.04,0.9506,4.29,1.101,3457,605023,46810,9,1.16,37.496643,126.957588,4660,62,68,4,-73,-74.0,41138,87,41138
15:48:58,1.572,4899499,4899487,0,0,-1,0,4070432,1,37.496643,126.957588,0.062,296.5,0.139,1,262.2,"5.578,3.419,7.968","-9.847,2.321,13.183","-76.800,57.600,-10.200",1,296.5,10.31,16.62,0.9739,4.29,1.101,3457,605049,46812,9,1.16,37.496644,126.957588,4661,62,68,4,-70,-72.4,41140,98,41140
15:48:58,1.707,4899605,4899593,0,0,-1,0,4070538,1,37.496643,126.957588,0.062,289.6,0.139,1,262.2,"5.440,4.266,6.206","32.046,18.374,13.603","-74.700,54.750,-8.100",1,289.6,9.29,39.36,0.9982,7.66,0.953,3467,605052,46813,9,1.16,37.496644,126.957588,4661,62,68,4,-70,-72.4,41140,204,41140
15:48:58,1.832,4899711,4899699,0,0,-1,0,4070644,1,37.496643,126.957588,0.118,288.1,0.221,1,262.2,"5.315,4.568,6.129","19.489,-4.099,14.580","-75.150,57.750,-8.100",1,288.1,9.31,24.68,0.9995,9.38,0.908,3474,605058,46814,9,1.16,37.496643,126.957588,4662,62,68,4,-68,-71.5,41141,102,41141
15:48:58,1.908,4899816,4899804,0,0,-1,0,4070749,1,37.496643,126.957588,0.118,286.8,0.221,1,262.2,"6.608,3.850,6.809","18.137,-21.641,7.992","-76.050,54.150,-10.200",1,286.8,10.24,29.35,0.9887,6.77,1.016,3487,605058,46815,9,1.16,37.496643,126.957588,4662,62,68,4,-67,-70.6,41142,101,41142
15:48:59,2.158,4899922,4899910,0,0,-1,0,4070855,1,37.496643,126.957588,0.212,286.0,0.386,1,262.2,"4.554,5.004,4.583","38.763,4.290,12.962","-76.950,55.800,-11.400",1,286.0,8.17,41.10,0.9916,7.31,1.022,3496,605062,46816,9,1.16,37.496643,126.957587,4663,62,68,4,-68,-70.1,41143,104,41143
15:48:59,2.259,4900133,4900121,0,0,-1,0,4071066,1,37.496643,126.957588,0.238,285.3,0.288,1,262.2,"2.394,1.753,7.858","-78.511,-19.885,-24.290","-75.450,57.450,-9.600",1,285.3,8.40,84.55,0.9931,9.69,0.910,3503,605081,46818,8,1.77,37.496645,126.957586,4664,62,68,4,-72,-70.0,41145,98,41145
15:48:59,2.326,4900238,4900226,0,0,-1,0,4071171,1,37.496643,126.957588,0.238,285.3,0.288,1,262.2,"3.859,2.121,5.492","-24.481,-8.908,-32.687","-75.300,54.450,-12.000",1,285.3,7.04,41.80,0.9673,9.69,0.910,3503,605094,46819,8,1.77,37.496645,126.957586,4664,62,68,4,-68,-69.6,41146,103,41146
15:48:59,2.441,4900344,4900332,0,0,-1,0,4071277,1,37.496643,126.957588,0.232,284.6,0.221,1,262.2,"6.474,5.076,7.992","18.565,25.763,-20.206","-75.300,59.100,-9.750",1,284.6,11.47,37.64,0.9957,9.05,0.905,3513,605097,46820,9,1.77,37.496644,126.957586,4665,62,68,4,-70,-69.7,41148,3,41148
15:48:59,2.511,4900449,4900437,0,0,-1,0,4071382,1,37.496643,126.957588,0.295,284.6,0.412,1,262.2,"5.847,2.768,8.001","-26.817,-24.267,13.840","-76.050,58.800,-10.950",1,284.6,10.29,38.72,0.9610,8.61,0.886,3514,605109,46821,9,1.79,37.496645,126.957585,4666,62,68,4,-76,-71.0,41149,13,41149
15:48:59,2.632,4900555,4900543,0,0,-1,0,4071488,1,37.496643,126.957588,0.295,284.6,0.412,1,262.2,"5.488,2.547,8.361","15.809,41.206,57.954","-75.450,55.500,-8.100",1,284.6,10.32,72.85,0.9701,8.61,0.886,3514,605122,46822,9,1.79,37.496645,126.957585,4666,62,68,4,-67,-70.2,41150,19,41150
15:48:59,2.708,4900660,4900648,0,0,-1,0,4071593,1,37.496643,126.957588,0.363,284.6,0.489,1,262.2,"6.488,4.113,4.975","60.237,19.214,57.275","-74.550,50.700,-7.650",1,284.6,9.15,85.31,0.9701,8.61,0.886,3514,605135,46823,9,1.79,37.496644,126.957583,4667,62,68,4,-76,-71.4,41151,23,41151
15:48:59,2.948,4900766,4900754,0,0,-1,0,4071699,1,37.496643,126.957581,0.363,284.6,0.489,1,262.2,"5.406,4.501,6.096","28.656,4.588,54.641","-73.050,49.950,-3.600",1,284.6,9.31,61.87,0.9701,8.61,0.886,3514,605148,46824,9,1.79,37.496644,126.957583,4667,62,68,4,-77,-72.5,41152,28,41152
15:49:00,3.201,4900976,4900964,0,0,-1,0,4071909,1,37.496643,126.957581,0.490,284.6,0.725,1,251.1,"5.052,2.318,6.828","-48.046,-13.336,-52.427","-73.650,41.250,-8.100",1,284.6,8.80,72.35,0.9102,8.61,0.886,3514,605174,46826,9,1.12,37.496643,126.957582,4668,62,68,4,-70,-71.6,41154,28,41154
15:49:00,3.334,4901294,4901282,0,0,-1,0,4072227,1,37.496643,126.957581,0.595,280.2,0.669,1,233.9,"7.949,3.515,6.421","40.473,15.565,5.779","-75.450,54.000,-11.400",1,280.2,10.81,43.75,0.9706,5.00,0.999,3515,605212,46829,9,1.12,37.496641,126.957580,4670,62,68,4,-76,-72.1,41156,41,41156
15:49:00,3.412,4901400,4901388,0,0,-1,0,4072333,1,37.496643,126.957581,0.595,280.2,0.669,1,233.9,"5.856,1.480,9.773","-21.901,29.687,49.702","-72.750,54.150,-5.400",1,280.2,11.49,61.90,0.9706,5.00,0.999,3515,605225,46830,9,1.12,37.496641,126.957580,4670,62,68,4,-73,-72.2,41157,47,41157
15:49:00,3.530,4901505,4901493,0,0,-1,0,4072438,1,37.496639,126.957581,0.610,280.2,0.638,1,240.0,"5.009,2.313,7.020","-11.534,27.863,84.344","-72.450,46.200,-1.950",1,280.2,8.93,89.57,0.9706,5.00,0.999,3515,605238,46831,9,1.12,37.496639,126.957578,4671,62,68,4,-73,-72.2,41157,152,41157
