시각,경과초,시각ms,IMU시각ms,부팅횟수,리셋원인,GPS복구횟수,마지막GPS복구ms,위험,차량위험,차량위험경과ms,RSU위험,RSU위험경과ms,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
18:11:26,0.128,1886722,1886709,58,POWER_ON,0,0,3,0,-1,3,165,1,37.496616,126.957832,0.038,345.6,0.036,1,210.4,"8.054,6.555,7.331","-1.672,1.015,0.214","-67.200,82.050,-38.100",1,345.6,12.71,1.97,0.9970,2.94,1.307,29057,202453,17827,8,1.52,37.496618,126.957836,8620,77,193,3,-69,-69.3,15709,15,15709
18:11:26,0.263,1886827,1886815,58,POWER_ON,0,0,3,0,-1,3,63,1,37.496620,126.957832,0.048,345.6,0.067,1,210.4,"8.332,3.390,3.165","31.450,1.718,-5.992","-66.750,84.450,-35.700",1,345.6,9.54,32.06,0.9000,2.94,1.307,29057,202466,17828,8,1.52,37.496619,126.957836,8621,77,193,3,-70,-69.4,15710,19,15710
18:11:26,0.346,1886933,1886921,58,POWER_ON,0,0,3,0,-1,3,169,1,37.496620,126.957832,0.048,345.6,0.067,1,210.4,"9.543,13.288,15.735","-31.672,-5.321,21.740","-66.150,82.350,-35.550",1,345.6,22.70,38.78,0.7789,2.94,1.307,29057,202479,17829,8,1.52,37.496619,126.957836,8621,77,193,3,-70,-69.6,15711,21,15711
18:11:26,0.418,1887038,1887026,58,POWER_ON,0,0,3,0,-1,3,274,1,37.496620,126.957832,0.053,345.3,0.062,1,210.4,"7.949,4.980,5.746","-1.916,-2.779,-1.344","-66.900,83.100,-38.550",1,345.3,11.00,3.63,0.9823,2.73,1.276,29059,202490,17830,8,1.52,37.496620,126.957836,8622,77,193,3,-70,-69.6,15712,34,15712
18:11:26,0.817,1887143,1887131,58,POWER_ON,0,0,3,0,-1,3,86,1,37.496620,126.957832,0.053,345.3,0.062,1,210.4,"6.924,1.125,-0.704","-11.061,-0.107,2.969","-66.300,84.150,-36.150",1,345.3,7.05,11.45,0.5894,2.73,1.276,29059,202503,17831,8,1.52,37.496620,126.957836,8622,77,193,3,-70,-69.7,15713,37,15713
18:11:27,0.950,1887565,1887553,58,POWER_ON,0,0,0,0,-1,0,98,1,37.496620,126.957840,0.050,345.7,0.041,1,210.4,"7.748,3.414,4.104","-5.000,-1.733,0.397","-67.200,83.550,-37.350",1,345.7,9.41,5.31,0.9406,2.46,1.325,29060,202554,17835,8,1.52,37.496620,126.957837,8624,77,193,3,-74,-70.3,15717,27,15717
18:11:27,1.018,1887671,1887659,58,POWER_ON,0,0,0,0,-1,0,204,1,37.496620,126.957840,0.045,345.7,0.036,1,210.4,"7.958,3.543,3.768","-14.122,-7.939,-0.802","-66.450,83.850,-37.350",1,345.7,9.49,16.22,0.9298,2.46,1.325,29060,202567,17836,9,1.52,37.496621,126.957837,8625,77,193,3,-72,-70.6,15718,43,15718
18:11:27,1.085,1887776,1887764,58,POWER_ON,0,0,0,0,-1,0,80,1,37.496620,126.957840,0.045,345.7,0.046,1,210.4,"7.791,3.318,3.946","-21.466,-12.557,1.031","-65.550,82.950,-37.650",1,345.7,9.34,24.89,0.9340,2.46,1.325,29060,202580,17837,9,1.52,37.496622,126.957837,8626,77,193,3,-69,-70.3,15719,47,15719
18:11:27,1.238,1887881,1887869,58,POWER_ON,0,0,0,0,-1,0,185,1,37.496620,126.957840,0.045,345.7,0.046,1,210.4,"8.068,3.170,4.156","-9.435,-4.542,1.725","-66.750,84.450,-37.650",1,345.7,9.61,10.61,0.9305,2.46,1.325,29060,202593,17838,9,1.52,37.496622,126.957837,8626,77,193,3,-70,-70.2,15720,47,15720
18:11:27,1.330,1887986,1887974,58,POWER_ON,0,0,0,0,-1,0,82,1,37.496620,126.957840,0.046,345.7,0.046,1,210.4,"8.945,2.868,4.329","-8.061,11.863,-2.580","-67.050,84.450,-35.100",1,345.7,10.34,14.57,0.9100,2.46,1.325,29060,202606,17839,8,1.52,37.496622,126.957837,8627,77,193,3,-71,-70.4,15721,54,15721
