시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
18:11:26,0.118,12435712,12435711,3,0,1,37.496692,126.957864,0.01,0.0,0,18.1,1,239.2,1,0.00,9.72,1.38,0.9987,24.66,2.760,473553,959731,0.005,1,338.3,"-0.67,0.91,9.65","1.1,-0.9,-0.1","-55.200,26.100,16.650",0.07,0.16,0.00,0,117141,98383,8,1.52,37.496696,126.957873,27746,455,1714,36,3.29,0.00,999.00,31.1,0,141,0,3,-68,-68.0,98383,90,3,4.70,1,0,-4.39,-11.29,0
18:11:26,0.241,12435813,12435812,3,0,1,37.496692,126.957864,0.01,0.0,0,18.1,1,239.2,1,0.00,9.65,1.79,0.9990,23.34,2.770,473553,959743,0.005,1,338.3,"-0.58,0.89,9.59","0.7,-1.5,0.7","-55.350,26.250,15.300",0.05,0.22,0.00,0,117142,98384,8,1.52,37.496696,126.957873,27746,455,1714,36,3.29,0.00,999.00,31.1,0,141,0,3,-67,-67.8,98384,88,3,4.62,1,0,-4.39,-11.29,0
18:11:26,0.333,12435914,12435913,3,0,1,37.496692,126.957864,0.01,0.0,0,18.1,1,239.2,1,0.00,9.56,2.73,0.9995,24.01,2.753,473553,959755,0.005,1,338.3,"-0.59,0.73,9.51","2.1,-0.6,1.7","-54.300,26.850,15.900",0.20,0.24,0.00,0,117143,98385,8,1.52,37.496696,126.957873,27746,455,1714,36,3.66,0.00,999.00,27.7,0,141,0,3,-69,-68.0,98385,80,3,4.73,1,0,-4.39,-11.29,0
18:11:26,0.639,12436116,12436115,3,0,1,37.496692,126.957864,0.01,0.0,0,18.1,1,239.2,1,0.00,9.63,2.16,0.9988,24.71,2.777,473553,959779,0.005,1,338.3,"-0.74,0.84,9.56","2.1,0.1,-0.2","-55.500,26.550,16.650",0.14,0.14,0.00,0,117145,98387,8,1.52,37.496696,126.957873,27746,455,1714,36,3.66,0.00,999.00,27.7,0,141,0,3,-68,-68.3,98387,72,3,4.87,1,0,-4.39,-11.29,0
18:11:26,0.802,12436330,12436329,0,0,1,37.496692,126.957864,0.01,0.0,0,18.1,1,239.2,1,0.00,9.49,2.70,0.9974,24.05,2.771,473553,959805,0.005,1,338.3,"-0.37,1.15,9.41","-0.5,2.0,-1.8","-55.650,25.950,16.050",0.43,0.43,0.00,0,117147,98389,8,1.52,37.496696,126.957873,27746,455,1714,36,4.01,0.00,999.00,36.2,0,141,0,3,-66,-68.0,98389,77,3,4.70,1,0,-4.39,-11.29,0
18:11:27,0.935,12436540,12436539,0,0,1,37.496692,126.957864,0.01,0.0,0,18.1,1,239.2,1,0.00,10.09,1.87,0.9968,24.75,2.795,473553,959829,0.005,1,338.3,"-0.79,1.23,9.98","1.3,0.4,-1.3","-55.950,26.850,16.650",0.51,0.53,0.00,0,117149,98390,8,1.52,37.496696,126.957873,27746,455,1714,36,4.01,0.00,999.00,36.2,0,141,0,3,-67,-67.8,98390,182,3,4.62,1,0,-4.39,-11.29,0
18:11:27,0.950,12436641,12436640,0,0,1,37.496692,126.957865,0.01,0.0,0,18.1,1,239.2,1,0.00,9.29,3.66,0.9992,24.68,2.740,473553,959841,0.010,1,338.3,"-0.52,0.83,9.24","0.8,-1.6,-3.2","-53.400,27.450,16.500",0.41,0.61,0.00,0,117150,98391,8,1.52,37.496697,126.957876,27747,455,1714,36,4.01,0.00,999.00,36.2,0,141,0,3,-73,-68.8,98391,70,3,5.10,1,0,-4.39,-11.29,0
18:11:27,1.202,12436742,12436741,0,0,1,37.496692,126.957865,0.01,0.0,0,18.1,1,239.2,1,0.00,9.66,2.56,0.9990,24.08,2.777,473553,959853,0.010,1,338.3,"-0.56,0.89,9.60","-2.0,-0.0,-1.5","-55.650,26.250,16.050",0.06,0.18,0.00,0,117151,98392,8,1.52,37.496697,126.957876,27747,455,1714,36,4.01,0.00,999.00,36.2,0,141,0,3,-71,-69.3,98392,67,3,5.32,1,0,-4.39,-11.29,0
18:11:27,1.318,12436945,12436944,0,0,1,37.496692,126.957865,0.01,0.0,0,18.1,1,239.2,1,0.00,9.78,1.57,0.9991,23.92,2.762,473553,959877,0.010,1,338.3,"-0.63,0.85,9.72","1.4,0.4,-0.5","-55.200,26.100,15.900",0.12,0.16,0.00,0,117153,98394,8,1.52,37.496697,126.957876,27747,455,1714,36,4.01,0.00,999.00,36.2,0,141,0,3,-70,-69.0,98394,60,3,5.21,1,0,-4.39,-11.29,0
18:11:27,1.402,12437046,12437045,0,0,1,37.496692,126.957865,0.01,0.0,0,18.1,1,239.2,1,0.00,9.81,2.79,0.9986,24.59,2.745,473553,959889,0.010,1,338.3,"-0.59,0.98,9.74","1.2,1.9,-1.6","-54.150,26.700,16.500",0.15,0.32,0.00,0,117154,98395,8,1.52,37.496697,126.957876,27747,455,1714,36,4.01,0.00,999.00,36.2,0,141,0,3,-68,-68.8,98395,56,3,5.11,1,0,-4.39,-11.29,0
