시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
18:27:58,0.176,13428246,13428245,0,0,1,37.496655,126.957905,0.05,0.0,0,30.3,1,26.6,1,0.00,9.76,2.09,0.9955,23.94,2.718,473617,1054878,0.046,1,70.3,"-1.36,0.49,9.65","2.0,-0.7,0.2","-12.300,56.100,12.150",0.08,0.23,0.00,0,125174,107460,8,1.00,37.496649,126.957897,28545,476,1714,40,18.36,0.00,999.00,-15.9,0,187,0,1,-38,-39.2,107460,98,4,0.80,1,0,-4.39,-11.29,0
18:27:58,0.293,13428347,13428346,0,0,1,37.496655,126.957905,0.05,0.0,0,30.3,1,26.6,1,0.00,9.76,3.15,0.9966,22.37,2.745,473617,1054890,0.046,1,70.3,"-1.24,0.54,9.67","1.7,1.7,-2.1","-12.600,56.700,10.500",0.16,0.25,0.00,0,125175,107461,8,1.00,37.496649,126.957897,28545,476,1714,40,18.36,0.00,999.00,-15.9,0,187,0,1,-39,-39.2,107461,95,4,0.80,1,0,-4.39,-11.29,0
18:27:59,0.526,13428447,13428446,0,0,1,37.496655,126.957905,0.05,0.0,0,30.3,1,26.6,1,0.00,9.69,4.40,0.9947,22.80,2.763,473617,1054902,0.046,1,70.3,"-1.43,0.47,9.58","1.8,-3.7,1.6","-11.400,57.750,10.800",0.09,0.17,0.00,0,125176,107462,8,1.00,37.496649,126.957897,28545,476,1714,40,18.36,0.00,999.00,-15.9,0,187,0,1,-39,-39.1,107462,87,4,0.80,1,0,-4.39,-11.29,0
18:27:59,0.612,13428653,13428652,0,0,1,37.496655,126.957905,0.04,0.0,0,30.3,1,26.6,1,0.00,9.68,3.74,0.9961,23.07,2.719,473617,1054925,0.026,1,70.3,"-1.28,0.37,9.59","1.7,2.6,-2.1","-11.700,56.250,11.250",0.10,0.16,0.00,0,125178,107464,8,1.00,37.496649,126.957895,28546,476,1714,40,18.36,0.00,999.00,-15.9,0,187,0,1,-41,-39.8,107464,84,4,0.80,1,0,-4.39,-11.29,0
18:27:59,0.775,13428754,13428753,0,0,1,37.496655,126.957905,0.04,0.0,0,30.3,1,26.6,1,0.00,9.71,1.25,0.9949,23.22,2.737,473617,1054937,0.026,1,70.3,"-1.41,0.38,9.60","0.7,-0.6,0.8","-13.050,56.400,11.400",0.07,0.21,0.00,0,125179,107465,8,1.00,37.496649,126.957895,28546,476,1714,40,18.18,0.00,999.00,-13.9,0,187,0,1,-38,-39.4,107465,80,4,0.80,1,0,-4.39,-11.29,0
18:27:59,0.909,13428956,13428955,0,0,1,37.496655,126.957905,0.04,0.0,0,30.3,1,26.6,1,0.00,9.70,3.12,0.9957,23.45,2.694,473617,1054961,0.026,1,70.3,"-1.34,0.44,9.60","1.1,-2.7,1.0","-11.250,55.650,11.700",0.03,0.15,0.00,0,125181,107467,8,1.00,37.496649,126.957895,28546,476,1714,40,17.77,0.00,999.00,-14.2,0,187,0,1,-41,-40.0,107467,70,4,0.80,1,0,-4.39,-11.29,0
18:27:59,1.143,13429057,13429056,0,0,1,37.496655,126.957905,0.04,0.0,0,30.3,1,26.6,1,0.00,9.60,2.45,0.9946,24.20,2.730,473617,1054973,0.026,1,70.3,"-1.43,0.43,9.48","2.3,-0.9,0.0","-10.950,57.000,12.300",0.12,0.17,0.00,0,125182,107468,8,1.00,37.496649,126.957895,28546,476,1714,40,17.77,0.00,999.00,-14.2,0,187,0,1,-41,-40.2,107468,48,4,0.80,1,0,-4.39,-11.29,0
18:27:59,1.230,13429259,13429258,0,0,1,37.496655,126.957905,0.04,0.0,0,30.3,1,26.6,1,0.00,9.74,3.19,0.9941,21.82,2.663,473617,1054997,0.026,1,70.3,"-1.49,0.51,9.61","2.7,-0.0,1.7","-11.250,54.450,10.200",0.16,0.16,0.00,0,125184,107470,8,1.00,37.496649,126.957895,28546,476,1714,40,17.62,0.00,999.00,-12.1,0,187,0,1,-42,-40.2,107470,44,4,0.80,1,0,-4.39,-11.29,0
18:27:59,1.292,13429359,13429358,0,0,1,37.496655,126.957905,0.04,0.0,0,30.3,1,26.6,1,0.00,9.74,0.88,0.9965,23.25,2.754,473617,1055009,0.026,1,70.3,"-1.25,0.48,9.64","0.1,0.8,-0.2","-10.650,57.750,11.250",0.14,0.14,0.00,0,125185,107471,8,1.00,37.496649,126.957895,28546,476,1714,40,17.62,0.00,999.00,-12.1,0,187,0,1,-42,-40.6,107471,40,4,0.80,1,0,-4.39,-11.29,0
18:27:59,1.443,13429460,13429459,0,0,1,37.496655,126.957905,0.04,0.0,0,30.3,1,26.6,1,0.00,9.72,2.59,0.9960,22.53,2.754,473617,1055021,0.026,1,70.3,"-1.31,0.48,9.62","2.3,-0.3,-1.1","-13.050,56.850,10.650",0.08,0.15,0.00,0,125186,107472,8,1.00,37.496649,126.957895,28546,476,1714,40,17.62,0.00,999.00,-12.1,0,187,0,1,-42,-40.9,107472,43,4,0.80,1,0,-4.39,-11.29,0
18:27:59,1.511,13429565,13429564,0,0,1,37.496655,126.957905,0.04,0.0,0,30.3,1,26.6,1,0.00,9.70,5.53,0.9954,23.15,2.747,473617,1055032,0.026,1,70.3,"-1.37,0.47,9.59","4.0,-3.8,-0.3","-12.150,57.000,11.250",0.04,0.12,0.00,0,125187,107473,8,1.00,37.496649,126.957895,28546,476,1714,40,17.62,0.00,999.00,-12.1,0,187,0,1,-42,-41.1,107473,40,4,0.80,1,0,-4.39,-11.29,0
18:28:00,1.627,13429666,13429665,0,0,1,37.496654,126.957904,0.04,0.0,0,30.3,1,26.6,1,0.00,9.70,1.58,0.9953,23.75,2.716,473617,1055044,0.041,1,70.3,"-1.37,0.55,9.59","0.8,-0.2,-1.3","-12.900,55.800,12.000",0.12,0.15,0.00,0,125188,107474,8,1.00,37.496648,126.957894,28547,476,1714,40,17.62,0.00,999.00,-12.1,0,187,0,1,-42,-41.3,107474,41,4,0.80,1,0,-4.39,-11.29,0
18:28:00,1.731,13429767,13429766,0,0,1,37.496654,126.957904,0.04,0.0,0,30.3,1,26.6,1,0.00,9.78,2.53,0.9948,23.72,2.703,473617,1055056,0.041,1,70.3,"-1.43,0.57,9.66","1.9,-1.5,-0.7","-12.600,55.500,12.000",0.17,0.23,0.00,0,125189,107475,8,1.00,37.496648,126.957894,28547,476,1714,40,17.62,0.00,999.00,-12.1,0,187,0,1,-41,-41.2,107475,38,4,0.80,1,0,-4.39,-11.29,0
18:28:00,1.927,13429869,13429868,0,0,1,37.496654,126.957904,0.04,0.0,0,30.3,1,26.6,1,0.00,9.58,3.48,0.9955,23.31,2.714,473617,1055068,0.041,1,70.3,"-1.34,0.39,9.48","1.4,-3.1,0.7","-12.600,55.800,11.550",0.13,0.30,0.00,0,125190,107476,8,1.00,37.496648,126.957894,28547,476,1714,40,17.62,0.00,999.00,-12.1,0,187,0,1,-42,-41.4,107476,34,4,0.80,1,0,-4.39,-11.29,0
18:28:00,2.025,13430070,13430069,0,0,1,37.496654,126.957904,0.04,0.0,0,30.3,1,26.7,1,0.00,9.77,2.05,0.9942,22.82,2.808,473617,1055092,0.041,1,70.3,"-1.49,0.38,9.64","-1.8,0.8,0.6","-11.250,59.250,10.650",0.14,0.17,0.00,0,125192,107478,8,1.00,37.496648,126.957894,28547,476,1714,40,17.20,0.00,999.00,-12.4,0,187,0,1,-38,-40.5,107478,21,4,0.80,1,0,-4.39,-11.29,0
18:28:00,2.158,13430171,13430170,0,0,1,37.496654,126.957904,0.04,0.0,0,30.3,1,26.7,1,0.00,9.67,2.56,0.9949,22.31,2.734,473617,1055104,0.041,1,70.3,"-1.39,0.29,9.57","1.4,-1.4,1.6","-12.900,56.250,10.500",0.14,0.15,0.00,0,125193,107479,8,1.00,37.496648,126.957894,28547,476,1714,40,17.20,0.00,999.00,-12.4,0,187,0,1,-42,-40.8,107479,18,4,0.80,1,0,-4.39,-11.29,0
18:28:00,2.225,13430279,13430278,0,0,1,37.496654,126.957904,0.04,0.0,0,30.3,1,26.7,1,0.00,9.74,2.35,0.9965,22.76,2.754,473617,1055117,0.041,1,70.3,"-1.25,0.40,9.65","1.5,1.4,-1.1","-11.400,57.450,10.800",0.11,0.20,0.00,0,125194,107480,8,1.00,37.496648,126.957894,28547,476,1714,40,17.20,0.00,999.00,-12.4,0,187,0,1,-41,-40.8,107480,20,4,0.80,1,0,-4.39,-11.29,0
18:28:00,2.309,13430387,13430386,0,0,1,37.496654,126.957904,0.04,0.0,0,30.3,1,26.7,1,0.00,9.69,3.14,0.9947,21.93,2.737,473617,1055130,0.041,1,70.3,"-1.43,0.39,9.58","-1.0,2.1,-2.1","-11.700,56.700,10.050",0.08,0.14,0.00,0,125195,107481,8,1.00,37.496648,126.957894,28547,476,1714,40,17.20,0.00,999.00,-12.4,0,187,0,1,-39,-40.5,107481,23,4,0.80,1,0,-4.39,-11.29,0
18:28:00,2.426,13430487,13430486,0,0,1,37.496654,126.957904,0.04,0.0,0,30.3,1,26.7,1,0.00,9.69,2.43,0.9964,22.67,2.734,473617,1055142,0.041,1,70.3,"-1.25,0.38,9.60","-1.3,0.7,-1.9","-11.700,56.700,10.800",0.11,0.16,0.00,0,125196,107482,8,1.00,37.496648,126.957894,28547,476,1714,40,17.20,0.00,999.00,-12.4,0,187,0,1,-42,-40.8,107482,17,4,0.80,1,0,-4.39,-11.29,0
