시각,경과초,시각ms,IMU시각ms,부팅횟수,리셋원인,GPS복구횟수,마지막GPS복구ms,위험,차량위험,차량위험경과ms,RSU위험,RSU위험경과ms,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
17:10:17,0.338,2956068,2956056,356,POWER_ON,0,0,1,0,-1,1,184,1,37.496353,126.958328,0.423,0.0,0.221,1,320.7,"2.868,1.882,7.858","19.939,3.908,23.313","-50.400,27.000,14.400",0,157.4,8.57,30.92,0.8878,6.88,1.519,7149,355270,27899,8,1.21,37.496359,126.958326,5229,12,8,3,-74,-70.4,27248,38,27248
17:10:17,0.533,2956279,2956267,356,POWER_ON,0,0,0,0,-1,0,14,1,37.496361,126.958321,0.433,0.0,0.453,1,320.7,"1.623,2.581,10.554","17.076,4.588,36.031","-46.950,31.650,19.500",0,157.4,10.99,40.14,0.8151,6.88,1.519,7149,355296,27901,8,1.21,37.496367,126.958323,5230,12,8,3,-71,-70.5,27249,47,27249
17:10:17,0.590,2956385,2956373,356,POWER_ON,0,0,0,0,-1,0,120,1,37.496361,126.958321,0.433,0.0,0.453,1,320.7,"3.084,1.259,10.281","17.847,5.802,63.137","-42.750,30.750,20.400",0,157.4,10.81,65.87,0.8268,6.88,1.519,7149,355309,27902,8,1.21,37.496367,126.958323,5230,12,8,3,-73,-71.0,27250,45,27250
17:10:17,0.681,2956491,2956479,356,POWER_ON,0,0,0,0,-1,0,11,1,37.496361,126.958321,0.433,0.0,0.453,1,320.7,"3.213,0.637,9.462","39.389,-7.588,99.198","-39.750,31.800,22.950",0,157.4,10.01,107.00,0.8268,6.88,1.519,7149,355322,27903,8,1.21,37.496367,126.958323,5230,12,8,3,-72,-71.2,27251,46,27251
17:10:17,0.780,2956596,2956584,356,POWER_ON,0,0,0,0,-1,0,116,1,37.496361,126.958321,0.433,0.0,0.453,1,320.7,"2.863,0.699,9.093","66.878,13.573,111.511","-35.250,32.550,24.000",0,157.4,9.56,130.74,0.8268,6.88,1.519,7149,355335,27904,8,1.21,37.496367,126.958323,5230,12,8,3,-75,-72.0,27252,50,27252
17:10:18,1.076,2956806,2956794,356,POWER_ON,0,0,0,0,-1,0,124,1,37.496361,126.958321,0.433,0.0,0.453,1,320.7,"3.127,2.394,8.169","84.740,18.855,98.519","-26.400,49.650,25.650",0,157.4,9.07,131.31,0.8268,6.88,1.519,7149,355361,27906,8,1.21,37.496367,126.958323,5230,12,8,3,-76,-72.8,27254,58,27254
17:10:18,1.306,2957016,2957004,356,POWER_ON,0,0,0,0,-1,0,135,1,37.496361,126.958321,0.433,0.0,0.453,1,320.7,"5.454,3.610,9.452","45.046,16.977,75.817","-24.300,68.700,21.900",0,157.4,11.49,89.81,0.8268,6.88,1.519,7149,355387,27908,8,1.21,37.496367,126.958323,5230,12,8,3,-80,-75.5,27256,66,27256
17:10:18,1.353,2957121,2957109,356,POWER_ON,0,0,0,0,-1,0,36,1,37.496361,126.958321,0.433,0.0,0.453,1,320.7,"5.138,1.279,8.088","40.580,27.397,81.977","-24.750,72.900,18.900",0,157.4,9.67,95.49,0.8268,6.88,1.519,7149,355400,27909,8,1.21,37.496367,126.958323,5230,12,8,3,-79,-76.2,27257,69,27257
17:10:18,1.353,2957227,2957215,356,POWER_ON,0,0,0,0,-1,0,142,1,37.496365,126.958313,0.545,0.0,0.751,1,304.2,"5.057,0.704,7.149","38.145,30.420,75.832","-24.450,75.900,17.250",0,157.4,8.78,90.17,0.8268,6.88,1.519,7149,355413,27910,8,1.21,37.496367,126.958308,5231,12,8,3,-73,-75.6,27258,76,27258
17:10:18,1.451,2957333,2957321,356,POWER_ON,0,0,0,0,-1,0,248,1,37.496365,126.958313,0.545,0.0,0.751,1,304.2,"4.899,0.986,6.426","32.611,32.878,89.550","-25.200,79.350,15.150",0,157.4,8.14,100.81,0.8268,6.88,1.519,7149,355426,27911,8,1.21,37.496367,126.958308,5231,12,8,3,-78,-76.1,27259,82,27259
