시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,RSSI구간,RSSI거리,상대보정,상대보정중,보정동쪽,보정북쪽,위험송신
17:04:53,0.358,2635569,2635568,0,0,1,37.496396,126.958252,0.02,1.1,0,1.1,1,180.1,1,0.00,9.71,4.18,0.9996,36.80,1.833,0,304327,0.015,1,12.8,"-0.20,0.33,9.70","2.6,-3.0,-1.3","12.000,34.350,27.450",0.12,0.17,0.00,0,25603,23316,9,1.22,37.496404,126.958255,2330,8,43,2,27.41,0.00,999.00,130.6,0,98,0,2,-73,-72.0,23316,28,3,6.87,1,0,-8.36,11.85,0
17:04:53,0.409,2636189,2636188,0,0,1,37.496399,126.958253,0.02,1.1,0,1.1,1,180.0,1,0.00,9.67,4.66,0.9995,36.80,1.833,0,304402,0.015,1,12.8,"-0.28,0.20,9.66","0.2,3.8,-2.7","12.000,34.350,27.450",0.10,0.21,0.00,0,25609,23320,9,1.22,37.496405,126.958255,2331,8,43,2,27.41,0.00,999.00,130.6,0,98,0,2,-80,-74.3,23320,19,3,8.62,1,0,-8.36,11.85,0
17:04:53,0.409,2636294,2636293,0,0,1,37.496399,126.958253,0.02,1.1,0,1.1,1,180.0,1,0.00,9.79,2.38,0.9994,36.80,1.833,0,304413,0.015,1,12.8,"-0.19,0.28,9.79","1.6,0.5,1.7","12.000,34.350,27.450",0.13,0.15,0.00,0,25610,23321,9,1.22,37.496405,126.958255,2331,8,43,2,27.20,0.00,999.00,132.2,0,98,0,2,-75,-74.5,23321,19,3,8.73,1,0,-8.36,11.85,0
17:04:54,0.905,2636394,2636394,0,0,1,37.496399,126.958253,0.02,1.1,0,1.1,1,180.0,1,0.00,9.69,3.41,0.9996,36.80,1.833,0,304425,0.015,1,12.8,"-0.27,0.28,9.68","3.2,-0.1,1.2","12.000,34.350,27.450",0.05,0.19,0.00,0,25611,23322,9,1.22,37.496405,126.958255,2331,8,43,2,27.20,0.00,999.00,132.2,0,98,0,2,-76,-74.8,23322,13,3,8.98,1,0,-8.36,11.85,0
17:04:55,2.756,2636909,2636908,0,0,1,37.496399,126.958253,0.02,1.1,0,1.1,1,180.1,1,0.00,9.78,2.32,0.9997,36.80,1.833,0,304483,0.015,1,12.8,"-0.29,0.29,9.77","1.2,0.2,2.0","12.000,34.350,27.450",0.06,0.18,0.00,0,25616,23325,9,1.22,37.496405,126.958255,2331,8,43,2,27.20,0.00,999.00,132.2,0,98,0,2,-71,-74.0,23325,106,3,8.34,1,0,-8.36,11.85,0
17:04:56,3.011,2638560,2638559,0,0,1,37.496403,126.958254,0.01,1.1,0,1.1,1,180.0,1,0.00,9.75,2.17,0.9989,36.80,1.833,0,304676,0.005,1,12.8,"-0.25,0.08,9.75","-1.2,-0.7,1.7","12.000,34.350,27.450",0.20,0.21,0.00,0,25632,23338,9,1.22,37.496406,126.958256,2333,8,43,2,27.49,0.00,999.00,132.8,0,98,0,2,-64,-67.4,23338,68,3,4.47,1,0,-8.36,11.85,0
17:04:56,3.298,2638661,2638660,0,0,1,37.496403,126.958254,0.01,1.1,0,1.1,1,180.0,1,0.00,9.77,1.20,0.9993,36.80,1.833,0,304688,0.005,1,12.8,"-0.16,0.26,9.76","0.1,0.7,-1.0","12.000,34.350,27.450",0.15,0.20,0.00,0,25633,23339,9,1.22,37.496406,126.958256,2333,8,43,2,27.49,0.00,999.00,132.8,0,98,0,2,-65,-66.9,23339,63,3,4.27,1,0,-8.36,11.85,0
17:04:56,3.872,2638976,2638975,0,0,1,37.496403,126.958254,0.01,1.1,0,1.1,1,180.0,1,0.00,9.76,1.75,0.9996,36.80,1.833,0,304726,0.005,1,12.8,"-0.27,0.26,9.75","0.5,-0.4,1.6","12.000,34.350,27.450",0.05,0.21,0.00,0,25636,23342,9,1.22,37.496406,126.958256,2333,8,43,2,27.49,0.00,999.00,132.8,0,98,0,2,-75,-68.5,23342,62,3,4.95,1,0,-8.36,11.85,0
17:04:57,4.543,2639989,2639989,0,0,1,37.496404,126.958255,0.03,1.1,0,1.1,1,180.0,1,0.00,9.66,1.15,0.9994,36.80,1.833,0,304845,0.057,1,12.8,"-0.27,0.19,9.65","-0.7,0.9,0.1","12.000,34.350,27.450",0.10,0.21,0.00,0,25646,23352,8,1.22,37.496407,126.958257,2334,8,43,2,27.79,0.00,999.00,133.4,0,98,0,2,-60,-65.8,23352,13,3,3.83,1,0,-8.36,11.85,0
17:04:58,5.192,2640192,2640191,0,0,1,37.496405,126.958256,0.03,1.1,0,1.1,1,180.0,1,0.00,9.69,2.06,0.9998,36.80,1.833,0,304869,0.036,1,12.8,"-0.30,0.37,9.68","-0.4,1.5,-1.4","12.000,34.350,27.450",0.09,0.16,0.00,0,25648,23354,8,1.22,37.496408,126.958257,2335,8,43,2,28.39,0.00,999.00,134.7,0,98,0,2,-60,-63.9,23354,12,3,3.19,1,0,-8.36,11.85,0
17:04:58,5.591,2641311,2641310,0,0,1,37.496406,126.958256,0.03,1.1,0,1.1,1,180.0,1,0.00,9.76,1.89,0.9999,36.80,1.833,0,304996,0.021,1,12.8,"-0.33,0.43,9.74","-1.7,-0.1,0.8","12.000,34.350,27.450",0.16,0.19,0.00,0,25659,23364,8,1.22,37.496408,126.958257,2336,8,43,2,28.23,0.00,999.00,136.2,0,98,0,2,-66,-65.8,23364,77,3,3.84,1,0,-8.36,11.85,0
17:04:58,5.653,2641412,2641411,0,0,1,37.496406,126.958256,0.03,1.1,0,1.1,1,180.0,1,0.00,9.68,1.42,0.9996,36.80,1.833,0,305008,0.021,1,12.8,"-0.33,0.22,9.67","0.7,1.2,-0.2","12.000,34.350,27.450",0.08,0.19,0.00,0,25660,23365,8,1.22,37.496408,126.958257,2336,8,43,2,28.23,0.00,999.00,136.2,0,98,0,2,-65,-65.7,23365,67,3,3.78,1,0,-8.36,11.85,0
17:04:58,5.653,2641513,2641512,0,0,1,37.496406,126.958256,0.03,1.1,0,1.1,1,180.0,1,0.00,9.68,2.79,0.9997,36.80,1.833,0,305020,0.021,1,12.8,"-0.36,0.25,9.67","-1.2,2.2,-1.3","12.000,34.350,27.450",0.07,0.14,0.00,0,25661,23366,8,1.22,37.496408,126.958257,2336,8,43,2,28.23,0.00,999.00,136.2,0,98,0,2,-64,-65.3,23366,66,3,3.66,1,0,-8.36,11.85,0
17:04:59,5.914,2641614,2641613,0,0,1,37.496406,126.958256,0.03,1.1,0,1.1,1,180.0,1,0.00,9.82,1.34,0.9996,36.80,1.833,0,305032,0.021,1,12.8,"-0.39,0.22,9.81","-0.1,-1.3,0.1","12.000,34.350,27.450",0.14,0.22,0.00,0,25662,23367,8,1.22,37.496408,126.958257,2336,8,43,2,28.23,0.00,999.00,136.2,0,98,0,2,-64,-65.1,23367,61,3,3.57,1,0,-8.36,11.85,0
17:04:59,6.227,2642022,2642021,0,0,1,37.496406,126.958256,0.03,1.1,0,1.1,1,180.0,1,0.00,9.77,2.26,0.9997,36.80,1.833,0,305081,0.021,1,12.8,"-0.32,0.27,9.76","-0.8,-0.5,-2.1","12.000,34.350,27.450",0.07,0.19,0.00,0,25666,23371,8,1.22,37.496408,126.958257,2336,8,43,2,28.23,0.00,999.00,136.2,0,98,0,2,-69,-66.0,23371,48,3,3.89,1,0,-8.36,11.85,0
17:04:59,6.357,2642121,2642120,0,0,1,37.496406,126.958256,0.03,1.1,0,1.1,1,180.0,1,0.00,9.89,1.20,0.9997,36.80,1.833,0,305093,0.021,1,12.8,"-0.30,0.28,9.88","-0.2,-0.7,-0.9","12.000,34.350,27.450",0.17,0.23,0.00,0,25667,23372,8,1.22,37.496408,126.958257,2336,8,43,2,28.23,0.00,999.00,136.2,0,98,0,2,-72,-67.2,23372,42,3,4.36,1,0,-8.36,11.85,0
17:04:59,6.607,2642327,2642326,0,0,1,37.496407,126.958257,0.02,1.1,0,1.1,1,180.0,1,0.00,9.75,1.10,0.9997,36.80,1.833,0,305116,0.005,1,12.8,"-0.33,0.29,9.74","-0.1,0.3,-1.1","12.000,34.350,27.450",0.06,0.17,0.00,0,25669,23373,8,1.22,37.496408,126.958258,2337,8,43,2,28.55,0.00,999.00,136.8,0,98,0,2,-68,-67.3,23373,142,3,4.43,1,0,-8.36,11.85,0
