시각,경과초,시각ms,IMU시각ms,부팅횟수,리셋원인,GPS복구횟수,마지막GPS복구ms,위험,차량위험,차량위험경과ms,RSU위험,RSU위험경과ms,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신,UWB유효,UWB보정,UWB원시거리,UWB보정거리,UWB접근속도,UWB오프셋,UWB경과ms,UWB수신
17:39:27,0.165,1457304,1457304,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496040,126.955116,0.215,0.0,0.226,1,308.9,"6.479,7.092,-0.618","0.061,-3.595,-0.038","-56.700,44.250,-6.300",0,228.2,9.63,3.60,0.7257,36.83,1.309,2,170307,13842,7,0.89,37.496043,126.955115,5891,0,6,0,-56,-55.9,20422,99,13412,1,1,3.050,3.064,-0.000,0.035,99,7010
17:39:27,0.198,1457360,1457360,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496040,126.955116,0.215,0.0,0.226,1,308.9,"6.574,7.077,-0.704","-3.992,0.908,1.046","-56.400,42.000,-7.050",0,228.2,9.69,4.23,0.7206,36.83,1.309,2,170313,13843,7,0.89,37.496043,126.955115,5891,0,6,0,-56,-55.9,20423,53,13413,1,1,3.050,3.064,-0.000,0.035,155,7010
17:39:27,0.289,1457411,1457411,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496040,126.955116,0.223,0.0,0.237,1,308.9,"6.512,7.058,-0.627","-1.221,-3.183,2.466","-57.450,42.000,-6.750",0,228.2,9.62,4.21,0.7255,36.83,1.309,2,170320,13843,7,0.89,37.496045,126.955113,5892,0,6,0,-56,-55.8,20425,2,13414,1,1,3.040,3.068,-0.006,0.035,3,7011
17:39:27,0.326,1457467,1457467,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496040,126.955116,0.223,0.0,0.237,1,308.9,"6.570,6.986,-0.608","-1.221,2.023,0.672","-57.000,43.050,-7.950",0,228.2,9.61,2.46,0.7275,36.83,1.309,2,170326,13844,7,0.89,37.496045,126.955113,5892,0,6,0,-56,-55.8,20425,58,13414,1,1,3.040,3.068,-0.006,0.035,59,7011
17:39:27,0.409,1457518,1457518,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496040,126.955116,0.223,0.0,0.237,1,308.9,"6.551,6.967,-0.599","0.244,-0.718,1.198","-56.700,43.500,-6.300",0,228.2,9.58,1.42,0.7281,36.83,1.309,2,170333,13844,7,0.89,37.496045,126.955113,5892,0,6,0,-56,-55.8,20426,7,13415,1,1,3.040,3.068,-0.006,0.035,110,7011
17:39:28,0.436,1457574,1457574,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496040,126.955116,0.223,0.0,0.237,1,308.9,"6.560,7.020,-0.541","-3.664,-0.176,-0.107","-57.300,43.350,-7.650",0,228.2,9.62,3.67,0.7321,36.83,1.309,2,170339,13845,7,0.89,37.496045,126.955113,5892,0,6,0,-56,-55.8,20426,63,13415,1,1,3.040,3.068,-0.006,0.035,166,7011
17:39:28,0.437,1457625,1457625,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496044,126.955116,0.238,0.0,0.268,1,308.9,"6.512,7.049,-0.589","-0.229,-1.153,-0.405","-56.250,43.800,-6.450",0,228.2,9.61,1.24,0.7282,36.83,1.309,2,170346,13845,7,0.89,37.496046,126.955110,5893,0,6,0,-57,-55.9,20428,8,13416,1,1,3.040,3.070,-0.008,0.035,18,7012
17:39:28,0.514,1457675,1457675,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496044,126.955116,0.238,0.0,0.268,1,308.9,"6.503,7.254,-0.709","-0.595,-4.267,0.176","-57.300,43.350,-6.150",0,228.2,9.77,4.31,0.7191,36.83,1.309,2,170351,13846,7,0.89,37.496046,126.955110,5893,0,6,0,-57,-55.9,20428,58,13416,1,1,3.040,3.070,-0.008,0.035,68,7012
17:39:28,0.546,1457726,1457726,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496044,126.955116,0.238,0.0,0.268,1,308.9,"6.579,6.895,-0.737","-1.557,-1.244,-1.412","-57.750,44.850,-7.200",0,228.2,9.56,2.44,0.7185,36.83,1.309,2,170358,13846,7,0.89,37.496046,126.955110,5893,0,6,0,-57,-55.9,20428,109,13416,1,1,3.040,3.070,-0.008,0.035,119,7012
17:39:28,0.639,1457776,1457776,384,POWER_ON,0,0,0,0,-1,0,-1,1,37.496044,126.955116,0.238,0.0,0.268,1,308.9,"6.594,6.938,-0.824","-1.611,2.313,0.626","-58.800,43.350,-5.400",0,228.2,9.61,2.89,0.7124,36.83,1.309,2,170363,13847,7,0.89,37.496046,126.955110,5893,0,6,0,-55,-55.7,20429,47,13417,1,1,3.040,3.070,-0.008,0.035,169,7012
