시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
17:57:45,0.048,639164,639164,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.684,4.836,5.842","0.130,-0.206,-0.191","-39.150,50.400,13.650",6238,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.8,11686,50,5712
17:57:45,0.048,639186,639186,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.866,4.951,5.938","-0.031,-1.771,0.695","-37.200,49.350,14.700",6238,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.8,11686,72,5712
17:57:45,0.048,639220,639208,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.602,4.831,5.909","-3.145,-2.176,0.519","-37.650,50.400,15.150",6239,7,1.27,37.496484,126.957923,1169,0,1,0,-71,-70.0,11687,6,5712
17:57:45,0.164,639228,639228,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.827,4.946,5.942","-3.382,-0.366,-2.244","-37.800,51.450,13.800",6239,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.8,11688,8,5713
17:57:45,0.204,639250,639250,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.794,4.879,5.966","-1.641,-0.176,-1.389","-38.250,49.500,14.250",6239,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.8,11688,30,5713
17:57:45,0.205,639272,639272,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.689,4.812,5.947","-3.458,0.092,0.466","-38.250,50.250,13.050",6239,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.8,11688,52,5713
17:57:45,0.205,639294,639294,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.698,4.812,5.976","-2.023,-1.282,-0.916","-38.550,50.700,13.050",6239,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.8,11688,74,5713
17:57:45,0.205,639327,639327,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.856,4.683,5.966","-4.405,-0.603,-1.847","-39.150,50.100,13.200",6240,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.5,11690,6,5714
17:57:45,0.205,639349,639349,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.899,4.793,5.928","-0.969,-4.351,-0.656","-37.050,49.950,14.850",6240,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.5,11690,28,5714
17:57:45,0.205,639371,639371,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.722,4.894,6.000","-0.031,-2.374,0.595","-38.700,50.100,13.950",6240,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.5,11690,50,5714
17:57:45,0.306,639393,639393,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.847,4.779,5.861","1.107,0.603,1.084","-39.750,50.700,14.250",6240,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.5,11690,72,5714
17:57:45,0.355,639427,639415,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.689,4.803,5.708","2.366,0.405,-0.588","-39.150,49.650,13.650",6241,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.4,11691,4,5714
17:57:45,0.355,639435,639435,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.799,4.760,5.851","2.924,0.405,0.198","-39.300,50.700,14.250",6241,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.3,11692,8,5715
17:57:45,0.355,639457,639457,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.837,4.841,5.837","2.069,0.947,2.443","-39.150,51.600,13.650",6241,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.3,11692,30,5715
17:57:45,0.355,639479,639479,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.689,4.932,5.962","2.198,0.847,1.802","-37.500,50.700,14.550",6241,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.3,11692,52,5715
17:57:45,0.355,639501,639501,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.655,4.855,6.014","2.702,-2.290,0.824","-36.450,51.600,15.150",6241,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.3,11692,74,5715
17:57:45,0.355,639534,639534,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.756,4.884,6.000","-2.084,-4.191,0.412","-38.400,51.300,13.650",6242,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.2,11694,6,5716
17:57:46,0.453,639556,639556,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.669,4.922,5.952","-3.313,-1.977,-1.534","-37.500,50.250,13.500",6242,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.2,11694,28,5716
17:57:46,0.500,639600,639600,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.684,4.851,5.918","-0.550,-1.328,1.527","-38.700,50.850,14.400",6242,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.2,11694,72,5716
17:57:46,0.500,639634,639622,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.684,4.741,5.818","0.863,-3.809,0.168","-37.800,51.450,13.500",6243,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.2,11695,4,5717
17:57:46,0.500,639643,639643,0,1,37.496483,126.957924,0.036,167.4,0.031,1,167.4,"5.751,4.899,5.847","1.344,0.206,1.771","-38.550,51.450,13.800",6243,7,1.27,37.496484,126.957923,1169,0,1,0,-69,-69.2,11695,13,5717
17:57:46,0.500,639665,639665,0,1,37.496483,126.957924,0.029,167.4,0.015,1,167.4,"5.746,5.215,5.741","1.725,1.473,0.275","-37.500,51.450,13.800",6243,7,1.27,37.496483,126.957921,1170,0,1,0,-70,-69.3,11696,18,5717
17:57:46,0.500,639687,639687,0,1,37.496483,126.957924,0.029,167.4,0.015,1,167.4,"5.708,5.018,5.842","0.511,1.802,0.992","-37.800,51.450,13.500",6243,7,1.27,37.496483,126.957921,1170,0,1,0,-70,-69.3,11696,40,5717
17:57:46,0.500,639709,639709,0,1,37.496483,126.957924,0.029,167.4,0.015,1,167.4,"5.574,5.071,5.789","0.557,-3.122,0.832","-37.500,49.200,15.300",6243,7,1.27,37.496483,126.957921,1170,0,1,0,-70,-69.3,11696,62,5717
