시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,위험송신
17:57:45,0.164,1034391,1034391,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.93,1.00,9.58","3.1,-4.1,1.2","-18.000,-34.050,5.400",0.05,10163,9544,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-69,-68.1,9544,37,9544
17:57:45,0.261,1034441,1034441,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.97,1.05,9.59","-2.8,-3.3,0.4","-19.050,-33.750,3.750",0.02,10163,9544,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-69,-68.1,9544,87,9544
17:57:45,0.305,1034491,1034491,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.84,1.02,9.55","-0.9,-2.3,-0.8","-18.300,-33.750,4.800",0.12,10164,9545,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-67,-67.9,9545,36,9545
17:57:45,0.305,1034541,1034541,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.88,1.14,9.54","-0.4,2.2,-3.2","-18.600,-34.650,5.250",0.13,10164,9545,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-67,-67.9,9545,86,9545
17:57:45,0.305,1034596,1034596,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.94,1.07,9.52","1.1,-0.7,-2.0","-19.050,-34.200,5.250",0.07,10165,9546,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-68,-67.9,9546,34,9546
17:57:45,0.305,1034646,1034646,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-1.05,1.04,9.62","-1.5,1.0,-1.6","-18.450,-32.400,6.150",0.11,10165,9546,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-68,-67.9,9546,84,9546
17:57:46,0.410,1034701,1034701,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.92,0.98,9.53","1.0,-2.4,2.0","-18.000,-32.850,5.700",0.10,10166,9547,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-67,-67.7,9547,38,9547
17:57:46,0.453,1034751,1034751,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.92,0.94,9.50","0.3,-0.2,-1.8","-18.900,-35.550,6.150",0.14,10166,9547,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-67,-67.7,9547,88,9547
17:57:46,0.453,1034801,1034801,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.99,1.04,9.58","-2.5,-0.8,-1.3","-18.900,-34.050,4.950",0.05,10167,9548,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-67,-67.6,9548,26,9548
17:57:46,0.604,1034851,1034851,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-1.01,1.03,9.52","1.0,2.0,-3.0","-17.700,-35.100,5.700",0.10,10167,9548,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-67,-67.6,9548,76,9548
