시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
17:58:17,0.087,671434,671434,0,1,37.496498,126.957932,0.168,167.4,0.139,1,167.4,"5.880,4.803,5.679","-2.435,-0.779,-1.061","-36.750,52.650,13.800",6555,7,1.27,37.496499,126.957930,1233,0,1,0,-66,-66.8,12314,20,6025
17:58:17,0.087,671456,671456,0,1,37.496498,126.957932,0.168,167.4,0.139,1,167.4,"5.770,5.085,5.713","-1.466,-1.527,-3.382","-38.400,54.300,13.650",6555,7,1.27,37.496499,126.957930,1233,0,1,0,-66,-66.8,12314,42,6025
17:58:17,0.087,671511,671511,0,1,37.496498,126.957932,0.168,167.4,0.139,1,167.4,"5.746,5.037,5.722","-1.137,0.008,-0.038","-36.750,53.700,14.250",6556,7,1.27,37.496499,126.957930,1233,0,1,0,-66,-66.6,12315,15,6025
17:58:17,0.087,671533,671533,0,1,37.496498,126.957932,0.168,167.4,0.139,1,167.4,"5.746,4.970,5.760","-1.733,0.626,-0.160","-36.000,56.400,13.500",6556,7,1.27,37.496499,126.957930,1233,0,1,0,-66,-66.5,12316,17,6026
17:58:17,0.087,671555,671555,0,1,37.496498,126.957932,0.168,167.4,0.139,1,167.4,"5.794,4.827,5.775","-1.855,-4.687,0.527","-38.400,54.300,13.950",6556,7,1.27,37.496499,126.957930,1233,0,1,0,-66,-66.5,12316,39,6026
17:58:17,0.088,671577,671577,0,1,37.496498,126.957932,0.168,167.4,0.139,1,167.4,"5.794,4.908,5.765","2.092,-1.954,1.588","-36.300,53.700,12.000",6556,7,1.27,37.496499,126.957930,1233,0,1,0,-66,-66.5,12316,61,6026
17:58:17,0.088,671611,671599,0,1,37.496498,126.957932,0.168,167.4,0.139,1,167.4,"5.665,5.061,5.842","0.611,3.229,-1.122","-36.450,55.050,12.900",6557,7,1.27,37.496499,126.957930,1233,0,1,0,-66,-66.5,12316,95,6026
17:58:17,0.088,671620,671620,0,1,37.496498,126.957932,0.168,167.4,0.139,1,167.4,"5.669,4.927,5.684","1.229,-1.901,1.489","-37.500,53.700,13.050",6557,7,1.27,37.496499,126.957930,1233,0,1,0,-67,-66.6,12317,2,6027
17:58:18,0.177,671642,671642,0,1,37.496498,126.957932,0.168,167.4,0.139,1,167.4,"5.813,5.066,5.674","2.580,-1.534,-1.107","-38.250,52.950,13.800",6557,7,1.27,37.496499,126.957930,1233,0,1,0,-67,-66.7,12318,16,6027
17:58:18,0.213,671664,671664,0,1,37.496498,126.957932,0.123,167.4,0.041,1,167.4,"5.880,5.037,5.669","-1.550,-1.397,-1.145","-36.900,53.100,12.600",6557,7,1.27,37.496500,126.957926,1234,0,1,0,-67,-66.7,12318,38,6027
17:58:18,0.213,671686,671686,0,1,37.496498,126.957932,0.123,167.4,0.041,1,167.4,"5.847,4.985,5.665","-0.863,-0.565,0.183","-36.300,54.150,13.800",6557,7,1.27,37.496500,126.957926,1234,0,1,0,-67,-66.7,12318,60,6027
17:58:18,0.213,671721,671721,0,1,37.496498,126.957932,0.123,167.4,0.041,1,167.4,"5.717,5.157,5.550","1.489,1.160,-0.641","-37.800,53.400,14.250",6558,7,1.27,37.496500,126.957926,1234,0,1,0,-67,-66.8,12319,4,6028
17:58:18,0.213,671742,671742,0,1,37.496498,126.957932,0.123,167.4,0.041,1,167.4,"5.746,5.138,5.502","0.817,1.611,-0.061","-38.400,52.800,14.400",6558,7,1.27,37.496500,126.957926,1234,0,1,0,-67,-66.8,12319,25,6028
17:58:18,0.300,671764,671764,0,1,37.496498,126.957932,0.123,167.4,0.041,1,167.4,"5.808,5.157,5.698","1.053,1.603,1.954","-37.050,53.700,15.300",6558,7,1.27,37.496500,126.957926,1234,0,1,0,-67,-66.8,12319,47,6028
17:58:18,0.332,671786,671786,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.631,5.042,5.497","0.702,0.573,-1.244","-37.200,54.300,13.200",6558,7,1.27,37.496500,126.957926,1235,0,1,0,-67,-66.8,12319,69,6028
17:58:18,0.332,671821,671820,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.665,5.138,5.550","1.160,0.832,0.908","-37.200,54.000,12.900",6559,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.5,12321,8,6029
17:58:18,0.332,671842,671842,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.765,5.061,5.607","-1.557,-0.580,0.435","-36.750,54.900,13.800",6559,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.5,12321,29,6029
17:58:18,0.418,671886,671886,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.899,5.033,5.636","-3.557,-1.962,0.870","-37.950,54.000,13.200",6559,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.5,12321,73,6029
17:58:18,0.449,671942,671942,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.693,5.071,5.655","-1.229,-0.214,-0.878","-37.950,53.100,13.950",6560,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.3,12323,28,6030
17:58:18,0.534,671964,671964,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.780,5.023,5.593","-0.931,0.313,-0.802","-37.800,52.200,12.750",6560,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.3,12323,50,6030
17:58:18,0.565,672021,672021,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.775,4.942,5.775","-0.115,-1.221,-0.389","-36.000,53.700,14.250",6561,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12325,5,6031
17:58:18,0.565,672042,672042,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.622,5.071,5.770","-1.405,0.672,-0.733","-38.400,54.750,15.150",6561,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12325,26,6031
17:58:18,0.649,672064,672064,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.727,5.133,5.741","-1.794,-1.794,-0.344","-34.950,54.000,14.700",6561,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12325,48,6031
17:58:18,0.681,672121,672121,0,1,37.496498,126.957932,0.095,167.4,0.041,1,167.4,"5.804,5.104,5.574","-0.069,0.718,-0.221","-37.050,53.400,12.750",6562,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.1,12327,7,6032
17:58:18,0.681,672142,672142,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.622,5.013,5.550","2.282,0.412,-1.992","-36.750,54.150,13.050",6562,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.1,12327,28,6032
17:58:18,0.773,672164,672164,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.832,5.239,5.727","3.725,2.191,-0.443","-37.950,54.000,13.650",6562,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.1,12327,50,6032
17:58:18,0.804,672186,672186,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.612,5.095,5.612","-0.107,-0.908,-1.122","-35.700,56.250,12.600",6562,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.1,12327,72,6032
17:58:18,0.804,672219,672219,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.794,4.990,5.574","-1.099,-0.740,-1.313","-34.800,53.700,11.250",6563,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12329,6,6033
17:58:18,0.804,672241,672241,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.708,5.066,5.760","-0.053,-0.786,-0.435","-35.250,53.700,13.050",6563,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12329,28,6033
17:58:18,0.901,672263,672263,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.799,5.080,5.679","-2.198,-1.229,-1.962","-36.450,54.750,12.900",6563,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12329,50,6033
17:58:18,0.937,672319,672307,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.832,5.047,5.689","-3.344,-0.115,-2.206","-36.750,54.150,13.050",6564,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12330,6,6033
17:58:18,0.937,672327,672327,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.708,5.033,5.732","0.687,0.672,0.351","-36.750,53.400,13.500",6564,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12331,8,6034
17:58:18,0.937,672349,672349,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.746,5.071,5.607","2.427,-0.824,0.427","-37.050,55.650,13.500",6564,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12331,30,6034
17:58:18,0.937,672371,672371,0,1,37.496498,126.957924,0.095,167.4,0.041,1,167.4,"5.665,5.090,5.488","2.756,2.183,-2.053","-37.500,54.450,13.800",6564,7,1.27,37.496500,126.957926,1235,0,1,0,-66,-66.2,12331,52,6034
