시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,위험송신
17:58:17,0.050,1066568,1066568,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.99,1.24,9.58","-0.6,0.7,-1.2","-19.950,-33.600,5.400",0.20,10480,9858,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-63,-64.8,9858,28,9858
17:58:17,0.050,1066618,1066618,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.82,1.07,9.73","-0.1,-0.0,-3.3","-19.350,-32.550,5.250",0.20,10480,9858,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-63,-64.8,9858,78,9858
17:58:18,0.139,1066668,1066668,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-1.06,0.99,9.58","0.4,0.1,0.7","-19.800,-34.650,6.000",0.11,10481,9859,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-63,-64.4,9859,28,9859
17:58:18,0.176,1066718,1066718,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-1.05,1.03,9.61","0.9,0.3,-1.0","-19.350,-34.950,6.000",0.09,10481,9859,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-63,-64.4,9859,78,9859
17:58:18,0.176,1066768,1066768,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.86,1.08,9.51","0.9,-0.8,-0.8","-19.800,-33.750,5.250",0.13,10482,9860,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-64,-64.3,9860,6,9860
17:58:18,0.177,1066818,1066818,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.95,1.03,9.61","0.7,-1.5,-2.5","-19.800,-34.950,4.050",0.03,10482,9860,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-64,-64.3,9860,56,9860
17:58:18,0.267,1066868,1066868,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.93,1.10,9.62","-0.9,0.0,0.3","-20.100,-33.750,4.500",0.07,10483,9860,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-64,-64.3,9860,106,9860
17:58:18,0.300,1066918,1066918,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.94,0.95,9.65","1.9,0.6,0.3","-19.800,-33.750,6.000",0.11,10483,9860,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-64,-64.3,9860,156,9860
17:58:18,0.384,1066973,1066973,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.98,0.92,9.59","2.3,-0.8,-0.2","-19.050,-34.200,6.750",0.11,10484,9861,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-63,-64.1,9861,25,9861
17:58:18,0.417,1067023,1067023,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.93,1.02,9.59","-0.2,-2.5,0.3","-19.800,-34.950,4.800",0.03,10484,9861,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-63,-64.1,9861,75,9861
