시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
18:11:14,0.110,1447578,1447578,0,1,37.496494,126.957977,0.097,182.5,0.010,1,181.5,"6.656,4.338,5.181","-1.260,-3.374,3.595","-58.200,83.850,-30.750",14181,7,1.23,37.496496,126.957978,2785,0,1,0,-71,-71.2,26352,49,13022
18:11:14,0.110,1447600,1447600,0,1,37.496494,126.957977,0.097,182.5,0.010,1,181.5,"6.761,4.166,5.406","0.176,-0.939,-0.794","-59.550,83.400,-30.600",14181,7,1.23,37.496496,126.957978,2785,0,1,0,-71,-71.2,26352,71,13022
18:11:14,0.110,1447628,1447628,0,1,37.496494,126.957977,0.097,182.5,0.010,1,181.5,"6.867,4.056,5.033","0.053,-3.802,1.397","-57.450,83.100,-28.950",14182,7,1.23,37.496496,126.957978,2785,0,1,0,-71,-71.1,26353,8,13022
18:11:14,0.110,1447650,1447650,0,1,37.496494,126.957977,0.097,182.5,0.010,1,181.5,"6.522,4.520,6.163","1.794,-2.939,1.664","-57.750,84.150,-31.350",14182,7,1.23,37.496496,126.957978,2785,0,1,0,-71,-71.1,26354,18,13023
18:11:14,0.204,1447672,1447672,0,1,37.496498,126.957977,0.078,182.5,0.041,1,181.5,"6.857,4.175,5.689","1.740,-0.496,3.344","-57.900,85.500,-29.700",14182,7,1.23,37.496502,126.957977,2786,0,1,0,-71,-71.1,26354,40,13023
18:11:14,0.242,1447694,1447694,0,1,37.496498,126.957977,0.078,182.5,0.041,1,181.5,"6.670,4.228,5.406","0.710,2.267,-2.542","-58.500,83.700,-30.300",14182,7,1.23,37.496502,126.957977,2786,0,1,0,-71,-71.1,26354,62,13023
18:11:14,0.242,1447729,1447729,0,1,37.496498,126.957977,0.078,182.5,0.041,1,181.5,"6.493,4.204,5.617","-3.603,-0.824,-3.221","-57.750,83.700,-29.850",14183,7,1.23,37.496502,126.957977,2786,0,1,0,-71,-71.1,26354,97,13023
18:11:14,0.243,1447751,1447751,0,1,37.496498,126.957977,0.078,182.5,0.041,1,181.5,"6.436,4.372,5.282","-2.328,-4.802,-0.870","-55.950,85.500,-31.950",14183,7,1.23,37.496502,126.957977,2786,0,1,0,-72,-71.3,26356,18,13024
18:11:14,0.336,1447773,1447773,0,1,37.496498,126.957977,0.078,182.5,0.041,1,181.5,"6.579,4.554,5.353","-0.939,-4.099,-2.260","-56.700,83.850,-30.750",14183,7,1.23,37.496502,126.957977,2786,0,1,0,-72,-71.3,26356,40,13024
18:11:14,0.372,1447874,1447874,0,1,37.496502,126.957977,0.065,182.5,0.041,1,181.5,"6.622,4.180,5.329","-0.229,1.481,-1.947","-55.800,84.150,-31.350",14184,7,1.23,37.496502,126.957977,2787,0,1,0,-71,-71.2,26357,51,13024
