시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,위험송신
18:11:13,0.069,1842706,1842706,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.97,1.07,9.57","1.9,-0.7,0.6","-19.800,-34.200,4.500",0.03,18129,16902,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-70,-71.4,16902,40,16902
18:11:14,0.166,1842756,1842756,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-1.02,1.07,9.54","0.1,-2.0,-0.2","-18.600,-34.650,4.800",0.08,18129,16902,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-70,-71.4,16902,90,16902
18:11:14,0.204,1842806,1842806,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.97,1.03,9.65","0.8,0.6,-0.6","-18.900,-34.050,4.650",0.07,18130,16903,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-71,-71.3,16903,38,16903
18:11:14,0.298,1842911,1842911,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.93,1.08,9.66","-0.0,-0.7,1.2","-18.450,-34.350,6.900",0.08,18131,16904,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-71,-71.2,16904,27,16904
18:11:14,0.475,1843061,1843061,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.93,1.15,9.68","0.9,1.1,-2.0","-18.600,-33.450,4.500",0.12,18132,16905,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-72,-71.4,16905,88,16905
18:11:14,0.665,1843261,1843261,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.81,1.01,9.60","1.5,-2.3,0.9","-18.900,-33.600,5.700",0.15,18134,16907,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-73,-72.0,16907,89,16907
18:11:14,0.713,1843361,1843361,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-1.07,1.00,9.59","2.8,-2.4,-1.3","-18.900,-35.100,3.450",0.14,18135,16908,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-73,-72.2,16908,68,16908
18:11:14,0.806,1843411,1843411,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.93,1.10,9.67","2.4,-2.0,3.1","-18.900,-34.350,6.150",0.08,18136,16909,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-72,-72.1,16909,29,16909
18:11:14,0.846,1843461,1843461,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.87,0.99,9.50","0.6,1.7,1.0","-18.600,-33.000,4.500",0.14,18136,16909,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-72,-72.1,16909,79,16909
18:11:14,0.846,1843511,1843511,0,0,0,0.000000,0.000000,0.00,0.0,0.000,0,0.0,"-0.98,1.12,9.67","-0.6,1.7,-3.8","-19.800,-33.750,5.400",0.10,18137,16910,0,99.00,0.000000,0.000000,0,0,0,0,-1.00,0.00,999.00,0.0,0,0,0,0,-71,-71.9,16910,32,16910
