시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
18:12:53,0.134,1546590,1546590,0,1,37.496555,126.957909,0.163,198.0,0.077,1,200.2,"6.239,4.530,5.339","-12.771,-10.450,0.511","-40.800,50.250,13.500",15154,7,1.22,37.496556,126.957908,2983,0,1,0,-72,-71.3,28164,8,13902
18:12:53,0.186,1546612,1546612,0,1,37.496555,126.957909,0.163,198.0,0.077,1,200.2,"6.388,4.353,5.234","-7.580,-5.107,-1.336","-41.250,51.000,12.300",15154,7,1.22,37.496556,126.957908,2983,0,1,0,-72,-71.3,28164,30,13902
18:12:53,0.210,1546756,1546756,0,1,37.496555,126.957909,0.129,198.0,0.067,1,200.2,"6.043,4.750,5.732","-9.679,-7.031,-0.290","-41.550,47.550,13.050",15155,7,1.22,37.496553,126.957904,2984,0,1,0,-72,-71.4,28166,71,13903
18:12:53,0.210,1546791,1546791,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"5.880,4.793,4.879","14.229,9.710,0.031","-42.750,47.550,13.050",15156,7,1.22,37.496553,126.957904,2985,0,1,0,-72,-71.6,28168,2,13904
18:12:53,0.429,1546813,1546813,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.134,4.525,5.397","19.328,13.901,-0.344","-42.150,47.400,12.150",15156,7,1.22,37.496553,126.957904,2985,0,1,0,-72,-71.6,28168,24,13904
18:12:53,0.509,1547013,1547013,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.072,4.329,5.995","-12.664,-9.260,2.542","-42.450,48.900,14.400",15158,7,1.22,37.496553,126.957904,2985,0,1,0,-73,-72.8,28171,15,13905
18:12:53,0.509,1547035,1547035,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.120,4.583,6.182","-10.954,-10.435,-0.924","-42.900,48.600,11.850",15158,7,1.22,37.496553,126.957904,2985,0,1,0,-73,-72.8,28171,37,13905
18:12:53,0.510,1547057,1547057,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.201,4.539,5.918","-9.099,-6.244,-1.687","-41.250,49.500,13.050",15158,7,1.22,37.496553,126.957904,2985,0,1,0,-73,-72.8,28171,59,13905
18:12:53,0.510,1547092,1547092,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.263,4.463,5.559","0.588,-2.885,-0.015","-43.050,48.000,12.300",15159,7,1.22,37.496553,126.957904,2985,0,1,0,-75,-73.2,28172,13,13905
18:12:53,0.510,1547113,1547113,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.254,4.559,5.234","1.496,-2.107,0.260","-42.450,46.650,12.150",15159,7,1.22,37.496553,126.957904,2985,0,1,0,-75,-73.6,28173,18,13906
18:12:53,0.638,1547135,1547135,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.067,4.353,5.052","4.473,3.137,0.290","-42.450,49.650,12.900",15159,7,1.22,37.496553,126.957904,2985,0,1,0,-75,-73.6,28173,40,13906
18:12:53,0.681,1547190,1547190,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.139,4.448,5.622","2.855,-0.336,-1.160","-40.950,47.850,13.950",15160,7,1.22,37.496553,126.957904,2985,0,1,0,-71,-73.1,28174,4,13906
18:12:53,0.681,1547212,1547212,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.407,4.391,5.847","-4.725,-3.137,-0.008","-40.950,50.100,14.400",15160,7,1.22,37.496553,126.957904,2985,0,1,0,-74,-73.3,28175,19,13907
18:12:53,0.681,1547234,1547234,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.172,4.487,5.875","-7.916,-5.947,1.015","-42.000,47.250,11.250",15160,7,1.22,37.496553,126.957904,2985,0,1,0,-74,-73.3,28175,41,13907
18:12:53,0.681,1547256,1547256,0,1,37.496555,126.957909,0.107,198.0,0.067,1,200.2,"6.014,4.602,5.856","-9.947,-9.450,0.649","-42.000,47.550,13.050",15160,7,1.22,37.496553,126.957904,2985,0,1,0,-74,-73.3,28175,63,13907
