시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
18:15:36,0.096,1709631,1709631,0,1,37.496464,126.957916,0.149,316.0,0.165,1,316.1,"6.349,4.520,5.195","1.573,3.191,-0.237","-51.900,45.150,10.650",16755,7,1.22,37.496463,126.957920,3309,0,1,0,-65,-64.8,30712,5,15200
18:15:36,0.096,1709652,1709652,0,1,37.496464,126.957916,0.149,316.0,0.165,1,316.1,"6.455,4.669,5.315","1.511,-0.511,0.794","-52.950,42.750,10.350",16755,7,1.22,37.496463,126.957920,3309,0,1,0,-65,-64.8,30712,26,15200
18:15:36,0.096,1709674,1709674,0,1,37.496464,126.957916,0.118,316.0,0.062,1,316.1,"6.345,4.664,5.282","-0.511,-0.695,1.450","-52.800,43.800,10.200",16755,7,1.22,37.496464,126.957916,3310,0,1,0,-65,-64.8,30712,48,15200
18:15:36,0.182,1709696,1709696,0,1,37.496464,126.957916,0.118,316.0,0.062,1,316.1,"6.570,4.602,5.416","-0.763,-2.893,0.145","-53.250,42.600,8.400",16755,7,1.22,37.496464,126.957916,3310,0,1,0,-65,-64.8,30712,70,15200
18:15:36,0.213,1709731,1709731,0,1,37.496464,126.957916,0.118,316.0,0.062,1,316.1,"6.460,4.377,5.296","-3.985,-6.206,1.221","-51.900,43.950,10.650",16756,7,1.22,37.496464,126.957916,3310,0,1,0,-64,-64.5,30714,3,15201
18:15:36,0.213,1709752,1709752,0,1,37.496464,126.957916,0.118,316.0,0.062,1,316.1,"6.613,4.592,5.377","-4.389,-3.046,-0.282","-54.150,45.150,10.050",16756,7,1.22,37.496464,126.957916,3310,0,1,0,-64,-64.5,30714,24,15201
18:15:36,0.213,1709774,1709774,0,1,37.496464,126.957916,0.118,316.0,0.062,1,316.1,"6.723,4.453,5.444","-3.214,-3.504,-0.069","-51.450,43.500,9.300",16756,7,1.22,37.496464,126.957916,3310,0,1,0,-64,-64.5,30714,46,15201
18:15:36,0.213,1709796,1709796,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.598,4.520,5.258","0.656,-1.237,1.069","-52.500,43.350,9.750",16756,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.5,30714,68,15201
18:15:36,0.213,1709831,1709831,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.483,4.611,5.373","-0.634,0.947,1.237","-51.000,42.600,9.750",16757,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.3,30716,1,15202
18:15:36,0.213,1709853,1709853,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.450,4.492,5.286","-2.794,1.389,-1.344","-50.700,42.750,8.850",16757,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.3,30716,23,15202
18:15:36,0.316,1709875,1709875,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.373,4.745,5.397","-3.366,-0.626,-1.191","-51.750,44.550,8.700",16757,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.3,30716,45,15202
18:15:36,0.352,1709932,1709932,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.349,4.496,5.411","-0.290,-1.481,-1.542","-51.750,42.600,10.500",16758,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.2,30718,3,15203
18:15:36,0.352,1709954,1709954,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.340,4.535,5.468","-1.168,-1.252,0.931","-52.650,42.450,10.050",16758,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.2,30718,25,15203
18:15:36,0.352,1709976,1709976,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.579,4.659,5.703","-2.786,-1.237,-0.695","-53.550,42.150,9.000",16758,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.2,30718,47,15203
18:15:36,0.352,1709998,1709998,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.378,4.741,5.507","-1.000,-4.008,1.756","-52.200,43.200,10.350",16758,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.2,30718,69,15203
18:15:36,0.452,1710055,1710055,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.412,4.650,5.464","-2.260,-2.389,0.672","-51.300,42.150,9.750",16759,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.1,30720,23,15204
18:15:36,0.488,1710077,1710077,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.479,4.549,5.454","0.244,-2.275,0.992","-52.500,43.050,9.000",16759,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.1,30720,45,15204
18:15:36,0.595,1710099,1710099,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"4.764,4.429,5.066","4.550,1.779,-2.802","-53.550,42.600,10.200",16759,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.1,30720,67,15204
18:15:36,0.635,1710155,1710155,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.340,4.544,5.315","2.641,1.656,-0.565","-52.500,44.100,10.500",16760,7,1.22,37.496464,126.957916,3311,0,1,0,-65,-64.3,30722,17,15205
18:15:36,0.635,1710177,1710177,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.460,4.597,5.488","1.595,-0.740,-1.687","-52.050,43.350,8.700",16760,7,1.22,37.496464,126.957916,3311,0,1,0,-65,-64.3,30722,39,15205
18:15:36,0.635,1710199,1710199,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.828,4.683,6.445","0.679,0.000,3.947","-50.700,43.950,10.050",16760,7,1.22,37.496464,126.957916,3311,0,1,0,-65,-64.3,30722,61,15205
18:15:36,0.741,1710232,1710232,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.565,4.592,5.488","0.290,1.260,3.496","-51.750,43.050,9.450",16761,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.2,30723,14,15205
18:15:36,0.781,1710254,1710254,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.493,4.583,5.133","-0.534,-3.023,3.160","-51.450,43.200,9.300",16761,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.2,30724,19,15206
18:15:36,0.781,1710276,1710276,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.474,4.578,5.234","-1.748,-3.611,4.679","-52.650,43.200,10.650",16761,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.2,30724,41,15206
18:15:36,0.781,1710298,1710298,0,1,37.496464,126.957916,0.099,316.0,0.062,1,316.1,"6.450,4.654,5.329","-3.023,-1.702,3.893","-52.650,42.750,8.850",16761,7,1.22,37.496464,126.957916,3311,0,1,0,-64,-64.2,30724,63,15206
