시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
17:29:12,0.158,1626383,1626383,0,1,37.496605,126.957870,0.004,188.0,0.000,1,187.0,"4.013,-6.191,6.790","-1.092,-1.397,-2.221","-14.400,12.000,-2.250",15883,8,1.23,37.496605,126.957871,2164,8,191,1,-76,-75.5,30471,12,15097
17:29:12,0.376,1626449,1626449,0,1,37.496605,126.957870,0.004,188.0,0.000,1,187.0,"4.128,-6.129,6.651","-0.053,-1.656,0.969","-13.950,13.200,-0.900",15883,8,1.23,37.496605,126.957871,2164,8,191,1,-75,-75.4,30472,59,15098
17:29:13,1.202,1626706,1626706,0,1,37.496605,126.957870,0.014,188.0,0.021,1,187.0,"4.013,-5.976,6.637","-0.519,-0.992,2.588","-13.200,13.500,0.450",15886,8,1.23,37.496607,126.957872,2166,8,191,1,-76,-76.2,30478,10,15101
17:29:13,1.346,1627543,1627543,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"4.085,-6.057,6.795","0.206,0.191,1.099","-13.500,13.350,-1.050",15894,8,1.23,37.496609,126.957872,2167,8,191,1,-75,-74.5,30492,40,15107
17:29:13,1.398,1627600,1627600,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"3.955,-5.938,6.689","0.115,-3.786,0.473","-12.300,13.050,0.600",15895,8,1.23,37.496609,126.957872,2167,8,191,1,-75,-74.6,30493,11,15107
17:29:13,1.455,1627644,1627644,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"4.147,-5.928,6.642","-0.389,0.260,-2.008","-13.650,13.950,-0.450",15895,8,1.23,37.496609,126.957872,2167,8,191,1,-75,-74.6,30493,55,15107
17:29:13,1.621,1627722,1627722,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"4.104,-6.096,6.895","-2.527,-1.557,0.885","-13.950,10.500,0.150",15896,8,1.23,37.496609,126.957872,2168,8,191,1,-76,-74.9,30494,34,15107
17:29:13,1.786,1627945,1627945,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"4.022,-6.124,6.761","0.038,-0.779,-1.702","-13.500,12.300,0.300",15898,8,1.23,37.496609,126.957872,2168,8,191,1,-76,-74.7,30498,51,15109
17:29:13,2.061,1628023,1628023,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"4.108,-5.904,6.632","0.015,-0.771,1.015","-13.200,12.450,-0.150",15899,8,1.23,37.496609,126.957872,2168,8,191,1,-75,-74.6,30500,35,15110
17:29:13,2.119,1628322,1628322,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"3.898,-6.053,6.718","-2.153,0.863,-1.718","-14.250,13.050,0.300",15902,8,1.23,37.496609,126.957872,2168,8,191,1,-75,-74.7,30506,28,15113
17:29:13,2.119,1628344,1628344,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"3.989,-5.971,6.747","0.290,1.687,-1.008","-12.450,14.400,0.150",15902,8,1.23,37.496609,126.957872,2168,8,191,1,-75,-74.7,30506,50,15113
17:29:14,2.173,1628366,1628366,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"4.041,-6.019,6.622","-0.702,1.244,-1.145","-13.800,13.050,0.300",15902,8,1.23,37.496609,126.957872,2168,8,191,1,-75,-74.7,30506,72,15113
17:29:14,2.180,1628408,1628408,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"4.003,-6.062,6.732","0.260,-1.107,3.672","-12.300,12.300,-0.300",15903,8,1.23,37.496609,126.957872,2168,8,191,1,-75,-74.8,30508,0,15114
17:29:14,2.232,1628430,1628430,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"4.022,-6.053,6.780","-0.115,-0.916,1.084","-13.650,13.950,-1.200",15903,8,1.23,37.496609,126.957872,2168,8,191,1,-75,-74.8,30508,22,15114
17:29:14,2.392,1628474,1628474,0,1,37.496609,126.957870,0.012,188.0,0.010,1,187.0,"4.104,-5.986,6.809","-2.069,1.237,-0.137","-13.950,13.500,-0.150",15903,8,1.23,37.496609,126.957872,2168,8,191,1,-75,-74.8,30508,66,15114
17:29:14,2.477,1628733,1628733,0,1,37.496609,126.957870,0.014,188.0,0.015,1,187.0,"4.099,-6.024,6.795","-1.962,-1.420,0.794","-12.900,12.000,-1.500",15906,8,1.23,37.496612,126.957872,2170,8,191,1,-77,-76.6,30514,23,15117
17:29:14,2.850,1628812,1628812,0,1,37.496609,126.957870,0.014,188.0,0.015,1,187.0,"4.022,-6.120,6.780","0.153,-1.618,1.061","-14.700,13.200,0.900",15907,8,1.23,37.496612,126.957872,2170,8,191,1,-75,-76.2,30515,2,15117
17:29:14,2.894,1629058,1629058,0,1,37.496609,126.957870,0.014,188.0,0.015,1,187.0,"4.180,-5.933,6.814","-2.260,-2.389,0.084","-14.550,13.800,0.600",15909,8,1.23,37.496612,126.957872,2170,8,191,1,-74,-75.0,30520,9,15120
17:29:14,2.894,1629080,1629080,0,1,37.496609,126.957870,0.014,188.0,0.015,1,187.0,"3.960,-5.938,6.665","-1.634,-1.802,0.153","-13.950,13.500,0.900",15909,8,1.23,37.496612,126.957872,2170,8,191,1,-74,-75.0,30520,31,15120
17:29:14,3.018,1629135,1629135,0,1,37.496609,126.957870,0.014,188.0,0.015,1,187.0,"4.075,-6.009,6.704","-0.168,2.740,-2.008","-12.900,13.950,-0.450",15910,8,1.23,37.496612,126.957872,2170,8,191,1,-75,-75.0,30521,27,15120
17:29:15,3.345,1629243,1629243,0,1,37.496609,126.957870,0.014,188.0,0.015,1,187.0,"4.065,-6.120,6.675","-1.107,-0.977,-1.191","-13.950,14.400,-0.450",15911,8,1.23,37.496612,126.957872,2170,8,191,1,-77,-75.5,30523,26,15121
17:29:15,3.403,1629674,1629674,0,1,37.496613,126.957870,0.030,188.0,0.041,1,187.0,"4.056,-6.086,6.637","0.000,-2.405,0.550","-12.750,10.350,-1.050",15915,8,1.23,37.496614,126.957871,2172,8,191,1,-79,-77.5,30531,6,15125
17:29:15,3.673,1629696,1629696,0,1,37.496613,126.957870,0.030,188.0,0.041,1,187.0,"4.051,-6.062,6.771","-1.664,-0.252,-1.664","-13.500,12.600,0.000",15915,8,1.23,37.496614,126.957871,2172,8,191,1,-79,-77.5,30531,28,15125
17:29:15,3.716,1629933,1629933,0,1,37.496613,126.957870,0.030,188.0,0.041,1,187.0,"3.912,-6.067,6.780","-1.466,-0.321,0.038","-13.800,13.350,0.300",15918,8,1.23,37.496614,126.957871,2172,8,191,1,-77,-77.2,30535,60,15127
17:29:15,3.773,1629955,1629955,0,1,37.496613,126.957870,0.030,188.0,0.041,1,187.0,"4.099,-5.952,6.718","-1.008,1.389,0.450","-13.200,12.000,-0.450",15918,8,1.23,37.496614,126.957871,2172,8,191,1,-77,-77.2,30536,21,15127
17:29:15,3.972,1630034,1630034,0,1,37.496613,126.957870,0.030,188.0,0.041,1,187.0,"4.027,-6.120,6.642","-2.916,1.412,2.076","-12.750,12.300,-1.050",15919,8,1.23,37.496614,126.957871,2172,8,191,1,-77,-77.4,30538,7,15128
17:29:15,3.995,1630156,1630156,0,1,37.496613,126.957870,0.030,188.0,0.041,1,187.0,"4.051,-6.139,6.728","0.046,0.305,-0.832","-12.150,13.500,-1.500",15920,8,1.23,37.496614,126.957871,2172,8,191,1,-78,-77.3,30540,31,15129
17:29:16,4.212,1630200,1630200,0,1,37.496613,126.957870,0.030,188.0,0.041,1,187.0,"4.046,-5.986,6.680","-1.130,-0.779,0.053","-11.250,13.350,-1.800",15920,8,1.23,37.496614,126.957871,2172,8,191,1,-78,-77.3,30540,75,15129
17:29:16,4.475,1630484,1630484,0,1,37.496613,126.957870,0.030,188.0,0.041,1,187.0,"4.056,-6.105,6.790","-1.153,1.573,-0.466","-13.650,11.700,1.200",15923,8,1.23,37.496614,126.957871,2172,8,191,1,-74,-75.3,30545,41,15131
17:29:17,5.216,1630795,1630795,0,1,37.496616,126.957870,0.018,188.0,0.010,1,187.0,"4.219,-6.062,6.670","-0.168,2.450,-1.534","-12.750,12.600,-0.600",15926,7,1.42,37.496617,126.957871,2174,8,191,1,-78,-75.6,30551,47,15134
17:29:17,5.562,1631490,1631490,0,1,37.496616,126.957870,0.018,188.0,0.010,1,187.0,"4.037,-5.952,6.637","-1.855,-1.809,-0.061","-12.750,13.050,-0.300",15933,7,1.42,37.496617,126.957871,2174,8,191,1,-77,-75.7,30563,17,15139
17:29:17,5.610,1631835,1631835,0,1,37.496616,126.957870,0.017,188.0,0.015,1,187.0,"3.955,-5.986,6.713","-0.221,-1.756,0.809","-13.050,13.350,-0.300",15936,7,1.42,37.496619,126.957871,2176,8,191,1,-76,-75.5,30568,77,15141
17:29:17,5.843,1631870,1631870,0,1,37.496616,126.957870,0.017,188.0,0.015,1,187.0,"4.147,-5.942,6.776","-1.863,-0.382,-0.947","-12.900,11.250,0.150",15937,7,1.42,37.496619,126.957871,2176,8,191,1,-76,-75.5,30568,112,15141
