시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,위험송신
17:29:14,2.744,1639366,1639354,0,0,1,37.496569,126.958056,0.05,178.0,0.103,1,182.8,"-0.06,1.49,9.60","-1.0,-2.2,-0.5","-21.000,-31.500,-3.000",0.06,15944,15390,5,1.80,37.496550,126.958050,670,24,84,6,16.99,-0.06,999.00,106.9,0,0,1,0,-71,-71.1,15390,13,15390
17:29:14,2.945,1640361,1640361,0,0,1,37.496566,126.958055,0.04,178.0,0.005,1,182.8,"0.01,1.51,9.49","1.6,-1.1,1.0","-20.550,-31.800,-1.050",0.13,15953,15399,5,1.80,37.496550,126.958050,672,24,84,6,16.99,-0.03,999.00,108.2,0,0,1,0,-70,-71.1,15399,96,15399
17:29:15,3.884,1640416,1640416,0,0,1,37.496566,126.958055,0.04,178.0,0.005,1,182.8,"-0.05,1.43,9.65","0.2,-1.1,1.6","-20.550,-35.400,-1.500",0.15,15954,15400,5,1.80,37.496550,126.958050,672,24,84,6,16.99,-0.03,999.00,108.2,0,0,1,0,-70,-70.9,15400,47,15400
17:29:17,5.359,1641536,1641536,0,0,1,37.496563,126.958055,0.01,178.0,0.000,1,182.8,"-0.14,1.48,9.58","0.4,-3.2,1.2","-22.050,-32.550,0.000",0.08,15964,15411,5,1.80,37.496550,126.958050,674,24,84,6,17.13,-0.10,999.00,110.1,0,0,1,0,-74,-73.5,15411,50,15411
17:29:17,5.491,1642905,1642905,0,0,1,37.496560,126.958054,0.00,178.0,0.000,1,182.8,"-0.06,1.58,9.56","-0.8,-0.6,0.6","-22.050,-33.000,-1.500",0.04,15977,15424,6,1.40,37.496550,126.958050,677,24,84,6,17.30,-0.10,999.00,111.4,0,0,1,0,-71,-71.6,15424,84,15424
17:29:19,7.256,1643115,1643115,0,0,1,37.496559,126.958053,0.00,178.0,0.000,1,182.8,"-0.07,1.56,9.62","1.7,-1.4,1.6","-21.900,-34.050,-2.400",0.05,15979,15426,6,1.40,37.496550,126.958050,678,24,84,6,17.31,-0.10,999.00,112.6,0,0,1,0,-73,-72.1,15426,96,15426
17:29:21,9.210,1644934,1644934,0,0,1,37.496557,126.958052,0.00,178.0,0.000,1,182.8,"-0.20,1.64,9.51","-0.7,0.1,1.1","-21.750,-32.550,-2.250",0.15,15996,15444,6,1.40,37.496550,126.958050,681,24,84,6,17.50,-0.14,999.00,114.4,0,0,1,0,-71,-71.4,15444,70,15444
17:29:22,10.690,1646829,1646829,0,0,1,37.496556,126.958052,0.00,178.0,0.000,1,182.8,"-0.11,1.52,9.64","0.8,-3.2,-0.4","-20.550,-32.550,-1.050",0.07,16014,15462,6,1.40,37.496550,126.958048,684,24,84,6,17.88,-0.17,999.00,119.0,0,0,1,0,-74,-72.7,15462,41,15462
17:29:24,12.190,1648308,1648297,0,0,1,37.496554,126.958051,0.00,178.0,0.000,1,182.8,"-0.11,1.64,9.60","1.8,-3.0,-1.1","-23.100,-33.150,-1.650",0.08,16028,15476,6,1.40,37.496550,126.958048,688,24,84,6,18.09,-0.18,999.00,120.2,0,0,1,0,-76,-75.6,15476,6,15475
17:29:25,13.839,1649807,1649806,0,0,1,37.496553,126.958050,0.00,178.0,0.000,1,182.8,"-0.14,1.46,9.63","-0.1,-0.7,2.1","-20.550,-33.750,-1.050",0.11,16043,15489,6,1.40,37.496550,126.958048,690,24,84,6,18.30,-0.15,999.00,122.4,0,0,1,0,-75,-75.7,15489,69,15489
17:29:27,15.591,1651555,1651555,0,0,1,37.496552,126.958050,0.00,178.0,0.000,1,182.8,"-0.01,1.50,9.54","1.3,-0.7,-2.8","-21.000,-33.000,-2.250",0.09,16059,15506,6,1.40,37.496550,126.958048,694,24,84,6,18.53,-0.18,999.00,123.5,0,0,1,0,-76,-76.2,15506,94,15506
