시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
17:30:08,0.250,1683186,1683186,0,1,37.496658,126.957901,0.018,188.0,0.021,1,187.0,"3.917,-6.043,6.747","-2.840,-0.015,1.198","-13.650,13.500,0.150",16441,8,1.12,37.496659,126.957899,2278,8,191,1,-87,-84.5,31430,54,15537
17:30:08,0.294,1683256,1683256,0,1,37.496658,126.957901,0.018,188.0,0.021,1,187.0,"4.104,-6.081,6.833","-2.443,0.122,1.534","-13.200,13.500,-2.250",16442,8,1.12,37.496659,126.957899,2278,8,191,1,-87,-84.5,31430,124,15537
17:30:09,0.349,1683322,1683322,0,1,37.496658,126.957901,0.018,188.0,0.021,1,187.0,"4.128,-6.057,6.737","-0.924,-4.527,-3.214","-14.400,12.000,0.450",16442,8,1.12,37.496659,126.957899,2278,8,191,1,-86,-84.7,31432,9,15538
17:30:09,0.458,1683371,1683371,0,1,37.496658,126.957901,0.018,188.0,0.021,1,187.0,"4.017,-6.005,6.670","-2.802,-0.443,1.031","-11.700,13.950,1.200",16443,8,1.12,37.496659,126.957899,2278,8,191,1,-84,-84.6,31433,27,15538
17:30:09,0.602,1683492,1683492,0,1,37.496658,126.957901,0.018,188.0,0.021,1,187.0,"4.022,-6.048,6.785","-1.015,-3.786,1.695","-12.750,13.350,1.350",16444,8,1.12,37.496659,126.957899,2278,8,191,1,-84,-84.4,31435,58,15539
17:30:09,0.872,1683623,1683623,0,1,37.496658,126.957901,0.014,188.0,0.005,1,187.0,"4.041,-5.933,6.713","0.267,-1.443,-0.351","-15.300,13.350,-0.600",16445,8,1.12,37.496660,126.957898,2279,8,191,1,-82,-83.4,31437,73,15540
17:30:09,1.140,1683880,1683880,0,1,37.496658,126.957901,0.011,188.0,0.005,1,187.0,"4.089,-6.076,6.756","0.481,0.496,-1.366","-14.550,13.350,-0.600",16448,8,1.12,37.496660,126.957898,2280,8,191,1,-84,-84.0,31441,34,15542
17:30:09,1.252,1684201,1684201,0,1,37.496658,126.957901,0.011,188.0,0.005,1,187.0,"4.022,-6.100,6.713","-0.588,-3.191,1.221","-12.300,13.350,0.000",16451,8,1.12,37.496660,126.957898,2280,8,191,1,-81,-82.2,31445,59,15543
17:30:10,1.574,1684265,1684265,0,1,37.496658,126.957901,0.011,188.0,0.005,1,187.0,"4.032,-6.076,6.795","0.405,-0.847,-0.038","-15.000,12.300,1.050",16452,8,1.12,37.496660,126.957898,2280,8,191,1,-84,-82.6,31446,13,15543
17:30:10,1.750,1684616,1684616,0,1,37.496662,126.957901,0.014,188.0,0.021,1,187.0,"4.166,-6.072,6.823","-0.412,-0.412,1.992","-12.900,12.750,-0.900",16455,8,1.12,37.496661,126.957897,2281,8,191,1,-80,-82.3,31449,38,15544
17:30:10,1.906,1684817,1684817,0,1,37.496662,126.957901,0.016,188.0,0.021,1,187.0,"4.113,-6.019,6.804","-2.084,-2.130,-0.679","-14.400,13.200,-0.150",16457,8,1.12,37.496661,126.957897,2282,8,191,1,-84,-82.9,31452,31,15545
17:30:10,1.923,1684874,1684874,0,1,37.496662,126.957901,0.016,188.0,0.021,1,187.0,"3.984,-5.966,6.661","-0.824,-0.435,-2.870","-14.550,12.600,0.300",16458,8,1.12,37.496661,126.957897,2282,8,191,1,-84,-82.9,31452,88,15545
17:30:11,2.462,1684895,1684895,0,1,37.496662,126.957901,0.016,188.0,0.021,1,187.0,"4.099,-6.024,6.642","-0.687,-2.168,-1.153","-15.150,12.450,0.150",16458,8,1.12,37.496661,126.957897,2282,8,191,1,-84,-82.9,31452,109,15545
17:30:11,2.511,1685437,1685437,0,1,37.496662,126.957901,0.016,188.0,0.021,1,187.0,"4.123,-5.962,6.670","-0.260,0.305,-0.725","-12.150,13.950,-1.950",16463,8,1.12,37.496661,126.957897,2282,8,191,1,-83,-83.0,31460,13,15549
17:30:11,2.582,1685459,1685459,0,1,37.496662,126.957901,0.016,188.0,0.021,1,187.0,"4.108,-5.971,6.742","-0.458,-1.779,0.466","-14.250,13.350,-0.450",16463,8,1.12,37.496661,126.957897,2282,8,191,1,-83,-83.0,31460,35,15549
17:30:11,2.588,1685553,1685553,0,1,37.496662,126.957901,0.018,188.0,0.021,1,187.0,"3.989,-6.029,6.680","-0.115,-3.198,0.260","-13.500,13.050,1.050",16464,8,1.12,37.496662,126.957897,2283,8,191,1,-81,-82.5,31462,35,15550
17:30:11,2.588,1685588,1685588,0,1,37.496662,126.957901,0.018,188.0,0.021,1,187.0,"4.132,-6.096,6.613","-1.641,-0.573,-1.122","-14.400,13.500,-0.150",16465,8,1.12,37.496662,126.957897,2283,8,191,1,-81,-82.5,31462,70,15550
