시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
17:30:35,0.036,1709406,1709406,0,1,37.496666,126.957878,0.013,188.0,0.010,1,187.0,"3.979,-6.172,6.747","-2.137,-2.924,0.115","-13.050,13.800,0.300",16699,7,1.42,37.496664,126.957874,2330,8,191,1,-80,-82.4,31777,73,15683
17:30:35,0.190,1709472,1709472,0,1,37.496666,126.957878,0.013,188.0,0.010,1,187.0,"4.037,-6.009,6.680","-1.847,-2.656,0.557","-13.200,12.000,0.450",16699,7,1.42,37.496664,126.957874,2330,8,191,1,-86,-83.1,31778,38,15684
17:30:35,0.518,1709645,1709645,0,1,37.496662,126.957870,0.014,188.0,0.015,1,187.0,"4.051,-6.038,6.694","-0.939,2.221,0.656","-12.750,12.600,-0.300",16701,7,1.42,37.496663,126.957874,2331,8,191,1,-83,-83.1,31780,4,15685
17:30:35,0.785,1709923,1709923,0,1,37.496662,126.957870,0.014,188.0,0.015,1,187.0,"3.989,-6.076,6.771","0.969,0.702,1.908","-12.900,11.700,1.950",16704,7,1.42,37.496663,126.957874,2332,8,191,1,-86,-83.6,31783,9,15685
17:30:35,0.883,1710231,1710231,0,1,37.496662,126.957870,0.014,188.0,0.015,1,187.0,"4.161,-6.019,6.699","-1.702,-0.802,0.061","-13.500,14.550,0.300",16707,7,1.42,37.496663,126.957874,2332,8,191,1,-82,-83.6,31787,29,15687
17:30:35,0.891,1710330,1710330,0,1,37.496662,126.957870,0.014,188.0,0.015,1,187.0,"4.085,-5.923,6.699","1.099,-2.740,0.725","-12.750,11.850,-2.100",16708,7,1.42,37.496663,126.957874,2332,8,191,1,-83,-83.5,31788,32,15687
17:30:35,0.891,1710352,1710352,0,1,37.496662,126.957870,0.014,188.0,0.015,1,187.0,"4.080,-5.990,6.728","-1.840,-3.183,0.664","-12.450,12.750,-0.450",16708,7,1.42,37.496663,126.957874,2332,8,191,1,-83,-83.5,31788,54,15687
17:30:36,1.052,1710374,1710374,0,1,37.496662,126.957870,0.014,188.0,0.015,1,187.0,"4.022,-6.139,6.752","-2.099,-0.214,-1.908","-13.650,12.750,-1.500",16708,7,1.42,37.496663,126.957874,2332,8,191,1,-83,-83.5,31788,76,15687
17:30:36,1.089,1710538,1710538,0,1,37.496662,126.957870,0.009,188.0,0.000,1,187.0,"3.950,-6.014,6.895","-3.260,1.008,0.260","-11.700,13.500,0.150",16710,7,1.42,37.496662,126.957874,2333,8,191,1,-81,-82.7,31791,32,15688
17:30:36,1.150,1710560,1710560,0,1,37.496662,126.957870,0.009,188.0,0.000,1,187.0,"3.926,-6.057,6.804","-2.183,0.954,-0.435","-15.300,13.050,0.300",16710,7,1.42,37.496662,126.957874,2333,8,191,1,-81,-82.7,31791,54,15688
