시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
17:31:41,0.128,1775547,1775547,0,1,37.496639,126.957893,0.014,188.0,0.015,1,187.0,"4.085,-6.019,6.627","-0.038,-2.252,0.351","-12.750,11.400,-1.350",17349,7,1.41,37.496639,126.957892,2463,8,191,1,-82,-81.9,32728,42,16086
17:31:41,0.389,1775648,1775648,0,1,37.496639,126.957893,0.014,188.0,0.015,1,187.0,"3.994,-6.110,6.713","-2.160,0.511,-3.336","-13.800,12.300,0.300",17350,7,1.41,37.496639,126.957892,2463,8,191,1,-82,-81.9,32729,99,16086
17:31:41,0.670,1776073,1776073,0,1,37.496639,126.957893,0.015,188.0,0.015,1,187.0,"4.061,-6.024,6.766","-2.122,1.534,3.603","-13.950,13.950,1.050",17354,7,1.41,37.496639,126.957892,2464,8,191,1,-82,-82.1,32735,31,16088
17:31:42,0.835,1776272,1776272,0,1,37.496639,126.957893,0.015,188.0,0.015,1,187.0,"4.003,-5.981,6.780","-0.916,0.252,-1.924","-13.800,12.300,-1.050",17356,7,1.41,37.496639,126.957892,2464,8,191,1,-83,-82.5,32739,11,16090
17:31:42,0.905,1776424,1776424,0,1,37.496639,126.957893,0.015,188.0,0.015,1,187.0,"4.051,-6.105,6.718","-0.893,0.847,0.672","-13.500,12.300,1.350",17357,7,1.41,37.496639,126.957892,2464,8,191,1,-82,-82.5,32741,66,16091
17:31:42,1.218,1776523,1776523,0,1,37.496639,126.957893,0.015,188.0,0.015,1,187.0,"3.960,-6.139,6.665","0.977,-0.290,1.947","-13.950,12.000,-0.900",17358,7,1.41,37.496639,126.957892,2464,8,191,1,-81,-82.0,32743,32,16092
17:31:42,1.264,1776890,1776890,0,1,37.496639,126.957893,0.012,188.0,0.010,1,187.0,"4.075,-6.124,6.809","-1.802,-0.351,-0.504","-12.750,11.850,1.350",17362,7,1.41,37.496638,126.957892,2466,8,191,1,-82,-81.6,32749,12,16095
17:31:42,1.318,1776912,1776912,0,1,37.496639,126.957893,0.012,188.0,0.010,1,187.0,"4.032,-6.086,6.713","-0.427,-2.656,2.969","-12.300,11.850,1.050",17362,7,1.41,37.496638,126.957892,2466,8,191,1,-82,-81.6,32749,34,16095
17:31:42,1.685,1776934,1776934,0,1,37.496639,126.957893,0.012,188.0,0.010,1,187.0,"4.013,-5.957,6.603","-0.634,-1.649,0.031","-12.150,12.000,0.450",17362,7,1.41,37.496638,126.957892,2466,8,191,1,-82,-81.6,32749,56,16095
17:31:43,1.811,1777297,1777297,0,1,37.496639,126.957893,0.012,188.0,0.010,1,187.0,"4.070,-6.067,6.790","-1.107,-0.641,-1.046","-13.950,13.950,0.150",17366,7,1.41,37.496638,126.957892,2466,8,191,1,-80,-81.0,32755,6,16098
17:31:43,1.872,1777505,1777505,0,1,37.496639,126.957893,0.012,188.0,0.010,1,187.0,"4.147,-6.009,6.603","-0.473,-1.160,1.504","-13.500,13.350,1.050",17368,7,1.41,37.496638,126.957892,2466,8,191,1,-81,-81.0,32758,1,16099
17:31:43,1.880,1777527,1777527,0,1,37.496639,126.957893,0.012,188.0,0.010,1,187.0,"3.979,-6.096,6.833","0.802,-1.290,-1.656","-13.050,14.100,-0.600",17368,7,1.41,37.496638,126.957892,2466,8,191,1,-81,-81.0,32758,23,16099
17:31:43,1.931,1777549,1777549,0,1,37.496639,126.957893,0.013,188.0,0.015,1,187.0,"4.185,-6.096,6.646","-0.718,-2.176,1.252","-14.400,13.200,-0.450",17368,7,1.41,37.496638,126.957892,2467,8,191,1,-81,-81.0,32758,45,16099
17:31:43,2.091,1777606,1777606,0,1,37.496639,126.957893,0.013,188.0,0.015,1,187.0,"4.094,-6.158,6.795","-0.244,-1.771,1.168","-13.050,12.300,0.600",17369,7,1.41,37.496638,126.957892,2467,8,191,1,-82,-81.2,32760,4,16100
