시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
17:35:11,0.044,1985307,1985307,0,1,37.496647,126.957878,0.009,188.0,0.010,1,187.0,"3.979,-6.009,6.704","-2.099,-0.053,-1.550","-13.950,12.750,-0.150",19410,7,1.39,37.496647,126.957878,2882,8,191,1,-86,-87.3,35802,50,17436
17:35:11,0.044,1985334,1985334,0,1,37.496647,126.957878,0.009,188.0,0.010,1,187.0,"4.104,-6.057,6.737","-2.870,1.779,0.840","-12.150,10.950,-1.200",19411,7,1.39,37.496647,126.957878,2882,8,191,1,-86,-87.3,35802,77,17436
17:35:11,0.100,1985356,1985356,0,1,37.496647,126.957878,0.009,188.0,0.010,1,187.0,"4.075,-6.096,6.761","0.275,-2.534,2.595","-14.400,12.750,-1.200",19411,7,1.39,37.496647,126.957878,2882,8,191,1,-86,-87.3,35802,99,17436
17:35:11,0.268,1985378,1985378,0,1,37.496647,126.957878,0.009,188.0,0.010,1,187.0,"4.108,-6.024,6.771","1.153,0.992,-1.260","-13.200,12.450,0.150",19411,7,1.39,37.496647,126.957878,2882,8,191,1,-86,-87.3,35802,121,17436
17:35:12,0.491,1985586,1985586,0,1,37.496647,126.957878,0.008,188.0,0.005,1,187.0,"4.108,-6.043,6.800","-0.252,-0.099,-0.473","-15.000,11.850,1.350",19413,7,1.39,37.496648,126.957878,2883,8,191,1,-86,-87.3,35802,329,17436
17:35:12,0.571,1985665,1985665,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"3.989,-6.100,6.771","-0.573,0.053,0.802","-14.550,12.300,1.050",19414,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-87.3,35802,408,17436
17:35:12,0.650,1985844,1985844,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.013,-6.053,6.704","-2.344,0.435,1.321","-13.800,11.850,1.350",19416,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-87.0,35804,70,17437
17:35:12,0.659,1985866,1985866,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.017,-5.986,6.732","-1.504,-1.664,-0.359","-12.300,12.600,1.350",19416,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-87.0,35804,92,17437
17:35:12,0.659,1985888,1985888,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.123,-6.053,6.737","-1.221,-0.641,4.000","-14.250,13.050,0.000",19416,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-86.8,35805,2,17438
17:35:12,0.659,1985945,1985945,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"3.922,-6.019,6.809","0.252,-4.069,0.229","-13.500,12.300,0.600",19417,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-86.8,35805,59,17438
17:35:12,0.819,1985967,1985967,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.061,-5.990,6.795","-2.191,0.107,-0.458","-14.700,12.000,0.450",19417,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-86.8,35805,81,17438
17:35:12,1.017,1986011,1986011,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.113,-5.947,6.680","-0.473,-0.817,0.382","-10.800,10.650,1.050",19417,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-86.6,35806,32,17439
17:35:12,1.037,1986166,1986166,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"3.974,-6.148,6.800","-0.275,-1.450,0.847","-13.800,13.800,-0.300",19419,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-86.5,35807,91,17440
17:35:12,1.037,1986188,1986188,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.017,-6.091,6.694","0.252,0.992,0.145","-13.500,11.100,-1.350",19419,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-86.5,35807,113,17440
17:35:12,1.037,1986210,1986210,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.118,-6.076,6.761","-3.069,-0.405,1.153","-13.800,11.100,2.550",19419,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-86.5,35807,135,17440
17:35:12,1.163,1986244,1986232,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.027,-6.038,6.670","-2.282,-1.183,-0.916","-12.300,11.850,1.800",19420,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-86.5,35807,169,17440
17:35:12,1.181,1986350,1986350,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.075,-6.196,6.637","-1.809,-2.511,-0.305","-13.500,13.350,0.300",19421,7,1.39,37.496648,126.957878,2884,8,191,1,-86,-86.5,35807,275,17440
17:35:12,1.181,1986416,1986416,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"3.998,-6.009,6.747","-1.885,-1.458,0.198","-12.750,11.850,0.600",19421,7,1.39,37.496648,126.957878,2884,8,191,1,-88,-86.8,35808,33,17441
17:35:12,1.440,1986450,1986438,0,1,37.496647,126.957878,0.007,188.0,0.005,1,187.0,"4.175,-6.081,6.685","0.260,-3.565,0.115","-13.950,12.750,1.500",19422,7,1.39,37.496648,126.957878,2884,8,191,1,-88,-86.8,35808,67,17441
17:35:13,1.545,1986760,1986760,0,1,37.496647,126.957878,0.006,188.0,0.005,1,187.0,"4.080,-6.038,6.776","-1.275,-1.656,-0.771","-12.900,12.750,0.150",19425,7,1.39,37.496649,126.957879,2886,8,191,1,-89,-87.3,35811,81,17442
17:35:13,1.552,1986826,1986826,0,1,37.496647,126.957878,0.006,188.0,0.005,1,187.0,"4.156,-6.167,6.761","-1.496,-0.244,0.954","-13.500,13.050,0.600",19425,7,1.39,37.496649,126.957879,2886,8,191,1,-84,-86.8,35813,36,17443
17:35:13,1.552,1986861,1986861,0,1,37.496647,126.957878,0.006,188.0,0.005,1,187.0,"3.970,-6.072,6.790","-2.023,-1.580,-1.443","-15.750,11.400,1.050",19426,7,1.39,37.496649,126.957879,2886,8,191,1,-84,-86.8,35813,71,17443
