시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,위험송신
17:35:12,0.632,1997813,1997813,0,0,1,37.496441,126.958162,0.01,12.0,0.000,1,11.3,"-0.50,1.40,9.52","-0.5,-2.9,0.7","6.600,3.600,-4.200",0.15,19359,18370,6,1.40,37.496440,126.958162,1374,35,84,8,33.92,0.06,999.00,-59.5,0,0,1,0,-85,-83.7,18370,715,18367
17:35:12,0.967,1997987,1997987,0,0,1,37.496441,126.958162,0.01,12.0,0.000,1,11.3,"-0.70,1.24,9.64","2.2,-2.8,-0.6","5.850,2.550,-3.150",0.15,19361,18372,6,1.40,37.496440,126.958162,1375,35,84,8,33.92,0.04,999.00,-59.5,0,0,1,0,-85,-83.8,18372,66,18369
17:35:12,1.140,1998306,1998306,0,0,1,37.496441,126.958162,0.00,12.0,0.000,1,11.3,"-0.68,1.31,9.60","0.5,0.4,-0.3","6.000,3.450,-2.550",0.08,19364,18373,6,1.40,37.496440,126.958162,1376,35,84,8,33.93,0.04,999.00,-59.5,0,0,1,0,-86,-84.3,18373,168,18370
17:35:12,1.233,1998511,1998511,0,0,1,37.496441,126.958162,0.00,12.0,0.000,1,11.3,"-0.57,1.36,9.55","-0.2,0.7,-1.1","6.450,3.150,-4.500",0.07,19366,18374,6,1.40,37.496440,126.958162,1376,35,84,8,33.93,0.02,999.00,-59.5,0,0,1,0,-86,-84.6,18374,94,18371
17:35:12,1.402,1998666,1998666,0,0,1,37.496441,126.958162,0.00,12.0,0.000,1,11.3,"-0.47,1.29,9.65","1.0,1.8,-2.4","5.700,3.450,-3.000",0.14,19368,18375,6,1.40,37.496440,126.958162,1376,35,84,8,33.93,0.02,999.00,-59.5,0,0,1,0,-84,-84.5,18375,143,18372
17:35:13,1.533,1998818,1998818,0,0,1,37.496441,126.958162,0.00,12.0,0.000,1,11.3,"-0.57,1.31,9.60","1.0,-0.5,-0.9","5.700,1.500,-4.500",0.03,19369,18375,6,1.40,37.496440,126.958162,1376,35,84,8,33.93,0.02,999.00,-59.5,0,0,1,0,-84,-84.5,18375,295,18372
17:35:13,1.603,1998880,1998868,0,0,1,37.496441,126.958162,0.00,12.0,0.000,1,11.3,"-0.51,1.34,9.62","1.8,-2.0,1.1","5.400,4.500,-3.150",0.08,19370,18376,6,1.40,37.496440,126.958162,1376,35,84,8,33.93,0.02,999.00,-59.5,0,0,1,0,-84,-84.4,18376,6,18372
17:35:13,1.671,1998992,1998992,0,0,1,37.496441,126.958162,0.00,12.0,0.000,1,11.3,"-0.49,1.38,9.58","-0.2,2.0,-0.9","6.450,3.900,-3.750",0.10,19371,18377,6,1.40,37.496440,126.958162,1377,35,84,8,34.22,-0.15,999.00,-59.5,0,0,1,0,-85,-84.5,18377,28,18374
17:35:13,2.032,1999042,1999042,0,0,1,37.496441,126.958162,0.00,12.0,0.000,1,11.3,"-0.64,1.26,9.72","-0.3,-4.5,-1.1","5.850,3.600,-3.150",0.15,19371,18377,6,1.40,37.496440,126.958162,1377,35,84,8,34.22,-0.15,999.00,-59.5,0,0,1,0,-85,-84.5,18377,78,18374
17:35:13,2.167,1999447,1999447,0,0,1,37.496441,126.958162,0.00,12.0,0.000,1,11.3,"-0.57,1.31,9.53","0.9,-1.4,-1.2","6.300,2.850,-1.950",0.07,19375,18378,6,1.40,37.496440,126.958162,1378,35,84,8,34.22,-0.15,999.00,-59.5,0,0,1,0,-85,-84.6,18378,398,18375
