시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
18:25:10,0.153,107404,107392,0,1,37.496040,126.957100,0.167,177.6,0.154,1,0.0,"4.573,5.808,6.115","0.427,-2.863,0.359","-34.800,52.650,15.300",1,177.6,9.59,2.92,0.9898,1.13,1.115,913,12153,1006,6,2.59,37.496043,126.957099,49,0,1,0,-50,-50.0,1922,2,935
18:25:10,0.219,107509,107497,0,1,37.496040,126.957100,0.167,177.4,0.154,1,0.0,"4.573,5.665,6.029","2.168,-0.992,1.221","-36.000,52.200,14.550",1,177.4,9.45,2.68,0.9911,1.15,1.085,926,12153,1007,6,2.59,37.496043,126.957099,49,0,1,0,-50,-50.0,1924,4,936
18:25:10,0.383,107614,107602,0,1,37.496040,126.957100,0.167,177.4,0.154,1,0.0,"4.530,5.875,6.196","-1.840,0.061,0.275","-34.950,50.400,15.150",1,177.4,9.67,1.86,0.9886,2.24,1.148,939,12153,1008,6,2.59,37.496043,126.957099,49,0,1,0,-50,-50.0,1925,93,937
18:25:11,0.605,107822,107810,0,1,37.496040,126.957100,0.167,177.4,0.154,1,0.0,"4.592,5.823,6.024","-0.092,-2.527,2.458","-36.750,52.200,13.500",1,177.4,9.55,3.53,0.9898,1.40,1.047,965,12153,1010,6,2.59,37.496043,126.957099,49,0,1,0,-49,-49.6,1930,5,939
18:25:11,0.770,107926,107914,0,1,37.496040,126.957100,0.167,177.4,0.154,1,0.0,"4.626,5.765,6.009","-1.328,-0.947,2.947","-35.250,53.400,14.250",1,177.4,9.53,3.37,0.9907,1.19,1.068,978,12153,1011,6,2.59,37.496043,126.957099,49,0,1,0,-45,-48.6,1931,92,940
18:25:11,1.004,108134,108122,0,1,37.496040,126.957100,0.167,177.2,0.154,1,0.0,"3.883,6.469,6.158","-39.275,-38.893,-0.504","-34.200,53.550,14.700",1,177.2,9.74,55.28,0.9757,0.35,1.135,995,12162,1013,6,2.59,37.496043,126.957099,49,0,1,0,-49,-49.2,1935,89,942
18:25:11,1.125,108342,108330,0,1,37.496048,126.957092,0.169,180.2,0.170,1,0.0,"5.124,4.889,6.819","59.489,61.229,3.634","-38.250,47.550,14.850",1,180.2,9.83,85.45,0.9994,2.88,1.097,1001,12182,1015,6,2.59,37.496054,126.957093,51,0,1,0,-50,-49.7,1940,2,944
18:25:12,1.606,108446,108434,0,1,37.496048,126.957092,0.169,180.2,0.170,1,0.0,"4.123,7.264,12.546","-23.160,-31.107,2.985","-31.950,51.300,14.400",1,180.2,15.07,38.90,0.9169,2.88,1.097,1001,12195,1016,6,2.59,37.496054,126.957093,51,0,1,0,-51,-50.0,1941,92,945
18:25:12,1.726,108968,108956,0,1,37.496052,126.957092,0.169,182.5,0.170,1,0.0,"3.419,1.772,2.030","-5.298,63.351,12.496","-36.150,46.950,14.700",1,182.5,4.35,64.79,0.9932,6.68,1.264,1009,12252,1021,6,2.59,37.496054,126.957093,51,0,1,0,-50,-48.9,1952,3,950
18:25:12,1.937,109072,109060,0,1,37.496052,126.957092,0.169,182.5,0.170,1,0.0,"3.055,2.978,7.293","3.565,12.954,6.229","-33.000,48.300,16.350",1,182.5,8.45,14.81,0.9374,6.68,1.264,1009,12265,1022,6,2.59,37.496054,126.957093,51,0,1,0,-48,-48.8,1953,92,951
