시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,위험송신
18:26:36,0.170,199235,199235,0,0,1,37.496771,126.958145,0.12,0.0,0,203.7,1,197.9,0,0.00,9.68,3.47,1.0000,2.77,1.334,24448,16,0.051,1,198.8,"-0.50,0.46,9.66","2.5,-0.2,2.4","-31.200,-28.350,0.750",0.11,0.17,0.00,0,1884,1802,5,2.80,37.496768,126.958173,154,55,50,7,24.00,0.00,999.00,-128.1,0,0,0,0,-64,-64.4,1802,70,1802
18:26:36,0.350,199340,199340,0,0,1,37.496771,126.958145,0.12,0.0,0,203.7,1,197.9,0,0.00,9.68,4.10,0.9999,2.22,1.305,24461,16,0.051,1,198.8,"-0.55,0.39,9.65","1.9,-3.2,1.8","-30.300,-28.050,0.150",0.05,0.19,0.00,0,1885,1803,5,2.80,37.496768,126.958173,154,55,50,7,24.00,0.00,999.00,-127.8,0,0,0,0,-65,-64.5,1803,69,1803
18:26:37,0.508,199547,199547,0,0,1,37.496771,126.958145,0.12,0.0,0,203.7,1,197.8,0,0.00,9.69,2.37,0.9999,3.21,1.311,24485,16,0.051,1,198.8,"-0.54,0.40,9.66","1.8,0.1,1.5","-30.450,-27.150,1.050",0.05,0.20,0.00,0,1887,1805,5,2.80,37.496768,126.958173,154,55,50,7,24.00,0.00,999.00,-127.8,0,0,0,0,-64,-64.3,1805,71,1805
18:26:37,0.768,199757,199757,0,0,1,37.496771,126.958145,0.12,0.0,0,203.7,1,197.7,0,0.00,9.73,1.44,0.9996,3.12,1.335,24511,16,0.051,1,198.8,"-0.67,0.34,9.70","0.0,-1.4,0.2","-31.200,-27.900,1.050",0.10,0.21,0.00,0,1889,1807,5,2.80,37.496768,126.958173,154,55,50,7,23.48,0.00,999.00,-128.8,0,0,0,0,-64,-64.2,1807,72,1807
18:26:37,0.952,199967,199967,0,0,1,37.496771,126.958145,0.12,0.0,0,203.7,1,197.5,0,0.00,9.75,2.16,1.0000,2.38,1.300,24537,16,0.051,1,198.8,"-0.53,0.47,9.73","1.3,1.0,1.4","-30.150,-27.900,0.300",0.12,0.18,0.00,0,1891,1809,5,2.80,37.496768,126.958173,154,55,50,7,23.21,0.00,999.00,-128.4,0,0,0,0,-64,-64.1,1809,75,1809
18:26:37,1.186,200178,200177,0,0,1,37.496770,126.958148,0.08,0.0,0,203.7,1,197.5,0,0.00,9.85,0.88,0.9998,2.38,1.357,24563,16,0.051,1,198.8,"-0.62,0.49,9.82","0.7,0.4,-0.4","-31.800,-26.550,0.150",0.16,0.28,0.00,0,1893,1811,6,2.20,37.496760,126.958178,155,55,50,7,22.95,0.00,999.00,-127.3,0,0,0,0,-63,-63.9,1811,74,1811
18:26:37,1.302,200388,200387,0,0,1,37.496770,126.958148,0.08,0.0,0,203.7,1,197.6,0,0.00,9.68,1.63,0.9998,3.26,1.320,24589,16,0.051,1,198.8,"-0.55,0.33,9.66","-1.0,0.8,-1.1","-30.750,-28.050,1.200",0.08,0.17,0.00,0,1895,1813,6,2.20,37.496760,126.958178,155,55,50,7,22.95,0.00,999.00,-127.3,0,0,0,0,-63,-63.7,1813,77,1813
18:26:38,1.473,200489,200489,0,0,1,37.496770,126.958150,0.15,0.0,0,203.7,1,197.5,0,0.00,9.72,2.82,0.9999,4.00,1.320,24600,16,0.216,1,198.8,"-0.58,0.56,9.69","2.1,1.8,0.5","-30.750,-28.050,1.950",0.16,0.18,0.00,0,1896,1814,6,2.20,37.496760,126.958178,156,55,50,7,23.49,0.00,999.00,-127.0,0,0,0,0,-63,-63.6,1814,69,1814
18:26:38,1.651,200699,200699,0,0,1,37.496770,126.958150,0.15,0.0,0,203.7,1,197.6,0,0.00,9.89,2.11,0.9999,2.46,1.329,24626,16,0.216,1,198.8,"-0.54,0.41,9.87","-2.1,0.4,-0.2","-31.050,-28.500,0.450",0.16,0.18,0.00,0,1898,1816,6,2.20,37.496760,126.958178,156,55,50,7,23.49,0.00,999.00,-127.0,0,0,0,0,-63,-63.5,1816,75,1816
18:26:38,1.759,200909,200909,0,0,1,37.496769,126.958151,0.15,0.0,0,203.7,1,197.5,0,0.00,9.64,3.18,0.9999,3.66,1.326,24652,16,0.216,1,198.8,"-0.51,0.61,9.61","2.8,-1.5,-0.2","-30.900,-27.150,1.500",0.24,0.24,0.00,0,1900,1818,6,2.20,37.496760,126.958178,156,55,50,7,23.49,0.00,999.00,-127.0,0,0,0,0,-62,-63.3,1818,80,1818
18:26:38,1.869,201015,201014,0,0,1,37.496769,126.958151,0.15,0.0,0,203.7,1,197.6,0,0.00,9.62,3.68,0.9998,2.86,1.400,24665,16,0.216,1,198.8,"-0.56,0.33,9.60","3.1,-2.0,-0.2","-33.150,-27.450,0.750",0.12,0.17,0.00,0,1901,1819,6,2.20,37.496760,126.958178,156,55,50,7,23.24,0.00,999.00,-125.9,0,0,0,0,-62,-63.0,1819,81,1819
18:26:38,2.100,201121,201120,0,0,1,37.496768,126.958153,0.18,0.0,0,203.7,1,197.7,0,0.00,9.75,4.20,0.9998,3.29,1.330,24678,16,0.216,1,198.8,"-0.56,0.34,9.73","-0.8,2.6,-3.2","-31.050,-27.750,1.200",0.06,0.14,0.00,0,1902,1820,6,2.20,37.496753,126.958183,157,55,50,7,23.24,0.00,999.00,-125.9,0,0,0,0,-61,-62.6,1820,83,1820
18:26:39,2.421,201330,201330,0,0,1,37.496767,126.958156,0.18,0.0,0,203.7,1,197.6,0,0.00,9.71,3.12,1.0000,4.02,1.370,24704,16,0.185,1,198.8,"-0.49,0.45,9.69","2.3,1.0,-1.9","-32.250,-27.750,1.950",0.10,0.21,0.00,0,1904,1822,6,2.20,37.496753,126.958183,158,55,50,7,22.99,0.00,999.00,-124.5,0,0,0,0,-63,-62.8,1822,79,1822
18:26:39,2.500,201640,201640,0,0,1,37.496767,126.958156,0.18,0.0,0,203.7,1,197.7,0,0.00,9.71,1.51,0.9999,4.55,1.359,24739,16,0.185,1,198.8,"-0.56,0.37,9.69","0.6,-1.0,0.9","-31.950,-28.350,2.550",0.03,0.17,0.00,0,1907,1825,6,2.20,37.496753,126.958183,158,55,50,7,22.99,0.00,999.00,-124.4,0,0,0,0,-63,-62.7,1825,81,1825
18:26:39,2.604,201745,201745,0,0,1,37.496767,126.958156,0.18,0.0,0,203.7,1,197.8,0,0.00,9.70,4.31,0.9999,3.69,1.349,24752,16,0.185,1,198.8,"-0.57,0.40,9.67","1.2,-4.1,0.9","-31.650,-29.400,1.800",0.02,0.15,0.00,0,1908,1826,6,2.20,37.496753,126.958183,158,55,50,7,22.99,0.00,999.00,-124.4,0,0,0,0,-62,-62.6,1826,83,1826
18:26:39,2.720,201850,201850,0,0,1,37.496767,126.958156,0.18,0.0,0,203.7,1,197.8,0,0.00,9.72,2.13,0.9996,3.64,1.369,24765,16,0.185,1,198.8,"-0.57,0.25,9.70","-0.7,0.3,2.0","-32.250,-28.500,1.650",0.14,0.20,0.00,0,1909,1827,6,2.20,37.496753,126.958183,158,55,50,7,22.75,0.00,999.00,-124.4,0,0,0,0,-62,-62.5,1827,84,1827
18:26:39,3.319,201955,201955,0,0,1,37.496767,126.958156,0.18,0.0,0,203.7,1,197.8,0,0.00,9.74,3.05,0.9998,4.03,1.330,24778,16,0.185,1,198.8,"-0.54,0.31,9.72","-0.3,-2.7,-1.3","-31.050,-27.750,1.950",0.09,0.17,0.00,0,1910,1828,6,2.20,37.496753,126.958183,158,55,50,7,22.75,0.00,999.00,-124.4,0,0,0,0,-63,-62.6,1828,84,1828
18:26:40,3.438,202583,202583,0,0,1,37.496764,126.958161,0.16,0.0,0,203.7,1,197.9,0,0.00,9.77,1.98,0.9998,3.66,1.289,24854,16,0.129,1,198.8,"-0.63,0.39,9.74","-0.4,0.2,-1.9","-29.850,-28.500,1.650",0.08,0.20,0.00,0,1916,1834,6,2.20,37.496747,126.958188,160,55,50,7,23.09,0.00,999.00,-121.5,0,0,0,0,-61,-61.7,1834,84,1834
18:26:40,3.553,202688,202688,0,0,1,37.496764,126.958161,0.16,0.0,0,203.7,1,197.8,0,0.00,9.72,2.45,1.0000,3.40,1.307,24867,16,0.129,1,198.8,"-0.46,0.40,9.70","-1.5,0.4,-1.9","-30.300,-26.850,1.200",0.11,0.17,0.00,0,1917,1835,6,2.20,37.496747,126.958188,160,55,50,7,23.09,0.00,999.00,-121.4,0,0,0,0,-60,-61.4,1835,87,1835
18:26:40,3.838,202793,202793,0,0,1,37.496764,126.958161,0.16,0.0,0,203.7,1,197.9,0,0.00,9.78,2.38,0.9998,2.51,1.330,24880,16,0.129,1,198.8,"-0.62,0.42,9.75","2.1,-0.6,-0.9","-31.050,-28.050,0.450",0.08,0.16,0.00,0,1918,1836,6,2.20,37.496747,126.958188,160,55,50,7,23.09,0.00,999.00,-121.4,0,0,0,0,-61,-61.3,1836,87,1836
18:26:40,3.952,203004,203003,0,0,1,37.496764,126.958161,0.16,0.0,0,203.7,1,197.8,0,0.00,9.67,1.27,0.9997,3.85,1.390,24906,16,0.129,1,198.8,"-0.64,0.37,9.64","0.0,1.3,-0.2","-32.850,-27.900,1.800",0.09,0.16,0.00,0,1920,1838,6,2.20,37.496747,126.958188,160,55,50,7,22.52,0.00,999.00,-122.3,0,0,0,0,-60,-60.8,1838,90,1838
