시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
18:28:17,0.114,294042,294030,0,1,37.496754,126.958176,0.109,0.0,0.113,1,179.9,"3.539,3.773,-8.495","0.191,-3.260,1.260","-37.050,32.250,-72.750",0,168.0,9.95,3.50,-0.1419,14.51,1.323,1080,35292,2799,7,2.11,37.496759,126.958172,409,7,7,1,-63,-62.2,5338,3,2595
18:28:17,0.367,294250,294238,0,1,37.496761,126.958168,0.114,0.0,0.123,1,179.9,"3.428,3.706,-8.562","0.160,-0.221,1.557","-35.700,34.350,-72.900",0,168.0,9.94,1.58,-0.1562,14.51,1.323,1080,35318,2801,7,2.11,37.496769,126.958169,410,7,7,1,-62,-62.1,5342,2,2597
18:28:17,0.602,294458,294446,0,1,37.496765,126.958168,0.117,0.0,0.123,1,179.9,"3.467,3.836,-8.519","0.282,-2.252,0.969","-34.950,33.900,-73.650",0,168.0,9.96,2.47,-0.1442,14.51,1.323,1080,35344,2803,7,2.46,37.496769,126.958169,411,7,7,1,-62,-62.0,5346,7,2599
18:28:17,0.781,294666,294654,0,1,37.496765,126.958168,0.117,0.0,0.123,1,179.9,"3.443,3.797,-8.485","0.145,-3.481,1.763","-37.050,33.000,-74.100",0,168.0,9.91,3.90,-0.1462,14.51,1.323,1080,35370,2805,7,2.46,37.496769,126.958169,411,7,7,1,-62,-62.0,5350,5,2601
18:28:18,0.894,294874,294862,0,1,37.496765,126.958168,0.117,0.0,0.123,1,179.9,"3.400,3.965,-8.519","-3.336,-0.885,-0.237","-36.900,33.600,-72.900",0,168.0,9.99,3.46,-0.1411,14.51,1.323,1080,35396,2807,7,2.46,37.496769,126.958169,411,7,7,1,-63,-62.5,5354,4,2603
18:28:18,1.112,294978,294966,0,1,37.496765,126.958168,0.117,0.0,0.123,1,179.9,"3.342,3.840,-8.605","-0.580,-2.168,-2.756","-35.700,34.350,-72.450",0,168.0,10.00,3.55,-0.1562,14.51,1.323,1080,35409,2808,7,2.46,37.496769,126.958169,411,7,7,1,-62,-62.4,5355,66,2604
18:28:18,1.492,295186,295174,0,1,37.496765,126.958168,0.117,0.0,0.123,1,179.9,"3.328,3.807,-8.399","-1.878,-2.802,-0.191","-36.450,33.150,-73.200",0,168.0,9.80,3.38,-0.1485,14.51,1.323,1080,35435,2810,7,2.46,37.496769,126.958169,411,7,7,1,-65,-63.6,5359,66,2606
18:28:19,2.113,295602,295590,0,1,37.496773,126.958168,0.109,0.0,0.103,1,179.9,"3.328,3.797,-8.523","-0.573,0.817,1.405","-35.700,33.600,-72.900",0,168.0,9.91,1.72,-0.1555,14.51,1.323,1080,35487,2814,7,2.10,37.496777,126.958168,413,7,7,1,-62,-64.3,5368,3,2610
18:28:19,2.231,296122,296110,0,1,37.496773,126.958168,0.109,0.0,0.103,1,179.9,"3.505,3.783,-8.408","0.122,-3.137,-1.374","-35.700,33.600,-72.900",0,168.0,9.86,3.43,-0.1390,14.51,1.323,1080,35552,2819,7,2.10,37.496777,126.958168,413,7,7,1,-66,-64.6,5378,3,2615
18:28:19,2.425,296226,296214,0,1,37.496777,126.958168,0.103,0.0,0.093,1,179.9,"3.409,3.821,-8.519","-2.313,-0.992,3.130","-35.550,34.200,-72.300",0,168.0,9.94,4.02,-0.1487,14.51,1.323,1080,35565,2820,7,2.10,37.496782,126.958167,414,7,7,1,-67,-65.6,5380,8,2616
18:28:19,2.637,296434,296422,0,1,37.496780,126.958168,0.100,0.0,0.093,1,179.9,"3.405,3.864,-8.519","-0.595,0.748,-0.718","-34.950,33.900,-73.650",0,168.0,9.95,1.20,-0.1465,14.51,1.323,1080,35591,2822,7,2.10,37.496782,126.958167,415,7,7,1,-64,-64.7,5384,7,2618
18:28:19,2.714,296642,296630,0,1,37.496780,126.958168,0.100,0.0,0.093,1,179.9,"3.285,3.840,-8.519","-0.466,-0.481,1.603","-36.900,32.850,-73.950",0,168.0,9.90,1.74,-0.1555,14.51,1.323,1080,35617,2824,7,2.10,37.496782,126.958167,415,7,7,1,-62,-63.0,5388,4,2620
18:28:20,2.922,296746,296734,0,1,37.496780,126.958168,0.100,0.0,0.093,1,179.9,"3.443,3.792,-8.423","-2.000,-4.260,0.794","-36.750,33.750,-72.300",0,168.0,9.86,4.77,-0.1432,14.51,1.323,1080,35630,2825,7,2.10,37.496782,126.958167,415,7,7,1,-62,-62.8,5390,4,2621
18:28:20,3.348,297058,297046,0,1,37.496780,126.958168,0.100,0.0,0.093,1,179.9,"3.385,3.903,-8.452","-1.634,-1.237,-1.366","-36.450,33.900,-71.400",0,168.0,9.91,2.46,-0.1421,14.51,1.323,1080,35669,2828,7,2.10,37.496782,126.958167,415,7,7,1,-65,-65.2,5396,8,2624
18:28:20,3.849,297370,297358,0,1,37.496784,126.958168,0.084,0.0,0.072,1,179.9,"3.357,3.821,-8.499","-1.145,-0.122,-1.725","-35.550,35.250,-72.000",0,168.0,9.90,2.07,-0.1510,14.51,1.323,1080,35708,2831,7,2.10,37.496786,126.958167,417,7,7,1,-67,-65.6,5401,43,2627
18:28:21,4.478,297994,297982,0,1,37.496784,126.958168,0.084,0.0,0.072,1,179.9,"3.529,3.864,-8.408","-1.977,1.847,0.672","-36.300,34.500,-74.550",0,168.0,9.90,2.79,-0.1329,14.51,1.323,1080,35786,2837,7,2.10,37.496786,126.958167,417,7,7,1,-68,-68.0,5414,8,2633
18:28:21,4.682,298516,298504,0,1,37.496788,126.958168,0.089,0.0,0.093,1,179.9,"3.361,3.788,-8.423","0.061,-1.504,-0.794","-36.150,33.150,-73.650",0,168.0,9.83,1.70,-0.1487,14.51,1.323,1080,35851,2842,7,2.46,37.496792,126.958163,419,7,7,1,-72,-70.1,5422,37,2637
18:28:23,6.054,298724,298712,0,1,37.496788,126.958168,0.089,0.0,0.093,1,179.9,"3.500,3.812,-8.423","-2.725,-0.977,-0.099","-34.800,33.300,-72.300",0,168.0,9.89,2.90,-0.1385,14.51,1.323,1080,35877,2844,7,2.46,37.496792,126.958163,419,7,7,1,-72,-72.0,5425,27,2638
18:28:23,6.214,300180,300168,0,1,37.496796,126.958160,0.085,0.0,0.082,1,179.9,"3.323,3.725,-8.456","-1.504,-0.153,0.908","-36.000,34.200,-73.350",0,168.0,9.82,1.76,-0.1565,14.51,1.323,1080,36059,2858,7,2.10,37.496795,126.958162,421,7,7,1,-72,-72.2,5450,5,2649
18:28:23,6.833,300284,300272,0,1,37.496796,126.958160,0.088,0.0,0.093,1,179.9,"3.467,3.826,-8.557","-2.061,0.008,-1.649","-36.900,35.100,-72.150",0,168.0,9.99,2.64,-0.1467,14.51,1.323,1080,36072,2859,7,2.10,37.496797,126.958162,422,7,7,1,-75,-74.0,5452,4,2650
18:28:24,7.067,300909,300897,0,1,37.496796,126.958160,0.089,0.0,0.093,1,179.9,"3.347,3.773,-8.399","0.122,0.969,-0.076","-36.450,33.600,-71.700",0,168.0,9.80,0.98,-0.1492,14.51,1.323,1080,36150,2865,7,2.10,37.496797,126.958162,423,7,7,1,-79,-77.1,5464,4,2656
18:28:24,7.685,301117,301105,0,1,37.496796,126.958160,0.089,0.0,0.093,1,179.9,"3.476,3.950,-8.538","1.023,1.641,0.244","-35.400,34.350,-72.900",0,168.0,10.03,1.95,-0.1381,14.51,1.323,1080,36176,2867,7,2.10,37.496797,126.958162,423,7,7,1,-81,-78.9,5467,1,2657
18:28:26,9.229,301743,301731,0,1,37.496799,126.958160,0.076,0.0,0.067,1,179.9,"3.390,3.898,-8.432","-0.710,-1.107,2.076","-36.000,32.250,-73.050",0,168.0,9.89,2.46,-0.1411,14.51,1.323,1080,36254,2873,7,2.46,37.496800,126.958158,425,7,7,1,-75,-78.0,5477,11,2662
18:28:26,9.592,303305,303293,0,1,37.496799,126.958160,0.070,0.0,0.057,1,179.9,"3.328,3.764,-8.384","-1.992,-1.634,-0.695","-36.750,34.200,-72.000",0,168.0,9.77,2.67,-0.1503,14.51,1.323,1080,36449,2888,7,2.10,37.496801,126.958156,428,7,7,1,-85,-82.2,5504,0,2673
18:28:26,9.799,303618,303606,0,1,37.496799,126.958153,0.065,0.0,0.057,1,179.9,"3.390,3.912,-8.432","0.786,-0.878,-0.328","-36.450,34.350,-73.200",0,168.0,9.89,1.22,-0.1403,14.51,1.323,1080,36488,2891,7,2.10,37.496801,126.958156,429,7,7,1,-78,-79.6,5508,85,2675
18:28:27,10.698,303826,303814,0,1,37.496799,126.958153,0.065,0.0,0.057,1,179.9,"3.457,3.797,-8.504","-1.809,-3.107,1.053","-34.950,32.850,-71.700",0,168.0,9.93,3.75,-0.1462,14.51,1.323,1080,36514,2893,7,2.10,37.496801,126.958156,429,7,7,1,-75,-78.7,5509,89,2676
18:28:28,11.202,304762,304750,0,1,37.496799,126.958153,0.057,0.0,0.051,1,179.9,"3.500,3.907,-8.600","-0.084,-3.046,0.305","-36.750,33.300,-72.300",0,168.0,10.07,3.06,-0.1422,14.51,1.323,1080,36631,2902,7,2.10,37.496800,126.958156,431,7,7,1,-75,-76.1,5525,72,2683
18:28:28,11.333,305282,305270,0,1,37.496799,126.958153,0.055,0.0,0.051,1,179.9,"3.472,3.735,-8.495","-1.313,-1.870,-1.153","-34.800,34.500,-73.050",0,168.0,9.91,2.56,-0.1484,14.51,1.323,1080,36696,2907,7,2.10,37.496799,126.958155,432,7,7,1,-82,-80.5,5534,69,2687
18:28:28,11.555,305386,305374,0,1,37.496799,126.958153,0.054,0.0,0.051,1,179.9,"3.366,3.922,-8.600","-1.099,-0.611,-0.191","-36.150,34.350,-72.150",0,168.0,10.03,1.27,-0.1498,14.51,1.323,1080,36709,2908,7,2.10,37.496799,126.958155,433,7,7,1,-83,-81.1,5536,4,2687
18:28:29,11.881,305594,305582,0,1,37.496799,126.958153,0.054,0.0,0.051,1,179.9,"3.338,3.783,-8.418","-0.802,0.130,0.168","-37.050,33.750,-71.550",0,168.0,9.81,0.83,-0.1503,14.51,1.323,1080,36735,2910,7,2.10,37.496799,126.958155,433,7,7,1,-85,-81.9,5537,8,2687
18:28:29,12.620,305906,305894,0,1,37.496799,126.958153,0.054,0.0,0.051,1,179.9,"3.433,3.802,-8.543","0.053,-0.573,-0.595","-35.550,33.000,-70.800",0,168.0,9.96,0.83,-0.1494,14.51,1.323,1080,36774,2913,7,2.10,37.496799,126.958155,433,7,7,1,-76,-80.9,5541,69,2689
18:28:29,12.711,306634,306622,0,1,37.496799,126.958153,0.050,0.0,0.046,1,179.9,"3.452,3.706,-8.538","-2.405,2.076,0.252","-36.750,33.750,-72.750",0,168.0,9.93,3.19,-0.1534,14.51,1.323,1080,36865,2920,7,2.46,37.496799,126.958151,435,7,7,1,-82,-80.5,5550,8,2693
18:28:29,12.874,306738,306726,0,1,37.496799,126.958153,0.050,0.0,0.046,1,179.9,"3.405,3.836,-8.519","0.359,-1.962,-0.336","-34.200,34.650,-72.450",0,168.0,9.94,2.02,-0.1481,14.51,1.323,1080,36878,2921,7,2.46,37.496799,126.958151,435,7,7,1,-79,-80.2,5551,72,2694
