시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,위험송신
18:28:17,0.365,300064,300063,0,0,1,37.496813,126.958156,0.00,173.7,0,173.7,1,195.7,0,0.00,9.81,0.97,0.9995,3.68,1.222,33310,3341,0.000,1,175.2,"-0.56,0.21,9.79","0.5,0.8,-0.2","-27.750,-27.150,1.500",0.15,0.19,0.00,0,2845,2746,5,2.80,37.496812,126.958157,350,62,50,9,5.67,0.00,999.00,-4.4,0,0,0,0,-59,-59.8,2746,27,2746
18:28:17,0.481,300170,300169,0,0,1,37.496813,126.958156,0.00,173.7,0,173.7,1,195.8,0,0.00,9.80,2.07,0.9997,3.05,1.281,33323,3341,0.000,1,175.2,"-0.60,0.32,9.78","-0.1,1.6,-1.4","-29.550,-27.300,0.900",0.10,0.16,0.00,0,2846,2747,5,2.80,37.496812,126.958157,350,62,50,9,5.67,0.00,999.00,-4.4,0,0,0,0,-60,-59.9,2747,35,2747
18:28:17,0.598,300275,300274,0,0,1,37.496813,126.958156,0.00,173.7,0,173.7,1,195.8,0,0.00,9.77,3.87,0.9996,3.13,1.285,33336,3341,0.000,1,175.2,"-0.52,0.20,9.75","-2.3,-1.6,-2.7","-29.700,-27.900,1.050",0.13,0.20,0.00,0,2847,2748,5,2.80,37.496812,126.958157,350,62,50,9,5.67,0.00,999.00,-4.4,0,0,0,0,-61,-60.1,2748,34,2748
18:28:17,0.714,300379,300379,0,0,1,37.496813,126.958156,0.00,173.7,0,173.7,1,195.9,0,0.00,9.75,1.40,0.9999,2.02,1.241,33349,3341,0.000,1,175.2,"-0.49,0.35,9.73","-0.3,0.1,-1.4","-28.350,-27.300,-0.150",0.06,0.15,0.00,0,2848,2749,5,2.80,37.496812,126.958157,351,62,50,9,5.67,0.00,999.00,-4.4,0,0,0,0,-61,-60.3,2749,35,2749
18:28:18,0.890,300484,300484,0,0,1,37.496813,126.958156,0.00,173.7,0,173.7,1,195.9,0,0.00,9.76,1.32,0.9996,3.99,1.285,33362,3341,0.000,1,175.2,"-0.54,0.23,9.74","0.4,-1.2,-0.5","-29.550,-25.650,1.650",0.09,0.16,0.00,0,2849,2750,5,2.80,37.496812,126.958157,351,62,50,9,5.67,0.00,999.00,-4.4,0,0,0,0,-62,-60.6,2750,36,2750
18:28:18,1.104,300589,300589,0,0,1,37.496813,126.958156,0.00,173.7,0,173.7,1,195.9,0,0.00,9.63,2.35,0.9998,4.08,1.273,33375,3341,0.000,1,175.2,"-0.57,0.32,9.61","-0.5,0.8,-2.1","-29.100,-24.900,1.650",0.11,0.23,0.00,0,2850,2751,5,2.80,37.496812,126.958157,351,62,50,9,5.67,0.00,999.00,-4.4,0,0,0,0,-61,-60.7,2751,35,2751
18:28:18,1.180,300799,300799,0,0,1,37.496813,126.958156,0.00,173.7,0,173.7,1,195.9,0,0.00,9.78,1.62,0.9997,3.72,1.277,33401,3341,0.000,1,175.2,"-0.58,0.28,9.75","1.3,1.0,-0.1","-29.400,-26.700,1.500",0.09,0.18,0.00,0,2852,2753,5,2.80,37.496812,126.958157,351,62,50,9,5.67,0.00,999.00,-4.4,0,0,0,0,-64,-61.4,2753,40,2753
18:28:19,2.339,300927,300904,0,0,1,37.496813,126.958156,0.00,173.7,0,173.7,1,195.7,0,0.00,9.75,2.56,0.9995,2.87,1.328,33414,3341,0.000,1,175.2,"-0.58,0.22,9.73","1.9,0.1,1.7","-30.750,-24.900,0.450",0.12,0.17,0.00,0,2853,2754,5,2.80,37.496812,126.958157,351,62,50,9,5.67,0.00,999.00,-4.4,0,0,0,0,-65,-62.1,2754,63,2754
18:28:19,2.418,302070,302069,0,0,1,37.496811,126.958157,0.00,173.7,0,173.7,1,195.8,0,-11.93,6.96,25.48,0.9998,3.12,1.193,33502,3392,0.000,1,175.2,"0.36,2.00,6.66","21.0,2.8,14.1","-27.450,-25.950,0.750",2.85,11.15,0.00,0,2864,2765,5,2.80,37.496792,126.958168,354,62,50,9,3.46,0.00,999.00,-10.1,0,0,0,0,-61,-62.6,2765,62,2765
18:28:20,3.208,302174,302174,0,0,1,37.496810,126.958158,0.05,173.7,0,173.7,1,192.7,0,-45.05,11.36,58.04,0.9574,2.90,1.214,33506,3401,0.108,1,175.2,"-1.17,2.15,11.09","-33.4,4.5,47.3","-28.050,-26.100,0.150",2.26,5.15,0.00,0,2865,2766,5,2.80,37.496792,126.958168,355,62,50,9,3.46,0.00,999.00,-8.8,0,0,0,0,-62,-62.5,2766,63,2766
18:28:20,3.520,303013,303012,0,0,1,37.496808,126.958160,0.08,173.7,0,173.7,1,195.1,0,13.88,14.81,30.86,0.8782,2.69,1.283,33520,3489,0.108,1,175.2,"2.03,-1.58,14.58","9.8,23.7,-17.2","-29.700,-26.250,1.050",5.98,16.24,0.00,0,2873,2774,5,2.80,37.496790,126.958177,356,62,50,9,3.04,0.00,999.00,-9.6,0,0,0,0,-66,-63.4,2774,65,2774
18:28:21,4.032,303327,303327,0,0,1,37.496807,126.958161,0.09,173.7,0,173.7,1,199.1,0,5.09,12.89,56.91,0.9269,4.55,1.266,33524,3524,0.098,1,175.2,"-7.00,3.26,10.33","-40.2,38.6,-11.6","-26.850,-24.150,0.900",7.22,14.44,0.00,0,2876,2777,5,2.80,37.496790,126.958177,357,62,50,9,2.63,0.00,999.00,-6.6,0,0,0,0,-64,-65.2,2777,67,2777
18:28:22,4.971,303852,303852,0,0,1,37.496806,126.958161,0.09,173.7,0,173.7,1,199.1,0,-4.48,17.21,27.62,0.9326,3.15,1.102,33527,3586,0.098,1,175.2,"1.41,0.35,17.15","14.2,23.0,6.0","-24.750,-25.500,0.000",7.18,17.20,0.00,0,2881,2782,5,2.80,37.496790,126.958177,357,62,50,9,2.63,0.00,999.00,-6.5,0,0,0,0,-67,-66.0,2782,78,2782
18:28:23,6.504,304795,304795,0,0,1,37.496803,126.958165,0.13,173.7,0,173.7,1,192.3,0,-13.49,8.44,58.95,-0.0323,2.59,1.214,33534,3694,0.175,1,175.2,"1.92,-6.14,5.46","-22.9,52.8,12.6","-27.000,-23.550,0.000",8.04,12.48,0.00,0,2890,2791,5,2.80,37.496788,126.958183,359,62,50,9,1.70,0.00,999.00,-4.6,0,0,0,0,-66,-68.7,2791,82,2791
18:28:23,6.597,306264,306264,0,0,1,37.496797,126.958172,0.34,173.7,0,173.7,1,197.5,0,12.02,5.19,23.97,0.9555,3.50,1.244,33546,3862,0.329,1,175.2,"1.90,0.15,4.83","1.4,17.7,-16.1","-29.100,-28.050,0.150",4.38,13.21,0.00,0,2904,2804,5,2.80,37.496782,126.958192,363,62,50,9,1.35,0.00,999.00,96.3,0,0,0,0,-72,-71.2,2804,94,2804
18:28:23,6.714,306369,306369,0,0,1,37.496797,126.958172,0.34,173.7,0,173.7,1,199.3,0,17.06,5.44,56.21,0.9818,3.69,1.187,33548,3873,0.329,1,175.2,"1.43,-2.74,4.48","-52.5,9.2,-18.0","-27.300,-26.850,1.200",5.64,9.63,0.00,0,2905,2805,5,2.80,37.496782,126.958192,363,62,50,9,1.35,0.00,999.00,96.3,0,0,0,0,-75,-71.9,2805,92,2805
