시각,경과초,시각ms,IMU시각ms,위험,원시위험,GPS유효,위도,경도,속도,방향,이동방향유효,GPS이동방향,차체방향유효,차체방향,후진판정,IMU요회전속도,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,충격값,충격피크,마지막충격발생값,마지막충격발생ms,송신,지팡이수신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,계산거리,접근속도,TTC,방향오차,전방여부,위험음성횟수,충격음성횟수,마지막위험음성,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,위험송신
18:30:49,0.501,452188,452165,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,198.8,0,0.00,9.63,1.01,0.9999,3.93,1.419,49572,5403,0.000,1,297.4,"-0.38,0.36,9.62","0.9,-0.5,0.1","-33.750,-28.500,1.950",0.11,0.18,40.42,314250,4293,4186,5,2.70,37.496790,126.958218,655,62,50,9,49.02,0.00,999.00,-12.0,0,0,2,0,-52,-52.2,4186,25,4186
18:30:50,0.652,452610,452587,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,198.7,0,0.00,9.66,2.03,0.9998,2.81,1.389,49618,5403,0.000,1,297.4,"-0.28,0.58,9.64","0.3,-2.0,0.1","-32.850,-27.900,0.750",0.22,0.22,40.42,314250,4297,4190,5,2.70,37.496790,126.958218,655,62,50,9,49.02,0.00,999.00,-12.0,0,0,2,0,-53,-53.2,4190,28,4190
18:30:50,0.767,452818,452795,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,198.8,0,0.00,9.79,3.86,0.9999,2.86,1.378,49639,5403,0.000,1,297.4,"-0.33,0.38,9.77","3.7,1.1,-0.3","-32.550,-28.800,0.900",0.08,0.15,40.42,314250,4299,4192,5,2.70,37.496790,126.958218,655,62,50,9,49.02,0.00,999.00,-12.0,0,0,2,0,-53,-52.8,4192,29,4192
18:30:50,0.881,452921,452897,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,198.8,0,0.00,9.72,3.44,0.9998,4.83,1.359,49650,5403,0.000,1,297.4,"-0.31,0.37,9.71","2.3,-2.2,1.3","-31.950,-29.850,3.000",0.02,0.20,40.42,314250,4300,4193,5,2.70,37.496790,126.958218,655,62,50,9,48.79,0.00,999.00,-11.4,0,0,2,0,-51,-52.4,4193,27,4193
18:30:50,1.334,453024,453000,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,198.9,0,0.00,9.72,3.67,0.9998,2.21,1.320,49661,5403,0.000,1,297.4,"-0.40,0.30,9.71","2.9,-1.5,1.6","-30.750,-28.050,0.150",0.11,0.22,40.42,314250,4301,4194,5,2.70,37.496792,126.958218,656,62,50,9,48.79,0.00,999.00,-11.4,0,0,2,0,-52,-52.4,4194,26,4194
18:30:50,1.399,453446,453423,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,198.8,0,0.00,9.69,1.20,0.9999,3.11,1.407,49707,5403,0.000,1,297.4,"-0.45,0.33,9.67","0.1,0.2,1.2","-33.300,-26.550,0.900",0.13,0.19,40.42,314250,4305,4198,5,2.70,37.496792,126.958218,657,62,50,9,48.56,0.00,999.00,-11.1,0,0,2,0,-52,-52.1,4198,29,4198
18:30:50,1.507,453548,453525,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,198.9,0,0.00,9.66,3.07,0.9998,2.87,1.375,49718,5403,0.000,1,297.4,"-0.25,0.39,9.64","2.3,1.7,1.0","-32.400,-27.450,0.750",0.10,0.17,40.42,314250,4306,4199,5,2.70,37.496792,126.958218,657,62,50,9,48.56,0.00,999.00,-11.1,0,0,2,0,-52,-52.1,4199,26,4199
18:30:51,1.614,453676,453641,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,198.9,0,0.00,9.65,2.21,0.9997,2.44,1.404,49731,5403,0.000,1,297.4,"-0.31,0.29,9.64","-0.1,-1.9,-1.2","-33.300,-28.500,0.450",0.09,0.16,40.42,314250,4307,4200,5,2.70,37.496792,126.958218,657,62,50,9,48.56,0.00,999.00,-11.1,0,0,2,0,-51,-51.9,4200,40,4200
18:30:51,2.265,453767,453767,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,198.9,0,0.00,10.20,10.23,0.9836,3.78,1.324,49742,5403,0.000,1,297.4,"0.46,2.09,9.97","-9.6,-3.3,-1.3","-30.900,-28.650,1.800",1.76,2.74,40.42,314250,4308,4201,5,2.70,37.496792,126.958218,657,62,50,9,48.56,0.00,999.00,-11.1,0,0,2,0,-52,-51.9,4201,34,4201
18:30:52,2.514,454293,454293,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,199.6,0,0.00,7.94,9.39,0.9366,3.58,1.358,49788,5422,0.000,1,297.4,"1.80,2.15,7.43","-5.2,7.8,-0.5","-31.950,-30.300,1.800",3.01,7.64,40.42,314250,4313,4206,5,2.60,37.496792,126.958218,659,62,50,9,48.34,0.00,999.00,-10.7,0,0,2,0,-57,-54.3,4206,37,4206
18:30:52,2.852,454608,454608,0,0,1,37.496790,126.958218,0.00,248.7,0,248.7,1,199.9,0,-0.24,4.85,30.69,0.9182,2.82,1.299,49805,5444,0.000,1,297.4,"-2.75,1.30,3.78","-13.5,-27.3,3.9","-31.500,-28.050,0.900",6.17,11.25,40.42,314250,4316,4209,5,2.60,37.496792,126.958218,659,62,50,9,48.34,0.00,999.00,-10.7,0,0,2,0,-58,-55.8,4209,42,4209
