시각,경과초,시각ms,IMU시각ms,위험,GPS유효,위도,경도,속도,방향,GPS원시속도,GPS원시방향유효,GPS원시방향,가속도,자이로,자력계,IMU방향유효,IMU방향,방향가속도크기,방향자이로크기,방향자세cos,자기모델잔차,자기모델반경,방향채택,방향거부,송신,GPS위성,GPS_HDOP,원시위도,원시경도,GPS채택,GPS이상치거부,GPS품질거부,GPS재기준,RSSI원시,RSSI평활,RSSI샘플,RSSI경과ms,차량수신
18:39:17,0.178,954722,954710,0,1,37.496590,126.957901,0.045,71.7,0.046,1,227.5,"6.254,5.420,4.611","-3.198,-0.008,-0.504","-25.950,95.850,-14.400",1,71.7,9.47,3.24,0.9840,3.26,1.136,16347,102471,9141,7,2.43,37.496588,126.957898,1731,7,7,1,-79,-79.5,16824,1,8165
18:39:18,1.033,954826,954814,0,1,37.496590,126.957901,0.045,71.3,0.046,1,227.5,"6.235,5.574,4.573","-1.573,-3.427,0.496","-26.250,97.500,-12.000",1,71.3,9.53,3.80,0.9825,3.58,1.160,16349,102482,9142,7,2.43,37.496588,126.957898,1731,7,7,1,-81,-80.0,16826,4,8166
18:39:18,1.206,955659,955647,0,1,37.496586,126.957901,0.040,71.6,0.036,1,227.5,"6.230,5.478,4.697","-1.656,-1.084,-0.962","-27.000,96.450,-13.050",1,71.6,9.53,2.20,0.9852,2.76,1.119,16358,102577,9150,7,2.43,37.496587,126.957898,1733,7,7,1,-79,-79.7,16840,4,8173
18:39:19,1.346,955763,955751,0,1,37.496586,126.957901,0.040,71.6,0.036,1,227.5,"6.220,5.626,4.587","-2.031,-0.794,0.817","-27.150,96.150,-13.950",1,71.6,9.56,2.33,0.9825,2.76,1.119,16358,102590,9151,7,2.43,37.496587,126.957898,1733,7,7,1,-81,-80.0,16841,52,8174
18:39:19,1.505,955867,955855,0,1,37.496586,126.957901,0.040,72.3,0.036,1,227.5,"6.244,5.473,4.573","-0.229,0.137,-1.916","-27.150,96.600,-15.150",1,72.3,9.48,1.93,0.9831,3.65,1.136,16359,102602,9152,7,2.43,37.496587,126.957898,1733,7,7,1,-80,-80.1,16844,9,8175
18:39:19,1.928,956075,956063,0,1,37.496586,126.957901,0.040,72.4,0.036,1,227.5,"6.330,5.574,4.587","-1.237,-1.992,1.733","-28.050,97.200,-13.800",1,72.4,9.60,2.92,0.9821,4.27,1.113,16361,102626,9154,7,2.43,37.496587,126.957898,1733,7,7,1,-80,-80.4,16848,7,8177
18:39:20,2.395,956491,956479,0,1,37.496586,126.957901,0.073,72.7,0.098,1,227.5,"6.153,5.531,4.511","-0.321,1.046,0.947","-27.450,97.350,-13.650",1,72.7,9.42,1.45,0.9823,3.38,1.162,16363,102676,9158,7,2.43,37.496585,126.957898,1735,7,7,1,-80,-80.7,16856,4,8181
18:39:20,2.653,957012,957000,0,1,37.496586,126.957901,0.073,72.5,0.098,1,227.5,"6.235,5.569,4.669","-1.206,0.718,-0.817","-27.300,96.750,-13.500",1,72.5,9.57,1.62,0.9842,3.83,1.144,16368,102736,9163,7,2.43,37.496585,126.957898,1735,7,7,1,-79,-79.8,16864,50,8186
18:39:20,2.839,957324,957312,0,1,37.496586,126.957901,0.082,72.1,0.098,1,227.5,"6.244,5.636,4.549","2.015,-1.954,1.053","-28.200,95.400,-14.700",1,72.1,9.56,3.00,0.9816,5.03,1.155,16372,102771,9166,7,2.43,37.496584,126.957899,1736,7,7,1,-77,-78.7,16868,3,8188
18:39:20,3.083,957429,957417,0,1,37.496586,126.957901,0.087,72.1,0.098,1,227.5,"6.297,5.507,4.702","-1.634,-2.168,2.275","-28.650,97.800,-13.950",1,72.1,9.60,3.54,0.9847,5.03,1.155,16372,102784,9167,7,2.43,37.496584,126.957899,1737,7,7,1,-78,-78.5,16869,56,8189
