시각,경과초,노드,항목,값
16:07:37,1.81,차량,위험,0
16:07:37,1.82,차량,원시위험,0
16:07:37,1.84,차량,GPS유효,0
16:07:37,1.85,차량,위도,0.000000
16:07:37,1.86,차량,경도,0.000000
16:07:37,1.87,차량,속도,0.00
16:07:37,1.87,차량,방향,0.0
16:07:37,1.88,차량,가속도,"-0.45,1.40,9.62"
16:07:37,1.89,차량,자이로,"-0.5,1.1,0.4"
16:07:37,1.89,차량,충격값,0.09
16:07:37,1.90,차량,송신,4406
16:07:37,1.91,차량,지팡이수신,3547
16:07:37,1.92,차량,GPS위성,0
16:07:37,1.92,차량,GPS_HDOP,99.00
16:07:37,1.93,차량,원시위도,0.000000
16:07:37,1.93,차량,원시경도,0.000000
16:07:37,1.94,차량,GPS채택,0
16:07:37,1.95,차량,GPS이상치거부,0
16:07:37,1.95,차량,GPS품질거부,0
16:07:37,1.96,차량,GPS재기준,0
16:07:37,1.97,차량,계산거리,-1.00
16:07:37,1.97,차량,접근속도,0.00
16:07:37,1.98,차량,TTC,999.00
16:07:37,1.99,차량,방향오차,0.0
16:07:37,1.99,차량,전방여부,0
16:07:37,2.00,차량,위험음성횟수,0
16:07:37,2.01,차량,충격음성횟수,0
16:07:37,2.01,차량,마지막위험음성,0
16:07:37,2.02,차량,RSSI원시,-74
16:07:37,2.03,차량,RSSI평활,-72.2
16:07:37,2.03,차량,RSSI샘플,3547
16:07:37,2.04,차량,RSSI경과ms,81
16:07:37,2.05,차량,위험송신,3547
16:07:38,2.86,차량,위험,0
16:07:38,2.88,차량,원시위험,0
16:07:38,2.89,차량,GPS유효,0
16:07:38,2.90,차량,위도,0.000000
16:07:38,2.91,차량,경도,0.000000
16:07:38,2.92,차량,속도,0.00
16:07:38,2.93,차량,방향,0.0
16:07:38,2.94,차량,가속도,"-0.43,1.30,9.66"
16:07:38,2.94,차량,자이로,"0.3,-0.3,2.0"
16:07:38,2.95,차량,충격값,0.08
16:07:38,2.96,차량,송신,4416
16:07:38,2.96,차량,지팡이수신,3556
