시각,경과초,노드,항목,값
16:26:51,0.18,지팡이,위험,1
16:26:51,0.19,지팡이,GPS유효,1
16:26:51,0.20,지팡이,위도,37.497028
16:26:51,0.21,지팡이,경도,126.958321
16:26:51,0.22,지팡이,속도,0.05
16:26:51,0.23,지팡이,방향,114.5
16:26:51,0.24,지팡이,가속도,"0.31,2.69,10.28"
16:26:51,0.25,지팡이,송신,14202
16:26:51,0.25,지팡이,GPS위성,8
16:26:51,0.26,지팡이,GPS_HDOP,1.05
16:26:51,0.27,지팡이,원시위도,37.497031
16:26:51,0.27,지팡이,원시경도,126.958316
16:26:51,0.28,지팡이,GPS채택,1175
16:26:51,0.29,지팡이,GPS이상치거부,6
16:26:51,0.29,지팡이,GPS품질거부,24
16:26:51,0.30,지팡이,GPS재기준,1
16:26:51,0.31,지팡이,RSSI원시,-79
16:26:51,0.31,지팡이,RSSI평활,-77.5
16:26:51,0.32,지팡이,RSSI샘플,26338
16:26:51,0.33,지팡이,RSSI경과ms,30
16:26:51,0.33,지팡이,차량수신,13054
16:26:52,1.20,지팡이,위험,1
16:26:52,1.21,지팡이,GPS유효,1
16:26:52,1.23,지팡이,위도,37.497032
16:26:52,1.24,지팡이,경도,126.958313
16:26:52,1.25,지팡이,속도,0.07
16:26:52,1.26,지팡이,방향,114.5
16:26:52,1.26,지팡이,가속도,"-2.76,3.39,8.55"
16:26:52,1.27,지팡이,송신,14212
16:26:52,1.28,지팡이,GPS위성,8
16:26:52,1.29,지팡이,GPS_HDOP,1.05
16:26:52,1.29,지팡이,원시위도,37.497035
16:26:52,1.30,지팡이,원시경도,126.958310
16:26:52,1.31,지팡이,GPS채택,1177
16:26:52,1.31,지팡이,GPS이상치거부,6
16:26:52,1.32,지팡이,GPS품질거부,24
16:26:52,1.33,지팡이,GPS재기준,1
16:26:52,1.33,지팡이,RSSI원시,-76
16:26:52,1.34,지팡이,RSSI평활,-76.8
16:26:52,1.34,지팡이,RSSI샘플,26355
16:26:52,1.35,지팡이,RSSI경과ms,8
16:26:52,1.36,지팡이,차량수신,13062
16:26:52,1.47,차량,위험,0
16:26:52,1.48,차량,원시위험,0
16:26:52,1.49,차량,GPS유효,1
16:26:52,1.50,차량,위도,37.496856
16:26:52,1.50,차량,경도,126.958304
16:26:52,1.51,차량,속도,0.25
16:26:52,1.52,차량,방향,323.9
16:26:52,1.53,차량,가속도,"0.04,2.26,9.20"
16:26:53,1.53,차량,자이로,"3.1,-0.9,1.7"
16:26:53,1.54,차량,충격값,1.38
16:26:53,1.55,차량,송신,15446
16:26:53,1.55,차량,지팡이수신,13839
16:26:53,1.56,차량,GPS위성,6
16:26:53,1.57,차량,GPS_HDOP,1.50
16:26:53,1.57,차량,원시위도,37.496865
16:26:53,1.58,차량,원시경도,126.958308
16:26:53,1.59,차량,GPS채택,338
16:26:53,1.59,차량,GPS이상치거부,28
16:26:53,1.60,차량,GPS품질거부,50
16:26:53,1.61,차량,GPS재기준,8
16:26:53,1.61,차량,계산거리,19.59
16:26:53,1.62,차량,접근속도,-0.02
16:26:53,1.63,차량,TTC,999.00
16:26:53,1.63,차량,방향오차,38.5
16:26:53,1.64,차량,전방여부,0
16:26:53,1.64,차량,위험음성횟수,14
16:26:53,1.65,차량,충격음성횟수,5
16:26:53,1.66,차량,마지막위험음성,1
16:26:53,1.66,차량,RSSI원시,-74
16:26:53,1.67,차량,RSSI평활,-75.9
16:26:53,1.68,차량,RSSI샘플,13839
16:26:53,1.68,차량,RSSI경과ms,51
16:26:53,1.69,차량,위험송신,13839
16:26:53,2.50,차량,위험,0
16:26:53,2.51,차량,원시위험,0
16:26:53,2.52,차량,GPS유효,1
16:26:54,2.53,차량,위도,37.496858
16:26:54,2.54,차량,경도,126.958304
16:26:54,2.55,차량,속도,0.24
16:26:54,2.56,차량,방향,323.9
16:26:54,2.57,차량,가속도,"-0.46,0.27,10.17"
16:26:54,2.58,차량,자이로,"-5.0,-1.1,0.8"
16:26:54,2.58,차량,충격값,1.94
16:26:54,2.59,차량,송신,15455
16:26:54,2.60,차량,지팡이수신,13849
16:26:54,2.60,차량,GPS위성,5
16:26:54,2.61,차량,GPS_HDOP,2.00
16:26:54,2.62,차량,원시위도,37.496868
16:26:54,2.62,차량,원시경도,126.958305
16:26:54,2.63,차량,GPS채택,340
16:26:54,2.64,차량,GPS이상치거부,28
16:26:54,2.64,차량,GPS품질거부,50
16:26:54,2.65,차량,GPS재기준,8
16:26:54,2.66,차량,계산거리,19.77
16:26:54,2.66,차량,접근속도,-0.08
16:26:54,2.67,차량,TTC,999.00
16:26:54,2.67,차량,방향오차,36.4
