시각,경과초,노드,항목,값
16:25:18,0.79,차량,위험,0
16:25:18,0.80,차량,원시위험,0
16:25:18,0.81,차량,GPS유효,1
16:25:18,0.83,차량,위도,37.496962
16:25:18,0.84,차량,경도,126.958308
16:25:18,0.84,차량,속도,0.42
16:25:18,0.85,차량,방향,61.1
16:25:18,0.86,차량,가속도,"-1.05,1.13,9.79"
16:25:18,0.87,차량,자이로,"-1.2,-0.5,-1.2"
16:25:18,0.87,차량,충격값,0.20
16:25:18,0.88,차량,송신,14534
16:25:18,0.89,차량,지팡이수신,13009
16:25:18,0.89,차량,GPS위성,6
16:25:18,0.90,차량,GPS_HDOP,1.50
16:25:18,0.91,차량,원시위도,37.496968
16:25:18,0.91,차량,원시경도,126.958322
16:25:18,0.92,차량,GPS채택,160
16:25:18,0.93,차량,GPS이상치거부,14
16:25:18,0.93,차량,GPS품질거부,50
16:25:18,0.94,차량,GPS재기준,4
16:25:18,0.95,차량,계산거리,14.33
16:25:18,0.95,차량,접근속도,-0.10
16:25:18,0.96,차량,TTC,999.00
16:25:18,0.97,차량,방향오차,-151.1
16:25:18,0.97,차량,전방여부,0
16:25:18,0.98,차량,위험음성횟수,11
16:25:18,0.99,차량,충격음성횟수,3
16:25:18,0.99,차량,마지막위험음성,1
16:25:18,1.00,차량,RSSI원시,-71
16:25:18,1.00,차량,RSSI평활,-72.4
16:25:18,1.01,차량,RSSI샘플,13009
16:25:18,1.02,차량,RSSI경과ms,49
16:25:18,1.02,차량,위험송신,13009
16:25:19,1.52,지팡이,위험,0
16:25:19,1.54,지팡이,GPS유효,1
16:25:19,1.55,지팡이,위도,37.496960
16:25:19,1.56,지팡이,경도,126.958153
16:25:19,1.57,지팡이,속도,0.01
16:25:19,1.58,지팡이,방향,20.2
16:25:19,1.58,지팡이,가속도,"-2.44,3.29,8.78"
16:25:19,1.59,지팡이,송신,13301
16:25:19,1.60,지팡이,GPS위성,8
16:25:19,1.61,지팡이,GPS_HDOP,1.16
16:25:19,1.61,지팡이,원시위도,37.496961
16:25:19,1.62,지팡이,원시경도,126.958151
16:25:19,1.63,지팡이,GPS채택,991
16:25:19,1.63,지팡이,GPS이상치거부,6
16:25:19,1.64,지팡이,GPS품질거부,24
16:25:19,1.65,지팡이,GPS재기준,1
16:25:19,1.65,지팡이,RSSI원시,-74
16:25:19,1.66,지팡이,RSSI평활,-73.1
16:25:19,1.67,지팡이,RSSI샘플,24761
16:25:19,1.67,지팡이,RSSI경과ms,4
16:25:19,1.68,지팡이,차량수신,12290
16:25:19,1.74,차량,위험,0
16:25:19,1.75,차량,원시위험,0
16:25:19,1.75,차량,GPS유효,1
16:25:19,1.76,차량,위도,37.496963
16:25:19,1.77,차량,경도,126.958311
16:25:19,1.77,차량,속도,0.26
16:25:19,1.78,차량,방향,61.1
16:25:19,1.79,차량,가속도,"-0.98,1.12,9.53"
16:25:19,1.80,차량,자이로,"1.7,-1.1,-0.8"
16:25:19,1.80,차량,충격값,0.12
16:25:19,1.81,차량,송신,14544
16:25:19,1.82,차량,지팡이수신,13019
16:25:19,1.82,차량,GPS위성,6
16:25:19,1.83,차량,GPS_HDOP,1.50
16:25:19,1.84,차량,원시위도,37.496963
16:25:19,1.84,차량,원시경도,126.958330
16:25:19,1.85,차량,GPS채택,162
16:25:19,1.86,차량,GPS이상치거부,14
16:25:19,1.86,차량,GPS품질거부,50
16:25:19,1.87,차량,GPS재기준,4
16:25:19,1.88,차량,계산거리,13.98
16:25:19,1.88,차량,접근속도,0.16
16:25:19,1.89,차량,TTC,999.00
16:25:19,1.90,차량,방향오차,-151.1
16:25:19,1.90,차량,전방여부,0
16:25:19,1.91,차량,위험음성횟수,11
16:25:19,1.92,차량,충격음성횟수,3
16:25:19,1.92,차량,마지막위험음성,1
16:25:19,1.93,차량,RSSI원시,-72
16:25:19,1.94,차량,RSSI평활,-71.8
16:25:19,1.94,차량,RSSI샘플,13019
16:25:19,1.95,차량,RSSI경과ms,15
16:25:19,1.96,차량,위험송신,13019
16:25:20,2.40,지팡이,위험,0
16:25:20,2.42,지팡이,GPS유효,1
16:25:20,2.43,지팡이,위도,37.496964
16:25:20,2.44,지팡이,경도,126.958153
16:25:20,2.45,지팡이,속도,0.02
16:25:20,2.46,지팡이,방향,20.2
16:25:20,2.47,지팡이,가속도,"-2.40,3.14,8.73"
16:25:20,2.47,지팡이,송신,13310
16:25:20,2.48,지팡이,GPS위성,8
16:25:20,2.49,지팡이,GPS_HDOP,1.16
16:25:20,2.50,지팡이,원시위도,37.496964
16:25:20,2.50,지팡이,원시경도,126.958153
16:25:20,2.51,지팡이,GPS채택,993
16:25:20,2.52,지팡이,GPS이상치거부,6
16:25:20,2.52,지팡이,GPS품질거부,24
16:25:20,2.53,지팡이,GPS재기준,1
16:25:20,2.54,지팡이,RSSI원시,-72
16:25:20,2.54,지팡이,RSSI평활,-71.9
16:25:20,2.55,지팡이,RSSI샘플,24778
16:25:20,2.56,지팡이,RSSI경과ms,70
16:25:20,2.56,지팡이,차량수신,12298
16:25:20,2.84,차량,위험,0
16:25:20,2.85,차량,원시위험,0
16:25:20,2.87,차량,GPS유효,1
16:25:20,2.88,차량,위도,37.496962
16:25:20,2.89,차량,경도,126.958315
16:25:20,2.89,차량,속도,0.15
16:25:20,2.90,차량,방향,61.1
16:25:20,2.91,차량,가속도,"-1.21,1.00,9.60"
16:25:20,2.92,차량,자이로,"-0.5,-0.2,-1.5"
16:25:20,2.92,차량,충격값,0.19
16:25:20,2.93,차량,송신,14553
16:25:20,2.94,차량,지팡이수신,13027
16:25:20,2.95,차량,GPS위성,6
16:25:20,2.95,차량,GPS_HDOP,1.50
16:25:20,2.96,차량,원시위도,37.496957
16:25:20,2.96,차량,원시경도,126.958335
16:25:20,2.97,차량,GPS채택,164
16:25:20,2.98,차량,GPS이상치거부,14
16:25:20,2.98,차량,GPS품질거부,50
16:25:20,2.99,차량,GPS재기준,4
16:25:20,3.00,차량,계산거리,14.32
16:25:20,3.00,차량,접근속도,0.11
16:25:20,3.01,차량,TTC,999.00
16:25:20,3.02,차량,방향오차,-151.1
16:25:20,3.02,차량,전방여부,0
16:25:20,3.03,차량,위험음성횟수,11
16:25:20,3.04,차량,충격음성횟수,3
16:25:20,3.04,차량,마지막위험음성,1
16:25:20,3.05,차량,RSSI원시,-71
16:25:20,3.06,차량,RSSI평활,-70.5
16:25:20,3.06,차량,RSSI샘플,13027
16:25:20,3.07,차량,RSSI경과ms,100
16:25:20,3.08,차량,위험송신,13027
16:25:21,3.41,지팡이,위험,0
16:25:21,3.43,지팡이,GPS유효,1
16:25:21,3.44,지팡이,위도,37.496964
16:25:21,3.45,지팡이,경도,126.958153
16:25:21,3.46,지팡이,속도,0.02
16:25:21,3.47,지팡이,방향,20.2
16:25:21,3.48,지팡이,가속도,"-2.41,3.11,8.83"
16:25:21,3.48,지팡이,송신,13320
16:25:21,3.49,지팡이,GPS위성,8
16:25:21,3.50,지팡이,GPS_HDOP,1.16
16:25:21,3.50,지팡이,원시위도,37.496966
16:25:21,3.51,지팡이,원시경도,126.958156
16:25:21,3.52,지팡이,GPS채택,995
16:25:21,3.52,지팡이,GPS이상치거부,6
16:25:21,3.53,지팡이,GPS품질거부,24
16:25:21,3.54,지팡이,GPS재기준,1
16:25:21,3.54,지팡이,RSSI원시,-70
16:25:21,3.55,지팡이,RSSI평활,-71.6
16:25:21,3.56,지팡이,RSSI샘플,24798
16:25:21,3.56,지팡이,RSSI경과ms,35
16:25:21,3.57,지팡이,차량수신,12308
16:25:21,3.75,차량,위험,0
16:25:21,3.76,차량,원시위험,0
16:25:21,3.77,차량,GPS유효,1
16:25:21,3.78,차량,위도,37.496959
16:25:21,3.79,차량,경도,126.958319
16:25:21,3.80,차량,속도,0.17
16:25:21,3.80,차량,방향,61.1
16:25:21,3.81,차량,가속도,"-0.97,1.13,9.58"
16:25:21,3.82,차량,자이로,"0.3,-1.0,0.1"
16:25:21,3.82,차량,충격값,0.11
16:25:21,3.83,차량,송신,14563
16:25:21,3.84,차량,지팡이수신,13037
16:25:21,3.84,차량,GPS위성,6
16:25:21,3.85,차량,GPS_HDOP,1.50
16:25:21,3.86,차량,원시위도,37.496947
16:25:21,3.86,차량,원시경도,126.958342
16:25:21,3.87,차량,GPS채택,166
16:25:21,3.88,차량,GPS이상치거부,14
16:25:21,3.88,차량,GPS품질거부,50
16:25:21,3.89,차량,GPS재기준,4
16:25:21,3.90,차량,계산거리,14.70
16:25:21,3.90,차량,접근속도,-0.20
16:25:21,3.91,차량,TTC,999.00
16:25:21,3.92,차량,방향오차,-151.1
16:25:21,3.92,차량,전방여부,0
16:25:21,3.93,차량,위험음성횟수,11
16:25:21,3.94,차량,충격음성횟수,3
16:25:21,3.94,차량,마지막위험음성,1
16:25:21,3.95,차량,RSSI원시,-68
16:25:21,3.96,차량,RSSI평활,-69.3
16:25:21,3.97,차량,RSSI샘플,13037
16:25:21,3.97,차량,RSSI경과ms,76
16:25:21,3.98,차량,위험송신,13037
16:25:23,5.46,지팡이,위험,0
16:25:23,5.48,지팡이,GPS유효,1
16:25:23,5.49,지팡이,위도,37.496967
16:25:23,5.50,지팡이,경도,126.958160
16:25:23,5.51,지팡이,속도,0.03
16:25:23,5.52,지팡이,방향,20.2
16:25:23,5.53,지팡이,가속도,"-2.43,3.20,9.46"
16:25:23,5.53,지팡이,송신,13340
16:25:23,5.54,지팡이,GPS위성,8
16:25:23,5.55,지팡이,GPS_HDOP,1.16
16:25:23,5.56,지팡이,원시위도,37.496969
16:25:23,5.56,지팡이,원시경도,126.958163
16:25:23,5.57,지팡이,GPS채택,999
16:25:23,5.58,지팡이,GPS이상치거부,6
16:25:23,5.58,지팡이,GPS품질거부,24
16:25:23,5.59,지팡이,GPS재기준,1
16:25:23,5.59,지팡이,RSSI원시,-71
16:25:23,5.60,지팡이,RSSI평활,-73.2
16:25:23,5.61,지팡이,RSSI샘플,24833
16:25:23,5.61,지팡이,RSSI경과ms,9
16:25:23,5.62,지팡이,차량수신,12324
16:25:23,5.74,차량,위험,0
16:25:23,5.75,차량,원시위험,0
16:25:23,5.76,차량,GPS유효,1
16:25:23,5.77,차량,위도,37.496953
16:25:23,5.78,차량,경도,126.958329
16:25:23,5.78,차량,속도,0.19
16:25:23,5.79,차량,방향,61.1
16:25:23,5.80,차량,가속도,"-0.93,1.05,9.61"
16:25:23,5.80,차량,자이로,"-1.3,0.8,-0.8"
16:25:23,5.81,차량,충격값,0.09
16:25:23,5.82,차량,송신,14583
16:25:23,5.82,차량,지팡이수신,13056
16:25:23,5.83,차량,GPS위성,6
16:25:23,5.84,차량,GPS_HDOP,1.50
16:25:23,5.84,차량,원시위도,37.496933
16:25:23,5.85,차량,원시경도,126.958352
16:25:23,5.86,차량,GPS채택,170
16:25:23,5.86,차량,GPS이상치거부,14
16:25:23,5.87,차량,GPS품질거부,50
16:25:23,5.88,차량,GPS재기준,4
16:25:23,5.88,차량,계산거리,14.95
16:25:23,5.89,차량,접근속도,-0.19
16:25:23,5.90,차량,TTC,999.00
16:25:23,5.90,차량,방향오차,-145.3
16:25:23,5.91,차량,전방여부,0
16:25:23,5.92,차량,위험음성횟수,11
16:25:23,5.92,차량,충격음성횟수,3
16:25:23,5.93,차량,마지막위험음성,1
16:25:23,5.94,차량,RSSI원시,-74
16:25:23,5.94,차량,RSSI평활,-71.9
16:25:23,5.95,차량,RSSI샘플,13056
16:25:23,5.95,차량,RSSI경과ms,28
16:25:23,5.96,차량,위험송신,13056
16:25:24,6.50,지팡이,위험,0
16:25:24,6.52,지팡이,GPS유효,1
16:25:24,6.53,지팡이,위도,37.496971
16:25:24,6.54,지팡이,경도,126.958160
16:25:24,6.55,지팡이,속도,0.06
16:25:24,6.56,지팡이,방향,20.2
16:25:24,6.56,지팡이,가속도,"-1.53,0.43,2.84"
16:25:24,6.57,지팡이,송신,13349
16:25:24,6.58,지팡이,GPS위성,8
16:25:24,6.58,지팡이,GPS_HDOP,1.16
16:25:24,6.59,지팡이,원시위도,37.496970
16:25:24,6.60,지팡이,원시경도,126.958164
16:25:24,6.60,지팡이,GPS채택,1001
16:25:24,6.61,지팡이,GPS이상치거부,6
16:25:24,6.62,지팡이,GPS품질거부,24
16:25:24,6.62,지팡이,GPS재기준,1
16:25:24,6.63,지팡이,RSSI원시,-76
16:25:24,6.64,지팡이,RSSI평활,-72.4
16:25:24,6.64,지팡이,RSSI샘플,24850
16:25:24,6.65,지팡이,RSSI경과ms,57
16:25:24,6.66,지팡이,차량수신,12333
16:25:25,7.51,지팡이,위험,0
16:25:25,7.52,지팡이,GPS유효,1
16:25:25,7.52,지팡이,위도,37.496975
16:25:25,7.53,지팡이,경도,126.958160
16:25:25,7.54,지팡이,속도,0.26
16:25:25,7.54,지팡이,방향,20.2
16:25:25,7.55,지팡이,가속도,"-1.54,2.24,9.62"
16:25:25,7.56,지팡이,송신,13359
16:25:25,7.57,지팡이,GPS위성,8
16:25:25,7.57,지팡이,GPS_HDOP,1.16
16:25:25,7.58,지팡이,원시위도,37.496975
16:25:25,7.59,지팡이,원시경도,126.958162
16:25:25,7.59,지팡이,GPS채택,1003
16:25:25,7.60,지팡이,GPS이상치거부,6
16:25:25,7.61,지팡이,GPS품질거부,24
16:25:25,7.61,지팡이,GPS재기준,1
16:25:25,7.62,지팡이,RSSI원시,-74
16:25:25,7.63,지팡이,RSSI평활,-75.1
16:25:25,7.63,지팡이,RSSI샘플,24867
16:25:25,7.64,지팡이,RSSI경과ms,26
16:25:25,7.65,지팡이,차량수신,12341
16:25:25,7.81,차량,위험,0
16:25:25,7.82,차량,원시위험,0
16:25:25,7.83,차량,GPS유효,1
16:25:25,7.84,차량,위도,37.496944
16:25:25,7.85,차량,경도,126.958329
16:25:25,7.86,차량,속도,0.31
16:25:25,7.86,차량,방향,61.1
16:25:25,7.87,차량,가속도,"-0.99,1.02,9.62"
16:25:25,7.88,차량,자이로,"0.9,1.3,-1.1"
16:25:25,7.89,차량,충격값,0.03
16:25:25,7.89,차량,송신,14602
16:25:25,7.90,차량,지팡이수신,13073
16:25:25,7.91,차량,GPS위성,6
16:25:25,7.91,차량,GPS_HDOP,1.50
16:25:25,7.92,차량,원시위도,37.496922
16:25:25,7.93,차량,원시경도,126.958317
16:25:25,7.93,차량,GPS채택,174
16:25:25,7.94,차량,GPS이상치거부,14
16:25:25,7.94,차량,GPS품질거부,50
16:25:25,7.95,차량,GPS재기준,4
16:25:25,7.96,차량,계산거리,15.22
16:25:25,7.96,차량,접근속도,-0.17
16:25:25,7.97,차량,TTC,999.00
16:25:25,7.98,차량,방향오차,-138.9
16:25:25,7.98,차량,전방여부,0
16:25:25,7.99,차량,위험음성횟수,11
16:25:25,8.00,차량,충격음성횟수,3
16:25:25,8.00,차량,마지막위험음성,1
16:25:25,8.01,차량,RSSI원시,-74
16:25:25,8.02,차량,RSSI평활,-74.8
16:25:25,8.02,차량,RSSI샘플,13073
16:25:25,8.03,차량,RSSI경과ms,99
16:25:25,8.04,차량,위험송신,13073
16:25:26,8.54,지팡이,위험,0
16:25:26,8.55,지팡이,GPS유효,1
16:25:26,8.57,지팡이,위도,37.496979
16:25:26,8.58,지팡이,경도,126.958168
16:25:26,8.59,지팡이,속도,0.28
16:25:26,8.59,지팡이,방향,20.2
16:25:26,8.60,지팡이,가속도,"-2.34,3.10,8.49"
16:25:26,8.61,지팡이,송신,13369
16:25:26,8.62,지팡이,GPS위성,8
16:25:26,8.62,지팡이,GPS_HDOP,1.16
16:25:26,8.63,지팡이,원시위도,37.496980
16:25:26,8.64,지팡이,원시경도,126.958172
16:25:26,8.64,지팡이,GPS채택,1005
16:25:26,8.65,지팡이,GPS이상치거부,6
16:25:26,8.66,지팡이,GPS품질거부,24
16:25:26,8.66,지팡이,GPS재기준,1
16:25:26,8.67,지팡이,RSSI원시,-75
16:25:26,8.68,지팡이,RSSI평활,-74.1
16:25:26,8.68,지팡이,RSSI샘플,24885
16:25:26,8.69,지팡이,RSSI경과ms,6
16:25:26,8.70,지팡이,차량수신,12349
16:25:27,9.45,지팡이,위험,0
16:25:27,9.47,지팡이,GPS유효,1
16:25:27,9.48,지팡이,위도,37.496983
16:25:27,9.49,지팡이,경도,126.958176
16:25:27,9.50,지팡이,속도,0.17
16:25:27,9.51,지팡이,방향,20.2
16:25:27,9.52,지팡이,가속도,"-2.78,3.55,8.60"
16:25:27,9.52,지팡이,송신,13379
16:25:27,9.53,지팡이,GPS위성,8
16:25:27,9.54,지팡이,GPS_HDOP,1.16
16:25:27,9.54,지팡이,원시위도,37.496983
16:25:27,9.55,지팡이,원시경도,126.958173
16:25:27,9.56,지팡이,GPS채택,1007
16:25:27,9.56,지팡이,GPS이상치거부,6
16:25:27,9.57,지팡이,GPS품질거부,24
16:25:27,9.58,지팡이,GPS재기준,1
16:25:27,9.58,지팡이,RSSI원시,-73
16:25:27,9.59,지팡이,RSSI평활,-73.0
16:25:27,9.60,지팡이,RSSI샘플,24904
16:25:27,9.60,지팡이,RSSI경과ms,28
16:25:27,9.61,지팡이,차량수신,12358
16:25:27,9.78,차량,위험,0
16:25:27,9.79,차량,원시위험,0
16:25:27,9.80,차량,GPS유효,1
16:25:27,9.81,차량,위도,37.496940
16:25:27,9.82,차량,경도,126.958323
16:25:27,9.83,차량,속도,0.38
16:25:27,9.83,차량,방향,61.1
16:25:27,9.84,차량,가속도,"-0.93,1.13,9.58"
16:25:27,9.85,차량,자이로,"-0.9,1.9,0.6"
16:25:27,9.85,차량,충격값,0.13
16:25:27,9.86,차량,송신,14622
16:25:27,9.87,차량,지팡이수신,13092
16:25:27,9.87,차량,GPS위성,5
16:25:27,9.88,차량,GPS_HDOP,1.80
16:25:27,9.89,차량,원시위도,37.496923
16:25:27,9.89,차량,원시경도,126.958270
16:25:27,9.90,차량,GPS채택,176
16:25:27,9.91,차량,GPS이상치거부,16
16:25:27,9.91,차량,GPS품질거부,50
16:25:27,9.92,차량,GPS재기준,4
16:25:27,9.93,차량,계산거리,13.80
16:25:27,9.93,차량,접근속도,0.48
16:25:27,9.94,차량,TTC,999.00
16:25:27,9.95,차량,방향오차,-131.8
16:25:27,9.95,차량,전방여부,0
16:25:27,9.96,차량,위험음성횟수,11
16:25:27,9.97,차량,충격음성횟수,3
16:25:27,9.97,차량,마지막위험음성,1
16:25:27,9.98,차량,RSSI원시,-73
16:25:27,9.98,차량,RSSI평활,-72.8
16:25:27,9.99,차량,RSSI샘플,13092
16:25:27,10.00,차량,RSSI경과ms,55
16:25:27,10.00,차량,위험송신,13092
16:25:28,10.50,지팡이,위험,0
16:25:28,10.52,지팡이,GPS유효,1
16:25:28,10.53,지팡이,위도,37.496986
16:25:28,10.54,지팡이,경도,126.958176
16:25:28,10.55,지팡이,속도,0.12
16:25:28,10.56,지팡이,방향,20.2
16:25:28,10.57,지팡이,가속도,"-2.71,3.43,8.62"
16:25:28,10.57,지팡이,송신,13389
16:25:28,10.58,지팡이,GPS위성,8
16:25:28,10.59,지팡이,GPS_HDOP,1.05
16:25:28,10.60,지팡이,원시위도,37.496988
16:25:28,10.60,지팡이,원시경도,126.958178
16:25:28,10.61,지팡이,GPS채택,1009
16:25:28,10.61,지팡이,GPS이상치거부,6
16:25:28,10.62,지팡이,GPS품질거부,24
16:25:28,10.63,지팡이,GPS재기준,1
16:25:28,10.63,지팡이,RSSI원시,-74
16:25:28,10.64,지팡이,RSSI평활,-73.0
16:25:28,10.65,지팡이,RSSI샘플,24923
16:25:28,10.65,지팡이,RSSI경과ms,13
16:25:28,10.66,지팡이,차량수신,12368
16:25:29,11.53,지팡이,위험,1
16:25:29,11.54,지팡이,GPS유효,1
16:25:29,11.55,지팡이,위도,37.496990
16:25:29,11.56,지팡이,경도,126.958183
16:25:29,11.57,지팡이,속도,0.17
16:25:29,11.58,지팡이,방향,20.2
16:25:29,11.59,지팡이,가속도,"-2.66,3.63,8.63"
16:25:29,11.60,지팡이,송신,13398
16:25:29,11.61,지팡이,GPS위성,8
16:25:29,11.61,지팡이,GPS_HDOP,1.05
16:25:29,11.62,지팡이,원시위도,37.496991
16:25:29,11.63,지팡이,원시경도,126.958186
16:25:29,11.63,지팡이,GPS채택,1011
16:25:29,11.64,지팡이,GPS이상치거부,6
16:25:29,11.65,지팡이,GPS품질거부,24
16:25:29,11.65,지팡이,GPS재기준,1
16:25:29,11.66,지팡이,RSSI원시,-74
16:25:29,11.66,지팡이,RSSI평활,-73.5
16:25:29,11.67,지팡이,RSSI샘플,24941
16:25:29,11.68,지팡이,RSSI경과ms,29
16:25:29,11.68,지팡이,차량수신,12378
16:25:30,12.46,지팡이,위험,1
16:25:30,12.47,지팡이,GPS유효,1
16:25:30,12.48,지팡이,위도,37.496994
16:25:30,12.50,지팡이,경도,126.958191
16:25:30,12.51,지팡이,속도,0.22
16:25:30,12.51,지팡이,방향,20.2
16:25:30,12.52,지팡이,가속도,"-2.67,3.49,8.64"
16:25:30,12.53,지팡이,송신,13408
16:25:30,12.54,지팡이,GPS위성,7
16:25:30,12.54,지팡이,GPS_HDOP,1.23
16:25:30,12.55,지팡이,원시위도,37.496995
16:25:30,12.56,지팡이,원시경도,126.958191
16:25:30,12.56,지팡이,GPS채택,1013
16:25:30,12.57,지팡이,GPS이상치거부,6
16:25:30,12.58,지팡이,GPS품질거부,24
16:25:30,12.58,지팡이,GPS재기준,1
16:25:30,12.59,지팡이,RSSI원시,-77
16:25:30,12.60,지팡이,RSSI평활,-75.0
16:25:30,12.60,지팡이,RSSI샘플,24958
16:25:30,12.61,지팡이,RSSI경과ms,0
16:25:30,12.62,지팡이,차량수신,12386
16:25:30,12.78,차량,위험,1
16:25:30,12.79,차량,원시위험,1
16:25:30,12.80,차량,GPS유효,1
16:25:30,12.81,차량,위도,37.496941
16:25:30,12.82,차량,경도,126.958185
16:25:30,12.83,차량,속도,0.53
16:25:30,12.84,차량,방향,65.0
16:25:30,12.84,차량,가속도,"-1.03,0.93,9.48"
16:25:30,12.85,차량,자이로,"-2.0,-0.1,-1.8"
16:25:30,12.86,차량,충격값,0.39
16:25:30,12.86,차량,송신,14651
16:25:30,12.87,차량,지팡이수신,13119
16:25:30,12.88,차량,GPS위성,6
16:25:30,12.88,차량,GPS_HDOP,1.50
16:25:30,12.89,차량,원시위도,37.496940
16:25:30,12.90,차량,원시경도,126.958180
16:25:30,12.90,차량,GPS채택,182
16:25:30,12.91,차량,GPS이상치거부,17
16:25:30,12.92,차량,GPS품질거부,50
16:25:30,12.92,차량,GPS재기준,5
16:25:30,12.93,차량,계산거리,5.97
16:25:30,12.93,차량,접근속도,2.15
16:25:30,12.94,차량,TTC,999.00
16:25:30,12.95,차량,방향오차,-60.6
16:25:30,12.95,차량,전방여부,0
16:25:30,12.96,차량,위험음성횟수,12
16:25:30,12.97,차량,충격음성횟수,4
16:25:30,12.97,차량,마지막위험음성,1
16:25:30,12.98,차량,RSSI원시,-72
16:25:30,12.99,차량,RSSI평활,-72.3
16:25:30,12.99,차량,RSSI샘플,13119
16:25:30,13.00,차량,RSSI경과ms,94
16:25:30,13.01,차량,위험송신,13119
16:25:31,13.55,지팡이,위험,1
16:25:31,13.57,지팡이,GPS유효,1
16:25:31,13.58,지팡이,위도,37.496998
16:25:31,13.59,지팡이,경도,126.958191
16:25:31,13.60,지팡이,속도,0.19
16:25:31,13.61,지팡이,방향,20.2
16:25:31,13.62,지팡이,가속도,"-2.68,3.51,8.76"
16:25:31,13.63,지팡이,송신,13418
16:25:31,13.63,지팡이,GPS위성,7
16:25:31,13.64,지팡이,GPS_HDOP,1.23
16:25:31,13.65,지팡이,원시위도,37.496998
16:25:31,13.65,지팡이,원시경도,126.958195
16:25:31,13.66,지팡이,GPS채택,1015
16:25:31,13.67,지팡이,GPS이상치거부,6
16:25:31,13.67,지팡이,GPS품질거부,24
16:25:31,13.68,지팡이,GPS재기준,1
16:25:31,13.69,지팡이,RSSI원시,-69
16:25:31,13.69,지팡이,RSSI평활,-72.0
16:25:31,13.70,지팡이,RSSI샘플,24976
16:25:31,13.71,지팡이,RSSI경과ms,49
16:25:31,13.71,지팡이,차량수신,12394
16:25:31,13.88,차량,위험,1
16:25:31,13.89,차량,원시위험,1
16:25:31,13.89,차량,GPS유효,1
16:25:31,13.90,차량,위도,37.496945
16:25:31,13.91,차량,경도,126.958160
16:25:31,13.92,차량,속도,0.57
16:25:31,13.92,차량,방향,39.2
16:25:31,13.93,차량,가속도,"0.61,3.28,12.49"
16:25:31,13.94,차량,자이로,"-9.9,-2.1,2.8"
16:25:31,13.95,차량,충격값,4.07
16:25:31,13.95,차량,송신,14660
16:25:31,13.96,차량,지팡이수신,13129
16:25:31,13.97,차량,GPS위성,6
16:25:31,13.97,차량,GPS_HDOP,1.50
16:25:31,13.98,차량,원시위도,37.496943
16:25:31,13.99,차량,원시경도,126.958158
16:25:31,13.99,차량,GPS채택,184
16:25:31,14.00,차량,GPS이상치거부,17
16:25:31,14.01,차량,GPS품질거부,50
16:25:31,14.01,차량,GPS재기준,5
16:25:31,14.02,차량,계산거리,6.53
16:25:31,14.03,차량,접근속도,0.74
16:25:31,14.03,차량,TTC,999.00
16:25:31,14.04,차량,방향오차,-14.7
16:25:31,14.05,차량,전방여부,1
16:25:31,14.05,차량,위험음성횟수,12
16:25:31,14.06,차량,충격음성횟수,4
16:25:31,14.07,차량,마지막위험음성,1
16:25:31,14.07,차량,RSSI원시,-72
16:25:31,14.08,차량,RSSI평활,-72.5
16:25:31,14.09,차량,RSSI샘플,13129
16:25:31,14.09,차량,RSSI경과ms,72
16:25:31,14.10,차량,위험송신,13129
16:25:32,14.50,지팡이,위험,1
16:25:32,14.51,지팡이,GPS유효,1
16:25:32,14.52,지팡이,위도,37.497002
