pc_time,cane_seq,computed_level,effective_level,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score
1785569028.477,12414,1,1,1,change,0,8.33,-0.02,9999.0,30.0
1785569029.504,12424,1,1,1,heartbeat,0,8.56,-0.05,9999.0,30.0
1785569029.672,12426,0,0,1,change,0,8.49,0.02,419.37,6.6
1785569030.328,12432,1,1,1,change,0,8.16,0.26,31.52,21.94
1785569031.368,12442,1,1,1,heartbeat,0,6.33,0.96,6.6,29.59
1785569032.398,12452,1,1,1,heartbeat,0,5.49,0.69,7.91,31.69
1785569033.43,12462,1,1,1,heartbeat,0,5.24,0.4,12.94,23.32
1785569034.266,12470,0,0,1,change,0,5.32,0.03,171.45,18.1
1785569034.292,12471,1,1,1,change,0,5.4,-0.04,9999.0,30.0
1785569035.296,12480,1,1,1,heartbeat,0,8.53,-2.64,9999.0,30.0
1785569036.331,12490,1,1,1,heartbeat,0,9.26,-1.46,9999.0,30.0
1785569037.371,12500,1,1,1,heartbeat,0,8.75,-0.33,9999.0,30.0
1785569038.108,12508,0,0,1,change,0,8.44,0.0,3356.27,6.6
1785569039.116,12518,0,0,1,heartbeat,0,8.24,0.1,78.64,13.66
1785569039.425,12521,1,1,1,change,0,8.38,-0.03,9999.0,30.0
1785569040.426,12530,1,1,1,heartbeat,0,8.87,-0.28,9999.0,30.0
1785569043.353,12559,1,1,1,heartbeat,0,13.16,-3.11,9999.0,25.0
1785569044.393,12569,1,1,1,heartbeat,0,14.6,-2.0,9999.0,25.0
1785569045.425,12579,1,1,1,heartbeat,0,17.03,-2.76,9999.0,25.0
1785569045.733,12582,0,0,1,change,0,20.05,-4.38,9999.0,18.0
1785569046.763,12592,0,0,1,heartbeat,0,24.67,-4.25,9999.0,18.0
1785569047.799,12602,0,0,1,heartbeat,0,24.71,-1.76,9999.0,18.0
1785569048.829,12612,0,0,1,heartbeat,0,23.81,-0.25,9999.0,18.0
1785569049.86,12622,0,0,1,heartbeat,0,23.76,-0.08,9999.0,18.0
