pc_time,cane_seq,computed_level,effective_level,trusted,reason,target_id
1785563689.901,18209,0,0,1,change,0
1785563690.932,18219,0,0,1,heartbeat,0
1785563691.881,18229,1,1,1,change,0
1785563691.986,18230,0,0,1,change,0
1785563693.011,18240,0,0,1,heartbeat,0
1785563694.012,18250,0,0,1,heartbeat,0
1785563695.041,18260,0,0,1,heartbeat,0
1785563696.065,18270,0,0,1,heartbeat,0
1785563697.091,18280,0,0,1,heartbeat,0
1785563698.176,18289,0,0,1,heartbeat,0
1785563699.211,18300,0,0,1,heartbeat,0
1785563700.246,18310,0,0,1,heartbeat,0
1785563701.281,18320,0,0,1,heartbeat,0
1785563702.32,18330,0,0,1,heartbeat,0
1785563703.349,18340,0,0,1,heartbeat,0
1785563704.378,18351,0,0,1,heartbeat,0
1785563705.437,18360,0,0,1,heartbeat,0
1785563706.16,18368,1,1,1,change,0
1785563707.188,18378,1,1,1,heartbeat,0
1785563707.6,18382,0,0,1,change,0
1785563708.636,18392,1,1,1,change,0
1785563709.666,18402,1,1,1,heartbeat,0
1785563709.716,18403,0,0,1,change,0
1785563710.741,18413,0,0,1,heartbeat,0
1785563711.003,18415,1,1,1,change,0
1785563712.043,18425,0,0,1,change,0
1785563713.072,18435,0,0,1,heartbeat,0
1785563714.104,18445,0,0,1,heartbeat,0
1785563715.138,18455,1,1,1,change,0
1785563716.168,18465,0,0,1,change,0
1785563717.203,18476,0,0,1,heartbeat,0
1785563718.021,18483,1,1,1,change,0
1785563719.049,18494,1,1,1,heartbeat,0
1785563720.075,18504,1,1,1,heartbeat,0
1785563720.723,18510,0,0,1,change,0
1785563720.926,18512,1,1,1,change,0
1785563721.957,18521,1,1,1,heartbeat,0
1785563722.999,18532,1,1,1,heartbeat,0
1785563724.028,18542,1,1,1,heartbeat,0
1785563725.208,18554,1,1,1,heartbeat,0
1785563726.235,18564,1,1,1,heartbeat,0
1785563727.262,18574,1,1,1,heartbeat,0
1785563728.287,18584,1,1,1,heartbeat,0
1785563729.392,18593,1,1,1,heartbeat,0
1785563729.415,18595,0,0,1,change,0
1785563729.497,18595,1,1,1,change,0
1785563730.529,18605,0,0,1,change,0
1785563730.551,18606,1,1,1,change,0
1785563730.629,18606,0,0,1,change,0
1785563731.144,18611,1,1,1,change,0
1785563732.07,18620,0,0,1,change,0
1785563733.109,18631,0,0,1,heartbeat,0
1785563733.849,18638,1,1,1,change,0
1785563734.857,18648,1,1,1,heartbeat,0
1785563735.495,18654,0,0,1,change,0
1785563735.903,18658,1,1,1,change,0
1785563736.91,18668,1,1,1,heartbeat,0
1785563737.934,18678,1,1,1,heartbeat,0
1785563738.967,18688,1,1,1,heartbeat,0
1785563739.412,18692,0,0,1,change,0
1785563740.444,18702,0,0,1,heartbeat,0
1785563741.476,18712,0,0,1,heartbeat,0
1785563742.506,18722,0,0,1,heartbeat,0
1785563743.538,18732,0,0,1,heartbeat,0
1785563744.571,18742,0,0,1,heartbeat,0
1785563745.614,18752,0,0,1,heartbeat,0
1785563746.645,18762,0,0,1,heartbeat,0
1785563747.575,18771,1,1,1,change,0
1785563748.606,18782,1,1,1,heartbeat,0
1785563749.633,18792,1,1,1,heartbeat,0
1785563750.658,18802,1,1,1,heartbeat,0
1785563751.686,18812,1,1,1,heartbeat,0
1785563752.71,18822,1,1,1,heartbeat,0
1785563753.738,18832,1,1,1,heartbeat,0
1785563754.148,18836,0,0,1,change,0
1785563754.205,18836,1,1,1,change,0
1785563754.25,18837,0,0,1,change,0
1785563755.131,18845,1,1,1,change,0
1785563756.167,18855,1,1,1,heartbeat,0
1785563757.193,18865,1,1,1,heartbeat,0
1785563758.256,18876,1,1,1,heartbeat,0
1785563759.259,18885,1,1,1,heartbeat,0
1785563759.486,18888,0,0,1,change,0
1785563759.573,18888,1,1,1,change,0
1785563759.595,18889,0,0,1,change,0
1785563760.085,18893,1,1,1,change,0
1785563760.906,18901,0,0,1,change,0
1785563761.939,18911,0,0,1,heartbeat,0
1785563762.97,18921,0,0,1,heartbeat,0
1785563763.797,18929,1,1,1,change,0
1785563763.925,18931,0,0,1,change,0
1785563765.024,18942,0,0,1,heartbeat,0
1785563766.05,18952,0,0,1,heartbeat,0
1785563767.076,18962,0,0,1,heartbeat,0
1785563767.414,18965,1,1,1,change,0
1785563767.72,18968,0,0,1,change,0
1785563768.306,18974,1,1,1,change,0
1785563769.333,18984,1,1,1,heartbeat,0
1785563769.445,18985,0,0,1,change,0
1785563770.462,18995,0,0,1,heartbeat,0
1785563771.126,19001,1,1,1,change,0
1785563772.168,19011,1,1,1,heartbeat,0
1785563773.2,19021,1,1,1,heartbeat,0
1785563774.231,19031,1,1,1,heartbeat,0
1785563775.261,19041,1,1,1,heartbeat,0
1785563776.292,19051,1,1,1,heartbeat,0
1785563776.911,19057,0,0,1,change,0
1785563777.944,19067,0,0,1,heartbeat,0
1785563778.977,19077,0,0,1,heartbeat,0
1785563779.184,19079,1,1,1,change,0
1785563779.389,19081,0,0,1,change,0
1785563780.418,19092,0,0,1,heartbeat,0
1785563781.447,19102,0,0,1,heartbeat,0
1785563782.468,19112,0,0,1,heartbeat,0
1785563783.498,19122,0,0,1,heartbeat,0
1785563783.73,19124,1,1,1,change,0
1785563784.352,19130,0,0,1,change,0
1785563785.241,19139,1,1,1,change,0
1785563785.586,19142,0,0,1,change,0
1785563786.616,19152,0,0,1,heartbeat,0
1785563787.645,19162,0,0,1,heartbeat,0
1785563788.675,19172,0,0,1,heartbeat,0
1785563789.727,19182,0,0,1,heartbeat,0
1785563790.246,19187,1,1,1,change,0
1785563791.269,19197,1,1,1,heartbeat,0
1785563792.299,19207,1,1,1,heartbeat,0
1785564018.552,21412,0,0,1,change,0
1785564018.814,21415,1,1,1,change,0
1785564018.964,21416,2,2,1,change,0
1785564019.481,21421,0,0,1,change,0
1785564019.792,21424,1,1,1,change,0
1785564020.823,21434,1,1,1,heartbeat,0
1785564021.584,21442,0,0,1,change,0
1785564022.616,21452,0,0,1,heartbeat,0
1785564023.642,21462,0,0,1,heartbeat,0
1785564024.652,21471,0,0,1,heartbeat,0
1785564025.686,21481,0,0,1,heartbeat,0
1785564026.713,21491,0,0,1,heartbeat,0
1785564027.746,21502,0,0,1,heartbeat,0
1785564028.779,21512,0,0,1,heartbeat,0
1785564029.795,21522,0,0,1,heartbeat,0
1785564030.823,21532,0,0,1,heartbeat,0
1785564031.848,21542,0,0,1,heartbeat,0
1785564032.884,21552,0,0,1,heartbeat,0
1785564033.903,21562,0,0,1,heartbeat,0
1785564034.927,21572,0,0,1,heartbeat,0
1785564035.953,21582,0,0,1,heartbeat,0
1785564036.979,21592,0,0,1,heartbeat,0
1785564037.98,21601,0,0,1,heartbeat,0
1785564039.021,21611,0,0,1,heartbeat,0
1785564039.642,21617,1,1,1,change,0
1785564039.843,21619,0,0,1,change,0
1785564040.873,21629,0,0,1,heartbeat,0
1785564041.908,21640,0,0,1,heartbeat,0
1785564042.933,21650,0,0,1,heartbeat,0
1785564043.96,21660,0,0,1,heartbeat,0
1785564044.99,21670,0,0,1,heartbeat,0
1785564046.011,21680,0,0,1,heartbeat,0
1785564047.039,21690,0,0,1,heartbeat,0
1785564048.067,21700,0,0,1,heartbeat,0
1785564049.091,21710,0,0,1,heartbeat,0
1785564050.118,21720,0,0,1,heartbeat,0
1785564051.146,21730,0,0,1,heartbeat,0
1785564052.17,21740,0,0,1,heartbeat,0
1785564053.196,21750,0,0,1,heartbeat,0
1785564054.198,21759,0,0,1,heartbeat,0
1785564055.228,21769,0,0,1,heartbeat,0
1785564056.259,21779,0,0,1,heartbeat,0
1785564057.29,21789,0,0,1,heartbeat,0
1785564058.33,21800,0,0,1,heartbeat,0
1785564059.349,21809,0,0,1,heartbeat,0
1785564060.382,21820,0,0,1,heartbeat,0
1785564061.409,21830,0,0,1,heartbeat,0
1785564062.44,21840,0,0,1,heartbeat,0
1785564063.46,21850,0,0,1,heartbeat,0
1785564064.486,21860,0,0,1,heartbeat,0
