pc_time,type,node_id,seq,gps_valid,lat,lng,speed_mps,heading_deg,rssi
1785746190.395,vehicle,2882630492,598,0,0.0,0.0,0.0,0.0,-78
1785746190.490,vehicle,2882630492,599,0,0.0,0.0,0.0,0.0,-75
1785746190.591,vehicle,2882630492,600,0,0.0,0.0,0.0,0.0,-78
1785746190.700,vehicle,2882630492,601,0,0.0,0.0,0.0,0.0,-78
1785746190.889,vehicle,2882630492,603,0,0.0,0.0,0.0,0.0,-81
1785746190.911,cane,4125577512,20195,1,37.496597,126.957863,0.017,188.05,-66
1785746191.096,vehicle,2882630492,605,0,0.0,0.0,0.0,0.0,-85
1785746191.195,vehicle,2882630492,606,0,0.0,0.0,0.0,0.0,-84
1785746191.217,cane,4125577512,20197,1,37.496597,126.957863,0.017,188.05,-66
1785746191.594,vehicle,2882630492,610,0,0.0,0.0,0.0,0.0,-80
1785746191.672,cane,4125577512,20202,1,37.496601,126.957863,0.019,188.05,-65
1785746191.707,cane,4125577512,20203,1,37.496601,126.957863,0.019,188.05,-66
1785746192.197,vehicle,2882630492,616,0,0.0,0.0,0.0,0.0,-73
1785746192.300,vehicle,2882630492,617,0,0.0,0.0,0.0,0.0,-80
1785746192.322,cane,4125577512,20208,1,37.496601,126.957863,0.021,188.05,-66
1785746192.407,vehicle,2882630492,618,0,0.0,0.0,0.0,0.0,-81
1785746192.635,cane,4125577512,20211,1,37.496601,126.957863,0.023,188.05,-65
1785746192.901,vehicle,2882630492,623,0,0.0,0.0,0.0,0.0,-80
1785746192.923,cane,4125577512,20214,1,37.496601,126.957863,0.023,188.05,-65
1785746193.002,vehicle,2882630492,624,0,0.0,0.0,0.0,0.0,-81
1785746193.305,vehicle,2882630492,627,0,0.0,0.0,0.0,0.0,-85
1785746193.379,cane,4125577512,20219,1,37.496601,126.95787,0.022,188.05,-66
1785746193.407,vehicle,2882630492,628,0,0.0,0.0,0.0,0.0,-83
1785746193.429,cane,4125577512,20220,1,37.496601,126.95787,0.022,188.05,-66
1785746193.525,cane,4125577512,20221,1,37.496601,126.95787,0.022,188.05,-66
1785746193.778,cane,4125577512,20223,1,37.496601,126.95787,0.022,188.05,-66
1785746193.808,vehicle,2882630492,632,0,0.0,0.0,0.0,0.0,-91
1785746193.909,vehicle,2882630492,633,0,0.0,0.0,0.0,0.0,-84
1785746194.106,vehicle,2882630492,635,0,0.0,0.0,0.0,0.0,-86
1785746194.350,cane,4125577512,20229,1,37.496601,126.95787,0.024,188.05,-65
1785746194.508,vehicle,2882630492,639,0,0.0,0.0,0.0,0.0,-89
1785746194.813,vehicle,2882630492,642,0,0.0,0.0,0.0,0.0,-92
1785746195.024,vehicle,2882630492,644,0,0.0,0.0,0.0,0.0,-91
1785746195.111,vehicle,2882630492,645,0,0.0,0.0,0.0,0.0,-89
1785746195.291,cane,4125577512,20238,1,37.496605,126.95787,0.023,188.05,-65
1785746195.578,cane,4125577512,20241,1,37.496605,126.95787,0.022,188.05,-65
1785746195.811,cane,4125577512,20243,1,37.496605,126.95787,0.022,188.05,-66
1785746195.868,cane,4125577512,20244,1,37.496605,126.95787,0.022,188.05,-65
1785746195.983,cane,4125577512,20245,1,37.496605,126.95787,0.022,188.05,-65
1785746196.084,cane,4125577512,20246,1,37.496605,126.95787,0.022,188.05,-65
1785746196.301,cane,4125577512,20248,1,37.496605,126.95787,0.02,188.05,-65
1785746196.690,cane,4125577512,20252,1,37.496605,126.95787,0.018,188.05,-65
1785746197.125,cane,4125577512,20256,1,37.496605,126.95787,0.018,188.05,-65
1785746197.330,cane,4125577512,20258,1,37.496605,126.95787,0.019,188.05,-65
1785746197.389,cane,4125577512,20259,1,37.496605,126.95787,0.02,188.05,-65
1785746197.612,cane,4125577512,20261,1,37.496605,126.95787,0.02,188.05,-65
1785746197.703,cane,4125577512,20262,1,37.496605,126.95787,0.02,188.05,-65
1785746197.924,cane,4125577512,20264,1,37.496605,126.95787,0.02,188.05,-65
1785746198.013,cane,4125577512,20265,1,37.496605,126.95787,0.02,188.05,-64
1785746198.238,cane,4125577512,20267,1,37.496609,126.95787,0.015,188.05,-65
1785746198.449,cane,4125577512,20269,1,37.496609,126.95787,0.011,188.05,-65
1785746198.516,cane,4125577512,20270,1,37.496609,126.95787,0.011,188.05,-65
1785746198.633,cane,4125577512,20271,1,37.496609,126.95787,0.011,188.05,-65
1785746199.038,cane,4125577512,20275,1,37.496609,126.95787,0.011,188.05,-66
1785746199.129,cane,4125577512,20276,1,37.496609,126.95787,0.011,188.05,-66
1785746199.264,cane,4125577512,20277,1,37.496609,126.95787,0.015,188.05,-65
1785746200.156,vehicle,2882630492,3,0,0.0,0.0,0.0,0.0,-87
1785746200.188,cane,4125577512,20286,1,37.496609,126.95787,0.017,188.05,-66
1785746200.355,cane,4125577512,20288,1,37.496613,126.95787,0.013,188.05,-66
1785746200.560,cane,4125577512,20290,1,37.496613,126.95787,0.013,188.05,-65
