pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1785934620.602,3212,0,0,0,0,1,change,0,36.54,-0.0,9999.0,18.0,1,37.496529,126.957886,0.021,0.0,1,0.0,0.0
1785934621.626,3222,0,0,0,0,1,heartbeat,0,36.54,-0.0,9999.0,18.0,1,37.496529,126.957886,0.026,0.0,1,0.0,0.0
1785934622.648,3232,0,0,0,0,1,heartbeat,0,36.53,0.01,3199.72,4.2,1,37.496532,126.957886,0.017,0.0,1,0.0,0.0
1785934623.653,3241,0,0,0,0,1,heartbeat,0,36.48,0.03,1409.77,4.2,1,37.496536,126.957886,0.015,0.0,1,0.0,0.0
1785934624.698,3251,0,0,0,0,1,heartbeat,0,36.45,0.02,1499.64,4.2,1,37.49654,126.957886,0.012,0.0,1,0.0,0.0
1785934625.742,3262,0,0,0,0,1,heartbeat,0,36.44,0.02,2351.45,4.2,1,37.49654,126.957886,0.027,0.0,1,0.0,0.0
1785934626.77,3272,0,0,0,0,1,heartbeat,0,36.17,0.19,187.78,4.2,1,37.496544,126.957893,0.045,0.0,1,0.0,0.0
1785934627.818,3282,0,0,0,0,1,heartbeat,0,35.73,0.3,118.12,4.2,1,37.496548,126.957893,0.034,0.0,1,0.0,0.0
1785934628.856,3292,0,0,0,0,1,heartbeat,0,35.66,0.15,231.38,4.2,1,37.496552,126.957893,0.03,0.0,1,0.0,0.0
1785934629.888,3302,0,0,0,0,1,heartbeat,0,35.89,-0.1,9999.0,18.0,1,37.496552,126.957886,0.09,0.0,1,0.0,0.0
1785934630.892,3311,0,0,0,0,1,heartbeat,0,36.42,-0.31,9999.0,18.0,1,37.496552,126.957886,0.144,0.0,1,0.0,0.0
1785934631.758,3320,1,1,0,0,1,change,0,36.07,0.07,513.3,21.0,1,37.496552,126.957893,0.041,0.0,1,0.0,0.0
