pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_speed_mps,veh_heading_deg
1786173800.692,9660,0,0,0,0,1,change,0,43.8,0.75,58.75,13.0,0,table,0.0089,table,1,37.496525,126.955299,0.204,344.27,1,0.093,0.0
1786173801.694,9670,0,0,0,0,1,heartbeat,0,44.04,0.14,316.27,2.6,0,table,0.0465,table,1,37.496525,126.955307,0.161,0.0,1,0.093,0.0
1786173802.727,9680,0,0,0,0,1,heartbeat,0,45.76,-0.92,9999.0,10.0,0,table,0.0001,table,1,37.496521,126.955315,0.109,0.0,1,0.072,0.0
1786173803.761,9690,0,0,0,0,1,heartbeat,0,46.18,-0.6,9999.0,10.0,0,table,0.0001,table,1,37.496521,126.955315,0.076,0.0,1,0.072,0.0
1786173806.695,9718,0,0,0,0,1,heartbeat,0,51.49,-4.01,9999.0,10.0,0,table,0.0002,table,1,37.496521,126.955322,0.103,0.0,1,0.075,0.0
1786173807.709,9728,0,0,0,0,1,heartbeat,0,53.05,-2.38,9999.0,10.0,0,table,0.0005,table,1,37.496521,126.955322,0.096,0.0,1,0.075,0.0
1786173808.743,9738,0,0,0,0,1,heartbeat,0,52.61,-0.7,9999.0,10.0,0,table,0.0002,table,1,37.496521,126.955322,0.176,0.0,1,0.066,0.0
1786173809.783,9748,0,0,0,0,1,heartbeat,0,52.07,-0.04,9999.0,10.0,0,table,0.0001,table,1,37.496525,126.955322,0.179,0.0,1,0.045,0.0
1786173810.823,9758,0,0,0,0,1,heartbeat,0,51.91,0.06,898.59,2.6,0,table,0.0005,table,1,37.496529,126.955322,0.152,0.0,1,0.045,0.0
1786173811.861,9768,0,0,0,0,1,heartbeat,0,51.82,0.06,834.39,2.6,0,table,0.0005,table,1,37.496532,126.955322,0.108,0.0,1,0.045,0.0
